open,close,high,low,value,volume,begin,end,ticker
0.5844,0.5844,0.5844,0.5844,108698.40000000001,186000,2023-03-29 09:00:00,2023-03-29 09:59:59,ELFV
0.5832,0.5782,0.5844,0.5748,11452682.399999997,19827000,2023-03-29 10:00:00,2023-03-29 10:59:59,ELFV
0.5782,0.5768,0.5782,0.5746,4586381.0,7965000,2023-03-29 11:00:00,2023-03-29 11:59:59,ELFV
0.5768,0.5784,0.5784,0.576,2002915.6,3468000,2023-03-29 12:00:00,2023-03-29 12:59:59,ELFV
0.5776,0.5818,0.5828,0.5772,1524737.3999999997,2632000,2023-03-29 13:00:00,2023-03-29 13:59:59,ELFV
0.5818,0.5794,0.5818,0.575,1889758.1999999997,3276000,2023-03-29 14:00:00,2023-03-29 14:59:59,ELFV
0.5794,0.5792,0.58,0.5774,1464558.8000000005,2529000,2023-03-29 15:00:00,2023-03-29 15:59:59,ELFV
0.5796,0.578,0.5796,0.5778,649719.0,1123000,2023-03-29 16:00:00,2023-03-29 16:59:59,ELFV
0.5782,0.5782,0.5796,0.5778,2575870.0,4456000,2023-03-29 17:00:00,2023-03-29 17:59:08,ELFV
0.5782,0.578,0.5796,0.578,867973.4000000001,1500000,2023-03-29 18:00:00,2023-03-29 18:59:59,ELFV
0.5818,0.5818,0.5818,0.5818,19781.199999999997,34000,2023-03-30 09:00:00,2023-03-30 09:59:59,ELFV
0.5818,0.576,0.5818,0.5644,13745058.400000006,24052000,2023-03-30 10:00:00,2023-03-30 10:59:59,ELFV
0.5766,0.577,0.5808,0.576,3495961.0000000005,6057000,2023-03-30 11:00:00,2023-03-30 11:59:59,ELFV
0.577,0.5788,0.579,0.5756,994981.6,1722000,2023-03-30 12:00:00,2023-03-30 12:59:59,ELFV
0.5788,0.5762,0.579,0.5754,927130.6000000002,1606000,2023-03-30 13:00:00,2023-03-30 13:59:59,ELFV
0.5768,0.5756,0.5788,0.5754,1217967.8,2111000,2023-03-30 14:00:00,2023-03-30 14:59:59,ELFV
0.5768,0.578,0.578,0.5756,767090.0,1330000,2023-03-30 15:00:00,2023-03-30 15:59:59,ELFV
0.5782,0.5778,0.5782,0.5766,532040.3999999999,921000,2023-03-30 16:00:00,2023-03-30 16:59:59,ELFV
0.578,0.579,0.58,0.578,1239806.2000000002,2140000,2023-03-30 17:00:00,2023-03-30 17:59:59,ELFV
0.58,0.5786,0.58,0.5784,1648686.7999999996,2846000,2023-03-30 18:00:00,2023-03-30 18:59:59,ELFV
0.5758,0.5758,0.5758,0.5758,17274.0,30000,2023-03-31 09:00:00,2023-03-31 09:59:59,ELFV
0.5768,0.5752,0.5802,0.5752,4843020.199999997,8394000,2023-03-31 10:00:00,2023-03-31 10:59:59,ELFV
0.5758,0.5728,0.5758,0.568,8264858.799999997,14457000,2023-03-31 11:00:00,2023-03-31 11:59:59,ELFV
0.5726,0.572,0.5738,0.572,1373376.7999999998,2397000,2023-03-31 12:00:00,2023-03-31 12:59:59,ELFV
0.5722,0.5686,0.5728,0.5684,2553436.4,4478000,2023-03-31 13:00:00,2023-03-31 13:59:59,ELFV
0.5688,0.5718,0.573,0.5684,1631041.3999999997,2855000,2023-03-31 14:00:00,2023-03-31 14:59:59,ELFV
0.5718,0.5728,0.5728,0.5712,650859.5999999999,1138000,2023-03-31 15:00:00,2023-03-31 15:59:59,ELFV
0.5728,0.57,0.573,0.5694,1650197.0,2891000,2023-03-31 16:00:00,2023-03-31 16:59:08,ELFV
0.5708,0.5716,0.5726,0.57,582376.6000000001,1020000,2023-03-31 17:00:00,2023-03-31 17:59:59,ELFV
0.5708,0.5728,0.573,0.5704,1387826.4000000001,2425000,2023-03-31 18:00:00,2023-03-31 18:46:13,ELFV
0.5728,0.5728,0.5728,0.5728,10310.4,18000,2023-04-03 09:00:00,2023-04-03 09:59:59,ELFV
0.5748,0.5718,0.5748,0.5702,2932475.400000001,5119000,2023-04-03 10:00:00,2023-04-03 10:59:59,ELFV
0.571,0.5716,0.5724,0.5702,2086206.8,3653000,2023-04-03 11:00:00,2023-04-03 11:59:59,ELFV
0.5718,0.5712,0.5728,0.571,1009424.0,1765000,2023-04-03 12:00:00,2023-04-03 12:59:59,ELFV
0.5722,0.573,0.573,0.5712,897080.0,1568000,2023-04-03 13:00:00,2023-04-03 13:59:59,ELFV
0.573,0.5712,0.5732,0.5712,1146722.6,2004000,2023-04-03 14:00:00,2023-04-03 14:59:59,ELFV
0.5722,0.573,0.5738,0.5716,934739.0000000001,1632000,2023-04-03 15:00:00,2023-04-03 15:59:59,ELFV
0.573,0.575,0.575,0.5728,1642298.0000000002,2863000,2023-04-03 16:00:00,2023-04-03 16:59:07,ELFV
0.575,0.574,0.575,0.5732,1024159.6000000001,1784000,2023-04-03 17:00:00,2023-04-03 17:59:59,ELFV
0.574,0.573,0.5746,0.573,730411.2,1273000,2023-04-03 18:00:00,2023-04-03 18:59:59,ELFV
0.5728,0.5728,0.5728,0.5728,26921.59999999999,47000,2023-04-04 09:00:00,2023-04-04 09:59:59,ELFV
