open,close,high,low,value,volume,begin,end,ticker
725,730,730,725,10925,15,2020-03-30 11:00:00,2020-03-30 11:30:09,INGR
755,764,764,755,47984,63,2020-03-30 14:00:00,2020-03-30 14:55:14,INGR
768,768,768,768,1536,2,2020-03-30 15:00:00,2020-03-30 15:59:13,INGR
768,768,768,768,768,1,2020-03-30 16:00:00,2020-03-30 16:05:14,INGR
768,768,768,768,5376,7,2020-03-30 17:00:00,2020-03-30 17:40:08,INGR
765,768,768,765,2301,3,2020-03-30 18:00:00,2020-03-30 18:36:09,INGR
750,760,760,740,96704,129,2020-03-31 10:00:00,2020-03-31 10:48:05,INGR
757,772,772,757,236651,308,2020-03-31 11:00:00,2020-03-31 11:51:05,INGR
775,775,776,775,37976,49,2020-03-31 12:00:00,2020-03-31 12:59:59,INGR
776,776,778,776,29494,38,2020-03-31 13:00:00,2020-03-31 13:53:15,INGR
776,775,776,775,11631,15,2020-03-31 14:00:00,2020-03-31 14:52:04,INGR
776,790,790,776,161087,206,2020-03-31 17:00:00,2020-03-31 17:59:17,INGR
790,796,796,790,39689,50,2020-03-31 18:00:00,2020-03-31 18:21:14,INGR
754,760,760,754,18234,24,2020-04-01 11:00:00,2020-04-01 11:51:13,INGR
764,764,764,764,2292,3,2020-04-01 12:00:00,2020-04-01 12:36:12,INGR
764,764,764,764,3056,4,2020-04-01 13:00:00,2020-04-01 13:57:12,INGR
764,768,768,764,21416,28,2020-04-01 14:00:00,2020-04-01 14:51:13,INGR
767,768,768,767,15359,20,2020-04-01 15:00:00,2020-04-01 15:34:08,INGR
760,760,760,760,2280,3,2020-04-01 17:00:00,2020-04-01 17:24:08,INGR
760,764,764,760,4568,6,2020-04-02 10:00:00,2020-04-02 10:17:13,INGR
754,754,754,754,23374,31,2020-04-02 11:00:00,2020-04-02 11:43:08,INGR
758,760,760,758,15175,20,2020-04-02 16:00:00,2020-04-02 16:32:12,INGR
754,754,754,754,754,1,2020-04-02 17:00:00,2020-04-02 17:21:09,INGR
762,750,762,750,73512,98,2020-04-03 10:00:00,2020-04-03 10:56:12,INGR
750,750,750,750,6000,8,2020-04-03 16:00:00,2020-04-03 16:49:08,INGR
750,750,750,750,750,1,2020-04-03 18:00:00,2020-04-03 18:09:08,INGR
735,771,771,735,5343,7,2020-04-06 10:00:00,2020-04-06 10:52:09,INGR
770,771,771,770,10782,14,2020-04-06 11:00:00,2020-04-06 11:53:08,INGR
774,787,787,774,12503,16,2020-04-06 12:00:00,2020-04-06 12:59:14,INGR
772,772,772,772,3088,4,2020-04-06 13:00:00,2020-04-06 13:40:03,INGR
772,770,772,770,13868,18,2020-04-06 14:00:00,2020-04-06 14:33:03,INGR
770,770,770,770,36190,47,2020-04-06 15:00:00,2020-04-06 15:54:08,INGR
770,770,770,770,770,1,2020-04-06 17:00:00,2020-04-06 17:58:14,INGR
770,770,770,770,3080,4,2020-04-06 18:00:00,2020-04-06 18:26:15,INGR
780,751,780,751,8464,11,2020-04-07 10:00:00,2020-04-07 10:39:15,INGR
773,772,785,766,360931,462,2020-04-07 11:00:00,2020-04-07 11:59:59,INGR
755,755,755,755,18120,24,2020-04-07 12:00:00,2020-04-07 12:48:04,INGR
764,764,764,764,764,1,2020-04-07 13:00:00,2020-04-07 13:46:15,INGR
764,757,764,757,14509,19,2020-04-07 15:00:00,2020-04-07 15:59:59,INGR
771,771,771,771,3084,4,2020-04-07 16:00:00,2020-04-07 16:40:05,INGR
760,760,760,760,13680,18,2020-04-08 10:00:00,2020-04-08 10:53:03,INGR
770,770,770,770,6160,8,2020-04-09 10:00:00,2020-04-09 10:32:29,INGR
770,770,770,770,35420,46,2020-04-09 12:00:00,2020-04-09 12:43:20,INGR
754,754,754,754,26390,35,2020-04-10 10:00:00,2020-04-10 10:41:24,INGR
755,755,755,755,755,1,2020-04-10 11:00:00,2020-04-10 11:34:16,INGR
755,755,755,755,755,1,2020-04-10 12:00:00,2020-04-10 12:58:21,INGR
758,758,758,758,1516,2,2020-04-10 13:00:00,2020-04-10 13:04:24,INGR
758,758,758,758,758,1,2020-04-10 14:00:00,2020-04-10 14:11:04,INGR
755,755,755,755,1510,2,2020-04-10 18:00:00,2020-04-10 18:40:10,INGR
770,770,770,770,770,1,2020-04-13 10:00:00,2020-04-13 10:41:33,INGR
770,770,770,770,23100,30,2020-04-13 11:00:00,2020-04-13 11:32:07,INGR
770,770,770,770,3850,5,2020-04-13 14:00:00,2020-04-13 14:51:09,INGR
766,762,766,762,38990,51,2020-04-13 15:00:00,2020-04-13 15:59:36,INGR
764,764,764,764,1528,2,2020-04-13 18:00:00,2020-04-13 18:36:35,INGR
766,766,766,766,3064,4,2020-04-14 10:00:00,2020-04-14 10:35:36,INGR
766,766,766,766,7660,10,2020-04-14 12:00:00,2020-04-14 12:29:12,INGR
770,770,770,770,770,1,2020-04-14 15:00:00,2020-04-14 15:04:12,INGR
770,770,770,770,770,1,2020-04-14 16:00:00,2020-04-14 16:42:05,INGR
767,767,767,767,767,1,2020-04-14 17:00:00,2020-04-14 17:56:08,INGR
766,766,766,766,24512,32,2020-04-14 18:00:00,2020-04-14 18:36:09,INGR
776,776,784,776,63882,82,2020-04-15 10:00:00,2020-04-15 10:55:03,INGR
776,772,776,772,2324,3,2020-04-15 11:00:00,2020-04-15 11:41:03,INGR
772,772,772,772,2316,3,2020-04-15 12:00:00,2020-04-15 12:34:12,INGR
776,772,776,772,8512,11,2020-04-15 13:00:00,2020-04-15 13:33:13,INGR
772,772,772,772,14668,19,2020-04-15 15:00:00,2020-04-15 15:41:08,INGR
768,768,768,768,3840,5,2020-04-15 16:00:00,2020-04-15 16:52:09,INGR
755,772,784,755,103479,133,2020-04-16 10:00:00,2020-04-16 10:57:03,INGR
768,768,768,768,7680,10,2020-04-16 11:00:00,2020-04-16 11:59:02,INGR
768,768,768,768,7680,10,2020-04-16 12:00:00,2020-04-16 12:45:03,INGR
768,768,768,768,3072,4,2020-04-16 13:00:00,2020-04-16 13:59:09,INGR
768,768,768,768,768,1,2020-04-16 14:00:00,2020-04-16 14:16:09,INGR
768,768,768,768,3072,4,2020-04-16 15:00:00,2020-04-16 15:39:08,INGR
764,764,764,764,3056,4,2020-04-16 16:00:00,2020-04-16 16:17:08,INGR
764,764,764,764,1528,2,2020-04-16 17:00:00,2020-04-16 17:44:14,INGR
700,765,765,699,20893,28,2020-04-17 10:00:00,2020-04-17 10:52:14,INGR
765,761,765,761,6116,8,2020-04-17 13:00:00,2020-04-17 13:41:09,INGR
761,761,761,761,3044,4,2020-04-17 14:00:00,2020-04-17 14:42:07,INGR
761,761,761,761,2283,3,2020-04-17 15:00:00,2020-04-17 15:56:13,INGR
761,761,761,761,761,1,2020-04-17 16:00:00,2020-04-17 16:28:08,INGR
761,761,761,761,2283,3,2020-04-17 17:00:00,2020-04-17 17:51:09,INGR
761,761,761,761,3805,5,2020-04-17 18:00:00,2020-04-17 18:08:13,INGR
786,778,786,778,48377,62,2020-04-20 10:00:00,2020-04-20 10:56:13,INGR
774,774,774,774,19350,25,2020-04-20 11:00:00,2020-04-20 11:39:10,INGR
774,774,774,774,774,1,2020-04-20 12:00:00,2020-04-20 12:17:09,INGR
774,774,774,774,774,1,2020-04-20 13:00:00,2020-04-20 13:12:07,INGR
770,770,770,770,14630,19,2020-04-20 14:00:00,2020-04-20 14:41:21,INGR
770,770,770,770,7700,10,2020-04-20 16:00:00,2020-04-20 16:34:12,INGR
770,770,770,770,770,1,2020-04-20 18:00:00,2020-04-20 18:13:04,INGR
775,775,775,775,21700,28,2020-04-21 10:00:00,2020-04-21 10:52:04,INGR
775,767,775,767,31611,41,2020-04-21 11:00:00,2020-04-21 11:33:15,INGR
767,767,767,767,767,1,2020-04-21 12:00:00,2020-04-21 12:33:05,INGR
767,767,767,767,767,1,2020-04-21 13:00:00,2020-04-21 13:22:19,INGR
773,764,773,763,18371,24,2020-04-21 14:00:00,2020-04-21 14:50:04,INGR
761,756,761,756,24276,32,2020-04-22 10:00:00,2020-04-22 10:09:07,INGR
787,761,787,761,2320,3,2020-04-22 11:00:00,2020-04-22 11:53:07,INGR
766,766,766,766,766,1,2020-04-22 12:00:00,2020-04-22 12:50:12,INGR
767,752,768,752,37116,49,2020-04-22 13:00:00,2020-04-22 13:45:12,INGR
753,752,753,752,1505,2,2020-04-22 14:00:00,2020-04-22 14:22:07,INGR
777,777,777,777,777,1,2020-04-22 16:00:00,2020-04-22 16:23:13,INGR
770,758,770,758,76428,100,2020-04-23 10:00:00,2020-04-23 10:35:07,INGR
770,758,770,758,3056,4,2020-04-23 11:00:00,2020-04-23 11:40:07,INGR
757,776,776,757,1533,2,2020-04-23 12:00:00,2020-04-23 12:59:59,INGR
743,730,743,730,22105,30,2020-04-24 10:00:00,2020-04-24 10:58:08,INGR
760,735,761,735,66500,89,2020-04-24 11:00:00,2020-04-24 11:59:02,INGR
754,752,754,736,8230,11,2020-04-24 12:00:00,2020-04-24 12:13:14,INGR
751,740,751,740,2973,4,2020-04-24 13:00:00,2020-04-24 13:28:13,INGR
758,758,759,758,2275,3,2020-04-24 14:00:00,2020-04-24 14:45:12,INGR
754,757,757,740,16502,22,2020-04-24 15:00:00,2020-04-24 15:44:09,INGR
758,757,758,757,1515,2,2020-04-24 16:00:00,2020-04-24 16:16:08,INGR
757,757,757,757,3785,5,2020-04-24 18:00:00,2020-04-24 18:31:14,INGR
721,774,775,721,4553,6,2020-04-27 10:00:00,2020-04-27 10:42:12,INGR
740,740,740,740,1480,2,2020-04-27 11:00:00,2020-04-27 11:08:07,INGR
766,766,766,766,766,1,2020-04-27 12:00:00,2020-04-27 12:37:07,INGR
766,762,766,762,12248,16,2020-04-27 13:00:00,2020-04-27 13:19:07,INGR
765,762,765,762,13719,18,2020-04-27 17:00:00,2020-04-27 17:59:08,INGR
762,762,762,762,4572,6,2020-04-27 18:00:00,2020-04-27 18:16:13,INGR
750,750,750,750,6000,8,2020-04-28 10:00:00,2020-04-28 10:51:11,INGR
751,751,751,751,1502,2,2020-04-28 11:00:00,2020-04-28 11:43:12,INGR
