open,close,high,low,value,volume,begin,end,ticker
6.478,6.46,6.583,6.42,49067.3,7600,2011-11-17 10:00:00,2011-11-17 10:59:59,IRKT
6.479,6.487,6.487,6.479,11670.4,1800,2011-11-17 11:00:00,2011-11-17 11:46:15,IRKT
6.438,6.437,6.438,6.437,14163.4,2200,2011-11-17 12:00:00,2011-11-17 12:43:16,IRKT
6.449,6.449,6.449,6.449,2579.6,400,2011-11-17 13:00:00,2011-11-17 13:58:16,IRKT
6.401,6.372,6.401,6.372,61974.3,9700,2011-11-17 14:00:00,2011-11-17 14:16:15,IRKT
6.362,6.421,6.421,6.207,336431.8,53400,2011-11-17 16:00:00,2011-11-17 16:54:15,IRKT
6.37,6.261,6.384,6.256,83999.7,13300,2011-11-17 17:00:00,2011-11-17 17:43:16,IRKT
6.404,6.417,6.422,6.321,7671.8,1200,2011-11-17 18:00:00,2011-11-17 18:59:59,IRKT
6.201,6.219,6.326,6.13,170679.5,27600,2011-11-18 10:00:00,2011-11-18 10:49:15,IRKT
6.217,6.3,6.441,6.202,263033.2,41800,2011-11-18 11:00:00,2011-11-18 11:48:15,IRKT
6.394,6.394,6.394,6.394,639.4,100,2011-11-18 12:00:00,2011-11-18 12:37:16,IRKT
6.36,6.36,6.36,6.36,1908.0,300,2011-11-18 13:00:00,2011-11-18 13:35:15,IRKT
6.318,6.329,6.329,6.314,39790.3,6300,2011-11-18 14:00:00,2011-11-18 14:53:16,IRKT
6.289,6.299,6.302,6.288,23269.3,3700,2011-11-18 15:00:00,2011-11-18 15:42:15,IRKT
6.3,6.27,6.32,6.27,35950.1,5700,2011-11-18 16:00:00,2011-11-18 16:44:16,IRKT
6.304,6.306,6.306,6.28,8193.7,1300,2011-11-18 17:00:00,2011-11-18 17:56:15,IRKT
6.282,6.252,6.306,6.251,70767.8,11300,2011-11-18 18:00:00,2011-11-18 18:59:59,IRKT
6.251,6.29,6.299,6.25,170933.0,27300,2011-11-21 10:00:00,2011-11-21 10:47:16,IRKT
6.289,6.25,6.29,6.25,210653.9,33700,2011-11-21 11:00:00,2011-11-21 11:49:15,IRKT
6.25,6.25,6.27,6.25,161904.9,25900,2011-11-21 12:00:00,2011-11-21 12:38:15,IRKT
6.241,6.201,6.248,6.201,20581.9,3300,2011-11-21 13:00:00,2011-11-21 13:49:16,IRKT
6.243,6.243,6.243,6.243,624.3,100,2011-11-21 15:00:00,2011-11-21 15:05:15,IRKT
6.203,6.201,6.203,6.201,11162.1,1800,2011-11-21 16:00:00,2011-11-21 16:36:16,IRKT
6.22,6.2,6.251,6.2,6827.2,1100,2011-11-21 18:00:00,2011-11-21 18:59:59,IRKT
6.235,6.235,6.235,6.235,3741.0,600,2011-11-22 10:00:00,2011-11-22 10:34:16,IRKT
6.233,6.24,6.241,6.202,59255.9,9500,2011-11-22 11:00:00,2011-11-22 11:56:15,IRKT
6.249,6.274,6.274,6.249,48751.5,7800,2011-11-22 12:00:00,2011-11-22 12:06:16,IRKT
6.23,6.25,6.259,6.23,51232.3,8200,2011-11-22 13:00:00,2011-11-22 13:56:15,IRKT
6.25,6.25,6.25,6.25,1250.0,200,2011-11-22 15:00:00,2011-11-22 15:27:16,IRKT
6.265,6.265,6.265,6.265,31325.0,5000,2011-11-22 16:00:00,2011-11-22 16:58:16,IRKT
