open,close,high,low,value,volume,begin,end,ticker
2824.9,2824.6,2825.0,2801.9,626520.7,222,2011-11-17 10:00:00,2011-11-17 10:59:16,MGNT
2824.9,2817.0,2834.5,2814.7,6288350.5,2227,2011-11-17 11:00:00,2011-11-17 11:59:59,MGNT
2817.0,2794.9,2824.7,2775.0,20509893.8,7356,2011-11-17 12:00:00,2011-11-17 12:59:59,MGNT
2780.0,2769.5,2809.7,2769.5,12212211.3,4393,2011-11-17 13:00:00,2011-11-17 13:59:59,MGNT
2768.5,2751.0,2773.8,2745.1,13085098.3,4750,2011-11-17 14:00:00,2011-11-17 14:54:15,MGNT
2757.5,2818.0,2819.0,2751.3,11079492.3,3959,2011-11-17 15:00:00,2011-11-17 15:59:16,MGNT
2804.2,2788.2,2815.5,2750.0,44103792.7,15907,2011-11-17 16:00:00,2011-11-17 16:59:59,MGNT
2799.4,2798.7,2810.0,2776.5,4968021.2,1775,2011-11-17 17:00:00,2011-11-17 17:59:16,MGNT
2798.7,2805.3,2813.5,2782.8,6243116.2,2230,2011-11-17 18:00:00,2011-11-17 18:59:59,MGNT
2752.1,2760.1,2770.0,2745.0,2428003.5,881,2011-11-18 10:00:00,2011-11-18 10:59:59,MGNT
2760.2,2760.3,2763.7,2750.0,5290142.3,1920,2011-11-18 11:00:00,2011-11-18 11:59:59,MGNT
2759.8,2779.9,2800.0,2755.1,9711392.2,3496,2011-11-18 12:00:00,2011-11-18 12:58:16,MGNT
2771.6,2770.0,2772.7,2755.0,4808369.3,1739,2011-11-18 13:00:00,2011-11-18 13:56:15,MGNT
2769.9,2779.9,2784.0,2769.9,4813824.0,1733,2011-11-18 14:00:00,2011-11-18 14:58:16,MGNT
2777.8,2781.0,2781.0,2770.0,3879236.0,1397,2011-11-18 15:00:00,2011-11-18 15:59:59,MGNT
2776.6,2776.8,2790.0,2771.1,5102957.4,1833,2011-11-18 16:00:00,2011-11-18 16:57:16,MGNT
2784.6,2776.1,2788.0,2776.0,717642.7,258,2011-11-18 17:00:00,2011-11-18 17:59:15,MGNT
2784.7,2789.1,2791.5,2770.0,3171200.6,1142,2011-11-18 18:00:00,2011-11-18 18:59:59,MGNT
2760.0,2720.2,2770.7,2705.0,3091265.2,1134,2011-11-21 10:00:00,2011-11-21 10:59:59,MGNT
2725.9,2675.0,2731.8,2655.0,14184089.2,5297,2011-11-21 11:00:00,2011-11-21 11:59:59,MGNT
2675.0,2660.0,2678.0,2645.0,21609848.3,8138,2011-11-21 12:00:00,2011-11-21 12:59:59,MGNT
2659.8,2700.0,2717.0,2659.8,13075104.2,4853,2011-11-21 13:00:00,2011-11-21 13:59:59,MGNT
2700.0,2750.0,2750.0,2665.2,11157562.5,4105,2011-11-21 14:00:00,2011-11-21 14:59:15,MGNT
2739.8,2779.5,2779.9,2716.5,9252815.1,3353,2011-11-21 15:00:00,2011-11-21 15:59:59,MGNT
2779.7,2767.9,2829.9,2760.0,13225521.6,4732,2011-11-21 16:00:00,2011-11-21 16:59:16,MGNT
2768.0,2764.6,2799.9,2760.0,4657345.6,1674,2011-11-21 17:00:00,2011-11-21 17:59:59,MGNT
2764.3,2757.0,2766.0,2744.0,5143987.6,1867,2011-11-21 18:00:00,2011-11-21 18:59:59,MGNT
2751.0,2756.9,2769.9,2750.0,1239060.1,450,2011-11-22 10:00:00,2011-11-22 10:59:15,MGNT
2753.1,2774.7,2789.6,2753.1,2071307.4,749,2011-11-22 11:00:00,2011-11-22 11:59:59,MGNT
2775.0,2796.1,2799.9,2760.3,6039730.9,2175,2011-11-22 12:00:00,2011-11-22 12:59:16,MGNT
2797.0,2775.1,2800.0,2760.0,2701977.5,973,2011-11-22 13:00:00,2011-11-22 13:55:15,MGNT
2761.3,2778.1,2790.0,2761.3,651269.7,234,2011-11-22 14:00:00,2011-11-22 14:59:59,MGNT
2778.1,2784.8,2790.0,2767.0,906016.6,326,2011-11-22 15:00:00,2011-11-22 15:50:16,MGNT
2786.2,2782.9,2787.6,2766.1,1030640.0,371,2011-11-22 16:00:00,2011-11-22 16:55:16,MGNT
2779.1,2757.7,2784.5,2755.0,2120889.6,768,2011-11-22 17:00:00,2011-11-22 17:59:16,MGNT
2755.9,2780.2,2783.6,2755.9,16027608.5,5808,2011-11-22 18:00:00,2011-11-22 18:59:59,MGNT
2746.0,2717.9,2749.7,2701.0,1944824.8,714,2011-11-23 10:00:00,2011-11-23 10:59:16,MGNT
2724.6,2715.5,2733.3,2715.5,530771.4,195,2011-11-23 11:00:00,2011-11-23 11:59:59,MGNT
2715.6,2739.9,2775.1,2700.1,10234514.7,3748,2011-11-23 12:00:00,2011-11-23 12:59:59,MGNT
2739.9,2750.2,2760.0,2717.1,6592200.4,2411,2011-11-23 13:00:00,2011-11-23 13:59:59,MGNT
