open,close,high,low,value,volume,begin,end,ticker
0.09693,0.09969,0.09969,0.09693,7782.0,80000,2011-11-17 10:00:00,2011-11-17 10:21:16,MRKZ
0.09874,0.09874,0.09874,0.09874,6911.8,70000,2011-11-17 11:00:00,2011-11-17 11:49:15,MRKZ
0.09711,0.10025,0.10025,0.09711,41502.4,420000,2011-11-17 12:00:00,2011-11-17 12:57:16,MRKZ
0.1,0.098,0.1,0.098,200980.0,2010000,2011-11-17 13:00:00,2011-11-17 13:57:16,MRKZ
0.09813,0.09813,0.09813,0.09813,1962.6,20000,2011-11-17 14:00:00,2011-11-17 14:14:16,MRKZ
0.0999,0.0982,0.10099,0.0982,188492.9,1890000,2011-11-17 15:00:00,2011-11-17 15:17:16,MRKZ
0.0982,0.09799,0.09901,0.09768,230935.8,2340000,2011-11-17 16:00:00,2011-11-17 16:48:15,MRKZ
0.09949,0.0995,0.09987,0.09949,280657.3,2820000,2011-11-17 17:00:00,2011-11-17 17:44:16,MRKZ
0.09988,0.09987,0.10188,0.09987,226575.2,2260000,2011-11-17 18:00:00,2011-11-17 18:42:16,MRKZ
0.09764,0.09764,0.09764,0.09764,1952.8,20000,2011-11-18 12:00:00,2011-11-18 12:42:16,MRKZ
0.09751,0.09751,0.09751,0.09751,975.1,10000,2011-11-18 13:00:00,2011-11-18 13:59:15,MRKZ
0.09968,0.10129,0.10129,0.09968,75655.7,750000,2011-11-18 16:00:00,2011-11-18 16:50:16,MRKZ
0.10065,0.10065,0.10065,0.10065,1006.5,10000,2011-11-18 17:00:00,2011-11-18 17:23:16,MRKZ
0.10048,0.10089,0.10089,0.10048,53467.5,530000,2011-11-21 11:00:00,2011-11-21 11:54:15,MRKZ
0.0973,0.0973,0.0973,0.0973,6811.0,70000,2011-11-21 12:00:00,2011-11-21 12:59:16,MRKZ
0.09899,0.099,0.09901,0.09899,764284.2,7720000,2011-11-21 13:00:00,2011-11-21 13:33:16,MRKZ
0.0969,0.09601,0.09701,0.09601,12571.3,130000,2011-11-22 14:00:00,2011-11-22 14:51:16,MRKZ
0.09976,0.09969,0.09976,0.0962,3954.1,40000,2011-11-22 18:00:00,2011-11-22 18:59:59,MRKZ
0.09768,0.09769,0.09769,0.09768,23444.3,240000,2011-11-23 15:00:00,2011-11-23 15:55:16,MRKZ
0.09652,0.09748,0.09748,0.09651,1834813.2,19010000,2011-11-23 17:00:00,2011-11-23 17:39:16,MRKZ
0.09749,0.09799,0.09799,0.09705,24371.3,250000,2011-11-23 18:00:00,2011-11-23 18:59:59,MRKZ
0.09886,0.09889,0.09889,0.09886,16809.4,170000,2011-11-24 13:00:00,2011-11-24 13:21:15,MRKZ
0.09704,0.095,0.09704,0.09111,150047.6,1590000,2011-11-24 18:00:00,2011-11-24 18:38:16,MRKZ
0.095,0.095,0.095,0.095,273600.0,2880000,2011-11-25 10:00:00,2011-11-25 10:58:15,MRKZ
0.09501,0.09501,0.09501,0.09501,950.1,10000,2011-11-25 12:00:00,2011-11-25 12:43:15,MRKZ
0.09501,0.095,0.09501,0.095,435102.9,4580000,2011-11-25 13:00:00,2011-11-25 13:59:16,MRKZ
0.095,0.0965,0.0965,0.095,40865.0,430000,2011-11-25 14:00:00,2011-11-25 14:08:16,MRKZ
0.09698,0.09698,0.09698,0.09698,969.8,10000,2011-11-25 15:00:00,2011-11-25 15:04:16,MRKZ
0.09421,0.09421,0.09421,0.09421,942.1,10000,2011-11-25 16:00:00,2011-11-25 16:44:16,MRKZ
0.0962,0.0962,0.0962,0.0962,962.0,10000,2011-11-25 18:00:00,2011-11-25 18:59:59,MRKZ
0.09629,0.09654,0.09654,0.09629,4819.5,50000,2011-11-28 10:00:00,2011-11-28 10:59:16,MRKZ
0.09798,0.09714,0.09798,0.09714,2931.0,30000,2011-11-28 12:00:00,2011-11-28 12:49:16,MRKZ
