open,close,high,low,value,volume,begin,end,ticker
224.2,225.21,225.86,223.42,310949941.5,1382690,2011-11-17 10:00:00,2011-11-17 10:59:59,ROSN
225.35,222.6,225.88,221.54,328923987.3,1471100,2011-11-17 11:00:00,2011-11-17 11:59:59,ROSN
222.54,221.22,222.63,220.05,538705856.4,2435230,2011-11-17 12:00:00,2011-11-17 12:59:59,ROSN
221.25,221.87,222.75,220.87,352754733.3,1591940,2011-11-17 13:00:00,2011-11-17 13:59:59,ROSN
221.82,221.1,222.44,220.2,379384667.3,1716530,2011-11-17 14:00:00,2011-11-17 14:59:59,ROSN
221.02,219.59,221.2,218.82,363264472.0,1650920,2011-11-17 15:00:00,2011-11-17 15:59:59,ROSN
219.47,218.1,219.47,215.83,775563312.5,3573290,2011-11-17 16:00:00,2011-11-17 16:59:59,ROSN
218.1,221.03,221.17,217.28,524731341.6,2387090,2011-11-17 17:00:00,2011-11-17 17:59:59,ROSN
221.09,220.3,221.98,220.19,296939368.2,1342320,2011-11-17 18:00:00,2011-11-17 18:59:59,ROSN
217.14,216.35,218.0,216.0,311361944.7,1435580,2011-11-18 10:00:00,2011-11-18 10:59:59,ROSN
216.39,217.5,218.28,216.33,200655614.1,922700,2011-11-18 11:00:00,2011-11-18 11:59:59,ROSN
217.5,216.8,217.7,216.6,168147169.2,774460,2011-11-18 12:00:00,2011-11-18 12:59:59,ROSN
216.75,217.05,217.7,216.51,222660744.1,1025490,2011-11-18 13:00:00,2011-11-18 13:59:59,ROSN
217.04,216.82,217.6,216.5,243687928.5,1122620,2011-11-18 14:00:00,2011-11-18 14:59:59,ROSN
216.85,217.27,217.34,216.56,138664375.5,638990,2011-11-18 15:00:00,2011-11-18 15:59:59,ROSN
217.29,217.18,218.28,216.7,329883765.9,1517060,2011-11-18 16:00:00,2011-11-18 16:59:59,ROSN
217.18,216.3,217.56,216.2,226228184.8,1043660,2011-11-18 17:00:00,2011-11-18 17:59:59,ROSN
216.3,215.48,216.65,215.16,306023161.5,1417890,2011-11-18 18:00:00,2011-11-18 18:59:59,ROSN
213.97,213.01,214.39,211.12,360730239.5,1696840,2011-11-21 10:00:00,2011-11-21 10:59:59,ROSN
213.01,209.8,213.17,208.55,571643689.4,2706590,2011-11-21 11:00:00,2011-11-21 11:59:59,ROSN
