date,open,close,high,low,value,volume,ticker
2011-11-17,11.406,11.6,11.779,11.383,234025.5,20200,ABIO
2011-11-18,11.237,11.605,11.848,11.237,1038680.2,89500,ABIO
2011-11-21,11.675,11.167,11.675,11.05,598569.8,53700,ABIO
2011-11-22,11.101,10.965,11.267,10.7,878376.1,81200,ABIO
2011-11-23,10.774,10.77,11.099,10.64,913879.2,85000,ABIO
2011-11-24,10.765,10.761,11.114,10.712,99650.6,9100,ABIO
2011-11-25,10.701,10.73,10.888,10.689,286798.0,26600,ABIO
2011-11-28,10.878,10.916,11.001,10.75,298563.7,27400,ABIO
2011-11-29,10.824,11.1,11.1,10.8,222130.90000000002,20300,ABIO
2011-11-30,10.773,11.389,11.396,10.773,589151.2,53300,ABIO
2011-12-01,11.397,11.265,11.998,10.93,1860969.5999999999,167600,ABIO
2011-12-02,11.25,11.094,11.323,10.951,271513.1,24400,ABIO
2011-12-05,11.374,11.081,11.374,11.0,190356.3,17200,ABIO
2011-12-06,11.015,10.817,11.194,10.7,573033.7999999999,52900,ABIO
2011-12-07,10.779,11.0,11.186,10.733,757941.2,68600,ABIO
2011-12-08,11.0,10.8,11.055,10.8,331709.6,30600,ABIO
2011-12-09,10.806,10.5,10.923,10.3,384556.3,36600,ABIO
2011-12-12,10.502,10.131,10.769,10.131,169276.5,16000,ABIO
2011-12-13,10.2,10.251,10.397,10.2,289675.2,28100,ABIO
2011-12-14,10.395,10.864,11.106,10.3,905394.3,83000,ABIO
2011-12-15,10.812,11.055,11.178,10.623,603550.1,55300,ABIO
2011-12-16,10.757,10.658,10.99,10.4,430157.3,40500,ABIO
2011-12-19,10.47,10.5,10.609,10.4,339195.7,32500,ABIO
2011-12-20,10.46,10.5,10.585,10.4,74245.59999999999,7100,ABIO
2011-12-21,10.619,10.613,10.869,10.607,348060.7,32500,ABIO
2011-12-22,10.574,10.367,10.71,10.3,344729.3,32900,ABIO
2011-12-23,10.24,10.2,10.368,10.2,196548.59999999998,19200,ABIO
2011-12-26,10.15,10.109,10.151,9.854,594858.5,59300,ABIO
2011-12-27,10.012,10.0,10.195,9.985,282351.5,28000,ABIO
2011-12-28,9.807,9.6,9.807,9.536,438087.9,45400,ABIO
2011-12-29,9.701,9.7,9.835,9.265,792308.1,83100,ABIO
2011-12-30,9.999,9.939,10.1,9.779,177020.0,17800,ABIO
2012-01-03,9.901,10.076,10.1,9.901,39097.5,3900,ABIO
2012-01-04,10.099,10.3,10.72,10.099,139580.0,13500,ABIO
2012-01-05,10.233,10.081,10.275,10.081,44789.2,4400,ABIO
2012-01-06,10.083,10.158,10.158,10.051,103623.8,10300,ABIO
2012-01-09,10.048,10.186,10.186,10.048,93962.7,9300,ABIO
2012-01-10,10.221,10.19,10.277,10.132,38770.5,3800,ABIO
2012-01-11,10.155,10.255,10.256,10.155,102071.0,10000,ABIO
2012-01-12,10.413,10.547,10.867,10.364,319888.7,30300,ABIO
2012-01-13,10.4,10.704,10.83,10.399,274896.2,25800,ABIO
2012-01-16,10.843,10.714,10.843,10.5,103265.6,9700,ABIO
2012-01-17,10.83,10.788,10.867,10.664,66664.59999999999,6200,ABIO
2012-01-18,10.747,10.83,10.83,10.7,55066.2,5100,ABIO
2012-01-19,10.825,10.842,10.995,10.771,210128.90000000002,19300,ABIO
2012-01-20,10.821,10.584,10.821,10.47,196981.7,18500,ABIO
2012-01-23,10.65,10.564,10.683,10.563,50734.6,4800,ABIO
2012-01-24,10.699,10.903,11.362,10.699,1574698.4,142800,ABIO
2012-01-25,11.143,12.248,13.25,10.888,6430620.3,528800,ABIO
2012-01-26,12.006,11.635,12.1,11.504,2081777.7999999998,177600,ABIO
2012-01-27,11.555,11.96,11.97,11.349,1120631.5999999999,95800,ABIO
2012-01-30,11.986,11.988,13.373,11.504,3076370.5,245900,ABIO
2012-01-31,11.993,13.386,13.95,11.6,8062433.399999999,619100,ABIO
2012-02-01,13.3,13.691,14.099,12.758,3501557.7,264400,ABIO
2012-02-02,13.201,13.683,14.1,12.726,3190520.0,237700,ABIO
2012-02-03,13.3,13.385,13.402,12.801,2035169.0,155500,ABIO
2012-02-06,13.002,12.67,13.25,12.645,957404.5,74500,ABIO
2012-02-07,12.636,12.2,12.67,12.061,664090.3,53800,ABIO
2012-02-08,12.48,12.232,12.65,12.232,235930.69999999998,19000,ABIO
2012-02-09,12.373,12.2,12.393,12.2,150703.3,12300,ABIO
2012-02-10,12.293,12.129,12.54,12.129,105099.9,8600,ABIO
2012-02-13,12.519,12.945,13.3,12.485,1092866.9,84200,ABIO
2012-02-14,12.933,12.999,13.497,12.913,618248.0,46900,ABIO
2012-02-15,12.999,12.81,12.999,12.668,186823.3,14700,ABIO
2012-02-16,12.511,13.276,13.829,12.51,2871924.8000000003,214500,ABIO
2012-02-17,13.3,13.47,13.5,13.041,616365.1,46400,ABIO
2012-02-20,13.539,14.157,14.59,13.539,5264360.5,373900,ABIO
2012-02-21,14.198,13.891,14.6,13.629,1749834.2,124800,ABIO
2012-02-22,13.716,13.68,13.83,13.602,424738.4,31200,ABIO
2012-02-24,13.78,14.194,14.203,13.661,1113032.0,79800,ABIO
2012-02-27,14.168,14.229,14.235,13.731,315527.7,22400,ABIO
2012-02-28,14.313,13.808,14.697,13.75,1623808.6,113800,ABIO
2012-02-29,13.666,13.376,13.847,13.107,1019132.0,76000,ABIO
2012-03-01,13.107,13.118,13.414,12.8,752444.4,57900,ABIO
2012-03-02,13.12,13.5,13.5,12.86,1072352.7,81800,ABIO
2012-03-05,13.4,13.491,13.5,13.112,278162.5,20700,ABIO
2012-03-06,13.186,13.071,13.226,13.002,171355.2,13100,ABIO
2012-03-07,12.95,13.14,13.445,12.95,113687.29999999999,8600,ABIO
