date,open,close,high,low,value,volume,ticker
2011-11-17,23.699,23.5,23.699,22.9,46728912.1,2000800,AFKS
2011-11-18,23.121,22.923,23.289,22.88,27071031.9,1176700,AFKS
2011-11-21,22.87,21.75,22.87,21.7,28141026.3,1273800,AFKS
2011-11-22,21.889,21.902,22.298,21.889,48054437.4,2180300,AFKS
2011-11-23,22.0,23.75,23.75,21.902,141983665.7,6155600,AFKS
2011-11-24,23.201,23.871,24.224,23.201,55908047.400000006,2361600,AFKS
2011-11-25,23.6,24.0,24.0,23.591,50191018.1,2113500,AFKS
2011-11-28,24.204,25.2,25.49,24.05,37378826.9,1495000,AFKS
2011-11-29,25.377,25.7,25.889,24.8,48080893.6,1907100,AFKS
2011-11-30,25.98,26.281,26.817,25.263,55373072.0,2103900,AFKS
2011-12-01,26.561,26.8,27.3,26.56,30893832.4,1143400,AFKS
2011-12-02,26.783,26.6,27.03,26.128,25623726.0,964400,AFKS
2011-12-05,26.031,26.599,26.886,25.9,17914783.3,678300,AFKS
2011-12-06,26.0,26.0,26.57,25.202,72347820.2,2785700,AFKS
2011-12-07,25.558,25.319,26.2,25.304,18633187.7,724300,AFKS
2011-12-08,25.472,25.52,26.501,25.359,30492281.0,1167700,AFKS
2011-12-09,25.025,24.361,25.093,23.151,30732452.7,1256200,AFKS
2011-12-12,24.985,23.4,25.313,23.149,27375428.5,1157200,AFKS
2011-12-13,23.476,23.845,24.199,23.11,17963043.9,760100,AFKS
2011-12-14,23.679,23.95,24.199,23.52,25390447.6,1062700,AFKS
2011-12-15,23.499,24.351,24.75,23.499,14111696.2,578400,AFKS
2011-12-16,24.496,24.22,24.758,23.699,12745894.8,525700,AFKS
2011-12-19,24.169,24.0,24.202,23.692,4189758.3,174800,AFKS
2011-12-20,24.082,24.261,24.487,23.991,5760718.5,237600,AFKS
2011-12-21,24.79,23.919,24.791,23.63,8388408.5,349100,AFKS
2011-12-22,24.119,23.696,24.119,23.451,5294597.3,222300,AFKS
2011-12-23,23.999,23.402,24.0,23.4,2407321.7,102300,AFKS
2011-12-26,23.74,23.233,23.8,23.2,2827535.3000000003,121400,AFKS
2011-12-27,23.397,22.8,23.397,22.54,4632423.3,202800,AFKS
2011-12-28,22.885,23.029,23.05,22.5,17630768.4,775100,AFKS
2011-12-29,22.83,23.3,23.3,22.43,13537676.9,596800,AFKS
2011-12-30,23.35,23.31,23.51,22.999,9329053.4,400300,AFKS
2012-01-03,23.301,24.04,24.25,23.3,5069005.899999999,210500,AFKS
2012-01-04,24.419,23.999,24.419,23.728,1748585.0,72700,AFKS
2012-01-05,23.999,24.045,24.519,23.802,12807803.9,535200,AFKS
2012-01-06,23.516,24.4,24.638,23.516,9131199.4,374600,AFKS
2012-01-09,24.124,24.47,24.935,24.061,4785720.8,194600,AFKS
2012-01-10,24.477,25.0,25.349,24.323,45960711.3,1859800,AFKS
2012-01-11,25.026,24.839,25.471,24.56,26656807.7,1069500,AFKS
2012-01-12,24.72,24.865,25.249,24.469,12552593.9,503800,AFKS
2012-01-13,24.633,25.243,25.676,24.567,61903859.3,2454800,AFKS
2012-01-16,24.875,25.475,25.598,24.683,8193021.100000001,324400,AFKS
2012-01-17,25.58,25.598,26.503,25.133,43474371.9,1678700,AFKS
2012-01-18,25.51,25.443,25.7,25.3,17074727.599999998,670200,AFKS
2012-01-19,25.8,25.523,25.897,25.202,17628551.7,690900,AFKS
2012-01-20,25.501,25.546,25.595,25.369,8677677.2,339800,AFKS
2012-01-23,25.445,25.899,25.951,25.23,27726618.2,1081500,AFKS
2012-01-24,25.89,25.55,26.135,25.33,11291828.8,440400,AFKS
2012-01-25,25.678,25.5,25.997,25.3,11681638.4,456900,AFKS
2012-01-26,25.65,26.815,27.0,25.327,74381121.9,2835500,AFKS
2012-01-27,26.513,26.7,26.968,26.511,57975599.1,2160700,AFKS
2012-01-30,26.35,25.9,26.9,25.9,31884590.3,1212400,AFKS
2012-01-31,26.004,25.767,26.489,25.223,78201198.4,3032800,AFKS
2012-02-01,25.55,25.904,26.3,25.27,46840593.7,1822300,AFKS
2012-02-02,25.93,25.95,26.999,25.93,59095165.4,2246000,AFKS
2012-02-03,26.147,26.298,26.416,25.99,16381267.3,627900,AFKS
2012-02-06,26.4,26.052,26.498,26.02,11806835.3,450600,AFKS
2012-02-07,26.35,25.6,26.998,25.5,53236942.5,2042800,AFKS
2012-02-08,25.802,26.0,26.777,25.6,81888671.9,3157900,AFKS
2012-02-09,26.097,25.85,26.53,25.78,58042079.9,2202600,AFKS
2012-02-10,25.988,25.517,25.988,25.21,25588233.5,1004100,AFKS
2012-02-13,25.747,25.98,25.98,25.539,20638396.200000003,799300,AFKS
2012-02-14,25.6,26.1,26.4,25.6,70735434.0,2707900,AFKS
2012-02-15,26.3,26.879,26.879,26.04,56905679.8,2155700,AFKS
2012-02-16,26.48,26.89,27.5,26.107,91638977.5,3410900,AFKS
2012-02-17,27.248,26.9,27.326,26.65,36960325.6,1370200,AFKS
2012-02-20,27.19,26.95,27.3,26.824,15549035.6,574200,AFKS
2012-02-21,26.9,26.448,27.39,26.2,51047763.4,1882900,AFKS
2012-02-22,26.55,27.0,27.36,26.201,102956995.0,3824200,AFKS
2012-02-24,27.1,28.3,28.388,27.0,78720415.4,2842000,AFKS
2012-02-27,28.4,27.98,28.928,27.822,72438529.6,2572700,AFKS
2012-02-28,28.359,27.551,28.644,27.53,76374720.0,2700600,AFKS
2012-02-29,27.86,28.12,28.33,27.709,57740811.1,2056800,AFKS
2012-03-01,28.055,27.96,28.055,27.761,8087206.8,290000,AFKS
2012-03-02,28.189,27.9,28.6,27.62,50777873.6,1796400,AFKS
2012-03-05,28.189,28.0,28.2,27.72,21664054.2,774200,AFKS
2012-03-06,27.947,26.8,28.0,26.8,29085479.0,1069900,AFKS
2012-03-07,27.0,27.863,27.99,27.0,32341035.9,1171800,AFKS
2012-03-11,28.0,28.062,28.21,27.904,8450691.3,301000,AFKS
2012-03-12,28.03,27.575,28.03,27.227,85757057.2,3121800,AFKS
2012-03-13,27.607,28.54,29.1,27.416,91091834.0,3196100,AFKS
2012-03-14,28.8,29.751,29.939,28.475,100480849.5,3438000,AFKS
2012-03-15,29.561,29.6,29.868,29.01,87288950.0,2969400,AFKS
2012-03-16,29.501,29.5,29.99,29.2,61372334.2,2065200,AFKS
2012-03-19,29.45,28.71,29.783,28.701,30853750.1,1064000,AFKS
2012-03-20,28.701,28.491,28.95,28.221,17063445.4,597300,AFKS
2012-03-21,28.182,28.6,29.05,28.182,18452882.3,642200,AFKS
2012-03-22,28.928,27.6,29.0,27.272,48002068.599999994,1716400,AFKS
2012-03-23,27.755,27.261,28.0,27.2,22334455.7,814600,AFKS
2012-03-26,27.677,27.67,27.755,27.22,22707674.9,825900,AFKS
2012-03-27,27.748,27.16,28.199,26.866,36419555.4,1329100,AFKS
2012-03-28,27.03,26.9,27.3,26.401,35015733.3,1308500,AFKS
2012-03-29,26.899,26.199,27.0,26.0,33781359.699999996,1282700,AFKS
2012-03-30,26.58,25.777,26.9,25.42,40319448.9,1550600,AFKS
2012-04-02,25.999,25.86,26.24,25.57,33369359.7,1289600,AFKS
2012-04-03,25.92,26.301,26.519,25.89,83202355.7,3166700,AFKS
2012-04-04,25.992,25.859,26.297,25.7,44756221.6,1727900,AFKS
2012-04-05,25.85,25.599,26.193,25.223,35524824.4,1392300,AFKS
2012-04-06,25.699,25.499,25.75,25.312,9482427.3,370100,AFKS
2012-04-09,25.508,25.45,25.508,24.608,15165546.1,606200,AFKS
2012-04-10,25.49,25.288,25.747,25.288,34319718.5,1346700,AFKS
2012-04-11,25.627,25.432,25.628,24.95,52200751.9,2068500,AFKS
2012-04-12,25.62,25.3,25.664,25.124,15007537.0,594700,AFKS
2012-04-13,25.5,25.44,25.62,25.3,34829350.2,1368800,AFKS
2012-04-16,25.15,25.3,25.985,25.125,64127029.300000004,2501300,AFKS
2012-04-17,25.872,25.75,25.888,25.3,36669212.5,1425700,AFKS
2012-04-18,25.9,25.7,25.979,25.651,25685050.1,997000,AFKS
2012-04-19,25.701,26.0,26.25,25.699,19578886.700000003,754700,AFKS
2012-04-20,25.499,25.912,25.932,25.45,34115796.6,1329300,AFKS
2012-04-23,25.907,25.38,25.933,25.3,36008547.3,1408500,AFKS
2012-04-24,25.442,25.1,25.851,24.341,41516722.5,1651300,AFKS
2012-04-25,25.3,24.95,25.393,24.802,22577011.8,900200,AFKS
2012-04-26,25.001,24.8,25.49,24.551,24502624.4,982700,AFKS
2012-04-27,24.974,25.0,25.399,24.8,68168133.9,2729000,AFKS
