date,open,close,high,low,value,volume,ticker
2011-11-17,51.5,51.0,51.52,50.5,44963930.0,883800,AFLT
2011-11-18,50.35,50.74,50.99,50.1,51481092.0,1020300,AFLT
2011-11-21,50.51,50.0,50.88,49.51,213096364.0,4261200,AFLT
2011-11-22,50.18,49.9,50.98,49.15,303331352.0,6070300,AFLT
2011-11-23,49.51,50.0,50.11,49.17,95022893.0,1901900,AFLT
2011-11-24,49.96,50.0,50.33,49.53,57476207.0,1151500,AFLT
2011-11-25,50.25,49.75,50.3,48.8,50475903.0,1024700,AFLT
2011-11-28,50.15,50.7,51.0,50.02,67584390.0,1337900,AFLT
2011-11-29,50.85,50.0,50.97,49.72,46189336.0,919400,AFLT
2011-11-30,50.0,50.43,50.98,49.5,102949569.0,2053400,AFLT
2011-12-01,50.9,50.75,54.12,50.5,174139660.0,3409400,AFLT
2011-12-02,51.04,50.58,51.07,50.13,33282044.0,657400,AFLT
2011-12-05,50.26,50.55,50.78,50.22,17345200.0,342700,AFLT
2011-12-06,50.38,49.0,50.58,48.05,120305373.0,2425900,AFLT
2011-12-07,49.74,48.96,49.78,48.39,68840179.0,1408000,AFLT
2011-12-08,49.0,48.67,49.5,48.5,29391273.0,599000,AFLT
2011-12-09,48.19,47.14,48.5,45.7,72688004.0,1545700,AFLT
2011-12-12,47.62,45.9,47.95,45.8,47934219.0,1027100,AFLT
2011-12-13,46.18,45.94,46.29,45.04,46912604.0,1028300,AFLT
2011-12-14,46.11,45.41,46.14,45.21,33531842.0,734300,AFLT
2011-12-15,45.22,45.06,45.37,44.5,31204013.0,695600,AFLT
2011-12-16,45.2,44.95,45.37,44.57,52139186.0,1160500,AFLT
2011-12-19,44.75,44.82,45.16,44.5,23607169.0,527700,AFLT
2011-12-20,45.09,45.11,46.28,44.91,58908256.0,1301400,AFLT
2011-12-21,45.48,44.9,45.67,44.7,62531267.0,1385700,AFLT
2011-12-22,45.0,44.49,45.0,44.3,50965779.0,1141500,AFLT
2011-12-23,44.62,44.0,44.71,44.0,24246797.0,548200,AFLT
2011-12-26,44.24,45.2,46.2,43.62,78828718.0,1773800,AFLT
2011-12-27,45.0,45.45,47.0,44.91,52578925.0,1140800,AFLT
2011-12-28,45.58,46.52,47.0,45.24,58984121.0,1275700,AFLT
2011-12-29,46.49,47.88,48.0,45.25,93546757.0,2003800,AFLT
2011-12-30,48.4,50.22,51.3,48.04,456054754.0,9069000,AFLT
2012-01-03,51.0,50.99,52.74,50.57,27571407.0,536100,AFLT
2012-01-04,50.65,52.27,53.33,50.4,108118322.0,2059500,AFLT
2012-01-05,52.79,50.88,52.88,50.55,39211922.0,763900,AFLT
2012-01-06,50.88,50.51,51.13,49.88,19191972.0,379000,AFLT
2012-01-09,50.7,50.58,51.06,50.27,8380580.0,165200,AFLT
2012-01-10,50.78,50.62,53.55,48.5,63739369.0,1252300,AFLT
2012-01-11,50.7,50.65,50.9,50.17,13675516.0,270800,AFLT
2012-01-12,50.37,50.38,51.1,50.33,40855099.0,807300,AFLT
2012-01-13,50.43,50.19,50.94,50.02,31690218.0,627400,AFLT
2012-01-16,49.6,49.74,49.94,49.12,40808775.0,823200,AFLT
2012-01-17,50.21,50.15,50.69,50.03,15134923.0,300700,AFLT
2012-01-18,50.34,50.16,50.45,49.79,12279351.0,245100,AFLT
2012-01-19,50.52,50.43,50.81,50.0,35378879.0,701100,AFLT
2012-01-20,50.29,50.15,50.6,50.13,20245785.0,402000,AFLT
2012-01-23,50.16,50.5,50.58,49.99,22962366.0,456000,AFLT
2012-01-24,50.15,49.91,51.0,49.5,48075976.0,959900,AFLT
2012-01-25,50.1,50.05,50.38,49.87,30798698.0,615100,AFLT
2012-01-26,50.3,50.45,50.8,50.2,77344787.0,1534400,AFLT
2012-01-27,50.15,50.1,50.32,50.05,16212617.0,323400,AFLT
2012-01-30,50.4,50.05,50.53,49.7,50399576.0,1006300,AFLT
2012-01-31,50.15,50.01,50.35,50.0,54241360.0,1081200,AFLT
2012-02-01,49.97,50.47,52.17,49.66,346745451.0,6783300,AFLT
2012-02-02,50.6,50.73,51.74,50.5,164286458.0,3219100,AFLT
2012-02-03,50.85,51.15,51.6,50.4,273957845.0,5375200,AFLT
2012-02-06,51.15,51.12,52.0,50.5,229622757.0,4492600,AFLT
2012-02-07,51.12,50.5,51.36,50.15,131018195.0,2588900,AFLT
2012-02-08,50.78,50.5,51.1,50.41,67964355.0,1341500,AFLT
2012-02-09,50.7,50.65,50.94,50.2,78292331.0,1548900,AFLT
2012-02-10,50.49,50.45,50.95,49.51,94369819.0,1873900,AFLT
2012-02-13,50.87,51.07,51.6,50.51,339198708.0,6641700,AFLT
2012-02-14,51.07,53.31,53.44,50.51,274277468.0,5232700,AFLT
2012-02-15,53.5,53.76,54.8,52.35,278050952.0,5205800,AFLT
2012-02-16,53.29,54.17,54.51,52.43,144744065.0,2697400,AFLT
2012-02-17,54.54,55.45,55.55,54.29,222839216.0,4043300,AFLT
2012-02-20,55.65,54.78,56.76,54.72,144690004.0,2590400,AFLT
2012-02-21,54.99,52.6,55.0,52.1,217894453.0,4088800,AFLT
2012-02-22,52.89,50.99,53.16,50.11,338157617.0,6608000,AFLT
2012-02-24,51.49,52.68,52.75,50.82,158795972.0,3059100,AFLT
2012-02-27,52.45,51.09,52.92,50.7,197443797.0,3842000,AFLT
2012-02-28,51.37,50.75,51.77,50.65,126858192.0,2479600,AFLT
2012-02-29,51.2,50.6,51.39,49.95,288935427.0,5717900,AFLT
2012-03-01,50.34,50.29,50.46,49.81,195527381.0,3904100,AFLT
2012-03-02,50.35,50.3,50.82,49.9,96091250.0,1910200,AFLT
2012-03-05,50.3,50.68,50.77,50.27,48046145.0,951300,AFLT
2012-03-06,50.48,49.01,50.69,49.01,76562480.0,1534900,AFLT
2012-03-07,48.97,49.24,49.3,48.6,51933065.0,1059100,AFLT
2012-03-11,49.9,50.23,50.39,49.84,23929616.0,477800,AFLT
2012-03-12,50.06,49.41,50.13,49.33,61921497.0,1246200,AFLT
2012-03-13,49.61,49.97,50.2,49.59,64488792.0,1292300,AFLT
2012-03-14,50.23,49.68,50.8,49.36,96174704.0,1928600,AFLT
2012-03-15,49.79,49.47,49.95,49.01,41966509.0,847700,AFLT
2012-03-16,49.52,49.5,50.1,48.75,85177123.0,1728800,AFLT
2012-03-19,49.74,48.35,49.79,47.78,173891790.0,3604700,AFLT
2012-03-20,48.46,47.4,48.46,46.8,81093593.0,1710800,AFLT
2012-03-21,47.52,46.9,47.65,46.6,49125643.0,1040600,AFLT
2012-03-22,46.89,46.89,48.18,45.88,125233238.0,2691600,AFLT
2012-03-23,47.01,47.96,48.87,46.99,155281481.0,3234100,AFLT
2012-03-26,48.2,48.19,48.5,47.7,215637354.0,4477500,AFLT
2012-03-27,48.25,48.25,49.05,47.72,277785898.0,5713900,AFLT
2012-03-28,48.22,47.32,48.38,47.3,17442881.0,365000,AFLT
2012-03-29,47.29,46.42,47.79,46.2,43570712.0,928100,AFLT
2012-03-30,46.69,47.58,48.05,46.6,63142479.0,1337900,AFLT
2012-04-02,47.78,47.74,48.4,47.35,28116898.0,589900,AFLT
2012-04-03,48.05,48.0,48.36,47.7,32641548.0,678400,AFLT
2012-04-04,47.8,46.89,48.1,46.6,35762442.0,757600,AFLT
2012-04-05,46.9,47.2,47.29,46.43,24212115.0,516900,AFLT
2012-04-06,47.29,46.52,47.49,46.5,33549806.0,712400,AFLT
2012-04-09,46.8,46.7,46.89,45.99,66525780.0,1438000,AFLT
2012-04-10,46.68,46.3,46.85,46.3,10866000.0,233600,AFLT
2012-04-11,46.2,47.5,47.6,46.2,124393431.0,2650800,AFLT
2012-04-12,47.34,47.95,47.95,47.34,33276176.0,700200,AFLT
2012-04-13,48.0,49.5,50.07,47.67,151907557.0,3079000,AFLT
2012-04-16,49.2,48.79,49.48,48.7,59357451.0,1208800,AFLT
2012-04-17,48.98,48.72,49.4,48.3,63963176.0,1308700,AFLT
2012-04-18,49.05,47.69,49.14,47.6,41617447.0,860400,AFLT
2012-04-19,47.94,48.44,48.46,47.66,98403209.0,2048300,AFLT
2012-04-20,48.28,48.6,49.09,48.03,26192098.0,538500,AFLT
2012-04-23,48.74,47.36,49.17,47.11,52842372.0,1099000,AFLT
2012-04-24,47.31,46.5,47.53,46.2,46658264.0,993000,AFLT
2012-04-25,46.85,47.43,48.04,46.75,30273315.0,636800,AFLT
2012-04-26,47.42,46.71,47.7,46.0,32595177.0,697900,AFLT
2012-04-27,46.52,47.17,47.67,46.3,17027055.0,361400,AFLT
2012-04-28,47.4,48.8,51.52,47.2,197472009.0,3943000,AFLT
2012-05-02,48.83,48.1,49.39,47.44,54183620.0,1124300,AFLT
2012-05-03,48.02,48.18,48.4,47.25,19090650.0,398300,AFLT
2012-05-04,47.98,47.45,48.07,47.0,41879740.0,884100,AFLT
2012-05-05,47.23,47.01,47.36,46.75,15504902.0,329600,AFLT
2012-05-07,46.85,45.95,47.0,45.5,26619566.0,578500,AFLT
2012-05-08,46.22,45.8,46.38,45.64,50237306.0,1089500,AFLT
2012-05-10,45.98,46.1,46.6,45.81,41211679.0,894400,AFLT
