date,open,close,high,low,value,volume,ticker
2011-11-17,1410.0,1410.0,1430.0,1351.0,99229829.7,70290,AKRN
2011-11-18,1380.0,1374.1,1394.1,1370.2,30666930.2,22155,AKRN
2011-11-21,1371.9,1395.0,1410.0,1357.4,38357748.2,27881,AKRN
2011-11-22,1383.1,1438.0,1492.3,1383.1,86440238.3,60516,AKRN
2011-11-23,1438.0,1480.3,1495.0,1418.0,91815686.4,62761,AKRN
2011-11-24,1487.0,1484.9,1519.0,1453.1,67438491.7,45662,AKRN
2011-11-25,1486.0,1481.9,1495.0,1450.1,20082964.2,13703,AKRN
2011-11-28,1492.8,1544.8,1570.0,1470.0,61417344.1,40636,AKRN
2011-11-29,1525.0,1582.2,1625.0,1520.0,54176849.2,34098,AKRN
2011-11-30,1585.0,1587.6,1619.1,1560.0,42518776.4,26631,AKRN
2011-12-01,1575.0,1514.8,1600.0,1512.0,56582743.8,36486,AKRN
2011-12-02,1520.0,1430.0,1550.0,1425.0,66081929.0,45503,AKRN
2011-12-05,1470.0,1434.9,1470.0,1405.1,21282344.5,14855,AKRN
2011-12-06,1435.0,1389.9,1465.0,1382.0,62621808.3,44349,AKRN
2011-12-07,1396.8,1345.4,1405.0,1327.6,23571164.0,17241,AKRN
2011-12-08,1358.8,1375.0,1410.0,1358.7,88879531.0,64073,AKRN
2011-12-09,1353.1,1345.0,1389.0,1302.3,21363482.2,15763,AKRN
2011-12-12,1365.9,1280.0,1369.9,1277.0,32476357.4,24672,AKRN
2011-12-13,1294.9,1273.5,1295.0,1240.2,47447703.1,37560,AKRN
2011-12-14,1277.5,1268.0,1277.5,1250.1,26896302.6,21242,AKRN
2011-12-15,1251.2,1273.2,1296.0,1245.0,29929481.2,23654,AKRN
2011-12-16,1278.0,1269.0,1295.3,1266.0,29155839.0,22820,AKRN
2011-12-19,1260.3,1258.7,1270.0,1254.5,8043131.1,6382,AKRN
2011-12-20,1255.5,1280.0,1284.9,1232.5,14791746.0,11759,AKRN
2011-12-21,1287.5,1330.0,1346.9,1281.7,25500335.1,19228,AKRN
2011-12-22,1330.0,1299.9,1399.0,1285.8,54548540.0,39950,AKRN
2011-12-23,1332.8,1349.0,1350.0,1305.0,56116869.9,42213,AKRN
2011-12-26,1348.5,1364.8,1387.0,1348.5,3857041.4,2812,AKRN
2011-12-27,1365.1,1353.1,1375.1,1341.5,7165472.8,5289,AKRN
2011-12-28,1359.0,1327.0,1389.0,1324.7,29659115.6,21819,AKRN
2011-12-29,1319.8,1334.5,1335.0,1281.0,24600563.9,18799,AKRN
2011-12-30,1340.0,1331.5,1344.5,1309.7,11148091.2,8400,AKRN
2012-01-03,1339.0,1362.9,1400.0,1321.5,18257675.8,13447,AKRN
2012-01-04,1367.0,1334.5,1367.7,1327.6,10182178.2,7541,AKRN
2012-01-05,1349.9,1315.0,1352.5,1310.3,7494527.6,5642,AKRN
2012-01-06,1327.5,1325.8,1333.8,1302.1,5387110.0,4086,AKRN
2012-01-09,1329.1,1319.9,1330.0,1309.1,5047084.7,3821,AKRN
2012-01-10,1321.2,1357.0,1362.0,1320.1,30018812.3,22332,AKRN
2012-01-11,1340.8,1351.7,1355.0,1325.8,13912061.7,10369,AKRN
2012-01-12,1337.9,1354.0,1379.0,1337.9,64373005.199999996,47542,AKRN
2012-01-13,1341.5,1329.9,1356.8,1315.0,46513019.699999996,34972,AKRN
2012-01-16,1319.8,1333.9,1343.9,1260.0,28036547.7,21394,AKRN
2012-01-17,1346.9,1335.2,1360.0,1325.0,41311141.1,30735,AKRN
2012-01-18,1336.4,1340.0,1341.9,1328.0,9897758.6,7413,AKRN
2012-01-19,1341.0,1381.2,1387.2,1341.0,24789113.799999997,18099,AKRN
2012-01-20,1385.0,1379.0,1390.0,1370.0,24913489.8,18059,AKRN
2012-01-23,1374.0,1380.0,1401.8,1374.0,19062699.5,13741,AKRN
