date,open,close,high,low,value,volume,ticker
2011-11-17,9.501,9.28,9.779,9.12,888206.3,96200,AMEZ
2011-11-18,9.194,9.006,9.268,9.006,264354.2,28900,AMEZ
2011-11-21,8.903,8.809,9.002,8.753,459741.0,52200,AMEZ
2011-11-22,8.755,8.806,9.0,8.751,274902.5,31100,AMEZ
2011-11-23,9.096,8.978,9.099,8.805,83416.9,9400,AMEZ
2011-11-24,8.955,9.226,9.298,8.955,275337.6,30300,AMEZ
2011-11-25,9.2,8.9,9.2,8.8,801969.8,87800,AMEZ
2011-11-28,9.133,9.2,9.2,8.95,319521.0,35300,AMEZ
2011-11-29,9.099,9.2,9.25,9.0,245930.8,27000,AMEZ
2011-11-30,9.2,9.45,9.45,9.101,256201.5,27300,AMEZ
2011-12-01,9.699,9.777,9.878,9.539,1822351.0,187100,AMEZ
2011-12-02,9.518,9.75,10.18,9.518,748426.8999999999,75600,AMEZ
2011-12-05,9.403,9.789,9.9,9.399,615704.3,64600,AMEZ
2011-12-06,9.41,9.41,9.8,9.36,505398.80000000005,52900,AMEZ
2011-12-07,9.649,9.1,9.649,9.098,407711.5,44500,AMEZ
2011-12-08,9.101,8.98,9.191,8.98,496095.19999999995,54800,AMEZ
2011-12-09,8.903,8.7,9.05,8.55,3222918.9000000004,369900,AMEZ
2011-12-12,8.701,8.499,8.701,8.499,233795.1,27400,AMEZ
2011-12-13,8.499,8.4,8.499,8.4,382804.1,45300,AMEZ
2011-12-14,8.342,8.3,8.342,8.063,300896.0,36300,AMEZ
2011-12-15,8.113,8.285,8.285,8.082,249821.1,30700,AMEZ
2011-12-16,8.3,8.15,8.3,8.06,673375.4,82400,AMEZ
2011-12-19,8.079,8.187,8.187,8.079,210254.3,26000,AMEZ
2011-12-20,8.075,8.01,8.1,7.9,2473520.0,310600,AMEZ
2011-12-21,7.933,7.925,8.0,7.921,721302.5,90900,AMEZ
2011-12-22,7.989,8.0,8.08,7.64,5112372.6,642700,AMEZ
2011-12-23,7.999,7.838,7.999,7.612,161585.0,20400,AMEZ
2011-12-26,7.899,7.7,7.899,7.571,976541.4,125300,AMEZ
2011-12-27,7.613,7.702,7.8,7.612,1694309.4,219600,AMEZ
2011-12-28,7.7,7.7,7.8,7.7,506758.5,65700,AMEZ
2011-12-29,7.62,7.724,7.75,7.5,617141.2,80700,AMEZ
2011-12-30,7.506,7.96,7.96,7.5,98828.8,12800,AMEZ
2012-01-03,7.959,7.975,7.975,7.641,1406808.1,180700,AMEZ
2012-01-04,7.801,7.71,7.801,7.571,87537.9,11300,AMEZ
2012-01-05,7.566,7.7,7.703,7.566,121430.1,15800,AMEZ
2012-01-06,7.849,7.695,7.849,7.695,10080.6,1300,AMEZ
2012-01-09,7.796,7.798,7.799,7.626,29546.5,3800,AMEZ
2012-01-10,7.899,7.987,7.988,7.61,376180.80000000005,47700,AMEZ
2012-01-11,7.85,8.15,8.33,7.8,2629334.4,325300,AMEZ
2012-01-12,8.15,8.101,8.25,8.05,6735501.3,822800,AMEZ
2012-01-13,8.039,8.1,8.2,8.039,1145006.2,141300,AMEZ
2012-01-16,8.021,8.194,8.2,7.8,1785982.5,222900,AMEZ
2012-01-17,8.225,8.275,8.928,8.225,10896428.2,1288500,AMEZ
2012-01-18,8.263,8.324,8.447,8.263,946786.2,112700,AMEZ
2012-01-19,8.33,8.293,8.4,8.183,2340851.5,282200,AMEZ
2012-01-20,8.299,8.242,8.3,8.242,125237.79999999999,15100,AMEZ
2012-01-23,8.294,8.3,8.4,8.11,2028709.1,244800,AMEZ
2012-01-24,8.3,8.21,8.3,8.21,304525.7,36800,AMEZ
2012-01-25,8.299,8.2,8.345,8.151,535116.8,65300,AMEZ
2012-01-26,8.394,8.4,8.4,8.25,4228677.699999999,506200,AMEZ
2012-01-27,8.204,8.252,8.301,8.2,657194.2999999999,79400,AMEZ
2012-01-30,8.252,8.27,8.4,8.2,2060539.7999999998,247000,AMEZ
2012-01-31,8.269,8.27,8.27,8.216,110631.6,13400,AMEZ
2012-02-01,8.25,8.4,8.527,8.25,967053.9,115100,AMEZ
2012-02-02,8.398,8.44,8.527,8.351,288409.9,34200,AMEZ
2012-02-03,8.4,8.575,8.575,8.226,1760254.5,207800,AMEZ
2012-02-06,8.485,8.89,8.92,8.485,4673133.1,535100,AMEZ
2012-02-07,8.899,8.79,8.899,8.656,943194.9,107900,AMEZ
2012-02-08,8.75,8.947,9.1,8.75,4729598.8,530200,AMEZ
2012-02-09,8.95,8.76,8.95,8.694,665691.9,75900,AMEZ
2012-02-10,8.535,8.351,8.558,8.335,890436.9,106100,AMEZ
2012-02-13,8.447,8.503,8.58,8.429,1399920.8,164100,AMEZ
2012-02-14,8.592,8.53,8.592,8.4,1506425.5,177900,AMEZ
2012-02-15,8.7,8.7,8.85,8.563,2018579.0,231000,AMEZ
2012-02-16,8.564,8.81,8.82,8.564,295643.9,33800,AMEZ
2012-02-17,8.825,8.801,8.874,8.8,896916.8,101600,AMEZ
2012-02-20,8.84,8.723,8.875,8.603,1041265.6,119200,AMEZ
2012-02-21,8.781,8.555,8.79,8.517,499105.2,57800,AMEZ
2012-02-22,8.63,8.455,8.648,8.45,591924.7,69500,AMEZ
2012-02-24,8.587,8.71,8.95,8.587,2188749.1,250800,AMEZ
2012-02-27,8.711,8.731,9.05,8.71,2708381.9,304800,AMEZ
2012-02-28,8.869,8.849,8.9,8.55,3184437.5,366100,AMEZ
2012-02-29,8.701,9.048,9.048,8.651,1311608.3,148300,AMEZ
2012-03-01,8.777,8.745,8.84,8.608,121324.0,14000,AMEZ
2012-03-02,8.679,8.788,8.794,8.656,96566.7,11100,AMEZ
2012-03-05,8.702,8.627,8.786,8.626,235897.2,27100,AMEZ
2012-03-06,8.627,8.27,8.627,8.27,80714.4,9500,AMEZ
2012-03-07,8.37,8.652,8.653,8.37,1092029.9,129300,AMEZ
2012-03-11,8.87,8.74,8.979,8.601,283016.1,32500,AMEZ
2012-03-12,8.7,8.69,8.701,8.625,38215.8,4400,AMEZ
2012-03-13,8.689,8.499,8.689,8.402,436955.0,51700,AMEZ
2012-03-14,8.501,8.446,8.588,8.3,702302.0,83400,AMEZ
2012-03-15,8.211,8.2,8.283,7.825,1256853.0,154300,AMEZ
2012-03-16,8.149,8.087,8.15,8.0,445152.0,55200,AMEZ
2012-03-19,8.098,8.1,8.149,8.0,276700.9,34300,AMEZ
2012-03-20,8.071,7.9,8.071,7.825,554400.2,70500,AMEZ
2012-03-21,8.0,7.866,8.0,7.85,150300.30000000002,19000,AMEZ
2012-03-22,7.828,7.75,7.989,7.66,670831.2,86200,AMEZ
2012-03-23,7.76,7.793,7.869,7.66,568512.2999999999,73800,AMEZ
2012-03-26,7.795,7.82,7.99,7.668,1982769.1,252600,AMEZ
2012-03-27,7.95,7.711,7.95,7.711,916116.5,115500,AMEZ
2012-03-28,7.7,7.63,7.8,7.63,446299.19999999995,57900,AMEZ
2012-03-29,7.829,7.6,7.937,7.6,694042.1,90100,AMEZ
2012-03-30,7.737,7.698,7.737,7.6,155145.4,20200,AMEZ
2012-04-02,7.699,7.727,7.76,7.699,125772.3,16300,AMEZ
2012-04-03,7.75,7.734,7.798,7.65,570582.7,73600,AMEZ
2012-04-04,7.613,7.331,7.749,7.3,1314927.5,176600,AMEZ
2012-04-05,7.314,7.244,7.35,6.821,6064541.6,865000,AMEZ
2012-04-06,7.248,7.214,7.475,7.001,437679.3,60800,AMEZ
2012-04-09,7.021,7.169,7.438,7.021,184423.1,25800,AMEZ
2012-04-10,7.241,7.15,7.25,7.018,306038.30000000005,42700,AMEZ
2012-04-11,7.253,7.332,7.332,7.0,542060.2,75400,AMEZ
2012-04-12,7.198,7.237,7.239,7.099,852360.7999999999,119300,AMEZ
2012-04-13,7.248,7.197,7.248,7.1,576602.7,80600,AMEZ
2012-04-16,7.219,6.999,7.219,6.999,715831.5,101500,AMEZ
2012-04-17,7.099,6.959,7.099,6.815,253826.80000000002,36600,AMEZ
2012-04-18,6.997,6.945,6.997,6.871,80044.4,11600,AMEZ
2012-04-19,6.853,7.135,7.135,6.853,321002.7,45600,AMEZ
2012-04-20,7.1,7.0,7.189,6.99,601624.1,85500,AMEZ
2012-04-23,7.0,6.85,7.0,6.85,412824.5,59900,AMEZ
