date,open,close,high,low,value,volume,ticker
2011-11-17,49.88,48.99,49.9,48.23,5331620.8,108850,APTK
2011-11-18,48.5,48.98,49.79,47.5,7295577.1,149330,APTK
2011-11-21,50.85,47.49,50.85,46.3,6921191.1,145530,APTK
2011-11-22,47.03,47.0,48.07,46.0,5861360.3,124490,APTK
2011-11-23,47.31,46.88,47.7,46.01,4352158.0,92950,APTK
2011-11-24,47.39,46.29,47.39,46.2,3204654.3,68810,APTK
2011-11-25,46.9,45.22,46.9,44.27,7895631.0,174480,APTK
2011-11-28,45.94,46.34,46.7,45.24,10845009.6,236440,APTK
2011-11-29,46.91,46.01,46.91,45.48,7522073.800000001,163970,APTK
2011-11-30,45.9,46.76,47.48,45.71,15752838.0,339170,APTK
2011-12-01,46.71,47.14,48.49,46.31,14494214.0,307470,APTK
2011-12-02,47.14,46.67,47.4,46.35,7291800.9,155580,APTK
2011-12-05,46.82,46.7,46.99,46.0,5009127.4,107730,APTK
2011-12-06,46.49,45.07,46.59,44.79,9183341.4,201300,APTK
2011-12-07,45.3,44.13,45.83,44.0,9944499.8,221270,APTK
2011-12-08,44.3,44.18,45.35,43.9,8115753.4,182270,APTK
2011-12-09,43.51,42.35,43.51,41.36,7346958.7,173360,APTK
2011-12-12,42.61,41.09,43.7,41.09,5115177.8,120840,APTK
2011-12-13,41.79,41.33,42.0,40.61,8978415.1,217920,APTK
2011-12-14,41.01,41.13,42.0,40.41,5827922.7,141600,APTK
2011-12-15,40.86,41.37,41.79,40.4,3830159.1,93660,APTK
2011-12-16,41.21,41.78,42.7,41.17,6228878.1,148650,APTK
2011-12-19,41.5,41.0,41.5,40.64,2697935.6,65610,APTK
2011-12-20,41.48,40.83,41.48,40.1,8258294.9,203830,APTK
2011-12-21,40.99,40.34,41.35,40.16,7383859.9,181680,APTK
2011-12-22,40.41,39.47,40.66,39.22,6158551.1,154240,APTK
2011-12-23,39.7,38.48,39.8,38.4,6043639.699999999,154440,APTK
2011-12-26,39.2,39.7,40.67,38.41,13100151.299999999,328740,APTK
2011-12-27,39.8,39.34,39.85,39.12,3766614.6,95400,APTK
2011-12-28,39.5,39.29,39.5,38.64,5467750.8,140370,APTK
2011-12-29,38.85,38.4,39.48,37.86,9141087.5,237400,APTK
2011-12-30,38.49,38.68,38.9,38.03,6447039.7,167700,APTK
2012-01-03,38.8,39.31,40.01,38.5,5439230.8,138310,APTK
