date,open,close,high,low,value,volume,ticker
2011-11-17,11.679,11.65,11.988,11.5,856871.4,73900,BLNG
2011-11-18,11.501,11.456,11.501,11.301,444275.3,39000,BLNG
2011-11-21,11.311,10.98,11.311,10.98,687298.3999999999,62100,BLNG
2011-11-22,10.98,10.85,11.129,10.4,570742.7000000001,53100,BLNG
2011-11-23,10.92,10.9,11.0,10.52,119076.3,11000,BLNG
2011-11-24,10.995,10.966,11.017,10.7,109973.6,10100,BLNG
2011-11-25,10.847,10.6,10.939,10.499,1830644.8,172500,BLNG
2011-11-28,10.899,10.898,10.996,10.637,709289.3999999999,65700,BLNG
2011-11-29,11.0,10.9,11.099,10.761,543990.3999999999,49500,BLNG
2011-11-30,10.949,11.1,11.1,10.8,755060.6000000001,69200,BLNG
2011-12-01,11.4,11.398,11.599,11.266,944959.1,82700,BLNG
2011-12-02,11.699,11.455,11.891,11.4,839785.4,72200,BLNG
2011-12-05,11.4,12.125,12.799,11.4,1219744.5,101100,BLNG
2011-12-06,12.0,11.653,12.15,11.65,501186.9,42300,BLNG
2011-12-07,11.7,11.696,11.9,11.5,249131.4,21300,BLNG
2011-12-08,11.7,11.698,11.879,11.4,857848.7,73200,BLNG
2011-12-09,11.4,11.099,11.449,11.0,1649434.2,148400,BLNG
2011-12-12,11.3,10.8,11.401,10.8,766097.5,69600,BLNG
2011-12-13,10.863,10.9,10.999,10.499,2049661.0,191300,BLNG
2011-12-14,10.8,10.59,10.801,10.299,2290272.6,217900,BLNG
2011-12-15,10.485,10.399,10.64,10.2,3250863.8,315200,BLNG
2011-12-16,10.4,10.173,10.68,10.173,894057.3,86600,BLNG
2011-12-19,10.174,10.203,10.249,10.0,380416.3,37500,BLNG
2011-12-20,10.2,10.25,10.25,10.01,679508.3,67200,BLNG
2011-12-21,10.25,10.201,10.467,10.201,1471270.8,142800,BLNG
2011-12-22,10.242,10.156,10.3,10.089,473266.4,46300,BLNG
2011-12-23,10.103,9.95,10.25,9.91,1304293.4,129000,BLNG
2011-12-26,9.901,9.681,10.153,9.6,2578838.3000000003,265400,BLNG
2011-12-27,9.962,9.949,9.962,9.5,3363337.3,341100,BLNG
2011-12-28,9.94,9.716,9.996,9.59,1053957.0,108700,BLNG
2011-12-29,9.7,9.5,9.701,9.43,947844.5,99300,BLNG
2011-12-30,9.58,9.6,9.777,9.41,3791974.3,397500,BLNG
2012-01-03,9.586,9.842,9.898,9.586,128357.0,13100,BLNG
2012-01-04,9.691,9.846,9.925,9.686,1040615.7000000001,105200,BLNG
2012-01-05,9.922,9.949,9.95,9.777,386614.8,39000,BLNG
2012-01-06,9.927,9.95,9.95,9.861,197543.1,19900,BLNG
2012-01-09,9.765,9.944,9.945,9.7,420287.7,43000,BLNG
2012-01-10,9.949,9.88,10.131,9.83,2419046.4,243500,BLNG
2012-01-11,9.901,9.851,9.978,9.799,646535.2,65500,BLNG
2012-01-12,9.753,9.905,9.97,9.701,2358359.5,239400,BLNG
2012-01-13,9.995,9.922,10.249,9.879,2005064.0999999999,200000,BLNG
2012-01-16,9.865,9.921,9.995,9.751,1047774.4,106000,BLNG
2012-01-17,10.017,10.159,10.356,9.998,3032494.9000000004,298400,BLNG
2012-01-18,10.171,10.16,10.317,10.111,735680.1,72100,BLNG
2012-01-19,10.201,10.175,10.39,10.175,1611126.2,157100,BLNG
2012-01-20,10.172,10.059,10.199,10.0,1162741.8,115800,BLNG
2012-01-23,10.151,10.26,10.289,10.075,2343400.4,231100,BLNG
2012-01-24,10.198,10.277,10.35,10.041,2287423.7,224000,BLNG
2012-01-25,10.349,10.29,10.41,10.202,774791.8,75300,BLNG
2012-01-26,10.358,10.29,10.373,10.142,2140922.6999999997,208100,BLNG
2012-01-27,10.3,10.339,10.349,10.1,2235872.5,217900,BLNG
