date,open,close,high,low,value,volume,ticker
2011-11-17,95.49,93.88,95.49,93.46,4793614.2,51140,BSPB
2011-11-18,93.35,89.0,94.0,88.3,23085672.2,251500,BSPB
2011-11-21,89.1,82.99,89.33,82.0,4588187.1,54970,BSPB
2011-11-22,83.45,81.25,84.94,79.98,16466798.8,201200,BSPB
2011-11-23,81.24,81.0,82.25,80.71,17213495.2,212000,BSPB
2011-11-24,81.1,80.5,82.25,80.5,8075088.4,99660,BSPB
2011-11-25,80.29,78.25,80.95,76.6,18091192.0,233290,BSPB
2011-11-28,79.5,81.44,82.19,78.52,16022228.3,198520,BSPB
2011-11-29,81.5,79.68,82.25,77.78,14604762.6,182990,BSPB
2011-11-30,78.95,79.99,80.9,77.7,46752802.7,590040,BSPB
2011-12-01,81.51,85.0,85.8,81.51,39953027.1,475240,BSPB
2011-12-02,85.8,83.59,88.87,82.46,20628844.9,241110,BSPB
2011-12-05,84.75,83.46,85.39,82.94,19794494.1,236540,BSPB
2011-12-06,83.0,78.9,83.0,77.12,12111728.8,150990,BSPB
2011-12-07,79.32,78.38,80.89,77.27,9572507.4,122010,BSPB
2011-12-08,78.71,77.3,79.89,75.51,9855096.8,126770,BSPB
2011-12-09,75.66,71.6,76.0,70.14,31209854.7,430010,BSPB
2011-12-12,72.25,69.5,74.97,68.03,45287386.1,636610,BSPB
2011-12-13,68.85,70.2,71.0,67.01,8809431.1,126800,BSPB
2011-12-14,69.46,70.6,71.2,69.4,11596604.3,164380,BSPB
2011-12-15,70.2,70.0,72.97,69.16,5461755.4,77820,BSPB
2011-12-16,69.85,70.0,70.4,69.5,3976439.5,56900,BSPB
2011-12-19,69.9,69.21,70.0,68.51,6234263.1,89990,BSPB
2011-12-20,69.41,69.75,69.75,68.91,3351356.0,48340,BSPB
2011-12-21,69.75,70.2,70.75,69.01,8133098.6,115960,BSPB
2011-12-22,69.74,72.1,73.5,69.6,10211155.9,142100,BSPB
2011-12-23,72.97,75.26,76.0,72.97,19781223.7,264310,BSPB
2011-12-26,75.51,74.75,76.49,74.35,1782510.7,23630,BSPB
2011-12-27,74.26,73.15,74.59,72.16,3358997.8000000003,45550,BSPB
2011-12-28,73.04,72.41,73.34,71.97,4933235.8,68020,BSPB
2011-12-29,72.9,71.5,72.9,71.0,4867582.6,68030,BSPB
2011-12-30,71.49,72.5,73.4,71.11,2068269.8,28700,BSPB
2012-01-03,72.5,75.0,75.5,72.5,1703795.3,22890,BSPB
2012-01-04,74.99,74.5,75.0,73.53,1156780.8,15600,BSPB
2012-01-05,74.79,73.99,75.0,73.22,1503069.5999999999,20310,BSPB
2012-01-06,74.0,73.99,74.0,73.23,1796414.5,24370,BSPB
2012-01-09,73.06,75.0,75.0,73.0,1609747.6,21730,BSPB
2012-01-10,75.0,74.85,76.0,74.41,9194858.3,122720,BSPB
2012-01-11,74.9,75.0,76.01,74.03,3930014.9,52310,BSPB
2012-01-12,75.0,75.77,76.76,74.59,3290475.5,43310,BSPB
2012-01-13,75.78,77.05,77.93,75.15,20474320.4,266790,BSPB
2012-01-16,75.5,76.49,76.85,74.23,16414533.8,216110,BSPB
2012-01-17,76.5,81.75,81.86,76.5,13188979.6,164540,BSPB
2012-01-18,81.9,84.49,84.49,80.55,6745276.1,81970,BSPB
2012-01-19,84.71,88.0,88.88,83.14,21885878.1,253510,BSPB
2012-01-20,88.02,87.75,91.0,86.9,16711969.2,187020,BSPB
2012-01-23,87.4,88.4,91.98,85.35,5764802.0,65520,BSPB
2012-01-24,89.99,87.85,91.0,86.0,6659038.9,75590,BSPB
2012-01-25,88.0,86.88,88.91,86.27,6907000.3,79190,BSPB
2012-01-26,86.91,90.19,91.5,86.91,18783510.8,208990,BSPB
2012-01-27,88.11,90.75,90.89,87.5,13560814.1,150910,BSPB
2012-01-30,90.7,90.3,91.0,88.5,11820612.1,131560,BSPB
2012-01-31,92.52,94.75,94.79,91.5,30859550.400000002,329840,BSPB
2012-02-01,93.56,93.7,95.57,93.55,5984968.0,63290,BSPB
2012-02-02,94.99,92.31,95.4,91.51,5029362.8,53820,BSPB
2012-02-03,92.32,91.9,92.57,90.1,7572733.800000001,83120,BSPB
2012-02-06,92.43,91.0,92.49,90.71,4931488.7,53840,BSPB
2012-02-07,92.23,91.2,92.3,90.73,7685681.8,84020,BSPB
2012-02-08,91.93,91.21,92.19,88.92,6223096.199999999,68450,BSPB
2012-02-09,91.99,90.34,91.99,88.88,3155514.3,34960,BSPB
2012-02-10,89.41,87.2,90.0,86.5,8504282.0,96830,BSPB
2012-02-13,87.5,88.48,89.91,87.5,39244985.4,444680,BSPB
2012-02-14,88.24,88.0,89.0,87.01,6156184.0,69860,BSPB
2012-02-15,88.49,88.44,89.39,87.9,4429496.8,50190,BSPB
2012-02-16,87.21,86.5,87.21,85.03,7083282.399999999,82190,BSPB
2012-02-17,87.5,87.0,88.0,86.63,5033735.9,57820,BSPB
2012-02-20,87.8,87.99,88.81,87.47,5894023.7,66880,BSPB
2012-02-21,87.98,86.41,87.98,86.41,3863814.8,44500,BSPB
2012-02-22,86.89,85.8,86.98,84.3,2855473.4,33510,BSPB
