date,open,close,high,low,value,volume,ticker
2011-11-17,437.0,428.2,443.7,420.0,1250699570.0,2910580,CHMF
2011-11-18,420.2,426.1,429.9,415.2,700721675.0,1656080,CHMF
2011-11-21,420.0,395.5,422.0,393.0,1413875318.0,3486610,CHMF
2011-11-22,398.7,404.1,408.7,393.7,1350760972.0,3352400,CHMF
2011-11-23,395.7,406.0,414.0,395.7,1503702850.0,3693620,CHMF
2011-11-24,405.1,399.8,410.1,398.6,689047026.0,1704840,CHMF
2011-11-25,397.9,403.5,404.0,383.3,1227624710.0,3117670,CHMF
2011-11-28,407.6,427.8,428.0,407.6,1372057349.0,3292630,CHMF
2011-11-29,430.8,443.5,447.0,420.8,1873918884.0,4324810,CHMF
2011-11-30,442.5,423.0,455.0,411.0,5757829802.0,13463370,CHMF
2011-12-01,427.7,404.2,427.9,403.1,1985150152.0,4798800,CHMF
2011-12-02,407.6,397.1,410.5,393.3,1470186430.0,3652580,CHMF
2011-12-05,405.0,409.4,411.2,399.4,1194401198.0,2939170,CHMF
2011-12-06,406.3,405.8,416.6,400.1,1630264340.0,3984190,CHMF
2011-12-07,409.4,405.0,413.8,401.0,866042028.0,2123580,CHMF
2011-12-08,407.5,402.0,412.5,395.2,1055160765.0,2602570,CHMF
2011-12-09,395.0,384.4,397.0,380.8,1002246212.0,2586280,CHMF
2011-12-12,389.0,368.0,396.0,365.0,892490261.0,2329980,CHMF
2011-12-13,366.6,374.0,377.5,356.6,932979575.0,2533740,CHMF
2011-12-14,371.0,373.0,384.0,366.3,994634346.0,2658750,CHMF
2011-12-15,364.0,375.5,377.0,362.0,1138775660.0,3077330,CHMF
2011-12-16,376.9,371.3,381.9,370.2,672059845.0,1792460,CHMF
2011-12-19,367.7,365.3,371.9,363.0,582355768.0,1581920,CHMF
2011-12-20,366.3,374.7,375.5,363.7,451771269.0,1223120,CHMF
2011-12-21,379.5,372.8,383.9,369.3,819473096.0,2172530,CHMF
2011-12-22,373.6,368.6,375.9,363.1,501107870.0,1356900,CHMF
2011-12-23,371.6,361.2,371.6,360.4,406333458.0,1112090,CHMF
2011-12-26,364.5,372.4,373.0,363.5,217157856.0,587800,CHMF
2011-12-27,372.7,364.3,373.4,361.1,259108845.0,704060,CHMF
2011-12-28,364.0,364.0,366.7,361.6,338466801.0,929490,CHMF
2011-12-29,362.4,364.0,365.6,350.0,491499562.0,1374970,CHMF
2011-12-30,365.0,363.8,369.8,359.1,404574596.0,1110050,CHMF
2012-01-03,366.1,389.0,390.5,366.1,604370352.0,1580420,CHMF
2012-01-04,388.5,395.6,397.7,384.3,597198113.0,1525010,CHMF
2012-01-05,395.5,397.0,401.0,393.0,494854982.0,1244830,CHMF
2012-01-06,397.0,404.1,408.9,393.5,550317985.0,1365040,CHMF
2012-01-09,401.9,409.7,410.0,398.0,396591966.0,978110,CHMF
2012-01-10,412.2,408.5,412.9,406.6,746364024.0,1819810,CHMF
2012-01-11,406.5,408.0,410.6,399.8,744381850.0,1831840,CHMF
2012-01-12,409.8,416.6,421.9,403.4,1212142495.0,2914290,CHMF
2012-01-13,417.1,413.7,420.0,413.0,653689208.0,1570080,CHMF
2012-01-16,410.5,418.3,419.6,404.8,718349107.0,1737920,CHMF
2012-01-17,425.0,433.3,437.5,424.5,1363218406.0,3156290,CHMF
2012-01-18,433.3,433.9,435.1,426.6,667435681.0,1545590,CHMF
2012-01-19,436.7,431.1,441.2,429.3,808152770.0,1860020,CHMF
2012-01-20,434.0,431.6,437.8,429.6,802552463.0,1853240,CHMF
2012-01-23,430.9,430.1,432.6,424.8,629706280.0,1468040,CHMF
2012-01-24,428.6,423.6,431.4,423.1,470889938.0,1103720,CHMF
2012-01-25,425.7,424.5,429.1,421.6,446988397.0,1049320,CHMF
2012-01-26,428.1,436.3,441.7,428.1,1303599571.0,2993710,CHMF
2012-01-27,434.8,428.0,439.0,427.0,557732912.0,1288620,CHMF
2012-01-30,425.0,427.0,430.0,421.8,505411625.0,1187050,CHMF
2012-01-31,430.0,438.7,441.1,429.0,746982347.0,1717400,CHMF
2012-02-01,438.4,439.6,444.7,434.4,955950804.0,2172720,CHMF
2012-02-02,441.4,430.6,441.9,430.1,845306204.0,1942860,CHMF
2012-02-03,429.9,435.5,437.0,425.4,925808658.0,2147560,CHMF
2012-02-06,436.0,433.8,440.4,431.0,500929296.0,1150500,CHMF
2012-02-07,434.2,433.1,439.9,429.0,502715889.0,1156910,CHMF
2012-02-08,434.7,437.5,444.3,434.7,712133791.0,1619170,CHMF
2012-02-09,439.0,451.5,452.5,437.5,1220262395.0,2727540,CHMF
2012-02-10,448.8,430.5,454.6,427.7,1226713813.0,2790650,CHMF
2012-02-13,435.3,445.5,447.0,434.5,738753377.0,1674350,CHMF
2012-02-14,443.4,446.2,452.0,440.0,655254807.0,1469510,CHMF
2012-02-15,451.9,452.0,456.7,450.4,1001695925.0,2206910,CHMF
2012-02-16,446.7,443.8,449.4,440.6,873416313.0,1964650,CHMF
2012-02-17,449.3,438.7,452.0,433.4,1130229761.0,2558040,CHMF
2012-02-20,444.8,440.0,447.2,437.3,583321295.0,1323710,CHMF
2012-02-21,442.0,432.2,442.4,428.4,602286815.0,1391920,CHMF
2012-02-22,433.1,422.2,434.8,421.5,820535872.0,1926720,CHMF
2012-02-24,425.0,431.5,434.6,415.9,1441907962.0,3379960,CHMF
2012-02-27,430.0,433.8,438.2,427.1,754763758.0,1742900,CHMF
2012-02-28,437.7,432.9,437.7,429.5,696787232.0,1611100,CHMF
2012-02-29,435.4,448.1,450.9,434.5,1437646140.0,3240040,CHMF
2012-03-01,443.9,448.5,450.7,441.5,991986546.0,2216880,CHMF
2012-03-02,449.5,445.5,452.0,443.0,548659281.0,1227750,CHMF
2012-03-05,448.2,445.1,453.0,438.5,667538146.0,1495970,CHMF
2012-03-06,440.7,422.1,441.3,421.7,1386310185.0,3228590,CHMF
2012-03-07,421.5,421.3,426.5,416.5,876938690.0,2084330,CHMF
2012-03-11,430.0,432.4,432.9,427.5,347229453.0,807800,CHMF
2012-03-12,430.2,428.8,432.4,427.0,516748988.0,1202100,CHMF
2012-03-13,432.6,428.6,434.9,423.8,434819442.0,1013580,CHMF
2012-03-14,432.5,435.0,440.0,429.5,947647157.0,2181660,CHMF
2012-03-15,433.2,433.0,439.0,426.0,1045382269.0,2413130,CHMF
2012-03-16,435.0,425.0,435.3,421.8,1065672090.0,2503220,CHMF
2012-03-19,427.0,418.3,428.3,413.5,832719889.0,1988580,CHMF
2012-03-20,420.1,417.6,423.6,413.6,729911426.0,1747830,CHMF
2012-03-21,419.6,414.4,426.4,409.7,799875251.0,1910570,CHMF
2012-03-22,414.8,409.5,417.8,405.5,693923201.0,1689550,CHMF
2012-03-23,410.5,411.5,414.4,407.0,428871520.0,1043960,CHMF
2012-03-26,414.6,413.5,418.4,412.0,671210421.0,1619580,CHMF
2012-03-27,415.7,406.9,416.1,403.4,685157281.0,1672080,CHMF
2012-03-28,403.3,396.4,409.5,395.5,765838322.0,1907100,CHMF
2012-03-29,398.4,391.5,399.5,388.5,713755908.0,1814220,CHMF
2012-03-30,395.5,392.8,404.8,392.5,920532827.0,2302680,CHMF
2012-04-02,396.3,404.2,407.4,394.2,887282642.0,2211060,CHMF
2012-04-03,406.0,410.9,413.7,404.5,798410819.0,1947360,CHMF
2012-04-04,406.9,402.5,411.0,400.3,725275003.0,1792370,CHMF
2012-04-05,404.5,409.4,411.7,398.1,701861731.0,1732020,CHMF
2012-04-06,410.9,398.6,411.0,397.1,444316795.0,1100120,CHMF
2012-04-09,398.5,400.0,402.7,392.6,364366875.0,916500,CHMF
2012-04-10,400.6,395.3,406.0,395.0,557343111.0,1391250,CHMF
2012-04-11,395.0,395.1,398.1,390.2,701227598.0,1782040,CHMF
2012-04-12,395.9,391.5,399.0,390.2,591153131.0,1500910,CHMF
2012-04-13,394.4,392.0,394.9,386.3,681161681.0,1740480,CHMF
2012-04-16,390.0,378.9,392.6,378.8,770831646.0,1998460,CHMF
2012-04-17,380.5,377.8,382.2,374.3,682683801.0,1803420,CHMF
2012-04-18,382.0,381.6,383.7,378.8,434653287.0,1139870,CHMF
2012-04-19,382.2,402.5,402.6,381.9,1622324930.0,4096360,CHMF
2012-04-20,399.5,406.1,407.7,398.7,902909989.0,2235810,CHMF
2012-04-23,403.0,396.3,405.4,393.0,659388449.0,1658590,CHMF
2012-04-24,397.4,394.4,400.0,391.0,391877458.0,990920,CHMF
2012-04-25,396.0,396.6,398.9,391.1,392735482.0,993980,CHMF
2012-04-26,398.6,391.7,399.0,389.2,432084458.0,1098040,CHMF
2012-04-27,392.0,401.0,401.0,389.2,568625427.0,1431320,CHMF
2012-04-28,399.7,400.3,401.7,398.2,87791483.0,219440,CHMF
2012-05-02,401.4,392.1,405.8,389.3,544688317.0,1369140,CHMF
2012-05-03,392.7,397.6,400.1,389.3,404029127.0,1022700,CHMF
2012-05-04,396.2,373.0,396.2,366.5,1143016033.0,3007300,CHMF
2012-05-05,373.0,371.0,374.0,367.0,146799202.0,396100,CHMF
2012-05-07,366.0,367.1,374.9,355.7,325959024.0,896880,CHMF
2012-05-08,369.5,362.0,374.5,355.1,683068415.0,1887970,CHMF
2012-05-10,361.1,374.4,374.4,360.2,833878608.0,2269710,CHMF
2012-05-11,369.3,370.7,379.5,365.0,484458068.0,1304600,CHMF
2012-05-12,369.2,374.3,375.9,365.0,185452464.0,499800,CHMF
2012-05-14,372.6,357.6,374.0,355.0,558348956.0,1533480,CHMF
2012-05-15,358.1,365.0,365.5,350.0,774097926.0,2148180,CHMF
2012-05-16,356.8,362.0,364.2,352.6,459374950.0,1284980,CHMF
2012-05-17,362.8,352.0,367.4,350.0,549491913.0,1539630,CHMF
2012-05-18,343.0,344.4,354.2,330.2,747851986.0,2178740,CHMF
2012-05-21,349.1,364.7,364.7,341.5,525286987.0,1479800,CHMF
2012-05-22,365.5,366.7,369.6,360.6,550891684.0,1506920,CHMF
2012-05-23,359.7,355.5,360.9,350.4,498609691.0,1403450,CHMF
2012-05-24,358.7,354.2,360.0,342.6,672017486.0,1909290,CHMF
2012-05-25,354.0,360.1,363.8,350.7,387364236.0,1079130,CHMF
2012-05-28,363.4,356.0,369.2,353.5,363251665.0,1000910,CHMF
2012-05-29,358.4,382.0,382.5,356.2,1109484094.0,2984820,CHMF
2012-05-30,378.1,376.1,383.5,374.5,713518535.0,1884900,CHMF
2012-05-31,375.6,367.0,383.0,365.5,526047655.0,1401510,CHMF
2012-06-01,368.0,362.5,373.5,354.1,563995255.0,1555200,CHMF
2012-06-04,356.1,366.4,369.9,356.0,344851404.0,945400,CHMF
2012-06-05,369.8,373.9,375.0,368.6,432591443.0,1160480,CHMF
2012-06-06,377.6,374.3,379.5,368.5,715376405.0,1908600,CHMF
2012-06-07,378.5,386.0,389.0,372.8,864729452.0,2260060,CHMF
2012-06-08,382.4,384.8,386.9,378.2,375498475.0,981170,CHMF
2012-06-09,387.0,382.1,389.0,382.0,96388667.0,249500,CHMF
2012-06-13,384.2,385.0,388.9,380.5,720493380.0,1872000,CHMF
2012-06-14,384.3,384.1,387.2,380.0,305663411.0,797950,CHMF
2012-06-15,386.2,398.0,399.5,384.4,762745607.0,1948020,CHMF
2012-06-18,400.1,400.3,404.8,396.2,540736997.0,1346200,CHMF
2012-06-19,398.2,396.4,402.7,390.0,494367307.0,1243250,CHMF
2012-06-20,397.0,389.0,397.0,388.7,305331712.0,779290,CHMF
2012-06-21,386.6,390.3,400.6,384.8,593072288.0,1508680,CHMF
2012-06-22,386.9,384.1,389.2,380.4,474252140.0,1234590,CHMF
2012-06-25,383.0,375.9,387.4,373.7,457900032.0,1208900,CHMF
2012-06-26,376.4,377.9,383.7,376.1,372476322.0,982460,CHMF
2012-06-27,379.8,377.5,383.5,374.4,512436625.0,1351200,CHMF
2012-06-28,380.1,361.4,381.3,360.2,1200079485.0,3272280,CHMF
2012-06-29,368.5,378.8,380.5,368.0,804135166.0,2138800,CHMF
2012-07-02,378.8,387.5,390.9,377.6,705709334.0,1835790,CHMF
2012-07-03,390.3,393.9,396.7,388.3,545500848.0,1387830,CHMF
2012-07-04,394.4,391.5,394.9,390.1,312619742.0,797710,CHMF
2012-07-05,389.9,385.9,396.0,385.3,607136943.0,1554350,CHMF
2012-07-06,386.0,376.4,389.3,375.5,438866698.0,1150820,CHMF
2012-07-09,376.7,372.5,379.7,370.7,330700178.0,881830,CHMF
2012-07-10,370.8,374.6,382.9,369.5,623717287.0,1653850,CHMF
2012-07-11,373.2,366.6,374.7,365.0,607184185.0,1645430,CHMF
2012-07-12,368.0,367.3,370.6,362.4,365279637.0,995450,CHMF
2012-07-13,370.8,368.9,372.5,365.1,425051887.0,1154740,CHMF
2012-07-16,371.0,369.1,374.0,367.4,433953724.0,1169460,CHMF
2012-07-17,371.1,368.9,375.0,368.5,448421018.0,1206020,CHMF
2012-07-18,370.2,363.5,371.4,362.0,580315949.0,1589770,CHMF
2012-07-19,366.0,371.0,372.3,365.7,697661622.0,1891990,CHMF
2012-07-20,370.3,369.1,371.8,366.1,322454728.0,873310,CHMF
2012-07-23,365.4,350.8,365.4,350.1,544007891.0,1524180,CHMF
2012-07-24,354.1,343.5,355.1,343.0,533817012.0,1538960,CHMF
2012-07-25,341.0,342.1,348.5,336.7,542303440.0,1581340,CHMF
2012-07-26,343.3,349.0,351.8,339.1,548240076.0,1587110,CHMF
2012-07-27,354.0,353.9,357.7,351.4,409608997.0,1155780,CHMF
2012-07-30,355.7,361.6,364.8,353.9,596986472.0,1653590,CHMF
2012-07-31,362.1,363.0,365.1,354.1,499139041.0,1393540,CHMF
2012-08-01,361.3,365.0,367.9,361.3,344563933.0,941900,CHMF
2012-08-02,364.0,359.2,376.0,355.5,842937684.0,2300970,CHMF
2012-08-03,360.0,370.5,371.9,357.7,405259878.0,1107090,CHMF
2012-08-06,372.0,380.0,384.1,368.9,805965408.0,2140770,CHMF
2012-08-07,378.4,390.0,394.0,378.0,850031302.0,2190820,CHMF
2012-08-08,388.3,391.7,396.8,388.0,1061331050.0,2699320,CHMF
2012-08-09,393.7,395.9,397.9,388.9,1076608791.0,2732120,CHMF
2012-08-10,394.8,394.0,396.1,386.2,727123074.0,1861240,CHMF
2012-08-13,391.7,392.6,397.1,389.0,540446173.0,1374070,CHMF
2012-08-14,394.1,397.2,400.3,392.3,474275824.0,1196400,CHMF
