date,open,close,high,low,value,volume,ticker
2011-11-17,3644,3521,3645,3466,944441,265,CHMK
2011-11-18,3469,3492,3535,3462,399797,114,CHMK
2011-11-21,3457,3336,3457,3300,843841,252,CHMK
2011-11-22,3351,3344,3494,3322,593411,176,CHMK
2011-11-23,3357,3401,3477,3357,81513,24,CHMK
2011-11-24,3488,3400,3488,3400,37492,11,CHMK
2011-11-25,3447,3355,3490,3299,932866,278,CHMK
2011-11-28,3402,3422,3422,3390,435329,128,CHMK
2011-11-29,3311,3098,3499,3054,9461733,2984,CHMK
2011-11-30,3110,3267,3267,3054,3000202,957,CHMK
2011-12-01,3231,3217,3280,3151,1186434,367,CHMK
2011-12-02,3250,3347,3399,3200,836911,253,CHMK
2011-12-05,3394,3200,3394,3142,2539736,792,CHMK
2011-12-06,3197,3110,3289,3110,1331104,419,CHMK
2011-12-07,3156,3113,3156,3105,591699,190,CHMK
2011-12-08,3170,3126,3239,3073,274642,88,CHMK
2011-12-09,3060,3010,3061,3000,946951,314,CHMK
2011-12-12,3128,2895,3140,2850,1258330,425,CHMK
2011-12-13,2812,2888,2952,2800,246539,86,CHMK
2011-12-14,2895,2827,2895,2825,56846,20,CHMK
2011-12-15,2777,2930,2969,2750,713572,245,CHMK
2011-12-16,2970,2913,2976,2893,369278,126,CHMK
2011-12-19,2901,2825,2968,2801,144479,50,CHMK
2011-12-20,2835,2836,2836,2717,5396000,1918,CHMK
2011-12-21,2828,2744,2937,2700,1174447,428,CHMK
2011-12-22,2747,2816,2869,2747,452781,161,CHMK
2011-12-23,2825,2704,2825,2700,1151444,423,CHMK
2011-12-26,2746,2720,2746,2700,611599,225,CHMK
2011-12-27,2708,2592,2716,2571,659009,251,CHMK
2011-12-28,2629,2500,2629,2499,1331051,520,CHMK
2011-12-29,2519,2489,2600,2457,1226702,486,CHMK
2011-12-30,2501,2593,2593,2470,121821,48,CHMK
2012-01-03,2955,2680,2967,2680,198656,72,CHMK
2012-01-04,2703,2689,2837,2649,747728,279,CHMK
2012-01-05,2661,2680,2811,2601,248524,92,CHMK
2012-01-06,2712,2716,2740,2709,78744,29,CHMK
2012-01-09,2670,2850,2944,2670,934369,331,CHMK
2012-01-10,2928,2925,2928,2850,57756,20,CHMK
2012-01-11,2977,2895,2992,2815,242817,84,CHMK
2012-01-12,2992,2900,3095,2850,1059405,359,CHMK
2012-01-13,2927,2875,2991,2869,348893,119,CHMK
2012-01-16,2980,2875,2980,2806,314243,111,CHMK
2012-01-17,2949,2915,2970,2849,649817,222,CHMK
2012-01-18,2899,2970,2979,2877,96705,33,CHMK
2012-01-19,3000,2873,3040,2872,1387155,471,CHMK
2012-01-20,2940,2882,2940,2882,63830,22,CHMK
2012-01-23,2865,2835,2880,2801,544603,191,CHMK
2012-01-24,2899,2864,2918,2813,242465,85,CHMK
2012-01-25,2871,2888,2940,2842,164999,57,CHMK
2012-01-26,2979,2971,2990,2881,1318762,448,CHMK
2012-01-27,2976,2895,3050,2852,1445776,486,CHMK
