date,open,close,high,low,value,volume,ticker
2023-03-29,0.5844,0.578,0.5844,0.5746,27123294.199999996,46962000,ELFV
2023-03-30,0.5818,0.5786,0.5818,0.5644,24588504.000000007,42819000,ELFV
2023-03-31,0.5758,0.5728,0.5802,0.568,22954267.199999996,40085000,ELFV
2023-04-03,0.5728,0.573,0.575,0.5702,12413827.000000002,21679000,ELFV
2023-04-04,0.5728,0.5736,0.585,0.572,23370760.0,40381000,ELFV
2023-04-05,0.5738,0.5944,0.6172,0.5696,114782404.40000002,193028000,ELFV
2023-04-06,0.5948,0.614,0.615,0.594,90450120.4,149024000,ELFV
2023-04-07,0.616,0.6094,0.6298,0.5984,153765039.6,250618000,ELFV
2023-04-10,0.6124,0.634,0.657,0.6068,326983106.9999998,512094000,ELFV
2023-04-11,0.634,0.6066,0.6528,0.6,89433134.00000001,143729000,ELFV
2023-04-12,0.6066,0.6096,0.615,0.6002,38147101.2,62651000,ELFV
2023-04-13,0.614,0.5814,0.6388,0.58,373599707.2,619246000,ELFV
2023-04-14,0.5808,0.577,0.5948,0.565,303547740.8,526166000,ELFV
2023-04-17,0.5798,0.5846,0.5858,0.577,50246789.99999999,86356000,ELFV
2023-04-18,0.5846,0.6002,0.6128,0.5846,193122995.0,322368000,ELFV
2023-04-19,0.606,0.5948,0.6062,0.5924,45237067.99999999,75852000,ELFV
2023-04-20,0.5926,0.5922,0.602,0.583,36581961.2,61928000,ELFV
2023-04-21,0.5968,0.5924,0.6058,0.59,33131111.000000004,55519000,ELFV
2023-04-24,0.592,0.6022,0.6028,0.5872,42198758.6,70426000,ELFV
2023-04-25,0.602,0.5976,0.6044,0.5954,16682451.400000002,27812000,ELFV
2023-04-26,0.6,0.6064,0.61,0.5952,37611973.6,62282000,ELFV
2023-04-27,0.6094,0.5972,0.6094,0.5944,39050760.0,65024000,ELFV
2023-04-28,0.5974,0.5902,0.599,0.59,13870809.8,23348000,ELFV
2023-05-02,0.5916,0.565,0.5916,0.55,55875216.599999994,98017000,ELFV
2023-05-03,0.5696,0.5604,0.5698,0.54,40426708.2,72469000,ELFV
2023-05-04,0.5588,0.5482,0.5626,0.548,18759319.4,33724000,ELFV
2023-05-05,0.5496,0.558,0.568,0.5474,59247195.80000001,105914000,ELFV
2023-05-08,0.5556,0.5546,0.5598,0.5528,7289316.600000001,13116000,ELFV
2023-05-10,0.5528,0.568,0.568,0.5446,18888088.599999998,33694000,ELFV
2023-05-11,0.568,0.5818,0.59,0.568,29676756.400000006,51007000,ELFV
2023-05-12,0.582,0.5654,0.5824,0.5612,26125908.6,45855000,ELFV
2023-05-15,0.568,0.575,0.578,0.568,19551351.6,34106000,ELFV
2023-05-16,0.5768,0.583,0.5898,0.5764,51675290.800000004,88548000,ELFV
2023-05-17,0.584,0.5834,0.59,0.5832,20645430.400000002,35239000,ELFV
2023-05-18,0.583,0.5702,0.5862,0.565,38880258.8,67872000,ELFV
2023-05-19,0.57,0.562,0.5728,0.562,18153188.6,31954000,ELFV
2023-05-22,0.564,0.569,0.5782,0.5632,19275861.4,33728000,ELFV
2023-05-23,0.569,0.5692,0.5712,0.564,6921651.8,12188000,ELFV
2023-05-24,0.57,0.5712,0.5754,0.5682,11735818.799999999,20545000,ELFV
2023-05-25,0.5712,0.569,0.572,0.5662,7283750.6000000015,12802000,ELFV
2023-05-26,0.5636,0.563,0.57,0.5614,15375985.799999999,27194000,ELFV
2023-05-29,0.5648,0.557,0.5688,0.555,30337656.6,54083000,ELFV
2023-05-30,0.557,0.5562,0.5606,0.55,24139032.999999993,43428000,ELFV
2023-05-31,0.55,0.5558,0.5598,0.55,10148736.2,18266000,ELFV
2023-06-01,0.557,0.555,0.557,0.5506,10386314.2,18740000,ELFV
2023-06-02,0.5512,0.5602,0.5614,0.5512,12395273.600000001,22213000,ELFV
2023-06-05,0.5604,0.5718,0.5822,0.5574,71125510.0,124462000,ELFV
2023-06-06,0.571,0.563,0.571,0.555,18637967.6,33090000,ELFV
2023-06-07,0.5648,0.5586,0.5658,0.553,15447883.8,27583000,ELFV
2023-06-08,0.5616,0.5678,0.5794,0.5584,31126471.000000004,54569000,ELFV
2023-06-09,0.5684,0.5664,0.57,0.5662,9599408.0,16903000,ELFV
2023-06-13,0.565,0.573,0.5734,0.565,15071572.2,26399000,ELFV
2023-06-14,0.573,0.573,0.576,0.571,12585665.600000001,21939000,ELFV
2023-06-15,0.5752,0.571,0.5752,0.566,11146042.399999999,19542000,ELFV
2023-06-16,0.5728,0.5748,0.5798,0.5688,26644827.0,46273000,ELFV
