date,open,close,high,low,value,volume,ticker
2011-11-17,0.328,0.319,0.33208,0.31313,804254175.1,2496540000,FEES
2011-11-18,0.31012,0.3125,0.317,0.30603,379494923.0,1213000000,FEES
2011-11-21,0.30852,0.31,0.329,0.2921,1037249962.2,3351090000,FEES
2011-11-22,0.3044,0.31813,0.325,0.304,911026974.0,2869720000,FEES
2011-11-23,0.31133,0.327,0.3306,0.31117,831114490.1000001,2570300000,FEES
2011-11-24,0.3224,0.32428,0.33149,0.3224,401179717.0,1227930000,FEES
2011-11-25,0.323,0.31588,0.32677,0.30582,657624302.9,2098580000,FEES
2011-11-28,0.32024,0.32893,0.32977,0.31601,508636073.0,1570110000,FEES
2011-11-29,0.32999,0.323,0.33165,0.3218,401460348.3,1236880000,FEES
2011-11-30,0.32498,0.34688,0.348,0.3223,1054339632.9,3159240000,FEES
2011-12-01,0.34821,0.3431,0.35395,0.3353,817390813.8000002,2370700000,FEES
2011-12-02,0.34454,0.33992,0.3496,0.33667,420157789.2,1217510000,FEES
2011-12-05,0.3399,0.339,0.34429,0.33298,309379323.4,914870000,FEES
2011-12-06,0.33601,0.34301,0.34612,0.32501,743130108.4000001,2203170000,FEES
2011-12-07,0.34579,0.328,0.3476,0.328,650018620.9,1935720000,FEES
2011-12-08,0.328,0.3242,0.33361,0.32255,456696595.9,1390060000,FEES
2011-12-09,0.31703,0.3057,0.31787,0.3,706071651.1,2300630000,FEES
2011-12-12,0.30817,0.28548,0.31589,0.28352,497185338.5,1655620000,FEES
2011-12-13,0.28701,0.2937,0.29485,0.2801,495869515.4,1711470000,FEES
2011-12-14,0.29071,0.306,0.3137,0.28623,996143113.5999999,3261100000,FEES
2011-12-15,0.30203,0.30746,0.31439,0.29959,976114959.2,3175950000,FEES
2011-12-16,0.30879,0.3117,0.314,0.295,519540547.2,1699740000,FEES
2011-12-19,0.303,0.3075,0.3175,0.303,528442270.4,1703210000,FEES
2011-12-20,0.3075,0.3085,0.31449,0.301,402672266.1,1314430000,FEES
2011-12-21,0.31,0.29822,0.313,0.29751,395005643.0,1292720000,FEES
2011-12-22,0.29999,0.28799,0.3011,0.28585,234870276.0,800290000,FEES
2011-12-23,0.29101,0.27652,0.29174,0.27647,495690459.1,1761550000,FEES
2011-12-26,0.2778,0.27989,0.2811,0.2768,118775433.3,424290000,FEES
2011-12-27,0.28,0.28198,0.28307,0.278,132529137.5,472240000,FEES
2011-12-28,0.28198,0.28291,0.28747,0.27917,224800511.10000002,794920000,FEES
2011-12-29,0.28181,0.277,0.28481,0.2703,257001921.2,922800000,FEES
2011-12-30,0.279,0.2811,0.28436,0.27503,173185390.8,619410000,FEES
2012-01-03,0.284,0.30901,0.30989,0.284,296539760.6,998700000,FEES
2012-01-04,0.3095,0.31149,0.31998,0.306,513070002.5,1629660000,FEES
2012-01-05,0.31041,0.31014,0.31799,0.3091,257509037.29999998,824970000,FEES
2012-01-06,0.31,0.3116,0.31544,0.309,180159336.0,575720000,FEES
2012-01-09,0.3115,0.31317,0.31572,0.30953,130175158.7,415800000,FEES
2012-01-10,0.316,0.32554,0.32866,0.31506,398880885.0,1230260000,FEES
2012-01-11,0.3249,0.3165,0.32797,0.31428,448565224.9,1393710000,FEES
2012-01-12,0.31799,0.3125,0.32066,0.31154,401921746.3,1270030000,FEES
2012-01-13,0.3128,0.31469,0.31699,0.3102,271359512.7,865910000,FEES
2012-01-16,0.30921,0.32028,0.32697,0.3083,536699545.8,1676510000,FEES
2012-01-17,0.323,0.32337,0.3265,0.3211,370470947.8,1144990000,FEES
2012-01-18,0.3234,0.32303,0.32484,0.31812,336523141.6,1045890000,FEES
2012-01-19,0.324,0.3222,0.32548,0.318,299371224.90000004,932160000,FEES
2012-01-20,0.3229,0.31837,0.3229,0.316,235308555.9,739160000,FEES
2012-01-23,0.31853,0.32161,0.3228,0.31103,348318550.0,1097030000,FEES
2012-01-24,0.32002,0.31809,0.32199,0.3161,222447458.89999998,698180000,FEES
2012-01-25,0.31979,0.3125,0.32097,0.312,272554349.6,862390000,FEES
2012-01-26,0.3156,0.3141,0.322,0.3134,537953914.8,1690360000,FEES
2012-01-27,0.31252,0.30698,0.3175,0.30311,771493422.1,2501520000,FEES
2012-01-30,0.3047,0.30743,0.3115,0.30201,402548132.9,1310450000,FEES
2012-01-31,0.31002,0.316,0.321,0.30923,837447824.9,2650940000,FEES
2012-02-01,0.315,0.334,0.337,0.31444,829504288.7,2550900000,FEES
2012-02-02,0.334,0.33356,0.34375,0.32813,699626187.1,2086170000,FEES
2012-02-03,0.33311,0.3479,0.3497,0.32935,724751414.1,2132120000,FEES
2012-02-06,0.34515,0.356,0.3643,0.3435,1017088387.7,2873010000,FEES
2012-02-07,0.35501,0.35185,0.3638,0.35089,494844654.2,1389920000,FEES
2012-02-08,0.35585,0.35337,0.35848,0.3513,378961388.7,1067630000,FEES
2012-02-09,0.35315,0.3414,0.35549,0.34016,526735620.7,1524950000,FEES
2012-02-10,0.339,0.3278,0.3443,0.3257,621493501.4,1867820000,FEES
2012-02-13,0.33099,0.33158,0.3375,0.33033,749208397.2,2244250000,FEES
