date,open,close,high,low,value,volume,ticker
2011-11-17,9.08,8.86,9.08,8.712,1202436.0,136000,FESH
2011-11-18,8.728,8.87,9.49,8.725,691324.7,74900,FESH
2011-11-21,9.199,8.95,9.199,8.5,171114.3,19500,FESH
2011-11-22,8.9,8.812,9.0,8.7,236469.69999999998,26600,FESH
2011-11-23,8.719,8.716,8.95,8.715,312107.3,35200,FESH
2011-11-24,8.725,8.771,8.869,8.599,61287.8,7000,FESH
2011-11-25,8.752,8.887,8.887,8.503,567903.1,65000,FESH
2011-11-28,8.701,9.0,9.0,8.701,1785975.9,202100,FESH
2011-11-29,8.37,8.601,9.177,8.37,1895982.0,214900,FESH
2011-11-30,8.893,8.8,8.95,8.7,780697.2000000001,88900,FESH
2011-12-01,8.751,8.861,8.9,8.701,1068221.8,120400,FESH
2011-12-02,8.888,8.867,8.888,8.7,489562.6,55800,FESH
2011-12-05,8.739,8.712,8.851,8.7,1272468.0999999999,144000,FESH
2011-12-06,8.718,8.546,8.899,8.546,436525.2,50100,FESH
2011-12-07,8.37,8.4,8.54,8.36,1379007.6,164200,FESH
2011-12-08,8.659,8.256,8.661,8.0,966309.2000000001,116500,FESH
2011-12-09,8.072,7.9,8.38,7.86,1491312.2,183700,FESH
2011-12-12,7.801,7.901,8.22,7.801,2046599.7,255900,FESH
2011-12-13,7.781,7.913,8.05,7.777,736741.6000000001,93800,FESH
2011-12-14,8.052,7.95,8.203,7.87,1823241.7,230800,FESH
2011-12-15,7.694,7.944,7.97,7.694,215307.60000000003,27200,FESH
2011-12-16,8.297,8.2,8.525,8.011,2960074.0,352700,FESH
2011-12-19,8.201,8.15,8.205,8.103,628827.7,77000,FESH
2011-12-20,8.15,8.22,8.22,8.011,142969.2,17500,FESH
2011-12-21,8.228,8.286,8.54,8.181,152722.9,18200,FESH
2011-12-22,8.202,8.208,8.336,8.202,33742.3,4100,FESH
2011-12-23,8.386,8.72,8.72,8.201,5211688.7,616700,FESH
2011-12-26,8.8,8.65,8.829,8.25,8141238.5,952700,FESH
2011-12-27,8.6,8.4,8.779,8.4,16009138.4,1881900,FESH
2011-12-28,8.578,8.45,8.624,8.2,79456.9,9500,FESH
2011-12-29,8.3,8.388,8.388,8.203,15613.9,1900,FESH
2011-12-30,8.399,8.349,8.399,8.02,253433.90000000002,30600,FESH
