date,open,close,high,low,value,volume,ticker
2011-11-17,187.2,184.0,188.87,181.76,17839785716.7,96251200,GAZP
2011-11-18,181.0,180.01,182.39,179.93,10335099248.5,57084100,GAZP
2011-11-21,177.97,169.75,178.19,168.92,13979707673.4,80749970,GAZP
2011-11-22,170.05,169.0,173.78,167.81,12413340360.4,72536120,GAZP
2011-11-23,167.0,167.7,171.95,165.88,14443500508.8,85377260,GAZP
2011-11-24,167.34,166.0,169.68,165.66,6882209746.3,40949750,GAZP
2011-11-25,165.33,166.28,166.69,161.84,10304287450.7,62828020,GAZP
2011-11-28,168.08,171.98,172.03,167.8,10437325846.3,61304450,GAZP
2011-11-29,172.98,170.89,173.99,170.22,9438917956.3,54921520,GAZP
2011-11-30,170.3,174.9,175.87,168.4,14804434934.9,85534780,GAZP
2011-12-01,176.11,181.49,184.4,175.01,24512672139.0,136487040,GAZP
2011-12-02,183.0,183.52,186.69,180.07,21010266228.4,114150040,GAZP
2011-12-05,183.85,184.6,185.45,182.06,8171422771.1,44441980,GAZP
2011-12-06,183.0,175.57,184.45,174.43,19130988725.1,106387430,GAZP
2011-12-07,176.49,174.7,177.09,172.41,17663189692.2,101030530,GAZP
2011-12-08,175.99,177.2,179.92,175.58,15548249193.099998,87397230,GAZP
2011-12-09,173.99,170.45,173.99,170.0,15586173388.7,90744780,GAZP
2011-12-12,172.5,164.42,173.5,163.8,13685924401.9,80724270,GAZP
2011-12-13,163.93,166.86,168.15,160.1,15303055997.6,92801500,GAZP
2011-12-14,165.66,164.9,170.46,164.12,13683806088.6,81369690,GAZP
2011-12-15,162.51,170.97,172.18,161.86,16771124152.4,100626080,GAZP
2011-12-16,172.09,169.51,173.41,169.07,10926276657.7,63872090,GAZP
2011-12-19,168.37,166.3,168.38,165.56,8932213192.6,53501640,GAZP
2011-12-20,165.85,172.55,172.97,163.55,12504711794.4,74513120,GAZP
2011-12-21,173.48,169.78,173.95,169.0,12654735888.0,73895200,GAZP
2011-12-22,169.89,170.82,171.89,168.31,7905463303.9,46503050,GAZP
2011-12-23,171.52,169.71,172.5,169.27,5981353827.099998,34963200,GAZP
2011-12-26,170.59,171.53,171.68,169.5,3409625209.0,19969730,GAZP
2011-12-27,171.4,170.75,171.69,168.89,3663512480.8,21486710,GAZP
2011-12-28,170.12,169.47,171.49,169.15,3977789892.6,23370920,GAZP
2011-12-29,168.77,170.6,170.77,165.34,6342247407.6,37801180,GAZP
2011-12-30,170.9,171.36,172.13,169.06,4216470275.2,24601610,GAZP
2012-01-03,172.53,177.5,177.6,172.22,4341076121.2,24847160,GAZP
2012-01-04,177.55,176.91,178.1,175.0,4458803333.2,25240160,GAZP
2012-01-05,177.01,177.2,179.37,175.4,6557806672.2,36916460,GAZP
2012-01-06,177.0,176.2,178.72,176.11,3794736276.4,21350190,GAZP
2012-01-09,175.95,177.27,177.57,174.33,4412957049.9,25066970,GAZP
2012-01-10,177.92,179.61,179.99,177.51,7868759888.0,43932230,GAZP
2012-01-11,178.86,178.1,179.4,176.38,8217147631.4,46132590,GAZP
2012-01-12,178.48,177.74,180.82,177.04,9897863537.4,55222270,GAZP
2012-01-13,178.3,178.84,179.6,177.28,7425495142.799999,41619000,GAZP
2012-01-16,177.45,178.5,178.83,175.85,5471016646.1,30826390,GAZP
2012-01-17,179.67,181.8,182.28,179.17,9525194183.5,52633950,GAZP
2012-01-18,181.32,182.9,183.2,180.0,8238709332.1,45348620,GAZP
2012-01-19,183.85,185.5,186.29,182.82,11923513538.699999,64519060,GAZP
2012-01-20,186.05,183.48,186.68,183.05,8881305590.6,47926660,GAZP
2012-01-23,183.4,184.34,184.83,180.77,8602642187.5,47075910,GAZP
2012-01-24,183.7,183.28,184.5,181.97,6899044122.9,37620360,GAZP
2012-01-25,184.4,185.7,186.25,184.25,6978696381.2,37697120,GAZP
2012-01-26,186.97,185.25,187.43,184.14,10176217282.2,54812550,GAZP
2012-01-27,184.5,182.5,185.8,182.3,7396350132.1,40199360,GAZP
2012-01-30,181.63,181.75,183.58,181.03,6798604178.9,37307980,GAZP
2012-01-31,183.0,183.8,184.47,181.9,7262215369.1,39601460,GAZP
2012-02-01,183.0,185.54,186.75,182.6,8160318575.7,44102020,GAZP
2012-02-02,186.3,187.35,187.45,185.5,9460233831.1,50719260,GAZP
2012-02-03,187.0,189.7,189.9,186.04,8992744357.1,47833720,GAZP
2012-02-06,189.9,189.8,191.11,188.5,7574822084.5,39955930,GAZP
2012-02-07,190.17,188.2,191.09,187.85,7522874984.1,39757800,GAZP
2012-02-08,189.33,188.77,190.9,188.3,8061037840.7,42479550,GAZP
2012-02-09,189.2,188.79,190.24,187.21,8815259439.199999,46650250,GAZP
2012-02-10,187.91,188.16,189.37,186.85,7564894005.3,40215910,GAZP
2012-02-13,189.2,192.0,192.2,189.02,8195373063.0,42828420,GAZP
2012-02-14,191.64,191.51,193.35,190.57,8540940341.7,44470850,GAZP
2012-02-15,192.99,191.7,193.69,191.2,7809578771.7,40584070,GAZP
2012-02-16,190.14,190.0,190.38,188.03,8640951740.0,45687090,GAZP
2012-02-17,191.9,189.7,192.27,189.1,6233571069.2,32727910,GAZP
2012-02-20,191.07,191.0,191.6,190.5,3924033399.3999996,20540730,GAZP
2012-02-21,190.98,188.8,191.12,188.33,5710917878.6,30160340,GAZP
2012-02-22,189.3,187.0,190.79,186.73,6815372503.0,36121140,GAZP
2012-02-24,188.64,193.85,194.4,187.61,11656446342.7,60770690,GAZP
2012-02-27,193.07,193.1,196.0,192.76,9928376158.9,51197300,GAZP
2012-02-28,194.3,191.37,194.5,190.7,8268836342.9,42951510,GAZP
2012-02-29,192.4,194.09,194.49,192.11,8249504370.0,42613830,GAZP
2012-03-01,192.65,194.01,194.27,191.76,6069308720.2,31445480,GAZP
2012-03-02,194.74,195.85,195.89,193.24,7782119448.0,39963460,GAZP
2012-03-05,195.89,199.82,199.89,195.83,9278513478.8,46873560,GAZP
2012-03-06,198.67,193.0,198.9,192.12,10936227933.1,56027960,GAZP
2012-03-07,192.25,194.0,194.96,191.0,7835324918.4,40570180,GAZP
2012-03-11,196.57,197.53,197.88,196.11,2785407800.7,14143440,GAZP
2012-03-12,196.77,197.39,199.13,195.69,7766938315.0,39391380,GAZP
2012-03-13,198.3,197.25,198.8,196.81,6784969043.3,34305460,GAZP
2012-03-14,199.55,198.53,199.89,198.03,8740525829.0,43972420,GAZP
2012-03-15,197.99,199.2,200.8,196.7,12249312963.6,61484610,GAZP
2012-03-16,199.3,197.01,199.3,196.73,5248223957.8,26496520,GAZP
