date,open,close,high,low,value,volume,ticker
2011-11-17,1.1601,1.1562,1.18,1.1354,501110999.5,434548000,HYDR
2011-11-18,1.1333,1.1502,1.16,1.1301,344214923.5,300066000,HYDR
2011-11-21,1.146,1.1047,1.1464,1.1,577192501.3,513674000,HYDR
2011-11-22,1.1095,1.128,1.135,1.106,375886045.8,334478000,HYDR
2011-11-23,1.1149,1.1401,1.165,1.1061,534457198.3,468851000,HYDR
2011-11-24,1.131,1.131,1.164,1.1229,287425333.9,252004000,HYDR
2011-11-25,1.13,1.1332,1.141,1.1051,406640219.1,363195000,HYDR
2011-11-28,1.1511,1.174,1.177,1.1395,645002414.7,554842000,HYDR
2011-11-29,1.18,1.1532,1.1839,1.153,515667392.7,443527000,HYDR
2011-11-30,1.152,1.1992,1.2,1.1411,840962563.0999999,714988000,HYDR
2011-12-01,1.2216,1.2228,1.2383,1.198,1038228075.3,851352000,HYDR
2011-12-02,1.231,1.1999,1.238,1.1977,729373136.2,603594000,HYDR
2011-12-05,1.2021,1.2007,1.208,1.1862,424644572.1,353849000,HYDR
2011-12-06,1.1963,1.161,1.2148,1.161,853350505.3,718118000,HYDR
2011-12-07,1.1622,1.14,1.1775,1.14,658862574.8000001,569840000,HYDR
2011-12-08,1.1425,1.135,1.158,1.1303,565001227.5,493678000,HYDR
2011-12-09,1.1146,1.0705,1.1198,1.0692,825974552.5,761324000,HYDR
2011-12-12,1.0842,1.0201,1.098,1.0195,555030313.8,521363000,HYDR
2011-12-13,1.0209,1.0333,1.0424,1.002,711309204.6,691680000,HYDR
2011-12-14,1.024,1.0681,1.0887,1.0197,958219291.3,902655000,HYDR
2011-12-15,1.0491,1.0816,1.0983,1.03,1373819368.9,1268240000,HYDR
2011-12-16,1.087,1.082,1.1049,1.0603,622097542.8,574220000,HYDR
2011-12-19,1.0621,1.0303,1.0699,1.0255,837963681.5,807483000,HYDR
2011-12-20,1.0298,1.0349,1.0384,1.0212,495109291.7,480223000,HYDR
2011-12-21,1.0375,1.0216,1.0444,1.016,490287161.2,475101000,HYDR
2011-12-22,1.0225,1.019,1.0276,1.0099,311456511.7,306048000,HYDR
2011-12-23,1.021,1.002,1.0242,0.9953,272739329.6,270220000,HYDR
2011-12-26,1.005,1.0078,1.0148,1.0019,332866361.20000005,329528000,HYDR
2011-12-27,1.0078,0.9995,1.0114,0.9965,240908284.4,240373000,HYDR
2011-12-28,1.0,0.993,1.004,0.9924,289895817.7,290400000,HYDR
2011-12-29,0.9918,0.9559,0.995,0.9401,895001166.4000001,935115000,HYDR
2011-12-30,0.9538,0.9658,0.9709,0.9538,478924742.59999996,496310000,HYDR
2012-01-03,0.971,1.0005,1.0039,0.971,321364033.9,322796000,HYDR
2012-01-04,1.0011,1.0115,1.0129,1.0009,277543165.3,275547000,HYDR
2012-01-05,1.01,1.0008,1.02,0.992,306271809.6,303982000,HYDR
2012-01-06,1.0033,1.003,1.009,1.0006,211777498.9,210503000,HYDR
2012-01-09,1.002,1.0079,1.011,1.0011,177771490.1,176342000,HYDR
2012-01-10,1.0101,1.0375,1.0375,1.0101,856324548.7,830066000,HYDR
2012-01-11,1.0299,1.0341,1.037,1.0255,379178374.5,367486000,HYDR
2012-01-12,1.0358,1.0379,1.0519,1.027,624294739.7,599156000,HYDR
2012-01-13,1.042,1.0272,1.049,1.0261,380753954.6,366091000,HYDR
2012-01-16,1.0226,1.024,1.0297,1.0124,294516642.2,288741000,HYDR
2012-01-17,1.032,1.053,1.0595,1.032,686314945.8,653879000,HYDR
2012-01-18,1.0511,1.05,1.0588,1.042,458660732.29999995,437358000,HYDR
2012-01-19,1.0556,1.058,1.064,1.0401,848605247.8,805514000,HYDR
2012-01-20,1.058,1.0498,1.061,1.0434,353835518.9,336669000,HYDR
2012-01-23,1.045,1.052,1.0522,1.0352,386445013.1,370266000,HYDR
2012-01-24,1.045,1.05,1.0573,1.039,461778966.8,441038000,HYDR
2012-01-25,1.056,1.061,1.062,1.0537,565664531.5,533949000,HYDR
2012-01-26,1.0712,1.093,1.0943,1.0684,908599917.8,840734000,HYDR
2012-01-27,1.085,1.123,1.1237,1.08,1168109788.0,1057628000,HYDR
2012-01-30,1.119,1.1041,1.1225,1.0938,654528373.2,593194000,HYDR
2012-01-31,1.111,1.1503,1.1513,1.1054,1290374078.7,1139134000,HYDR
2012-02-01,1.145,1.17,1.177,1.1405,1193029758.3000002,1024662000,HYDR
2012-02-02,1.176,1.1697,1.1769,1.159,693369415.2,592998000,HYDR
2012-02-03,1.1697,1.173,1.175,1.1526,698626139.8,599088000,HYDR
2012-02-06,1.1728,1.1711,1.1811,1.1635,680130411.7,580645000,HYDR
2012-02-07,1.1735,1.1553,1.1765,1.1536,677211671.1999999,581619000,HYDR
2012-02-08,1.1602,1.1567,1.1755,1.1535,580401112.0,498222000,HYDR
2012-02-09,1.1583,1.1241,1.1643,1.1151,1115358557.6000001,987714000,HYDR
2012-02-10,1.12,1.0885,1.12,1.0874,909847252.8,827774000,HYDR
2012-02-13,1.1021,1.1143,1.1169,1.1002,706499905.3,635570000,HYDR
2012-02-14,1.1096,1.119,1.1275,1.1048,673156126.0,601675000,HYDR
2012-02-15,1.1261,1.14,1.1518,1.121,804431151.9000001,708901000,HYDR
2012-02-16,1.1291,1.143,1.1468,1.1211,561948148.8,495604000,HYDR
2012-02-17,1.153,1.1401,1.161,1.1331,441736854.5,386097000,HYDR
2012-02-20,1.1459,1.1599,1.1687,1.1458,513307289.5,442738000,HYDR
2012-02-21,1.1637,1.1507,1.164,1.1435,627974651.3,544272000,HYDR
2012-02-22,1.155,1.1461,1.1588,1.1362,519678807.8,452536000,HYDR
2012-02-24,1.1532,1.1779,1.181,1.1471,1314466861.0,1126147000,HYDR
2012-02-27,1.1724,1.1886,1.1928,1.171,879090374.3,742196000,HYDR
2012-02-28,1.194,1.1779,1.198,1.1735,765866212.8,647160000,HYDR
2012-02-29,1.1837,1.1871,1.1907,1.178,637363703.3,537360000,HYDR
2012-03-01,1.165,1.195,1.195,1.1504,956270586.3000001,805982000,HYDR
2012-03-02,1.193,1.1961,1.199,1.181,994817890.5,833711000,HYDR
2012-03-05,1.197,1.2092,1.21,1.1907,1078237446.4,897889000,HYDR
2012-03-06,1.2,1.1774,1.2,1.1756,877612758.8,740350000,HYDR
2012-03-07,1.179,1.1713,1.181,1.1626,756795754.5,645418000,HYDR
2012-03-11,1.192,1.1884,1.195,1.1807,273659594.6,230517000,HYDR
2012-03-12,1.1822,1.182,1.1894,1.1754,459824487.6,388496000,HYDR
2012-03-13,1.188,1.181,1.1939,1.1736,490929438.4,415976000,HYDR
2012-03-14,1.1901,1.1785,1.1937,1.176,561642831.1,474014000,HYDR
2012-03-15,1.18,1.1583,1.1814,1.1557,1188096081.1,1015256000,HYDR
2012-03-16,1.1686,1.1464,1.1687,1.1299,1085747912.3,950892000,HYDR
2012-03-19,1.149,1.1182,1.1515,1.1101,945973603.6,841373000,HYDR
2012-03-20,1.1208,1.1309,1.1419,1.1061,1105186351.8,984223000,HYDR
2012-03-21,1.1354,1.132,1.1493,1.122,807041353.2,710613000,HYDR
2012-03-22,1.13,1.11,1.14,1.106,478654630.9,428044000,HYDR
2012-03-23,1.1139,1.1115,1.121,1.0994,501135171.5,451830000,HYDR
2012-03-26,1.1115,1.1205,1.1287,1.1072,573881443.6,513482000,HYDR
2012-03-27,1.125,1.1172,1.1314,1.105,529559431.2,473975000,HYDR
2012-03-28,1.1135,1.102,1.1176,1.1001,482639177.1,435196000,HYDR
2012-03-29,1.1,1.066,1.1009,1.0517,845753089.9,783707000,HYDR
2012-03-30,1.078,1.0861,1.0939,1.0767,488403315.9,451012000,HYDR
2012-04-02,1.0883,1.0838,1.097,1.0741,319753313.7,293574000,HYDR
2012-04-03,1.0918,1.0872,1.0974,1.0835,525064987.4,481509000,HYDR
2012-04-04,1.0798,1.048,1.0819,1.0456,576864510.8,544359000,HYDR
2012-04-05,1.0545,1.0502,1.058,1.032,398666498.2,381245000,HYDR
2012-04-06,1.0492,1.041,1.0538,1.037,218887992.4,209217000,HYDR
2012-04-09,1.041,1.0498,1.05,1.0201,269951181.2,260216000,HYDR
2012-04-10,1.0475,1.052,1.059,1.036,336717571.5,320264000,HYDR
2012-04-11,1.0481,1.048,1.054,1.0351,401386970.3,383862000,HYDR
2012-04-12,1.0524,1.054,1.0545,1.0335,363024868.3,347566000,HYDR
2012-04-13,1.0555,1.0568,1.0766,1.0511,356377134.0,335248000,HYDR
2012-04-16,1.0532,1.0362,1.0625,1.036,389935812.3,371894000,HYDR
2012-04-17,1.0362,1.0205,1.0427,1.016,497157096.5,486070000,HYDR
2012-04-18,1.0285,1.0242,1.0409,1.021,473532304.5,460665000,HYDR
2012-04-19,1.0254,1.0548,1.0569,1.0252,600028319.7,572672000,HYDR
2012-04-20,1.0496,1.085,1.091,1.0472,651496298.6,605792000,HYDR
2012-04-23,1.078,1.042,1.09,1.035,563833731.5,534363000,HYDR
2012-04-24,1.039,1.0319,1.044,1.017,553187682.6,537862000,HYDR
2012-04-25,1.0334,1.0465,1.0616,1.0334,634790135.7,603567000,HYDR
2012-04-26,1.0493,1.026,1.0525,1.0213,470477688.4,456015000,HYDR
2012-04-27,1.0251,1.0384,1.0471,1.0101,382737301.59999996,370985000,HYDR
2012-04-28,1.0393,1.0403,1.0403,1.0324,54513212.0,52523000,HYDR
2012-05-02,1.043,1.0117,1.0527,1.0111,417647124.6,404644000,HYDR
2012-05-03,1.015,0.9999,1.021,0.99,529360398.20000005,525767000,HYDR
2012-05-04,0.9949,0.945,0.9977,0.941,929671596.5,966026000,HYDR
