date,open,close,high,low,value,volume,ticker
2020-03-30,725,768,768,725,68890,91,INGR
2020-03-31,750,796,796,740,613232,795,INGR
2020-04-01,754,760,768,754,62637,82,INGR
2020-04-02,760,754,764,754,43871,58,INGR
2020-04-03,762,750,762,750,80262,107,INGR
2020-04-06,735,770,787,735,85624,111,INGR
2020-04-07,780,771,785,751,405872,521,INGR
2020-04-08,760,760,760,760,13680,18,INGR
2020-04-09,770,770,770,770,41580,54,INGR
2020-04-10,754,755,758,754,31684,42,INGR
2020-04-13,770,764,770,762,68238,89,INGR
2020-04-14,766,766,770,766,37543,49,INGR
2020-04-15,776,768,784,768,95542,123,INGR
2020-04-16,755,764,784,755,130335,168,INGR
2020-04-17,700,761,765,699,39185,52,INGR
2020-04-20,786,770,786,770,92375,119,INGR
2020-04-21,775,764,775,763,73216,95,INGR
2020-04-22,761,777,787,752,66760,88,INGR
2020-04-23,770,776,776,757,81017,106,INGR
2020-04-24,743,757,761,730,123885,166,INGR
2020-04-27,721,762,775,721,37338,49,INGR
2020-04-28,750,768,768,750,119923,157,INGR
2020-04-29,769,770,770,756,37267,49,INGR
2020-04-30,750,765,770,750,19135,25,INGR
2020-05-04,743,761,765,730,39433,53,INGR
2020-05-05,763,765,765,763,22904,30,INGR
2020-05-06,770,752,1063,752,32383568,37443,INGR
2020-05-07,765,769,820,756,5951348,7589,INGR
2020-05-08,771,765,777,755,808496,1059,INGR
2020-05-12,769,762,807,750,2276802,2953,INGR
2020-05-13,753,758,773,750,953764,1257,INGR
2020-05-14,750,753,759,735,545285,726,INGR
2020-05-15,754,755,763,739,970419,1291,INGR
2020-05-18,756,774,795,756,462719,599,INGR
2020-05-19,765,767,770,756,228355,300,INGR
2020-05-20,766,764,766,745,636185,840,INGR
2020-05-21,765,779,790,758,1108465,1436,INGR
2020-05-22,776,774,778,770,252656,327,INGR
2020-05-25,775,810,830,775,1732604,2166,INGR
2020-05-26,810,800,817,800,1434468,1774,INGR
2020-05-27,799,791,814,779,2184142,2747,INGR
2020-05-28,793,802,811,783,568382,711,INGR
2020-05-29,794,800,808,794,597981,747,INGR
2020-06-01,813,814,815,800,673296,834,INGR
2020-06-02,817,817,827,801,498863,616,INGR
2020-06-03,817,815,823,807,2119668,2605,INGR
2020-06-04,816,826,835,811,608810,738,INGR
2020-06-05,822,810,840,800,6444274,7941,INGR
2020-06-08,817,807,1099,805,8869488,10845,INGR
2020-06-09,815,809,819,802,1399389,1726,INGR
2020-06-10,811,800,829,799,3152186,3897,INGR
2020-06-11,827,817,860,810,10611836,12872,INGR
2020-06-15,827,820,847,817,6399574,7785,INGR
2020-06-16,822,824,850,812,19401973,23394,INGR
2020-06-17,826,825,843,820,23710521,28667,INGR
2020-06-18,763,750,790,747,12972135,17204,INGR
2020-06-19,750,737,755,711,4975843,6716,INGR
2020-06-22,740,727,740,723,2687590,3684,INGR
2020-06-23,764,734,764,727,2615164,3566,INGR
2020-06-25,726,719,728,711,2445202,3403,INGR
2020-06-26,722,733,736,714,2211824,3045,INGR
2020-06-29,719,749,750,710,5160101,6966,INGR
2020-06-30,740,746,756,737,7330259,9778,INGR
2020-07-02,738,743,747,735,634086,856,INGR
2020-07-03,744,730,749,730,810430,1101,INGR
2020-07-06,740,729,763,726,1828639,2479,INGR
2020-07-07,626,733,745,626,751342,1029,INGR
2020-07-08,738,730,738,728,513901,702,INGR
2020-07-09,737,735,738,727,1892566,2581,INGR
2020-07-10,738,730,738,721,706725,966,INGR
2020-07-13,735,729,735,726,588202,806,INGR
2020-07-14,734,721,734,705,1188663,1649,INGR
2020-07-15,722,724,727,722,425726,588,INGR
2020-07-16,725,725,725,720,284336,394,INGR
2020-07-17,725,724,726,719,620281,858,INGR
2020-07-20,725,729,730,724,438754,604,INGR
2020-07-21,730,734,735,720,1564020,2154,INGR
2020-07-22,734,735,737,727,755387,1030,INGR
2020-07-23,735,734,737,725,959510,1312,INGR
2020-07-24,727,733,735,725,1391784,1903,INGR
2020-07-27,750,741,760,732,3263823,4396,INGR
2020-07-28,735,742,745,735,1538042,2074,INGR
2020-07-29,736,742,743,734,3639386,4913,INGR
2020-07-30,747,740,747,736,1200351,1624,INGR
2020-07-31,746,750,764,740,2009498,2678,INGR
2020-08-03,741,746,755,739,1100652,1470,INGR
2020-08-04,752,762,762,741,1891430,2515,INGR
2020-08-05,760,767,768,752,3006608,3950,INGR
2020-08-06,759,768,771,759,1798115,2354,INGR
2020-08-07,804,815,835,789,16517879,20156,INGR
2020-08-10,840,800,840,790,3175111,3881,INGR
2020-08-11,807,796,807,787,3401904,4283,INGR
2020-08-12,792,815,820,791,4572748,5684,INGR
2020-08-13,821,818,840,813,3673418,4427,INGR
2020-08-14,818,822,822,815,448664,548,INGR
2020-08-17,816,812,820,812,1007087,1236,INGR
2020-08-18,811,820,824,800,2635779,3275,INGR
2020-08-19,811,812,818,808,267072,329,INGR
2020-08-20,808,813,813,801,341960,424,INGR
2020-08-21,805,806,820,804,422101,520,INGR
2020-08-24,814,808,820,806,318311,392,INGR
2020-08-25,807,810,820,802,205554,253,INGR
2020-08-26,807,810,820,807,456698,561,INGR
2020-08-27,813,821,839,810,1048355,1280,INGR
2020-08-28,822,807,825,802,645369,799,INGR
2020-08-31,804,809,818,804,365916,452,INGR
2020-09-01,817,804,817,804,88056,109,INGR
2020-09-02,810,800,816,800,1426480,1778,INGR
2020-09-03,801,799,805,796,181767,227,INGR
2020-09-04,796,802,802,787,445405,558,INGR
2020-09-07,786,807,809,786,251805,312,INGR
2020-09-08,789,790,812,788,126711,159,INGR
2020-09-09,785,795,801,784,120461,152,INGR
2020-09-10,787,789,797,787,266191,337,INGR
2020-09-11,796,800,802,791,440919,552,INGR
2020-09-14,801,795,802,790,181368,228,INGR
2020-09-15,802,807,810,791,996883,1235,INGR
2020-09-16,800,810,811,800,1326063,1638,INGR
2020-09-17,801,802,810,790,387791,486,INGR
2020-09-18,800,806,808,796,562459,702,INGR
2020-09-21,799,803,808,799,848488,1055,INGR
2020-09-22,799,799,807,798,68146,85,INGR
2020-09-23,807,810,811,807,456469,564,INGR
2020-09-24,810,805,815,801,119087,147,INGR
2020-09-25,805,800,806,798,162448,203,INGR
2020-09-28,808,808,808,801,206293,256,INGR
2020-09-29,802,802,805,801,276174,344,INGR
2020-09-30,802,801,808,800,739889,924,INGR
2020-10-01,802,800,809,797,171023,214,INGR
2020-10-02,804,810,820,800,716825,885,INGR
2020-10-05,810,817,817,800,644246,802,INGR
2020-10-06,818,839,839,818,5607486,6756,INGR
2020-10-07,830,844,844,830,5183859,6179,INGR
2020-10-08,845,860,939,842,8597069,9873,INGR
2020-10-09,860,872,872,843,8261654,9588,INGR
2020-10-12,875,916,942,875,12502172,13580,INGR
2020-10-13,950,923,950,917,8419915,9129,INGR
2020-10-14,915,922,926,915,5821099,6310,INGR
2020-10-15,921,926,926,914,4622780,5023,INGR
2020-10-16,913,915,919,909,7508932,8214,INGR
2020-10-19,922,923,928,917,8406762,9109,INGR
2020-10-20,923,941,943,920,16289400,17470,INGR
2020-10-21,950,955,955,945,5544759,5837,INGR
2020-10-22,954,958,961,954,6078491,6348,INGR
2020-10-23,958,950,958,950,9566369,10025,INGR
2020-10-26,950,952,980,948,7454049,7809,INGR
2020-10-27,957,950,958,950,5724275,5997,INGR
2020-10-28,952,954,956,948,7418018,7794,INGR
2020-10-29,955,949,958,948,7991627,8384,INGR
2020-10-30,955,948,957,944,7488184,7888,INGR
2020-11-02,942,947,955,942,4280799,4508,INGR
2020-11-03,947,948,954,944,5533487,5834,INGR
2020-11-05,953,950,955,874,6071352,6451,INGR
2020-11-06,952,955,956,947,5245411,5517,INGR
2020-11-09,957,964,966,953,13617444,14160,INGR
2020-11-10,970,961,970,956,6804071,7069,INGR
2020-11-11,962,959,965,954,14387102,14992,INGR
2020-11-12,960,959,964,953,8468608,8859,INGR
2020-11-13,954,958,963,952,5572918,5826,INGR
2020-11-16,958,958,960,958,4871991,5080,INGR
2020-11-17,959,956,969,949,9296455,9734,INGR
2020-11-18,954,956,962,949,14539546,15227,INGR
2020-11-19,958,959,961,949,10651332,11138,INGR
2020-11-20,954,954,957,951,10924759,11466,INGR
2020-11-23,955,954,957,954,5512704,5770,INGR
2020-11-24,958,961,965,958,5220896,5421,INGR
2020-11-25,959,959,963,958,5770561,6006,INGR
2020-11-26,961,964,964,960,5657485,5882,INGR
2020-11-27,961,959,964,959,6125337,6368,INGR
2020-11-30,958,961,964,958,5743984,5967,INGR
2020-12-01,962,960,964,960,4934566,5127,INGR
2020-12-02,961,960,965,960,7075376,7352,INGR
2020-12-03,963,970,975,963,6471912,6650,INGR
2020-12-04,980,963,980,953,10848948,11198,INGR
2020-12-07,970,974,980,968,8234831,8459,INGR
2020-12-08,979,982,984,972,15706664,16052,INGR
2020-12-09,980,989,990,975,13710243,13996,INGR
2020-12-10,983,999,999,982,12631285,12703,INGR
