date,open,close,high,low,value,volume,ticker
2011-11-17,6.478,6.417,6.583,6.207,567558.2999999999,89600,IRKT
2011-11-18,6.201,6.252,6.441,6.13,614231.3,98100,IRKT
2011-11-21,6.251,6.2,6.299,6.2,582687.3,93200,IRKT
2011-11-22,6.235,6.223,6.274,6.117,319920.4,51400,IRKT
2011-11-23,6.179,6.225,6.3,6.179,168673.30000000002,27000,IRKT
2011-11-24,6.512,6.35,6.512,6.333,70671.5,11100,IRKT
2011-11-25,6.297,6.193,6.33,6.135,564764.1000000001,90600,IRKT
2011-11-28,6.201,6.5,6.545,6.2,393431.6,61600,IRKT
2011-11-29,6.5,6.4,6.535,6.389,309737.5,48000,IRKT
2011-11-30,6.43,6.485,6.559,6.356,541767.1,83900,IRKT
2011-12-01,6.536,6.553,6.562,6.487,320764.6,49100,IRKT
2011-12-02,6.585,6.67,6.772,6.585,693463.9,103900,IRKT
2011-12-05,6.651,6.676,6.79,6.588,518293.1,77500,IRKT
2011-12-06,6.6,6.609,6.777,6.485,744706.0,112900,IRKT
2011-12-07,6.601,6.539,6.601,6.5,142197.3,21800,IRKT
2011-12-08,6.502,6.23,6.588,6.23,469692.89999999997,72300,IRKT
2011-12-09,6.201,6.05,6.237,6.05,414803.9,68200,IRKT
2011-12-12,6.157,5.95,6.339,5.95,428164.30000000005,70200,IRKT
2011-12-13,6.096,6.098,6.098,5.799,998971.6000000001,167600,IRKT
2011-12-14,6.097,6.061,6.136,5.97,209623.90000000002,34700,IRKT
2011-12-15,5.864,6.058,6.058,5.843,583738.6,97300,IRKT
2011-12-16,6.05,6.005,6.056,6.0,274382.7,45500,IRKT
2011-12-19,5.822,6.095,6.18,5.822,738422.7,122600,IRKT
2011-12-20,6.156,5.932,6.3,5.8,548476.3999999999,92200,IRKT
2011-12-21,5.94,5.951,6.059,5.94,284294.0,47500,IRKT
2011-12-22,5.989,5.966,6.001,5.884,112672.6,19000,IRKT
2011-12-23,6.01,6.009,6.027,5.939,58176.2,9700,IRKT
2011-12-26,6.0,5.996,6.0,5.915,212135.5,35600,IRKT
2011-12-27,5.941,5.899,5.941,5.85,259245.0,44100,IRKT
2011-12-28,5.862,5.87,5.871,5.84,224748.9,38400,IRKT
2011-12-29,5.889,5.85,5.9,5.721,849752.6,146000,IRKT
2011-12-30,5.9,5.89,5.969,5.602,3158595.8000000003,539900,IRKT
2012-01-03,6.099,6.063,6.099,5.95,188131.3,31200,IRKT
2012-01-04,6.0,6.059,6.059,6.0,149800.5,24900,IRKT
2012-01-05,6.022,6.0,6.035,6.0,116692.9,19400,IRKT
2012-01-06,6.039,6.039,6.039,6.01,63974.2,10600,IRKT
2012-01-09,6.0,6.0,6.034,5.974,205205.2,34200,IRKT
2012-01-10,5.999,6.1,6.165,5.999,452467.8,74800,IRKT
2012-01-11,6.1,6.001,6.126,5.999,484325.1,80300,IRKT
2012-01-12,6.012,6.119,6.197,5.992,936341.3,153400,IRKT
2012-01-13,6.124,6.057,6.2,6.0,446538.8,73600,IRKT
2012-01-16,6.0,6.008,6.11,6.0,70236.4,11600,IRKT
2012-01-17,6.146,6.08,6.148,6.0,716199.3,118800,IRKT
2012-01-18,6.07,6.1,6.12,6.004,112557.7,18500,IRKT
2012-01-19,6.086,6.1,6.115,6.042,152822.5,25100,IRKT
2012-01-20,6.083,6.147,6.196,6.007,237183.9,38600,IRKT
2012-01-23,6.149,6.147,6.149,6.079,748556.6,122900,IRKT
2012-01-24,6.117,6.108,6.188,6.055,297911.7,48700,IRKT
2012-01-25,6.25,6.132,6.3,6.083,256303.69999999998,41900,IRKT
2012-01-26,6.261,6.355,6.5,6.154,1287289.2000000002,201700,IRKT
2012-01-27,6.201,6.288,6.383,6.201,359359.8,56800,IRKT
2012-01-30,6.224,6.192,6.286,6.162,185580.6,29800,IRKT
2012-01-31,6.151,6.46,6.47,6.151,1153477.4000000001,180100,IRKT
2012-02-01,6.361,6.712,6.99,6.355,2491940.4,373200,IRKT
2012-02-02,6.562,6.587,6.799,6.409,2430607.8,371300,IRKT
2012-02-03,6.786,6.68,6.786,6.545,369028.4,55800,IRKT
2012-02-06,6.108,6.57,6.659,5.551,772295.9,119700,IRKT
2012-02-07,6.723,6.463,6.723,6.409,418011.7,63600,IRKT
2012-02-08,6.59,6.806,7.0,6.404,3176675.6,468300,IRKT
2012-02-09,6.82,7.329,7.68,6.784,5720801.499999999,785600,IRKT
2012-02-10,7.203,7.198,7.212,7.001,551556.9,77500,IRKT
2012-02-13,7.299,7.304,7.488,7.099,1014780.6,139500,IRKT
2012-02-14,6.951,7.049,7.4,6.95,1326010.7999999998,187200,IRKT
2012-02-15,7.202,7.1,7.23,7.1,660506.6000000001,92200,IRKT
2012-02-16,7.212,7.115,7.3,7.102,531821.0,73900,IRKT
2012-02-17,7.339,7.276,7.358,7.2,306644.4,42300,IRKT
2012-02-20,7.23,7.01,7.277,7.0,760031.4,107200,IRKT
2012-02-21,7.003,7.0,7.133,6.955,717126.6,102100,IRKT
2012-02-22,7.004,6.886,7.07,6.85,1286437.5,184900,IRKT
2012-02-24,6.93,7.069,7.07,6.7,685928.2999999999,100600,IRKT
2012-02-27,7.114,7.265,7.32,7.083,1513599.4,208900,IRKT
2012-02-28,7.276,7.208,7.285,7.135,652785.6,90300,IRKT
2012-02-29,7.231,7.154,7.287,7.095,325276.4,45500,IRKT
2012-03-01,7.149,7.2,7.2,7.015,581020.3,81500,IRKT
2012-03-02,7.218,7.253,7.29,7.011,734943.3999999999,102200,IRKT
2012-03-05,7.294,7.356,7.445,7.257,1227806.7000000002,166100,IRKT
2012-03-06,7.258,6.969,7.415,6.914,903585.3,128400,IRKT
2012-03-07,7.255,7.073,7.255,6.825,845241.5,121500,IRKT
2012-03-11,7.002,7.229,7.26,7.001,525266.3,73000,IRKT
2012-03-12,7.436,7.236,7.65,7.061,3199272.4,441700,IRKT
2012-03-13,7.336,7.199,7.34,7.015,1673282.8,232700,IRKT
2012-03-14,7.267,7.308,7.38,7.19,1413677.2,194100,IRKT
2012-03-15,7.211,7.289,7.34,7.2,803882.4,110600,IRKT
2012-03-16,7.377,7.32,7.377,7.223,405526.89999999997,55600,IRKT
2012-03-19,7.335,7.335,7.485,7.092,639438.7,87200,IRKT
2012-03-20,7.34,7.245,7.551,7.1,961572.1,130300,IRKT
2012-03-21,7.385,7.26,7.385,7.2,357031.2,48900,IRKT
2012-03-22,7.323,7.292,7.34,7.199,604119.6,83100,IRKT
2012-03-23,7.222,7.241,7.417,7.1,376046.4,52100,IRKT
2012-03-26,7.324,7.364,7.489,7.301,966114.6,131200,IRKT
2012-03-27,7.401,7.334,7.472,7.203,1036568.7000000001,140100,IRKT
2012-03-28,7.276,7.268,7.347,7.15,293432.9,40600,IRKT
2012-03-29,7.249,7.35,7.598,7.1,2915066.5999999996,392100,IRKT
2012-03-30,7.467,7.63,7.749,7.386,2932162.0,385400,IRKT
2012-04-02,7.63,7.507,7.783,7.381,1279868.0,170000,IRKT
2012-04-03,7.578,7.404,7.588,7.391,971949.0,130200,IRKT
2012-04-04,7.444,7.212,7.479,7.15,1879769.2,258700,IRKT
2012-04-05,7.151,7.201,7.21,7.111,918133.2,128200,IRKT
2012-04-06,7.086,7.167,7.217,7.066,154820.19999999998,21800,IRKT
2012-04-09,7.064,7.025,7.104,6.963,880230.1,125300,IRKT
2012-04-10,7.154,7.105,7.158,6.985,690737.2,98000,IRKT
2012-04-11,7.15,7.073,7.155,7.004,546127.7,77000,IRKT
2012-04-12,7.239,7.144,7.239,7.088,415879.5,58300,IRKT
2012-04-13,7.091,7.052,7.153,7.032,154346.6,21700,IRKT
2012-04-16,7.158,7.1,7.2,7.076,525027.0,73500,IRKT
2012-04-17,7.072,7.0,7.072,6.84,387557.60000000003,55900,IRKT
2012-04-18,7.001,7.002,7.2,6.931,307974.0,43700,IRKT
2012-04-19,7.0,7.16,7.18,7.0,215248.9,30200,IRKT
2012-04-20,7.14,7.045,7.168,7.045,120428.90000000001,16900,IRKT
2012-04-23,6.92,6.87,6.999,6.842,405076.8,58400,IRKT
2012-04-24,7.0,6.82,7.0,6.7,811183.0,118300,IRKT
2012-04-25,6.804,6.819,6.881,6.75,481415.2,70800,IRKT
2012-04-26,6.8,6.75,6.849,6.696,500733.6,74200,IRKT
2012-04-27,6.7,6.739,6.799,6.683,718213.2,107100,IRKT
2012-04-28,6.798,6.779,6.798,6.7,113398.6,16800,IRKT
2012-05-02,6.8,6.65,6.829,6.65,378728.2,56200,IRKT
2012-05-03,6.74,6.646,6.759,6.629,84307.3,12600,IRKT
2012-05-04,6.73,6.176,6.73,6.007,794282.4999999999,125500,IRKT
2012-05-05,6.274,6.255,6.5,6.137,99225.90000000001,15800,IRKT
2012-05-07,6.4,6.35,6.406,6.2,520254.79999999993,81500,IRKT
2012-05-08,6.362,6.301,6.362,6.301,12624.9,2000,IRKT
2012-05-10,6.051,6.259,6.394,6.051,372895.7,60000,IRKT
2012-05-11,6.202,6.064,6.298,6.05,328131.6,53600,IRKT
2012-05-12,6.008,6.053,6.149,6.008,235723.69999999998,38900,IRKT
2012-05-14,6.155,5.756,6.155,5.75,418993.60000000003,70900,IRKT
2012-05-15,5.817,5.877,5.9,5.631,774382.1,134100,IRKT
2012-05-16,5.774,5.788,5.849,5.685,315324.4,54800,IRKT
2012-05-17,5.704,5.653,5.782,5.557,240254.0,42200,IRKT
2012-05-18,5.551,5.696,5.745,5.5,249036.7,44500,IRKT
2012-05-21,5.68,5.685,5.804,5.5,331937.5,58800,IRKT
2012-05-22,5.697,5.889,5.9,5.587,62358.09999999999,10800,IRKT
2012-05-23,5.897,5.57,5.897,5.51,419049.2,75500,IRKT
2012-05-24,5.648,5.646,5.649,5.501,383342.6,68600,IRKT
2012-05-25,5.639,5.73,5.779,5.639,98651.5,17300,IRKT
2012-05-28,5.765,5.859,5.889,5.765,47017.2,8100,IRKT
2012-05-29,5.838,5.9,5.9,5.72,75395.6,12900,IRKT
2012-05-30,5.801,5.693,5.9,5.675,42981.8,7400,IRKT
2012-05-31,5.62,5.63,5.794,5.602,34625.8,6100,IRKT
2012-06-01,5.699,5.555,5.7,5.552,324471.7,58100,IRKT
2012-06-04,5.555,5.697,5.7,5.5,192505.7,34200,IRKT
2012-06-05,5.747,5.763,5.798,5.7,74491.3,13000,IRKT
2012-06-06,5.885,5.85,5.95,5.7,366917.9,63000,IRKT
2012-06-07,5.792,5.799,5.8,5.752,68260.0,11800,IRKT
2012-06-08,5.847,5.701,5.847,5.7,49547.9,8600,IRKT
2012-06-09,5.857,5.878,5.98,5.78,149404.6,25300,IRKT
2012-06-13,5.979,5.778,5.979,5.7,122445.2,21100,IRKT
2012-06-14,5.701,5.7,5.85,5.7,668312.5,115400,IRKT
2012-06-15,5.901,5.844,5.901,5.8,98054.1,16800,IRKT
2012-06-18,5.852,5.815,5.852,5.725,437685.7,75200,IRKT
2012-06-19,5.884,5.76,5.889,5.75,104059.40000000001,18000,IRKT
2012-06-20,5.75,5.8,5.8,5.7,99814.8,17400,IRKT
2012-06-21,5.874,5.74,5.874,5.7,1169764.2,202900,IRKT
2012-06-22,5.7,5.723,5.749,5.622,387739.60000000003,68400,IRKT
2012-06-25,5.704,5.66,5.704,5.655,681507.3999999999,120400,IRKT
2012-06-26,5.624,5.641,5.698,5.624,346678.0,61500,IRKT
2012-06-27,5.601,5.7,5.8,5.601,306655.1,53500,IRKT
2012-06-28,5.847,5.601,5.847,5.601,222127.1,39100,IRKT
2012-06-29,5.761,5.736,5.761,5.65,336348.7,59000,IRKT
2012-07-02,5.759,5.837,5.85,5.711,132519.8,22900,IRKT
2012-07-03,5.848,5.939,5.95,5.848,688098.6,116600,IRKT
2012-07-04,5.979,5.913,5.979,5.85,1081601.7,182600,IRKT
2012-07-05,6.144,5.802,6.144,5.8,310772.0,52800,IRKT
2012-07-06,5.783,5.749,5.798,5.749,136137.7,23600,IRKT
2012-07-09,5.8,5.711,5.85,5.604,281371.7,48800,IRKT
2012-07-10,5.826,5.996,6.0,5.796,922590.9,156600,IRKT
2012-07-11,5.999,5.927,6.138,5.813,167152.9,28100,IRKT
2012-07-12,5.964,5.94,6.0,5.832,172783.0,28900,IRKT
2012-07-13,5.928,5.921,5.935,5.852,72774.3,12300,IRKT
2012-07-16,5.918,5.948,5.988,5.761,373030.30000000005,63500,IRKT
2012-07-17,5.997,5.9,5.997,5.838,193668.09999999998,32800,IRKT
2012-07-18,5.98,5.92,5.98,5.91,13058.0,2200,IRKT
2012-07-19,5.98,5.871,5.996,5.87,25028.6,4200,IRKT
2012-07-20,5.848,5.817,5.852,5.71,179139.8,31100,IRKT
2012-07-23,5.774,5.699,5.8,5.6,253695.0,44500,IRKT
2012-07-24,5.849,5.7,5.945,5.55,1097559.9,193500,IRKT
2012-07-25,5.609,5.847,5.85,5.555,309256.8,54300,IRKT
2012-07-26,5.727,5.833,5.849,5.714,35764.8,6200,IRKT
2012-07-27,5.899,5.934,5.98,5.801,111796.0,18900,IRKT
2012-07-30,5.82,5.849,5.978,5.801,163579.3,28000,IRKT
2012-07-31,5.84,5.837,5.844,5.794,36614.9,6300,IRKT
2012-08-01,5.84,5.838,5.84,5.7,289126.3,50100,IRKT
2012-08-02,5.8,5.822,5.822,5.71,306808.1,53100,IRKT
2012-08-03,5.7,5.749,5.8,5.669,143764.5,25100,IRKT
2012-08-06,5.75,5.865,5.9,5.75,166600.2,28500,IRKT
2012-08-07,5.889,5.855,5.945,5.809,291782.0,49300,IRKT
2012-08-08,5.802,5.865,5.927,5.8,64614.2,11000,IRKT
2012-08-09,5.937,5.9,5.95,5.802,62502.100000000006,10600,IRKT
2012-08-10,5.899,5.9,5.9,5.85,109132.70000000001,18500,IRKT
2012-08-13,5.852,5.855,5.9,5.85,38059.2,6500,IRKT
2012-08-14,5.939,5.86,5.939,5.851,68958.1,11700,IRKT
2012-08-15,5.886,5.761,5.89,5.71,520410.0,89800,IRKT
2012-08-16,5.897,5.756,5.898,5.749,120190.7,20600,IRKT
2012-08-17,5.889,5.755,5.889,5.753,93069.1,16000,IRKT
2012-08-20,5.899,5.687,5.899,5.606,582726.8,102200,IRKT
2012-08-21,5.653,5.71,5.748,5.648,317082.0,55600,IRKT
2012-08-22,5.608,5.7,5.75,5.608,187580.2,32900,IRKT
2012-08-23,5.748,5.839,5.839,5.705,355931.5,61700,IRKT
2012-08-24,5.734,5.869,5.887,5.734,73523.2,12700,IRKT
2012-08-27,5.748,5.8,5.847,5.743,30001.3,5200,IRKT
2012-08-28,5.734,5.78,5.842,5.7,34547.5,6000,IRKT
2012-08-29,5.709,5.622,5.73,5.616,195418.90000000002,34600,IRKT
2012-08-30,5.621,5.75,5.75,5.62,174275.1,30600,IRKT
2012-08-31,5.634,5.75,5.792,5.571,157734.5,28000,IRKT
2012-09-03,5.611,5.75,5.75,5.6,115366.9,20400,IRKT
2012-09-04,5.769,5.787,5.85,5.673,130052.9,22400,IRKT
2012-09-05,5.7,5.699,5.745,5.488,33137.4,5900,IRKT
2012-09-06,5.651,5.707,5.742,5.65,124584.1,22000,IRKT
2012-09-07,5.601,5.748,5.749,5.601,76075.0,13300,IRKT
2012-09-10,5.8,5.846,5.85,5.791,226490.5,38900,IRKT
2012-09-11,5.86,5.779,5.937,5.779,1057526.0,179700,IRKT
2012-09-12,5.78,5.72,5.87,5.72,95921.3,16500,IRKT
2012-09-13,5.877,5.895,5.9,5.787,58183.7,9900,IRKT
2012-09-14,5.937,5.968,6.148,5.801,593242.0,99600,IRKT
2012-09-17,5.948,5.89,6.0,5.89,301691.9,50800,IRKT
2012-09-18,5.801,5.854,5.892,5.746,97110.9,16700,IRKT
2012-09-19,5.872,5.756,5.962,5.756,159086.5,27300,IRKT
2012-09-20,5.72,5.821,5.821,5.72,95695.7,16700,IRKT
2012-09-21,5.889,5.82,5.9,5.801,212873.2,36200,IRKT
2012-09-24,5.8,5.843,5.897,5.721,84506.1,14600,IRKT
2012-09-25,5.85,5.84,5.889,5.802,74336.3,12700,IRKT
2012-09-26,5.8,5.622,5.8,5.62,793229.4,140200,IRKT
2012-09-27,5.7,5.65,5.7,5.61,329538.9,58500,IRKT
2012-09-28,5.65,5.75,5.847,5.6,131784.7,23200,IRKT
2012-10-01,5.739,5.789,5.799,5.701,59374.0,10300,IRKT
