date,open,close,high,low,value,volume,ticker
2011-11-17,40.46,40.95,40.95,40.05,2888602,71500,KMAZ
2011-11-18,40.74,40.58,40.84,40.04,1166413,28800,KMAZ
2011-11-21,40.36,39.22,41.43,38.4,2718334,68100,KMAZ
2011-11-22,39.51,40.0,41.7,38.96,2322167,57600,KMAZ
2011-11-23,40.0,40.22,40.29,39.0,2241763,56600,KMAZ
2011-11-24,40.2,40.22,40.37,39.9,733351,18300,KMAZ
2011-11-25,39.9,40.0,40.27,39.0,1643787,41600,KMAZ
2011-11-28,40.45,40.9,41.0,39.79,2904303,71800,KMAZ
2011-11-29,41.0,40.07,41.0,39.63,1845505,46100,KMAZ
2011-11-30,40.29,40.5,40.6,39.77,2799502,69700,KMAZ
2011-12-01,40.6,42.0,44.4,40.5,21396786,500800,KMAZ
2011-12-02,42.09,41.96,43.09,41.7,3950555,93600,KMAZ
2011-12-05,41.9,42.1,42.48,41.81,1833365,43500,KMAZ
2011-12-06,41.67,40.96,41.94,40.68,5631523,136600,KMAZ
2011-12-07,41.06,40.9,41.22,40.16,2492369,60900,KMAZ
2011-12-08,41.11,41.04,41.27,40.59,513227,12500,KMAZ
2011-12-09,40.16,39.89,40.16,38.72,2330062,58900,KMAZ
2011-12-12,40.39,38.94,40.97,38.66,1768933,44600,KMAZ
2011-12-13,39.52,39.44,39.78,38.66,1872744,47900,KMAZ
2011-12-14,39.24,39.0,39.66,38.84,1617434,41400,KMAZ
2011-12-15,38.98,39.5,39.58,38.95,719661,18300,KMAZ
2011-12-16,40.28,39.97,40.3,39.45,601538,15100,KMAZ
2011-12-19,39.2,39.35,39.55,39.0,223604,5700,KMAZ
2011-12-20,39.1,39.0,39.5,38.62,3481892,89700,KMAZ
2011-12-21,39.84,38.79,40.5,38.6,5497638,140800,KMAZ
2011-12-22,38.55,37.71,38.94,37.71,3094122,81100,KMAZ
2011-12-23,37.56,37.33,38.9,36.51,3705160,97900,KMAZ
2011-12-26,37.36,37.0,37.78,36.61,2436407,65800,KMAZ
2011-12-27,37.14,36.3,37.14,36.0,2808121,77300,KMAZ
2011-12-28,36.19,36.23,36.84,36.14,1297527,35700,KMAZ
2011-12-29,36.48,35.06,36.56,34.23,5095083,145300,KMAZ
2011-12-30,35.38,35.16,36.6,35.0,2806106,79200,KMAZ
2012-01-03,35.7,36.64,36.9,35.7,894296,24500,KMAZ
2012-01-04,36.48,37.0,37.88,36.48,2013883,53900,KMAZ
2012-01-05,37.01,36.61,37.01,36.02,1956058,53400,KMAZ
2012-01-06,36.35,36.8,37.0,36.35,930617,25300,KMAZ
2012-01-09,37.26,36.82,37.76,36.67,603826,16300,KMAZ
2012-01-10,37.0,37.2,37.6,36.85,7051423,190400,KMAZ
2012-01-11,37.3,37.22,38.87,36.67,9635727,255600,KMAZ
2012-01-12,37.36,38.25,38.4,37.2,6324153,167000,KMAZ
2012-01-13,38.13,37.65,38.78,37.65,2650860,69700,KMAZ
2012-01-16,37.49,37.37,37.9,37.0,2080421,55500,KMAZ
2012-01-17,37.56,39.96,41.37,37.53,16309126,409200,KMAZ
2012-01-18,40.22,39.8,40.28,39.34,10606270,266400,KMAZ
2012-01-19,40.0,39.79,40.92,39.6,6985151,174300,KMAZ
2012-01-20,40.44,39.2,40.47,39.01,3169585,80500,KMAZ
2012-01-23,39.14,39.38,39.57,39.11,1650289,42100,KMAZ
2012-01-24,39.14,38.79,39.32,38.6,1362961,35000,KMAZ
2012-01-25,38.8,39.3,39.37,38.8,617942,15800,KMAZ
2012-01-26,39.41,39.4,39.99,39.3,1896923,47900,KMAZ
2012-01-27,39.26,39.1,39.4,38.82,1271248,32600,KMAZ
2012-01-30,38.91,43.99,47.79,38.68,36830896,838500,KMAZ
2012-01-31,44.62,44.45,45.99,43.93,22538961,502700,KMAZ
2012-02-01,44.38,42.87,44.38,42.68,11051668,256000,KMAZ
2012-02-02,43.65,42.48,43.65,42.24,4193096,98000,KMAZ
2012-02-03,42.73,42.85,43.1,42.53,3357718,78600,KMAZ
2012-02-06,43.38,43.25,43.94,42.9,5000970,115300,KMAZ
2012-02-07,43.0,42.86,43.27,42.75,2219258,51600,KMAZ
2012-02-08,43.02,43.64,43.9,42.88,5686907,131400,KMAZ
2012-02-09,43.22,43.46,43.8,43.0,2889582,66700,KMAZ
2012-02-10,43.62,42.45,43.62,42.2,3760203,87800,KMAZ
2012-02-13,42.73,44.1,44.4,42.52,4917072,113400,KMAZ
2012-02-14,44.1,50.03,52.79,44.1,155718929,3156200,KMAZ
2012-02-15,51.0,48.5,54.87,48.27,214062262,4100400,KMAZ
2012-02-16,47.51,46.25,47.94,45.75,34313118,738800,KMAZ
2012-02-17,46.15,46.09,46.8,45.64,22743829,493700,KMAZ
2012-02-20,46.59,46.82,49.1,45.85,29440894,621500,KMAZ
2012-02-21,46.9,46.4,47.3,45.76,9985700,215300,KMAZ
2012-02-22,46.78,46.49,48.74,46.28,19359259,409600,KMAZ
2012-02-24,46.78,47.55,48.17,46.68,9370986,197700,KMAZ
2012-02-27,47.22,47.22,48.19,46.51,6541828,138900,KMAZ
2012-02-28,47.49,46.15,47.86,46.05,4646248,99900,KMAZ
2012-02-29,46.33,46.17,46.7,45.55,7075196,153800,KMAZ
2012-03-01,46.0,45.01,46.0,41.13,7451268,165700,KMAZ
2012-03-02,45.08,45.25,45.7,44.9,2948813,65100,KMAZ
2012-03-05,45.24,45.36,45.72,45.24,2930029,64500,KMAZ
2012-03-06,45.06,42.85,45.06,42.6,13996930,323100,KMAZ
2012-03-07,42.51,43.6,44.8,41.9,16306246,375100,KMAZ
2012-03-11,44.49,44.67,45.5,44.0,9900333,221800,KMAZ
2012-03-12,44.49,44.0,44.67,43.75,5248356,118800,KMAZ
2012-03-13,44.35,43.94,44.37,43.65,2648757,60400,KMAZ
2012-03-14,44.16,45.7,47.36,44.06,30104543,656700,KMAZ
2012-03-15,45.7,45.78,47.3,45.0,7751323,168100,KMAZ
2012-03-16,46.3,45.82,46.3,45.75,3912162,85400,KMAZ
2012-03-19,45.84,48.8,50.31,44.78,129083675,2663300,KMAZ
2012-03-20,48.97,47.0,48.99,46.71,15294438,321200,KMAZ
2012-03-21,47.14,46.21,47.25,46.08,6593919,141800,KMAZ
2012-03-22,46.62,46.5,47.39,45.84,8194697,176300,KMAZ
2012-03-23,46.29,46.75,46.75,46.0,2708295,58300,KMAZ
2012-03-26,47.14,47.8,49.47,47.14,13993509,290800,KMAZ
2012-03-27,48.15,47.42,49.35,47.12,11231996,231200,KMAZ
2012-03-28,47.51,46.74,48.51,46.58,7840123,165300,KMAZ
2012-03-29,46.91,45.96,47.48,45.0,9241798,200800,KMAZ
2012-03-30,46.3,46.53,47.65,45.52,8646523,185600,KMAZ
2012-04-02,46.97,46.6,47.4,46.2,3325533,71400,KMAZ
2012-04-03,47.78,47.01,47.9,46.86,5316672,112200,KMAZ
2012-04-04,46.54,46.52,47.4,46.15,2582576,55200,KMAZ
2012-04-05,46.93,47.2,47.37,46.1,2960110,63100,KMAZ
2012-04-06,47.32,46.25,47.37,46.11,2077793,44400,KMAZ
2012-04-09,46.15,45.49,46.16,44.42,3173982,69800,KMAZ
2012-04-10,45.5,45.7,46.1,45.16,1594709,35000,KMAZ
2012-04-11,45.5,44.98,45.54,43.01,7142179,159800,KMAZ
2012-04-12,44.99,45.67,47.3,44.75,8237007,177800,KMAZ
2012-04-13,46.2,47.9,49.87,46.2,33096288,684000,KMAZ
2012-04-16,47.6,48.47,49.13,47.18,19197446,398600,KMAZ
2012-04-17,48.7,47.57,48.8,47.01,6399131,133600,KMAZ
2012-04-18,47.61,47.6,47.8,46.82,7323600,155300,KMAZ
2012-04-19,47.29,47.18,47.92,46.8,5736821,121600,KMAZ
2012-04-20,46.95,48.24,48.31,46.8,8561696,179200,KMAZ
2012-04-23,48.0,48.12,48.48,47.13,6550344,136300,KMAZ
2012-04-24,47.83,48.5,49.25,47.7,10960516,226100,KMAZ
2012-04-25,49.0,50.09,51.0,48.6,22242628,446600,KMAZ
2012-04-26,50.32,52.25,53.69,50.11,48761449,941600,KMAZ
2012-04-27,52.45,54.14,55.8,51.7,93399653,1709700,KMAZ
2012-04-28,54.11,53.79,54.54,52.81,2946867,55100,KMAZ
2012-05-02,53.8,50.36,54.7,49.87,27458229,525100,KMAZ
2012-05-03,50.3,48.18,50.77,47.51,12342031,252000,KMAZ
2012-05-04,48.22,48.0,48.9,46.99,14107314,295700,KMAZ
2012-05-05,48.59,48.65,48.86,47.9,3317092,68400,KMAZ
2012-05-07,47.86,46.9,47.99,44.44,1902102,40700,KMAZ
2012-05-08,47.6,47.41,47.6,47.23,397660,8400,KMAZ
2012-05-10,47.79,49.76,51.67,47.79,5926331,119500,KMAZ
2012-05-11,49.51,48.42,49.51,48.05,8022631,163900,KMAZ
2012-05-12,48.33,48.41,48.8,48.23,388682,8000,KMAZ
2012-05-14,48.63,47.9,49.4,47.71,3358990,69200,KMAZ
2012-05-15,47.78,48.45,48.45,47.71,3591552,75000,KMAZ
2012-05-16,47.89,48.04,48.5,47.75,2966833,61900,KMAZ
2012-05-17,48.03,47.31,49.1,47.31,10662603,220700,KMAZ
2012-05-18,47.11,47.11,48.9,46.16,26839011,566100,KMAZ
2012-05-21,47.11,48.4,48.41,47.11,1318230,27500,KMAZ
2012-05-22,48.41,48.27,49.57,48.24,650888,13400,KMAZ
2012-05-23,48.26,47.89,48.66,47.5,7019766,145600,KMAZ
2012-05-24,47.85,47.35,48.23,46.62,5130068,108000,KMAZ
2012-05-25,47.58,47.98,48.23,47.3,2246282,47100,KMAZ
2012-05-28,47.5,46.85,47.55,46.55,9203482,195800,KMAZ
2012-05-29,47.31,46.5,47.31,46.0,6805830,146600,KMAZ
2012-05-30,46.5,45.37,46.77,44.14,2016186,44400,KMAZ
2012-05-31,45.37,45.22,47.47,44.8,1153105,25300,KMAZ
2012-06-01,45.02,43.19,45.87,42.81,3238334,73500,KMAZ
2012-06-04,42.8,41.85,43.26,41.54,5474459,130300,KMAZ
2012-06-05,41.95,42.14,42.98,41.9,1476908,35000,KMAZ
2012-06-06,42.15,42.74,42.84,41.73,2604359,61500,KMAZ
2012-06-07,42.79,42.8,42.83,42.36,2021929,47400,KMAZ
2012-06-08,42.39,42.37,42.54,42.11,1247738,29500,KMAZ
2012-06-09,42.55,44.23,45.75,42.46,5446957,123400,KMAZ
2012-06-13,44.0,44.78,46.48,43.22,2840106,63400,KMAZ
2012-06-14,44.35,45.4,45.4,43.5,1410324,31900,KMAZ
2012-06-15,44.28,44.7,45.4,44.28,1458102,32400,KMAZ
2012-06-18,45.0,45.27,45.6,45.0,2065323,45700,KMAZ
2012-06-19,44.98,44.87,45.27,44.79,692482,15400,KMAZ
2012-06-20,44.96,44.22,44.96,44.2,611576,13700,KMAZ
2012-06-21,44.47,44.02,45.0,44.01,1052092,23600,KMAZ
2012-06-22,43.8,43.15,43.8,42.4,1756129,40900,KMAZ
2012-06-25,42.6,43.3,43.94,42.6,360592,8300,KMAZ
2012-06-26,44.35,43.73,44.7,43.52,506805,11600,KMAZ
2012-06-27,44.06,44.24,44.3,43.37,699031,15900,KMAZ
2012-06-28,44.27,43.58,44.3,43.58,210905,4800,KMAZ
2012-06-29,43.89,45.19,45.7,43.89,3431201,76400,KMAZ
2012-07-02,45.45,44.67,45.98,44.2,3123978,70000,KMAZ
2012-07-03,44.71,44.4,44.71,43.67,6957056,157400,KMAZ
2012-07-04,44.79,44.5,44.89,44.32,1606713,36100,KMAZ
2012-07-05,44.13,44.42,44.5,44.02,566996,12800,KMAZ
2012-07-06,43.86,43.4,44.47,42.95,3329632,76700,KMAZ
2012-07-09,43.1,43.07,43.5,43.0,574144,13300,KMAZ
2012-07-10,42.81,43.79,43.89,42.81,1166879,27000,KMAZ
2012-07-11,43.02,43.15,43.15,42.89,938350,21800,KMAZ
2012-07-12,42.91,43.04,43.3,42.64,1032100,24000,KMAZ
2012-07-13,43.05,43.15,43.25,42.8,434850,10100,KMAZ
2012-07-16,43.09,43.2,43.35,42.83,1881152,43700,KMAZ
2012-07-17,43.05,43.0,43.3,43.0,775231,18000,KMAZ
2012-07-18,43.57,42.96,43.57,42.9,660089,15300,KMAZ
2012-07-19,43.39,43.67,44.56,43.12,2270919,51700,KMAZ
2012-07-20,43.32,43.12,43.56,42.82,1322815,30700,KMAZ
2012-07-23,42.56,41.96,42.56,41.02,2062885,49400,KMAZ
2012-07-24,41.4,41.88,41.95,41.27,120495,2900,KMAZ
2012-07-25,41.86,41.99,42.0,41.14,600408,14400,KMAZ
2012-07-26,42.0,42.24,43.05,41.65,2174249,51600,KMAZ
2012-07-27,42.46,42.26,42.99,41.75,1722552,40800,KMAZ
2012-07-30,42.64,42.7,43.2,42.43,1085800,25300,KMAZ
2012-07-31,42.4,42.0,42.66,41.77,1717506,40800,KMAZ
2012-08-01,41.79,42.0,42.3,41.53,1484347,35300,KMAZ
2012-08-02,42.7,41.0,42.7,41.0,2780947,66900,KMAZ
2012-08-03,41.0,41.62,41.8,41.0,1344426,32500,KMAZ
