date,open,close,high,low,value,volume,ticker
2011-11-17,1740.0,1742.6,1758.0,1714.0,3798771399.7,2189352,LKOH
2011-11-18,1721.0,1713.9,1739.1,1700.5,3896437303.9,2263277,LKOH
2011-11-21,1700.5,1647.9,1701.7,1640.2,4520273870.3,2710349,LKOH
2011-11-22,1640.0,1651.0,1670.0,1638.2,3314286900.0,1999009,LKOH
2011-11-23,1640.0,1659.0,1682.3,1623.7,3363870173.8,2032212,LKOH
2011-11-24,1654.4,1633.0,1667.0,1631.0,2215777788.6,1345209,LKOH
2011-11-25,1625.0,1644.8,1649.0,1585.1,3662130137.6,2266752,LKOH
2011-11-28,1665.1,1713.7,1715.1,1650.9,3695313148.0,2189820,LKOH
2011-11-29,1717.5,1692.0,1729.5,1685.6,2670511565.6,1566265,LKOH
2011-11-30,1700.2,1722.0,1729.4,1692.6,5333171219.3,3104925,LKOH
2011-12-01,1734.1,1704.0,1749.0,1695.3,4819086969.0,2793607,LKOH
2011-12-02,1708.0,1705.0,1714.0,1690.0,4126221747.9,2423186,LKOH
2011-12-05,1713.3,1729.0,1734.5,1706.2,2635891797.4,1532305,LKOH
2011-12-06,1718.7,1674.5,1737.0,1658.4,4710167153.3,2773264,LKOH
2011-12-07,1678.0,1658.0,1678.7,1640.0,3883688873.0,2342462,LKOH
2011-12-08,1665.0,1689.7,1714.3,1662.8,4749519934.3,2804451,LKOH
2011-12-09,1653.2,1615.0,1662.3,1593.1,5276041223.8,3260193,LKOH
2011-12-12,1623.9,1587.7,1644.0,1576.0,3451260836.2,2133949,LKOH
2011-12-13,1590.0,1623.1,1626.2,1569.7,4286756884.3,2665362,LKOH
2011-12-14,1607.6,1606.0,1641.5,1601.0,4197893005.8,2584620,LKOH
2011-12-15,1592.6,1623.4,1630.0,1586.0,5661166402.0,3526712,LKOH
2011-12-16,1631.7,1602.7,1648.0,1601.6,3020656345.9,1859383,LKOH
2011-12-19,1601.3,1633.0,1642.7,1591.6,2657081614.2,1641743,LKOH
2011-12-20,1628.9,1654.0,1654.0,1618.5,2076629056.9,1270388,LKOH
2011-12-21,1660.1,1634.9,1667.0,1622.7,3838600917.8,2325570,LKOH
2011-12-22,1638.8,1635.0,1648.0,1609.6,1784300645.1,1092909,LKOH
2011-12-23,1637.9,1641.1,1664.0,1619.1,2317576795.6,1410346,LKOH
2011-12-26,1648.0,1650.0,1656.5,1642.0,648205126.5,392731,LKOH
2011-12-27,1653.0,1655.1,1656.0,1632.0,1219254011.8,741000,LKOH
2011-12-28,1653.0,1673.1,1678.9,1640.0,2602236189.7,1563785,LKOH
2011-12-29,1660.0,1685.1,1686.0,1658.6,1834561623.3,1098295,LKOH
2011-12-30,1689.1,1701.0,1710.0,1680.1,1651918476.1,971917,LKOH
2012-01-03,1712.0,1731.0,1732.0,1712.0,1955056314.4,1135017,LKOH
2012-01-04,1730.1,1722.1,1735.0,1711.0,1134524046.7,658758,LKOH
2012-01-05,1726.0,1723.2,1734.8,1711.5,1277168150.4,740779,LKOH
2012-01-06,1722.8,1738.4,1747.0,1719.0,1409001109.7,812355,LKOH
2012-01-09,1735.0,1754.3,1759.5,1726.0,1129836549.6,646043,LKOH
2012-01-10,1759.6,1783.7,1797.0,1757.5,3208459440.1,1799532,LKOH
2012-01-11,1779.8,1782.0,1793.1,1772.6,2381163857.4,1335735,LKOH
2012-01-12,1782.0,1761.1,1792.6,1761.1,2226243175.2,1252339,LKOH
2012-01-13,1761.2,1751.2,1771.0,1744.5,2989929232.6,1702572,LKOH
2012-01-16,1744.0,1768.2,1772.0,1730.6,1879377650.8999999,1073434,LKOH
2012-01-17,1780.2,1795.0,1802.5,1778.0,3091191757.4,1725078,LKOH
2012-01-18,1791.2,1808.0,1815.0,1781.3,2730668361.4,1519338,LKOH
2012-01-19,1817.8,1820.0,1824.7,1801.0,2664516837.5,1470102,LKOH
2012-01-20,1822.0,1806.0,1824.2,1796.3,2260278842.8,1248613,LKOH
2012-01-23,1806.2,1815.4,1815.8,1796.9,2465752173.9,1363109,LKOH
2012-01-24,1809.2,1783.0,1811.0,1779.0,3369176931.9,1881215,LKOH
2012-01-25,1791.0,1780.0,1792.0,1773.0,3082111428.9,1730457,LKOH
2012-01-26,1790.0,1768.0,1793.9,1766.4,3489820171.8,1963762,LKOH
2012-01-27,1764.4,1765.0,1775.9,1761.3,2177202496.0,1231185,LKOH
2012-01-30,1758.9,1769.1,1779.0,1757.0,2362527869.3,1336248,LKOH
