date,open,close,high,low,value,volume,ticker
2011-11-17,5555.0,5880.0,6170.0,5525.0,13167985.0,2252,LNZL
2011-11-18,5650.2,5740.9,5835.0,5600.0,7288378.3,1281,LNZL
2011-11-21,5607.6,5751.2,6050.0,5300.0,15110609.3,2627,LNZL
2011-11-22,5750.0,5700.0,5900.0,5620.1,9140922.2,1587,LNZL
2011-11-23,5600.2,5600.0,5700.0,5555.0,8012930.8,1420,LNZL
2011-11-24,4899.9,4415.6,4900.0,4322.0,6898765.7,1516,LNZL
2011-11-25,4415.6,4284.9,4415.7,4151.0,2904921.9,680,LNZL
2011-11-28,4294.5,4347.0,4399.9,4250.1,850233.6,197,LNZL
2011-11-29,4389.9,4343.9,4389.9,4270.5,688998.0,159,LNZL
2011-11-30,4337.0,4450.0,4565.6,4300.7,1082721.0,246,LNZL
2011-12-01,4540.0,4470.0,4549.0,4400.0,1015829.9,227,LNZL
2011-12-02,4470.0,4509.7,4548.7,4400.1,398879.4,89,LNZL
2011-12-05,4500.0,4470.0,4530.0,4470.0,435912.6,97,LNZL
2011-12-06,4410.3,4410.0,4481.7,4368.0,1485761.1,336,LNZL
2011-12-07,4401.7,4450.0,4479.8,4318.0,2100466.2,477,LNZL
2011-12-08,4449.9,4462.0,4698.0,4441.0,1427250.7,314,LNZL
2011-12-09,4450.0,4455.9,4500.0,4328.0,1714004.2,388,LNZL
2011-12-12,4420.2,4310.0,4456.0,4268.0,1116269.9,254,LNZL
2011-12-13,4353.3,4340.0,4353.3,4268.1,233158.1,54,LNZL
2011-12-14,4330.0,4300.1,4400.0,4300.1,1337698.1,306,LNZL
2011-12-15,4300.0,4300.0,4329.4,4269.2,503205.0,117,LNZL
2011-12-16,4308.1,4268.4,4310.0,4268.2,300525.8,70,LNZL
2011-12-19,4272.0,4300.0,4310.0,4178.9,284185.19999999995,67,LNZL
2011-12-20,4282.7,4259.0,4330.0,4259.0,43029.5,10,LNZL
2011-12-21,4325.0,4321.0,4350.0,4300.0,1260020.2,291,LNZL
2011-12-22,4301.3,4250.0,4320.0,4221.3,161805.3,38,LNZL
2011-12-23,4260.5,4400.0,4560.5,4177.0,1529025.8,350,LNZL
2011-12-26,4495.0,4457.9,4700.0,4450.0,491943.3,109,LNZL
2011-12-27,4490.0,4526.8,4540.0,4464.1,1155000.3,256,LNZL
2011-12-28,4529.9,4519.9,4565.6,4500.0,425303.8,94,LNZL
2011-12-29,4597.9,4499.3,4597.9,4350.0,533208.4,119,LNZL
2011-12-30,4548.6,4355.0,4548.6,4350.0,1041288.5,233,LNZL
2012-01-03,4440.0,4539.9,4539.9,4391.1,277566.7,62,LNZL
2012-01-04,4454.5,4550.0,4550.0,4452.3,216510.5,48,LNZL
2012-01-05,4580.8,4599.0,4599.0,4580.8,96351.20000000001,21,LNZL
2012-01-06,4550.0,4600.0,4600.0,4550.0,147144.9,32,LNZL
2012-01-09,4555.5,4600.0,4639.8,4550.9,137517.5,30,LNZL
2012-01-10,4799.8,4789.5,4950.0,4640.0,2966380.6,630,LNZL
2012-01-11,4899.0,4729.9,4899.0,4526.4,216025.69999999998,46,LNZL
2012-01-12,4700.0,4598.0,4730.0,4099.0,4223770.2,967,LNZL
2012-01-13,4487.5,4600.0,4600.0,4487.5,372855.3,82,LNZL
2012-01-16,4584.9,4575.0,4680.0,4540.0,39928787.8,8685,LNZL
2012-01-17,4619.9,4610.0,4695.0,4575.0,218281.30000000002,47,LNZL
2012-01-18,4640.0,4543.8,4640.0,4543.8,315731.6,69,LNZL
2012-01-19,4550.0,4575.0,4630.0,4530.0,2083959.4,453,LNZL
2012-01-20,4580.0,4575.6,4625.0,4575.6,462934.2,101,LNZL
2012-01-23,4581.5,4564.9,4581.5,4525.5,1034271.2000000001,227,LNZL
2012-01-24,4565.3,4574.9,4630.0,4562.6,1261894.8,276,LNZL
2012-01-25,4575.0,4542.6,4618.2,4542.6,877543.1,192,LNZL
2012-01-26,4589.6,4570.0,4589.6,4516.1,227886.6,50,LNZL
2012-01-27,4605.0,4600.0,4700.0,4556.0,317160.7,69,LNZL
2012-01-30,4566.4,4580.0,4580.0,4550.0,502938.5,110,LNZL
2012-01-31,4600.0,4579.9,4600.0,4550.0,910311.0,199,LNZL
2012-02-01,4600.0,4560.0,4600.0,4530.0,356139.3,78,LNZL
2012-02-02,4609.6,4560.0,4609.6,4550.1,351572.2,77,LNZL
2012-02-03,4580.0,4693.9,4875.0,4561.0,2669007.0,568,LNZL
2012-02-06,4701.1,5045.0,5499.0,4600.0,11533270.6,2249,LNZL
2012-02-07,5045.0,4830.0,5118.9,4734.0,1373824.0,283,LNZL
2012-02-08,4830.0,5009.7,5049.8,4830.0,1927303.0999999999,389,LNZL
2012-02-09,5009.7,4940.0,5009.7,4876.3,508837.0,103,LNZL
2012-02-10,4955.0,4887.9,4955.0,4860.2,176352.8,36,LNZL
2012-02-13,4960.0,4997.0,5000.9,4900.0,1105796.8,223,LNZL
2012-02-14,4970.0,4997.3,5175.0,4970.0,530308.5,105,LNZL
2012-02-15,5060.0,5029.0,5080.0,4906.8,417359.89999999997,84,LNZL
2012-02-16,4988.0,5004.0,5050.0,4980.0,210438.3,42,LNZL
2012-02-17,4999.9,5025.2,5058.2,4999.9,1335312.2000000002,265,LNZL
2012-02-20,5032.0,5209.0,5278.9,5031.9,3238822.1,626,LNZL
2012-02-21,5100.0,5120.0,5196.8,5099.8,1338866.5,261,LNZL
2012-02-22,5121.2,5100.0,5165.0,5070.0,1677275.4,329,LNZL
2012-02-24,5120.0,5163.8,5250.0,5120.0,2650363.9,513,LNZL
