date,open,close,high,low,value,volume,ticker
2011-11-17,577.0,565.0,577.5,540.0,10252146.1,18341,LSRG
2011-11-18,546.3,547.3,559.4,541.0,4779860.3,8706,LSRG
2011-11-21,543.3,528.9,543.3,516.0,4789658.3,9104,LSRG
2011-11-22,528.0,537.5,544.5,520.0,5150610.0,9676,LSRG
2011-11-23,533.3,530.0,540.0,526.3,10907980.0,20389,LSRG
2011-11-24,528.8,521.0,531.7,520.0,2081167.8,3956,LSRG
2011-11-25,516.0,518.5,518.5,494.6,7770753.5,15417,LSRG
2011-11-28,521.2,524.0,531.5,515.2,22448691.200000003,42930,LSRG
2011-11-29,523.7,519.0,524.9,514.0,19251761.400000002,37178,LSRG
2011-11-30,515.5,530.1,537.7,510.5,43376266.4,83449,LSRG
2011-12-01,539.5,571.5,574.9,526.2,26827855.900000002,48441,LSRG
2011-12-02,582.0,565.0,586.4,561.5,7977320.8,13923,LSRG
2011-12-05,573.0,574.0,581.9,567.0,6241939.5,10868,LSRG
2011-12-06,570.0,558.0,574.0,545.0,10165593.1,18370,LSRG
2011-12-07,559.9,540.1,560.0,535.1,7671106.1,13927,LSRG
2011-12-08,542.3,542.4,558.8,535.1,5460495.5,9990,LSRG
2011-12-09,535.0,508.9,535.0,496.0,9103003.4,17886,LSRG
2011-12-12,514.4,491.9,524.9,486.6,15616855.1,31140,LSRG
2011-12-13,490.1,498.5,503.9,475.5,11775246.299999999,23807,LSRG
2011-12-14,494.8,478.9,500.0,470.0,23364807.0,48996,LSRG
2011-12-15,469.5,475.0,482.7,465.0,4651102.3,9855,LSRG
2011-12-16,479.6,472.0,481.0,466.0,6395142.5,13558,LSRG
2011-12-19,471.0,469.6,473.0,463.0,1720362.5,3675,LSRG
2011-12-20,465.5,477.7,477.7,455.7,6008252.300000001,12990,LSRG
2011-12-21,478.0,469.0,485.0,461.6,6994665.6,14891,LSRG
2011-12-22,469.0,464.8,472.0,460.0,6662157.9,14303,LSRG
2011-12-23,468.2,464.2,471.6,463.6,1675938.4,3592,LSRG
2011-12-26,466.3,464.7,469.3,462.7,9629522.0,20657,LSRG
2011-12-27,467.8,462.0,468.3,460.1,2051542.5,4435,LSRG
2011-12-28,462.6,456.2,466.7,451.6,9537810.0,20844,LSRG
2011-12-29,455.2,451.0,459.7,450.0,2321869.9,5133,LSRG
2011-12-30,450.2,458.3,469.5,445.1,40345421.5,87317,LSRG
2012-01-03,462.0,476.3,480.2,461.8,2301587.6,4864,LSRG
2012-01-04,476.2,478.1,481.2,475.5,1340831.8,2800,LSRG
2012-01-05,478.8,480.3,484.0,474.1,1578886.3,3297,LSRG
2012-01-06,481.0,476.5,482.5,470.0,2575103.6,5419,LSRG
2012-01-09,477.5,474.6,477.5,466.6,1388922.4,2947,LSRG
2012-01-10,476.7,477.6,484.5,474.9,6221026.7,12950,LSRG
2012-01-11,481.7,475.5,481.7,471.0,3676738.8,7743,LSRG
2012-01-12,478.6,478.0,482.9,472.6,5720806.0,11960,LSRG
2012-01-13,477.5,493.0,506.0,474.7,8981948.1,18316,LSRG
2012-01-16,488.1,503.0,503.0,485.5,5530326.2,11172,LSRG
2012-01-17,507.0,519.5,529.0,507.0,21767069.599999998,41957,LSRG
2012-01-18,520.0,517.5,520.0,508.0,5103703.4,9934,LSRG
2012-01-19,517.5,542.9,547.9,510.5,18534625.0,35192,LSRG
2012-01-20,544.0,537.7,559.0,525.5,6847471.899999999,12719,LSRG
2012-01-23,541.0,547.2,547.2,527.1,9532724.4,17833,LSRG
2012-01-24,544.9,546.0,549.0,536.4,4207913.5,7737,LSRG
2012-01-25,552.1,572.5,572.5,541.0,11039690.8,19778,LSRG
2012-01-26,577.0,591.0,604.0,562.3,26038323.0,44421,LSRG
2012-01-27,580.1,579.6,594.0,570.7,9501046.6,16429,LSRG
2012-01-30,575.1,567.4,576.0,557.5,10048659.9,17800,LSRG
2012-01-31,571.1,605.0,607.5,562.4,40054962.3,67948,LSRG
2012-02-01,595.3,621.3,623.7,595.3,30853489.3,50327,LSRG
2012-02-02,622.5,619.8,622.5,605.0,12511267.3,20418,LSRG
2012-02-03,617.9,619.5,620.0,608.3,5951730.3,9672,LSRG
2012-02-06,621.0,614.9,628.0,610.0,5801694.5,9427,LSRG
2012-02-07,619.0,602.2,624.8,601.0,6077355.1,9992,LSRG
2012-02-08,608.4,614.5,619.0,601.0,8507522.7,13894,LSRG
2012-02-09,618.3,618.2,619.0,606.3,13010831.4,21225,LSRG
2012-02-10,614.8,623.4,623.4,606.0,13006678.6,21215,LSRG
2012-02-13,625.0,651.3,657.0,624.9,20245097.3,31401,LSRG
2012-02-14,651.3,674.0,686.0,650.8,26082227.4,39128,LSRG
2012-02-15,677.0,674.8,699.0,662.2,25762054.1,37985,LSRG
2012-02-16,664.4,692.0,694.0,645.2,21665013.4,32262,LSRG
2012-02-17,698.8,677.0,698.8,665.1,10206941.1,15058,LSRG
2012-02-20,668.0,662.6,675.0,653.3,5447174.3,8179,LSRG
2012-02-21,660.3,637.0,667.9,633.7,11173706.3,17368,LSRG
2012-02-22,648.0,642.9,649.0,621.0,10479010.3,16505,LSRG
2012-02-24,647.0,659.0,664.0,625.0,15662762.5,24378,LSRG
2012-02-27,657.8,648.7,669.8,646.4,11501720.0,17441,LSRG
2012-02-28,644.1,641.6,656.9,631.6,4449974.9,6924,LSRG
2012-02-29,642.0,650.1,650.6,642.0,8743884.8,13488,LSRG
2012-03-01,645.0,659.0,659.5,635.0,17706140.0,27157,LSRG
