date,open,close,high,low,value,volume,ticker
2011-11-17,13.73,13.598,13.85,13.301,100353904.1,7399200,MAGN
2011-11-18,13.199,13.46,13.547,13.09,81691378.1,6120700,MAGN
2011-11-21,13.43,12.552,13.43,12.5,112222477.7,8736800,MAGN
2011-11-22,12.604,12.53,12.98,12.268,101301460.10000001,8047400,MAGN
2011-11-23,12.36,12.632,12.989,12.231,127418862.2,9990500,MAGN
2011-11-24,12.596,12.671,12.889,12.421,58859719.5,4620700,MAGN
2011-11-25,12.669,12.7,12.753,12.125,118772854.4,9585400,MAGN
2011-11-28,12.95,13.254,13.3,12.851,113933378.3,8721800,MAGN
2011-11-29,13.3,13.487,13.77,13.132,160997178.0,11955200,MAGN
2011-11-30,13.45,14.01,14.071,13.32,191873432.7,14051700,MAGN
2011-12-01,14.3,14.616,14.7,14.022,297481803.6,20765400,MAGN
2011-12-02,14.653,14.955,15.14,14.653,205730299.9,13790300,MAGN
2011-12-05,15.08,15.072,15.248,14.42,215698214.7,14450700,MAGN
2011-12-06,14.749,14.321,14.98,14.244,159008416.3,10849100,MAGN
2011-12-07,14.45,13.932,14.585,13.87,120723266.0,8481400,MAGN
2011-12-08,13.95,13.85,14.18,13.524,149167032.7,10685900,MAGN
2011-12-09,13.6,13.5,13.663,13.041,142609671.8,10650100,MAGN
2011-12-12,13.667,12.831,13.9,12.8,120651991.4,9082000,MAGN
2011-12-13,12.82,12.901,13.32,12.52,149692278.2,11666300,MAGN
2011-12-14,12.8,12.675,12.916,12.522,115359868.3,9044900,MAGN
2011-12-15,12.39,12.755,12.814,12.301,121175837.6,9623400,MAGN
2011-12-16,12.817,12.699,12.97,12.6,82181872.8,6455800,MAGN
2011-12-19,12.563,12.746,12.862,12.5,59131978.5,4656900,MAGN
2011-12-20,12.707,12.856,12.98,12.667,44759212.7,3489300,MAGN
2011-12-21,12.956,12.65,13.079,12.631,98876324.3,7688300,MAGN
2011-12-22,12.634,12.745,12.9,12.58,63381101.300000004,4980200,MAGN
2011-12-23,12.84,12.56,12.84,12.519,44325707.8,3515600,MAGN
2011-12-26,12.7,12.616,12.8,12.589,20791906.0,1645100,MAGN
2011-12-27,12.652,12.38,12.663,12.251,41945995.1,3370800,MAGN
2011-12-28,12.286,12.397,12.42,12.25,58754884.5,4747400,MAGN
2011-12-29,12.35,12.157,12.359,12.023,57812950.0,4770300,MAGN
2011-12-30,12.199,12.363,12.368,12.199,43952021.8,3578700,MAGN
2012-01-03,12.401,12.949,12.97,12.401,120729344.9,9434000,MAGN
2012-01-04,12.97,12.85,13.069,12.717,80809436.6,6272000,MAGN
2012-01-05,12.84,12.719,13.048,12.612,59974560.2,4668200,MAGN
2012-01-06,12.651,12.827,12.9,12.6,34877140.8,2731700,MAGN
2012-01-09,12.771,12.856,12.965,12.73,36891176.9,2869700,MAGN
2012-01-10,12.95,13.33,13.339,12.943,153596989.6,11613100,MAGN
2012-01-11,13.276,13.162,13.498,13.101,123805336.6,9321800,MAGN
2012-01-12,13.199,13.287,13.533,13.169,240327622.0,18008000,MAGN
2012-01-13,13.319,13.096,13.5,12.999,116693184.5,8807700,MAGN
2012-01-16,12.9,13.0,13.096,12.686,87228774.2,6755200,MAGN
2012-01-17,13.151,13.276,13.378,13.15,117878315.9,8875300,MAGN
2012-01-18,13.292,13.263,13.3,13.099,65750289.2,4975300,MAGN
2012-01-19,13.331,13.65,13.682,13.1,281350335.7,20966200,MAGN
2012-01-20,13.695,13.6,13.77,13.37,124107407.69999999,9134300,MAGN
2012-01-23,13.462,13.836,13.86,13.461,190568822.4,13840700,MAGN
2012-01-24,13.8,13.75,13.95,13.721,108581212.5,7819900,MAGN
2012-01-25,13.9,13.899,14.043,13.821,97391935.6,6971600,MAGN
2012-01-26,14.052,14.085,14.199,14.01,200342042.1,14192000,MAGN
2012-01-27,14.05,13.89,14.05,13.7,117382447.7,8458200,MAGN
2012-01-30,13.8,13.63,13.89,13.56,89642232.0,6554300,MAGN
2012-01-31,13.705,13.915,13.975,13.705,116281212.7,8386800,MAGN
2012-02-01,13.875,14.164,14.185,13.723,164631389.3,11714400,MAGN
2012-02-02,14.19,14.17,14.37,13.967,194029005.7,13671700,MAGN
2012-02-03,14.17,14.936,14.998,14.125,322601038.7,22054000,MAGN
2012-02-06,15.1,14.839,15.3,14.737,325364931.4,21685500,MAGN
2012-02-07,14.898,14.63,14.975,14.57,183333325.1,12403900,MAGN
2012-02-08,14.775,14.81,15.122,14.751,245226899.0,16479200,MAGN
2012-02-09,14.85,14.713,14.94,14.6,214932716.8,14512900,MAGN
2012-02-10,14.638,14.3,14.638,14.27,133335264.4,9215800,MAGN
2012-02-13,14.502,14.91,14.941,14.502,165388136.4,11197600,MAGN
2012-02-14,14.85,14.919,15.101,14.721,196597519.29999998,13150000,MAGN
2012-02-15,15.08,14.882,15.269,14.872,157491892.4,10493800,MAGN
2012-02-16,14.679,14.68,14.683,14.45,202294068.5,13879400,MAGN
2012-02-17,14.825,14.733,14.939,14.637,150248825.8,10151900,MAGN
2012-02-20,14.88,14.85,15.138,14.75,219695801.3,14712800,MAGN
2012-02-21,14.852,14.55,14.889,14.5,200979508.0,13755600,MAGN
2012-02-22,14.651,14.428,14.678,14.1,179740643.6,12482300,MAGN
2012-02-24,14.501,14.85,14.92,14.331,238723046.29999998,16232800,MAGN
