date,open,close,high,low,value,volume,ticker
2011-11-17,0.7607,0.7483,0.7635,0.745,2133270.6,2831000,MRKC
2011-11-18,0.7599,0.7421,0.7599,0.74,225134.7,303000,MRKC
2011-11-21,0.7404,0.7411,0.7549,0.74,667489.4,896000,MRKC
2011-11-22,0.7401,0.7296,0.748,0.7221,2282579.1,3122000,MRKC
2011-11-23,0.7221,0.725,0.7299,0.7155,3196810.7,4425000,MRKC
2011-11-24,0.7255,0.7133,0.7297,0.71,1561899.5,2185000,MRKC
2011-11-25,0.71,0.71,0.7177,0.6953,865369.8999999999,1229000,MRKC
2011-11-28,0.714,0.7141,0.723,0.7011,8944404.0,12519000,MRKC
2011-11-29,0.7125,0.7479,0.7479,0.7125,7623740.9,10454000,MRKC
2011-11-30,0.7499,0.7699,0.77,0.74,2863720.6,3811000,MRKC
2011-12-01,0.77,0.785,0.81,0.77,5589358.4,7036000,MRKC
2011-12-02,0.785,0.766,0.785,0.7627,783789.7,1008000,MRKC
2011-12-05,0.7663,0.7706,0.778,0.7605,1091035.5,1426000,MRKC
2011-12-06,0.76,0.75,0.766,0.749,458269.0,606000,MRKC
2011-12-07,0.755,0.735,0.757,0.73,1436371.8,1938000,MRKC
2011-12-08,0.7394,0.7269,0.7394,0.7208,491595.4,676000,MRKC
2011-12-09,0.72,0.7089,0.72,0.685,4305755.2,6116000,MRKC
2011-12-12,0.7143,0.6929,0.7184,0.685,581455.0,831000,MRKC
2011-12-13,0.6811,0.682,0.7021,0.6633,8481265.3,12386000,MRKC
2011-12-14,0.6864,0.68,0.6909,0.67,2837528.7,4175000,MRKC
2011-12-15,0.6766,0.6771,0.6825,0.6645,344955.1,512000,MRKC
2011-12-16,0.677,0.6632,0.68,0.6584,1256846.3,1884000,MRKC
2011-12-19,0.6525,0.6538,0.6555,0.642,1744763.6,2683000,MRKC
2011-12-20,0.6574,0.6274,0.6574,0.6225,1639348.4,2608000,MRKC
2011-12-21,0.6266,0.625,0.628,0.6175,9557037.3,15351000,MRKC
2011-12-22,0.628,0.6101,0.628,0.602,5502063.4,8958000,MRKC
2011-12-23,0.6097,0.5855,0.625,0.5724,8218875.6,13799000,MRKC
2011-12-26,0.5807,0.5825,0.5974,0.5734,5571128.6,9415000,MRKC
2011-12-27,0.5825,0.5866,0.62,0.562,3510370.1,5982000,MRKC
2011-12-28,0.5911,0.5749,0.615,0.5652,2744347.8000000003,4681000,MRKC
2011-12-29,0.5611,0.5885,0.5885,0.5471,5382267.5,9650000,MRKC
2011-12-30,0.5948,0.6167,0.6167,0.5713,7484570.5,12563000,MRKC
2012-01-03,0.6,0.6288,0.6377,0.5925,965844.3,1600000,MRKC
2012-01-04,0.61,0.6244,0.6245,0.61,3262809.9000000004,5227000,MRKC
2012-01-05,0.6205,0.63,0.6577,0.6118,362034.1,575000,MRKC
2012-01-06,0.63,0.6273,0.63,0.6232,74377.20000000001,119000,MRKC
2012-01-09,0.6201,0.6298,0.6298,0.6127,54840.9,89000,MRKC
