date,open,close,high,low,value,volume,ticker
2011-11-17,67.83,67.28,68.47,66.22,18449099.6,273640,MRKK
2011-11-18,66.8,67.1,67.12,66.4,1605166.2,24080,MRKK
2011-11-21,66.56,63.32,67.88,63.21,2338319.8,35950,MRKK
2011-11-22,63.83,64.08,67.67,63.01,1822374.5,28340,MRKK
2011-11-23,62.63,63.35,64.5,61.02,1689688.3,26760,MRKK
2011-11-24,65.49,66.31,74.98,65.02,10449255.4,154170,MRKK
2011-11-25,66.3,65.09,67.45,63.04,3373251.6,51990,MRKK
2011-11-28,65.6,66.0,68.17,65.0,2031457.7,30770,MRKK
2011-11-29,66.2,66.36,67.98,66.01,1468598.5,21920,MRKK
2011-11-30,66.3,66.67,66.98,64.7,2041812.0,30900,MRKK
2011-12-01,68.0,66.9,68.0,65.41,3133248.7,46930,MRKK
2011-12-02,66.23,67.19,67.51,66.0,2846811.1,42710,MRKK
2011-12-05,67.41,68.0,68.85,66.76,1706716.1,25310,MRKK
2011-12-06,67.2,66.2,68.5,65.81,1177590.0999999999,17690,MRKK
2011-12-07,66.69,65.04,67.09,64.01,2390720.0,36750,MRKK
2011-12-08,66.29,64.99,66.7,64.34,1633793.4,24830,MRKK
2011-12-09,64.23,62.14,64.23,61.05,3182315.4,51220,MRKK
2011-12-12,65.69,60.55,65.69,60.1,1860689.7000000002,29970,MRKK
2011-12-13,60.55,59.96,61.47,58.0,2046026.8,34420,MRKK
2011-12-14,60.49,59.03,61.0,59.03,588883.1,9830,MRKK
2011-12-15,59.54,58.08,59.54,58.05,1160979.3,19810,MRKK
2011-12-16,58.05,57.5,59.42,57.5,2210576.0,38120,MRKK
2011-12-19,57.14,57.46,57.49,55.11,756207.8,13380,MRKK
2011-12-20,55.63,57.95,57.95,55.02,2481259.2,43750,MRKK
2011-12-21,58.9,55.9,59.45,55.04,1354426.0,23520,MRKK
2011-12-22,56.49,54.8,57.88,54.07,2365018.1,42880,MRKK
2011-12-23,54.8,52.7,55.99,51.3,2248366.5,42360,MRKK
2011-12-26,52.5,53.82,54.49,51.65,2665559.5,50520,MRKK
2011-12-27,53.8,52.65,53.99,51.26,543319.9,10330,MRKK
2011-12-28,52.98,52.11,52.98,51.57,1665192.3,31860,MRKK
2011-12-29,51.32,51.1,51.61,50.54,2693818.5,52720,MRKK
2011-12-30,51.1,51.66,51.75,51.01,843596.4,16440,MRKK
2012-01-03,51.89,52.72,52.72,51.89,307993.7,5870,MRKK
2012-01-04,52.69,52.67,52.75,51.7,576641.7,10970,MRKK
2012-01-05,52.72,52.19,52.75,51.77,310152.4,5930,MRKK
2012-01-06,52.07,52.62,53.5,52.07,597453.1,11280,MRKK
2012-01-09,52.17,52.97,53.27,52.1,694124.8,13160,MRKK
2012-01-10,52.59,53.65,53.75,52.17,766423.4,14380,MRKK
2012-01-11,53.46,52.51,53.74,52.51,459630.1,8680,MRKK
2012-01-12,52.52,58.0,58.22,52.52,4225209.2,75900,MRKK
2012-01-13,58.09,57.01,59.6,55.2,1739421.2,30310,MRKK
2012-01-16,56.02,56.19,57.02,54.24,1172521.6,21170,MRKK
2012-01-17,56.31,56.5,57.26,56.3,880596.4,15510,MRKK
2012-01-18,56.05,57.0,57.94,55.25,577701.2999999999,10170,MRKK
2012-01-19,57.19,59.39,59.67,57.19,3428676.0,58210,MRKK
2012-01-20,59.13,57.99,60.0,57.51,463622.8,7890,MRKK
2012-01-23,57.99,57.91,58.7,57.58,275595.9,4750,MRKK
2012-01-24,57.78,59.48,60.4,56.41,5106151.100000001,86960,MRKK
2012-01-25,59.49,61.2,61.44,59.49,1783599.0,29380,MRKK
2012-01-26,61.22,65.0,65.0,61.22,3146462.1,49440,MRKK
2012-01-27,65.0,63.29,67.76,57.17,4042126.2,62790,MRKK
2012-01-30,63.64,62.0,63.77,61.3,950783.3,15340,MRKK
2012-01-31,62.61,65.07,67.0,62.61,4780256.1,72580,MRKK
2012-02-01,64.05,67.19,67.5,64.0,3014335.3,45230,MRKK
2012-02-02,67.5,67.0,68.3,66.11,1554749.5,23060,MRKK
2012-02-03,66.7,70.51,71.4,66.31,5910699.5,85780,MRKK
2012-02-06,69.72,70.29,71.26,67.67,4015884.2,57140,MRKK
2012-02-07,69.0,69.0,70.84,68.1,1920460.2000000002,27530,MRKK
2012-02-08,69.09,69.28,70.8,69.03,1807865.0,25770,MRKK
2012-02-09,70.09,68.45,70.5,67.74,2771357.5,40280,MRKK
2012-02-10,67.95,66.6,69.1,65.5,2138845.8000000003,32010,MRKK
2012-02-13,66.91,69.25,69.73,66.91,2102003.0,30660,MRKK
2012-02-14,66.65,69.07,69.72,66.65,1289061.3,18860,MRKK
2012-02-15,69.0,69.99,70.6,69.0,3133967.8000000003,44810,MRKK
2012-02-16,70.01,68.52,70.01,68.25,2185046.1,31680,MRKK
2012-02-17,69.37,68.2,69.89,67.48,1297069.9,18960,MRKK
2012-02-20,68.9,69.49,69.88,68.69,1189012.6,17150,MRKK
2012-02-21,68.89,68.06,69.29,67.19,1083524.2,15930,MRKK
2012-02-22,68.63,67.39,68.65,67.39,846032.8,12380,MRKK
2012-02-24,68.99,67.0,68.99,66.0,730789.7,10820,MRKK
2012-02-27,67.79,67.49,68.78,66.12,1746094.4,25910,MRKK
2012-02-28,67.4,66.37,68.03,66.32,535163.2,7980,MRKK
2012-02-29,66.84,67.8,68.04,66.41,514323.3,7670,MRKK
2012-03-01,66.54,66.07,67.0,65.72,1135985.4,17120,MRKK
2012-03-02,66.99,67.91,67.95,65.0,1211991.0,18200,MRKK
2012-03-05,66.68,67.88,67.95,66.51,914516.9,13550,MRKK
2012-03-06,67.88,64.5,69.15,64.02,2245003.9,33520,MRKK
2012-03-07,65.2,65.3,66.77,64.09,2674992.4,41290,MRKK
2012-03-11,67.38,66.64,67.38,66.0,776448.7,11650,MRKK
2012-03-12,66.84,67.48,67.95,66.31,677284.9,10150,MRKK
2012-03-13,67.48,67.55,69.07,66.83,1888835.0,27690,MRKK
2012-03-14,67.61,67.0,68.69,65.12,2899119.8,43140,MRKK
2012-03-15,66.51,68.12,70.0,64.5,5134657.4,75900,MRKK
2012-03-16,68.19,67.96,69.45,67.12,913201.6,13470,MRKK
2012-03-19,67.99,67.78,69.3,66.55,1674007.2000000002,24720,MRKK
2012-03-20,67.11,66.31,67.66,66.3,543094.6,8130,MRKK
2012-03-21,66.99,65.77,67.68,65.04,585391.5,8870,MRKK
2012-03-22,65.08,64.0,65.39,63.53,959611.1,14920,MRKK
2012-03-23,65.39,64.52,66.55,63.77,333350.5,5150,MRKK
2012-03-26,65.0,64.9,66.7,62.99,1546019.8,23890,MRKK
2012-03-27,65.65,63.98,65.65,63.79,1251941.8,19420,MRKK
2012-03-28,63.85,61.21,64.0,61.13,1426504.3,22930,MRKK
2012-03-29,61.49,60.54,62.0,60.22,514025.8,8380,MRKK
2012-03-30,61.5,61.0,61.66,58.72,1520867.6,25070,MRKK
2012-04-02,61.49,62.0,65.48,61.01,1640889.7,26090,MRKK
2012-04-03,62.0,62.5,63.4,61.77,501109.4,7990,MRKK
2012-04-04,62.47,61.78,62.47,61.1,641412.2,10440,MRKK
2012-04-05,62.67,60.94,62.7,58.2,896551.2,14840,MRKK
2012-04-06,61.31,61.99,62.88,60.0,2097215.0,34150,MRKK
2012-04-09,60.34,63.5,64.43,60.18,4067124.4,64610,MRKK
2012-04-10,63.7,62.96,64.0,61.56,1929217.7,30650,MRKK
2012-04-11,63.76,62.15,63.76,61.23,309529.9,4980,MRKK
2012-04-12,61.52,62.52,63.3,60.6,672933.5,10820,MRKK
2012-04-13,64.0,61.75,64.0,59.56,3266406.0,52820,MRKK
2012-04-16,62.2,61.8,62.2,61.31,1242707.2999999998,20180,MRKK
2012-04-17,61.81,60.05,62.78,60.0,1045450.1000000001,17220,MRKK
2012-04-18,60.11,60.11,61.9,60.11,555607.7000000001,9090,MRKK
2012-04-19,61.91,60.49,61.91,58.29,891934.1,14870,MRKK
2012-04-20,61.58,61.9,64.15,61.02,6343126.1,101970,MRKK
2012-04-23,60.51,60.0,62.66,59.18,578252.1,9580,MRKK
2012-04-24,59.51,58.19,60.09,58.19,1742044.2999999998,29710,MRKK
2012-04-25,59.8,57.67,60.0,56.33,1686224.1,28950,MRKK
2012-04-26,58.64,55.6,58.64,55.0,2421234.5,43080,MRKK
2012-04-27,54.54,56.68,56.68,54.53,88758.3,1600,MRKK
2012-04-28,55.32,56.0,57.88,55.2,231105.30000000002,4170,MRKK
2012-05-02,56.19,55.82,58.0,55.21,388512.1,6940,MRKK
2012-05-03,55.03,54.15,55.54,53.68,1053345.4,19370,MRKK
2012-05-04,54.99,51.1,54.99,51.09,1192879.7,22850,MRKK
2012-05-05,51.01,52.45,53.44,50.51,963229.0,18470,MRKK
2012-05-07,52.45,53.06,53.44,50.96,309268.4,5910,MRKK
2012-05-08,52.99,53.28,53.44,51.82,14791.3,280,MRKK
2012-05-10,52.28,53.15,53.38,52.07,142490.1,2700,MRKK
2012-05-11,51.57,51.1,52.5,50.49,971512.5,18920,MRKK
2012-05-12,50.32,51.0,51.6,50.3,589062.3,11630,MRKK
2012-05-14,50.53,47.26,51.87,46.47,2053589.8,42760,MRKK
2012-05-15,46.51,43.87,46.51,41.99,5755282.8,133520,MRKK
2012-05-16,43.11,41.61,43.44,41.17,1106527.2,26480,MRKK
2012-05-17,41.61,42.1,45.0,39.55,4996967.3,122520,MRKK
2012-05-18,40.13,40.26,42.1,37.51,594360.4,14830,MRKK
2012-05-21,41.08,41.41,41.9,40.67,127734.20000000001,3080,MRKK
2012-05-22,41.85,41.41,42.0,41.01,214259.69999999998,5170,MRKK
2012-05-23,41.41,39.64,41.41,38.05,542569.1,13860,MRKK
2012-05-24,39.11,39.0,39.11,38.13,919087.4,23710,MRKK
2012-05-25,39.0,38.5,39.0,38.11,234302.8,6060,MRKK
2012-05-28,39.96,39.93,41.93,39.05,301894.3,7560,MRKK
