date,open,close,high,low,value,volume,ticker
2011-11-17,0.175,0.174,0.175,0.17123,737037.4,4270000,MRKP
2011-11-18,0.17015,0.1715,0.17388,0.16882,1082966.6,6350000,MRKP
2011-11-21,0.17162,0.1677,0.17162,0.16654,2608929.5000000005,15270000,MRKP
2011-11-22,0.17098,0.1703,0.17099,0.16789,45746.4,270000,MRKP
2011-11-23,0.16822,0.16944,0.16999,0.16333,977952.3,5820000,MRKP
2011-11-24,0.16477,0.16411,0.16786,0.16177,1565657.1,9550000,MRKP
2011-11-25,0.16768,0.16366,0.16768,0.16,280364.8,1730000,MRKP
2011-11-28,0.17143,0.1689,0.1715,0.168,1321689.2,7810000,MRKP
2011-11-29,0.16616,0.17001,0.17497,0.16616,3507597.3,20660000,MRKP
2011-11-30,0.17268,0.17172,0.17734,0.16898,5408267.2,31430000,MRKP
2011-12-01,0.17895,0.1775,0.186,0.17741,6883987.9,38200000,MRKP
2011-12-02,0.17908,0.18,0.18347,0.178,7350116.3,41010000,MRKP
2011-12-05,0.17804,0.176,0.18412,0.17389,12390959.3,69470000,MRKP
2011-12-06,0.17801,0.17302,0.18105,0.17301,2628809.9,14860000,MRKP
2011-12-07,0.1775,0.1725,0.1775,0.1725,3275410.4,18850000,MRKP
2011-12-08,0.17468,0.17304,0.17547,0.17014,1146160.8,6580000,MRKP
2011-12-09,0.17003,0.168,0.17234,0.16111,1379741.9,8180000,MRKP
2011-12-12,0.17009,0.1665,0.17317,0.16576,1995196.2,11780000,MRKP
2011-12-13,0.16996,0.16699,0.17,0.16,933743.3,5540000,MRKP
2011-12-14,0.16699,0.1675,0.16776,0.165,1137823.6,6800000,MRKP
2011-12-15,0.16082,0.1646,0.1653,0.15511,242984.2,1510000,MRKP
2011-12-16,0.16575,0.16575,0.169,0.16575,594220.5,3550000,MRKP
2011-12-19,0.16265,0.16401,0.166,0.16201,431685.1,2650000,MRKP
2011-12-20,0.16206,0.158,0.16336,0.15564,2410298.1,14980000,MRKP
2011-12-21,0.16149,0.1601,0.16149,0.15801,1013373.8,6340000,MRKP
2011-12-22,0.16061,0.1595,0.16061,0.158,1663288.5999999999,10450000,MRKP
2011-12-23,0.15804,0.153,0.16444,0.15064,4998154.2,32160000,MRKP
2011-12-26,0.15301,0.15325,0.154,0.153,1977379.2,12900000,MRKP
2011-12-27,0.152,0.15299,0.153,0.14699,5424269.8,36260000,MRKP
2011-12-28,0.15299,0.14882,0.15325,0.10561,4344071.3,29600000,MRKP
2011-12-29,0.148,0.1568,0.1568,0.13075,7079479.8,48840000,MRKP
2011-12-30,0.14841,0.148,0.15249,0.14,3907985.2,26560000,MRKP
2012-01-03,0.14899,0.14977,0.16,0.14601,570880.5,3810000,MRKP
2012-01-04,0.14333,0.145,0.14588,0.14322,2348167.5,16140000,MRKP
2012-01-05,0.14347,0.14195,0.14347,0.135,1073007.0,7570000,MRKP
2012-01-06,0.14096,0.14571,0.14775,0.13717,666592.2999999999,4670000,MRKP
2012-01-09,0.14444,0.1469,0.1469,0.14444,24853.300000000003,170000,MRKP
2012-01-10,0.14679,0.14951,0.15,0.1427,3624052.0,24300000,MRKP
2012-01-11,0.14959,0.14944,0.1496,0.14411,132952.1,890000,MRKP
2012-01-12,0.14528,0.1455,0.146,0.1429,877814.6,6040000,MRKP
2012-01-13,0.14445,0.14517,0.14831,0.143,285632.5,1980000,MRKP
2012-01-16,0.14111,0.14444,0.1474,0.14018,370932.0,2590000,MRKP
2012-01-17,0.14119,0.14533,0.14879,0.14119,714554.0,4860000,MRKP
2012-01-18,0.14447,0.143,0.14448,0.14159,1612997.9,11250000,MRKP
2012-01-19,0.14127,0.141,0.1425,0.14014,8678385.4,61510000,MRKP
2012-01-20,0.14099,0.14091,0.141,0.14021,1031327.2000000001,7320000,MRKP
2012-01-23,0.1405,0.14296,0.14433,0.13945,687031.6,4840000,MRKP
2012-01-24,0.14297,0.14136,0.14297,0.14099,448391.50000000006,3140000,MRKP
2012-01-25,0.14156,0.1433,0.14333,0.14156,2677950.4,18730000,MRKP
2012-01-26,0.1424,0.145,0.14649,0.14232,1086888.4,7490000,MRKP
2012-01-27,0.145,0.1435,0.146,0.14122,2973775.7,20720000,MRKP
2012-01-30,0.14439,0.14333,0.145,0.14302,239814.5,1660000,MRKP
2012-01-31,0.14547,0.15028,0.15199,0.14371,5775953.2,38720000,MRKP
2012-02-01,0.1495,0.15699,0.15699,0.1495,3117633.3000000003,20430000,MRKP
2012-02-02,0.15799,0.15898,0.16002,0.1575,1298051.2,8200000,MRKP
2012-02-03,0.15983,0.167,0.167,0.15983,2358020.9,14550000,MRKP
2012-02-06,0.165,0.164,0.16578,0.164,1207688.0,7320000,MRKP
2012-02-07,0.16578,0.1625,0.16578,0.161,2346530.4,14280000,MRKP
2012-02-08,0.16206,0.163,0.16492,0.16,2354599.5,14430000,MRKP
2012-02-09,0.16298,0.16249,0.16395,0.159,1774292.7,11060000,MRKP
2012-02-10,0.15572,0.16049,0.162,0.15571,684696.2,4290000,MRKP
2012-02-13,0.161,0.164,0.16493,0.16,9425637.2,58050000,MRKP
2012-02-14,0.16066,0.1638,0.1638,0.16066,772116.3999999999,4780000,MRKP
2012-02-15,0.16061,0.16487,0.166,0.16061,1530236.3,9310000,MRKP
2012-02-16,0.16211,0.16693,0.16951,0.1621,2548238.4,15220000,MRKP
2012-02-17,0.16596,0.165,0.16698,0.16301,1427965.9,8700000,MRKP
2012-02-20,0.168,0.16941,0.171,0.16713,929764.0,5520000,MRKP
2012-02-21,0.17199,0.1715,0.1725,0.16599,14020613.0,81640000,MRKP
2012-02-22,0.1715,0.17349,0.1735,0.17071,2570901.9,14860000,MRKP
2012-02-24,0.17201,0.17222,0.1759,0.17022,2730683.1,15680000,MRKP
2012-02-27,0.1753,0.173,0.18,0.17234,777429.3,4440000,MRKP
2012-02-28,0.17001,0.1781,0.184,0.17,6259231.5,35680000,MRKP
2012-02-29,0.1781,0.179,0.18,0.1781,279942.4,1560000,MRKP
2012-03-01,0.1775,0.18099,0.18099,0.17601,4859955.7,27010000,MRKP
2012-03-02,0.17616,0.17652,0.17992,0.17611,268960.8,1520000,MRKP
2012-03-05,0.18,0.1802,0.182,0.18,2473632.3,13680000,MRKP
2012-03-06,0.18,0.18,0.1804,0.1725,1305410.8,7310000,MRKP
2012-03-07,0.18,0.185,0.185,0.175,3496271.8,19460000,MRKP
2012-03-11,0.188,0.18756,0.19,0.1867,4958043.0,26120000,MRKP
2012-03-12,0.18426,0.19499,0.195,0.18426,5200791.699999999,27060000,MRKP
2012-03-13,0.1952,0.19749,0.20267,0.19229,14344064.4,72160000,MRKP
2012-03-14,0.20267,0.203,0.20878,0.2001,5296056.7,25840000,MRKP
2012-03-15,0.20599,0.20296,0.214,0.19999,2271694.4,11160000,MRKP
2012-03-16,0.20008,0.2038,0.20565,0.20008,2809122.3,13880000,MRKP
2012-03-19,0.20564,0.196,0.20792,0.19117,2771052.7,14100000,MRKP
2012-03-20,0.19608,0.195,0.19995,0.19299,13348061.5,68160000,MRKP
2012-03-21,0.1965,0.196,0.19987,0.19007,2173180.7,11140000,MRKP
2012-03-22,0.19303,0.18512,0.19585,0.18512,2731356.0,14260000,MRKP
2012-03-23,0.1812,0.18401,0.18404,0.18111,1372718.5,7490000,MRKP
2012-03-26,0.18743,0.1909,0.196,0.18003,1358446.4,7310000,MRKP
2012-03-27,0.18969,0.18975,0.20599,0.18969,3645820.9,18530000,MRKP
2012-03-28,0.19222,0.19,0.196,0.18561,656276.1,3440000,MRKP
2012-03-29,0.20498,0.1898,0.20498,0.18727,23618063.2,123980000,MRKP
2012-03-30,0.19896,0.19005,0.19896,0.18838,64548.3,330000,MRKP
2012-04-02,0.19891,0.19493,0.19891,0.18609,427245.5,2170000,MRKP
2012-04-03,0.18805,0.195,0.2,0.18804,1502540.3,7760000,MRKP
2012-04-04,0.19307,0.19319,0.19319,0.19303,2065431.3,10700000,MRKP
2012-04-05,0.19,0.1902,0.2,0.18999,1055155.5,5400000,MRKP
2012-04-06,0.194,0.19291,0.194,0.18711,644356.0,3340000,MRKP
2012-04-09,0.19008,0.19442,0.19494,0.18225,391370.10000000003,2070000,MRKP
2012-04-10,0.191,0.19199,0.1935,0.191,207751.7,1080000,MRKP
2012-04-11,0.18528,0.19,0.19049,0.18528,197620.0,1050000,MRKP
2012-04-12,0.18558,0.1912,0.19348,0.18558,3187594.3,16780000,MRKP
2012-04-13,0.18555,0.19151,0.193,0.18555,2447406.4,12720000,MRKP
2012-04-16,0.18605,0.19444,0.20497,0.18605,3247202.3,16830000,MRKP
2012-04-17,0.18808,0.187,0.19748,0.18223,4134664.9,21970000,MRKP
2012-04-18,0.18556,0.18997,0.1908,0.18511,1575989.7000000002,8320000,MRKP
2012-04-19,0.187,0.194,0.194,0.187,1330051.7,6870000,MRKP
2012-04-20,0.18772,0.19701,0.1978,0.18772,6204724.1,31470000,MRKP
2012-04-23,0.19001,0.2,0.204,0.19,6448942.3,32060000,MRKP
2012-04-24,0.1952,0.195,0.20361,0.195,90814.7,460000,MRKP
2012-04-25,0.19306,0.19499,0.20192,0.19306,965604.6,4970000,MRKP
2012-04-26,0.19303,0.19799,0.20498,0.19303,2308701.6999999997,11690000,MRKP
2012-04-27,0.19303,0.1985,0.20189,0.19303,3401795.7,17130000,MRKP
2012-04-28,0.19375,0.2,0.2,0.19375,71596.9,360000,MRKP
2012-05-02,0.1938,0.20156,0.20393,0.1938,500225.9,2490000,MRKP
2012-05-03,0.19506,0.2,0.20199,0.19506,663735.5,3320000,MRKP
2012-05-04,0.2,0.1988,0.20005,0.19404,526929.3,2650000,MRKP
2012-05-05,0.19441,0.198,0.19959,0.19229,397902.4,2020000,MRKP
2012-05-07,0.19545,0.19545,0.19545,0.19545,1954.5,10000,MRKP
2012-05-10,0.19798,0.194,0.19965,0.18999,6694866.0,35120000,MRKP
2012-05-11,0.19391,0.17999,0.19391,0.17671,2432380.1,13450000,MRKP
2012-05-12,0.17508,0.1743,0.17997,0.17111,2106550.5,12050000,MRKP
2012-05-14,0.17696,0.16288,0.17696,0.155,816140.7,4840000,MRKP
2012-05-15,0.15227,0.151,0.16478,0.1486,728349.0,4680000,MRKP
2012-05-16,0.14712,0.15282,0.15597,0.14712,1595737.1,10280000,MRKP
2012-05-17,0.15944,0.14722,0.15949,0.14722,604373.6,3930000,MRKP
2012-05-18,0.1525,0.15765,0.1678,0.14129,606986.6,3890000,MRKP
2012-05-21,0.1505,0.1516,0.15975,0.1505,1402916.8,9310000,MRKP
2012-05-22,0.15887,0.15887,0.15887,0.15887,4766.1,30000,MRKP
2012-05-23,0.1519,0.1525,0.16492,0.15156,48053.6,310000,MRKP
2012-05-24,0.15156,0.14333,0.16054,0.10833,1065629.3,7650000,MRKP
2012-05-25,0.14274,0.14219,0.14475,0.139,196483.6,1390000,MRKP
2012-05-28,0.14196,0.14322,0.14357,0.13889,173928.3,1230000,MRKP
2012-05-29,0.13891,0.137,0.14222,0.13629,1765871.4,12780000,MRKP
2012-05-30,0.13627,0.12296,0.138,0.12,4373214.9,35220000,MRKP
2012-05-31,0.11795,0.112,0.1239,0.112,1607878.6,13530000,MRKP
2012-06-01,0.11001,0.10399,0.1127,0.09708,3027565.0,29810000,MRKP
2012-06-04,0.10333,0.1034,0.1055,0.10027,433005.2,4150000,MRKP
2012-06-05,0.10114,0.10407,0.10598,0.10114,179232.2,1720000,MRKP
2012-06-06,0.10122,0.11,0.11,0.10122,912086.4,8550000,MRKP
2012-06-07,0.10514,0.11317,0.11695,0.10514,6238209.800000001,55670000,MRKP
2012-06-08,0.11315,0.114,0.11499,0.11062,1090870.3,9520000,MRKP
2012-06-09,0.11496,0.12218,0.12218,0.11496,1000058.1000000001,8210000,MRKP
2012-06-13,0.12218,0.122,0.13895,0.11812,1671874.6,13660000,MRKP
2012-06-14,0.11901,0.11916,0.12556,0.11901,346520.3,2830000,MRKP
2012-06-15,0.11916,0.12028,0.13,0.11,4646279.3,37040000,MRKP
2012-06-18,0.12075,0.1215,0.126,0.11511,663293.0,5430000,MRKP
2012-06-19,0.12209,0.125,0.1273,0.12005,255617.69999999998,2100000,MRKP
2012-06-20,0.12101,0.12206,0.12285,0.12044,74845.09999999999,620000,MRKP
2012-06-21,0.12011,0.12101,0.12297,0.12,319386.5,2650000,MRKP
2012-06-22,0.1203,0.11756,0.125,0.11666,562047.8,4590000,MRKP
2012-06-25,0.11756,0.11799,0.12222,0.11756,148898.5,1260000,MRKP
2012-06-26,0.119,0.11902,0.1252,0.119,3737820.4,29880000,MRKP
2012-06-27,0.12,0.1189,0.1225,0.11225,14009945.7,118910000,MRKP
2012-06-28,0.11891,0.11718,0.12213,0.11712,285410.4,2400000,MRKP
2012-06-29,0.11604,0.131,0.131,0.11604,15489467.299999999,123520000,MRKP
2012-07-02,0.1207,0.12867,0.16,0.12001,9135433.399999999,69930000,MRKP
2012-07-03,0.12712,0.14655,0.16,0.12061,10265574.5,70700000,MRKP
2012-07-04,0.14597,0.14254,0.14597,0.13802,559966.9,3940000,MRKP
2012-07-05,0.14453,0.14513,0.15,0.14023,10735507.700000001,72240000,MRKP
2012-07-06,0.14896,0.1435,0.14896,0.1435,166554.1,1150000,MRKP
2012-07-09,0.14002,0.14277,0.14883,0.14001,137212.8,960000,MRKP
2012-07-10,0.14289,0.15,0.15,0.14011,227604.0,1570000,MRKP
2012-07-11,0.14038,0.1489,0.155,0.14038,108446.3,740000,MRKP
2012-07-12,0.14777,0.14356,0.14997,0.14147,252136.9,1730000,MRKP
2012-07-13,0.14445,0.15,0.15736,0.14222,145140.8,980000,MRKP
2012-07-16,0.15993,0.14721,0.15994,0.14508,1269263.2,8340000,MRKP
2012-07-17,0.14505,0.157,0.1595,0.14505,5728991.7,36890000,MRKP
