date,open,close,high,low,value,volume,ticker
2011-11-17,0.20811,0.2131,0.21327,0.208,135921.1,650000,MRKU
2011-11-18,0.21,0.20999,0.21,0.20666,8333.1,40000,MRKU
2011-11-21,0.20223,0.20332,0.20444,0.19001,355780.30000000005,1790000,MRKU
2011-11-22,0.19956,0.2081,0.21,0.19956,337034.9,1630000,MRKU
2011-11-23,0.20214,0.202,0.20828,0.192,765347.7,3780000,MRKU
2011-11-24,0.20444,0.198,0.20444,0.19717,54000.8,270000,MRKU
2011-11-25,0.19801,0.19426,0.199,0.193,209590.90000000002,1070000,MRKU
2011-11-28,0.20833,0.2,0.20834,0.1975,279095.8,1390000,MRKU
2011-11-29,0.2,0.20301,0.208,0.2,1244915.5,6140000,MRKU
2011-11-30,0.20001,0.21,0.21,0.19611,467921.7,2310000,MRKU
2011-12-01,0.21996,0.21659,0.228,0.21333,5018029.300000001,22540000,MRKU
2011-12-02,0.20999,0.2445,0.245,0.20999,40995079.2,172910000,MRKU
2011-12-05,0.24455,0.2495,0.2495,0.23601,2552810.4,10420000,MRKU
2011-12-06,0.24501,0.23501,0.24501,0.235,646296.7999999999,2640000,MRKU
2011-12-07,0.241,0.23,0.241,0.22001,2918774.3,12670000,MRKU
2011-12-08,0.23,0.23251,0.24,0.23,352146.1,1480000,MRKU
2011-12-09,0.21562,0.22749,0.235,0.21552,495465.0,2190000,MRKU
2011-12-12,0.22593,0.225,0.23001,0.225,545070.3,2400000,MRKU
2011-12-13,0.21501,0.224,0.2292,0.215,1126342.5,5070000,MRKU
2011-12-14,0.22001,0.22001,0.22001,0.22001,22001.0,100000,MRKU
2011-12-15,0.21505,0.22312,0.23001,0.21505,636522.6,2840000,MRKU
2011-12-16,0.22,0.21698,0.22086,0.21145,72265.9,330000,MRKU
2011-12-19,0.2112,0.21555,0.21932,0.19,382888.0,1830000,MRKU
2011-12-20,0.21494,0.20992,0.21494,0.20212,97265.9,470000,MRKU
2011-12-21,0.20993,0.21961,0.22,0.20993,152502.7,720000,MRKU
2011-12-22,0.20231,0.20666,0.20666,0.2015,990759.6000000001,4890000,MRKU
2011-12-23,0.204,0.20299,0.20999,0.1999,993416.1000000001,4900000,MRKU
2011-12-26,0.2,0.2,0.217,0.19938,411154.8,2050000,MRKU
2011-12-27,0.20111,0.195,0.2078,0.19,2070575.1,10560000,MRKU
2011-12-28,0.19555,0.18403,0.1997,0.181,3583793.1,19210000,MRKU
2011-12-29,0.18444,0.18118,0.2,0.17861,2706622.9,14340000,MRKU
2011-12-30,0.18601,0.21,0.21,0.182,8243322.5,41320000,MRKU
2012-01-03,0.205,0.2022,0.20997,0.2,1016784.2,5050000,MRKU
2012-01-04,0.2,0.2034,0.20445,0.2,300569.1,1500000,MRKU
2012-01-05,0.19777,0.2,0.21,0.19133,804297.2000000001,3960000,MRKU
2012-01-06,0.2,0.20399,0.20997,0.2,286853.5,1420000,MRKU
2012-01-09,0.20277,0.20444,0.2059,0.20222,22308.7,110000,MRKU
2012-01-10,0.20444,0.20777,0.21333,0.204,10335.4,50000,MRKU
2012-01-11,0.20029,0.20001,0.2085,0.19222,454430.8,2270000,MRKU
2012-01-12,0.2,0.20745,0.213,0.19707,3259999.7,15830000,MRKU
2012-01-13,0.20999,0.20776,0.25,0.205,66217011.8,266130000,MRKU
2012-01-16,0.2017,0.21096,0.217,0.2017,1211043.0,5870000,MRKU
2012-01-17,0.212,0.2115,0.244,0.2115,67332797.6,276720000,MRKU
2012-01-18,0.22431,0.21222,0.22431,0.2,2560105.4,12240000,MRKU
2012-01-19,0.21,0.21001,0.21644,0.20614,67235.3,320000,MRKU
2012-01-20,0.20777,0.208,0.21191,0.20765,20846.5,100000,MRKU
2012-01-23,0.21144,0.21222,0.21222,0.2032,76224.3,370000,MRKU
