date,open,close,high,low,value,volume,ticker
2011-11-17,0.09063,0.092,0.09261,0.08854,716927.8,7820000,MRKV
2011-11-18,0.08951,0.09058,0.091,0.0895,45946.5,510000,MRKV
2011-11-21,0.08891,0.0889,0.09049,0.0889,109733.59999999999,1230000,MRKV
2011-11-22,0.08892,0.09,0.09,0.08892,334788.3,3720000,MRKV
2011-11-23,0.0922,0.089,0.09226,0.089,970313.5,10650000,MRKV
2011-11-24,0.0923,0.089,0.09287,0.089,1605839.6,17640000,MRKV
2011-11-25,0.089,0.089,0.08979,0.089,69430.3,780000,MRKV
2011-11-28,0.08956,0.09251,0.09348,0.08939,936330.1,10360000,MRKV
2011-11-29,0.09418,0.0949,0.0975,0.09301,536535.8,5620000,MRKV
2011-11-30,0.0949,0.1,0.10001,0.09213,709730.1,7340000,MRKV
2011-12-01,0.09999,0.10703,0.10899,0.09885,4033941.7,37880000,MRKV
2011-12-02,0.10582,0.1035,0.10711,0.1035,1151291.9000000001,10790000,MRKV
2011-12-05,0.1035,0.1006,0.1035,0.1004,376143.1,3720000,MRKV
2011-12-06,0.1006,0.10001,0.10176,0.09921,947875.8,9430000,MRKV
2011-12-07,0.0992,0.0985,0.10151,0.0985,736714.8,7370000,MRKV
2011-12-08,0.1,0.10018,0.10455,0.09947,601315.0,5980000,MRKV
2011-12-09,0.0989,0.0982,0.10899,0.0953,360742.0,3640000,MRKV
2011-12-12,0.09997,0.095,0.10301,0.095,1288763.3,12860000,MRKV
2011-12-13,0.096,0.0965,0.09859,0.096,982604.1000000001,10130000,MRKV
2011-12-14,0.09634,0.096,0.09701,0.09501,117779.3,1220000,MRKV
2011-12-15,0.09207,0.09401,0.095,0.09207,56676.399999999994,600000,MRKV
2011-12-16,0.09139,0.09546,0.09585,0.09012,1198112.6,12880000,MRKV
2011-12-19,0.09028,0.0948,0.0948,0.09026,163719.5,1790000,MRKV
2011-12-20,0.09194,0.092,0.09311,0.09,419129.4,4630000,MRKV
