date,open,close,high,low,value,volume,ticker
2011-11-17,0.09693,0.09987,0.10188,0.09693,1185800.0,11910000,MRKZ
2011-11-18,0.09764,0.10065,0.10129,0.09751,79590.09999999999,790000,MRKZ
2011-11-21,0.10048,0.099,0.10089,0.0973,824562.7,8320000,MRKZ
2011-11-22,0.0969,0.09969,0.09976,0.09601,16525.399999999998,170000,MRKZ
2011-11-23,0.09768,0.09799,0.09799,0.09651,1882628.8,19500000,MRKZ
2011-11-24,0.09886,0.095,0.09889,0.09111,166857.0,1760000,MRKZ
2011-11-25,0.095,0.0962,0.09698,0.09421,753391.9,7930000,MRKZ
2011-11-28,0.09629,0.09757,0.09798,0.095,448216.89999999997,4690000,MRKZ
2011-11-29,0.09545,0.09606,0.0973,0.09444,86960.3,910000,MRKZ
2011-11-30,0.09422,0.09515,0.09654,0.09401,439383.5,4620000,MRKZ
2011-12-01,0.09518,0.09899,0.10395,0.09518,410531.1,4230000,MRKZ
2011-12-02,0.0999,0.09947,0.10373,0.09799,1804411.5,18100000,MRKZ
2011-12-05,0.09655,0.09945,0.1035,0.09655,138037.5,1390000,MRKZ
2011-12-06,0.09947,0.09699,0.09947,0.095,194037.7,2040000,MRKZ
2011-12-07,0.09602,0.09101,0.09677,0.08815,1321378.3,14290000,MRKZ
2011-12-08,0.09212,0.09481,0.09481,0.09212,724807.3,7730000,MRKZ
2011-12-09,0.09699,0.09695,0.09699,0.09039,10224.6,110000,MRKZ
2011-12-12,0.09697,0.09035,0.09697,0.09035,313926.9,3440000,MRKZ
2011-12-13,0.09146,0.085,0.09146,0.08301,3538824.1,41580000,MRKZ
2011-12-14,0.08451,0.08599,0.0869,0.084,455407.5,5370000,MRKZ
2011-12-15,0.08524,0.0868,0.0868,0.08421,310346.7,3650000,MRKZ
2011-12-16,0.08797,0.08686,0.08797,0.0855,94801.1,1100000,MRKZ
2011-12-19,0.08599,0.08457,0.08599,0.08284,307716.1,3670000,MRKZ
2011-12-20,0.08272,0.0832,0.0835,0.08261,282980.6,3410000,MRKZ
2011-12-21,0.08254,0.08131,0.08299,0.08131,371669.9,4530000,MRKZ
2011-12-22,0.081,0.08,0.081,0.08,1215626.0,15020000,MRKZ
2011-12-23,0.07911,0.07904,0.0795,0.07808,74456.9,950000,MRKZ
2011-12-26,0.0781,0.07735,0.0781,0.0765,559571.0,7250000,MRKZ
2011-12-27,0.07701,0.07699,0.07969,0.075,309529.4,4050000,MRKZ
2011-12-28,0.07752,0.07896,0.07896,0.07752,410082.7,5270000,MRKZ
2011-12-29,0.07998,0.079,0.07998,0.07427,373193.1,4980000,MRKZ
2011-12-30,0.0775,0.08158,0.08188,0.07572,3105351.9,39780000,MRKZ
2012-01-03,0.0827,0.08398,0.08406,0.07971,19583.3,240000,MRKZ
2012-01-04,0.07903,0.08499,0.085,0.07903,132680.7,1630000,MRKZ
2012-01-05,0.08499,0.083,0.08499,0.08,7342.8,90000,MRKZ
2012-01-06,0.08487,0.08397,0.08487,0.08116,8292.1,100000,MRKZ
2012-01-09,0.08487,0.08486,0.08487,0.08008,2498.1,30000,MRKZ
2012-01-10,0.08486,0.0849,0.0849,0.0793,93618.2,1120000,MRKZ
2012-01-11,0.08486,0.08484,0.08486,0.08168,14017.6,170000,MRKZ
2012-01-12,0.0854,0.0853,0.0854,0.08035,560018.9,6670000,MRKZ
2012-01-13,0.08453,0.085,0.085,0.08453,63660.9,750000,MRKZ
