date,open,close,high,low,value,volume,ticker
2011-11-17,1.9861,2.0,2.0286,1.975,52115924.1,26091000,MSNG
2011-11-18,1.9849,1.9976,2.0188,1.94,22365290.6,11244000,MSNG
2011-11-21,2.0,1.9,2.0222,1.9,26501007.5,13708000,MSNG
2011-11-22,1.918,1.91,1.9598,1.9,23899432.6,12390000,MSNG
2011-11-23,1.9,1.9218,1.94,1.8921,34717633.7,18095000,MSNG
2011-11-24,1.9189,1.922,1.9386,1.9189,8884821.0,4608000,MSNG
2011-11-25,1.9099,1.9279,1.9289,1.8991,17686344.7,9285000,MSNG
2011-11-28,1.94,2.0076,2.029,1.94,36863032.8,18510000,MSNG
2011-11-29,2.01,1.99,2.0193,1.9501,14775836.7,7429000,MSNG
2011-11-30,1.9899,2.069,2.0998,1.9713,46719411.1,23098000,MSNG
2011-12-01,2.0357,2.1231,2.17,2.0357,118169290.5,55628000,MSNG
2011-12-02,2.1484,2.135,2.1793,2.1089,48791622.599999994,22699000,MSNG
2011-12-05,2.12,2.137,2.1699,2.11,11740789.5,5482000,MSNG
2011-12-06,2.1413,2.05,2.1413,2.03,73881813.3,35573000,MSNG
2011-12-07,2.0673,2.0248,2.09,2.014,32108092.4,15758000,MSNG
2011-12-08,2.0449,2.018,2.072,2.012,12961837.9,6336000,MSNG
2011-12-09,2.0,1.9602,2.0,1.936,40413009.0,20532000,MSNG
2011-12-12,1.9602,1.9197,1.9992,1.91,31910149.9,16344000,MSNG
2011-12-13,1.919,1.915,1.9501,1.867,59064982.7,31125000,MSNG
2011-12-14,1.91,1.9151,1.945,1.883,32990305.7,17194000,MSNG
2011-12-15,1.9098,1.9198,1.9299,1.904,22616081.099999998,11805000,MSNG
2011-12-16,1.9259,1.93,1.9473,1.9,26215017.3,13623000,MSNG
2011-12-19,1.9095,1.9016,1.925,1.8831,12408998.4,6552000,MSNG
2011-12-20,1.8898,1.9114,1.915,1.889,10071693.3,5293000,MSNG
2011-12-21,1.92,1.89,1.92,1.8651,33278859.3,17543000,MSNG
2011-12-22,1.89,1.8543,1.9,1.831,35783139.6,19206000,MSNG
2011-12-23,1.8301,1.8092,1.8622,1.805,44593819.2,24560000,MSNG
2011-12-26,1.8299,1.793,1.8299,1.7924,10836967.8,6019000,MSNG
2011-12-27,1.7903,1.78,1.8038,1.774,15245406.4,8561000,MSNG
2011-12-28,1.78,1.7623,1.7888,1.762,24738550.9,13969000,MSNG
2011-12-29,1.7615,1.73,1.7758,1.7246,50308984.5,29000000,MSNG
2011-12-30,1.735,1.71,1.74,1.6903,130904231.6,76531000,MSNG
2012-01-03,1.71,1.7466,1.7599,1.71,16868252.9,9702000,MSNG
2012-01-04,1.7537,1.7544,1.7874,1.7467,13035081.6,7382000,MSNG
2012-01-05,1.7594,1.7465,1.7728,1.7323,14597200.6,8328000,MSNG
2012-01-06,1.7403,1.7373,1.751,1.7365,8659350.8,4974000,MSNG
2012-01-09,1.7415,1.7404,1.7487,1.7344,32660257.099999998,18734000,MSNG
2012-01-10,1.748,1.7599,1.7795,1.743,32970658.1,18665000,MSNG
2012-01-11,1.755,1.7354,1.7555,1.7272,18048121.3,10365000,MSNG
2012-01-12,1.7424,1.7299,1.7545,1.72,60806305.3,34994000,MSNG
2012-01-13,1.7339,1.72,1.7348,1.715,25008510.700000003,14484000,MSNG
2012-01-16,1.7111,1.701,1.7215,1.701,25957713.1,15170000,MSNG
2012-01-17,1.707,1.7119,1.7293,1.7069,27829844.1,16197000,MSNG
2012-01-18,1.7147,1.7543,1.99,1.7109,67575271.3,38175000,MSNG
2012-01-19,1.77,1.7663,1.798,1.7477,71860790.7,40663000,MSNG
2012-01-20,1.7651,1.7484,1.7651,1.7399,22242193.5,12677000,MSNG
2012-01-23,1.75,1.7497,1.7646,1.7416,21879488.4,12495000,MSNG
2012-01-24,1.7461,1.7327,1.75,1.7251,15648226.0,8996000,MSNG
2012-01-25,1.7386,1.7399,1.75,1.736,47437275.4,27224000,MSNG
2012-01-26,1.7488,1.789,1.798,1.7385,93938289.4,53497000,MSNG
2012-01-27,1.7708,1.77,1.802,1.754,68591693.5,38701000,MSNG
2012-01-30,1.77,1.7642,1.7725,1.751,30576753.2,17365000,MSNG
2012-01-31,1.765,1.8019,1.8036,1.7625,110172372.2,61749000,MSNG
2012-02-01,1.797,1.88,1.8831,1.7859,116945348.6,63068000,MSNG
2012-02-02,1.89,1.8831,1.931,1.875,49224950.7,25916000,MSNG
2012-02-03,1.8832,1.9598,1.9699,1.88,108645810.3,56221000,MSNG
2012-02-06,1.9506,1.9795,1.9848,1.9327,86599698.3,44044000,MSNG
2012-02-07,1.955,1.9599,1.984,1.9455,112822762.9,57342000,MSNG
2012-02-08,1.9625,1.9705,1.987,1.9452,93769865.6,47547000,MSNG
2012-02-09,1.97,1.9044,1.9859,1.8811,64478041.6,33388000,MSNG
2012-02-10,1.9,1.8794,1.9036,1.8671,43564916.7,23139000,MSNG
2012-02-13,1.8947,1.8839,1.92,1.875,129472753.0,68783000,MSNG
2012-02-14,1.8839,1.8796,1.8927,1.8711,24168690.7,12832000,MSNG
2012-02-15,1.8894,1.8877,1.895,1.82,62336223.7,33191000,MSNG
2012-02-16,1.876,1.865,1.876,1.845,33409605.7,17918000,MSNG
2012-02-17,1.88,1.876,1.89,1.8736,48929481.6,26018000,MSNG
2012-02-20,1.8822,1.8896,1.9188,1.8822,22957928.2,12113000,MSNG
2012-02-21,1.8899,1.88,1.89,1.8526,15886702.7,8514000,MSNG
2012-02-22,1.8797,1.8636,1.8929,1.855,17439899.3,9319000,MSNG
2012-02-24,1.8799,1.87,1.89,1.8626,134318378.7,71985000,MSNG
2012-02-27,1.8788,1.8792,1.8897,1.8701,50787663.0,27012000,MSNG
2012-02-28,1.8771,1.8549,1.8986,1.8465,49142944.4,26320000,MSNG
2012-02-29,1.8648,1.844,1.865,1.8403,93646924.4,50764000,MSNG
