date,open,close,high,low,value,volume,ticker
2011-11-17,1.5101,1.5109,1.5346,1.5,5016194.7,3318000,MSRS
2011-11-18,1.5076,1.5196,1.5201,1.5,1294389.0,861000,MSRS
2011-11-21,1.5109,1.51,1.5397,1.507,2803501.6999999997,1835000,MSRS
2011-11-22,1.5101,1.5,1.5155,1.5,2548546.3,1696000,MSRS
2011-11-23,1.5,1.55,1.55,1.5,27061930.1,17547000,MSRS
2011-11-24,1.5213,1.5198,1.5299,1.51,915335.7000000001,604000,MSRS
2011-11-25,1.5197,1.5199,1.5199,1.51,2016237.5,1335000,MSRS
2011-11-28,1.5282,1.57,1.58,1.51,3842406.2,2471000,MSRS
2011-11-29,1.578,1.5398,1.578,1.53,1819779.4,1177000,MSRS
2011-11-30,1.5395,1.54,1.54,1.52,4978803.9,3248000,MSRS
2011-12-01,1.57,1.5282,1.57,1.5202,1081260.7,696000,MSRS
2011-12-02,1.5199,1.5559,1.5699,1.5199,3235566.7,2097000,MSRS
2011-12-05,1.5401,1.5476,1.5494,1.515,1377312.9,900000,MSRS
2011-12-06,1.5382,1.5401,1.5491,1.53,2450435.9,1591000,MSRS
2011-12-07,1.5321,1.54,1.5433,1.4979,35310494.6,23311000,MSRS
2011-12-08,1.545,1.53,1.598,1.53,26312399.8,17093000,MSRS
2011-12-09,1.5258,1.54,1.555,1.5,119559033.1,78733000,MSRS
2011-12-12,1.54,1.5365,1.5598,1.5365,3636600.8,2355000,MSRS
2011-12-13,1.5359,1.55,1.555,1.534,12363792.1,7960000,MSRS
2011-12-14,1.5595,1.5545,1.56,1.53,10063159.1,6519000,MSRS
2011-12-15,1.5699,1.5453,1.5699,1.53,13114003.6,8525000,MSRS
2011-12-16,1.5506,1.541,1.5579,1.535,2482037.7,1613000,MSRS
2011-12-19,1.5116,1.535,1.5391,1.5116,1726803.3,1129000,MSRS
2011-12-20,1.5353,1.531,1.537,1.531,932168.7,607000,MSRS
2011-12-21,1.5398,1.5501,1.557,1.5339,20598517.5,13308000,MSRS
2011-12-22,1.5549,1.59,1.6745,1.5549,1954393.6,1242000,MSRS
2011-12-23,1.61,1.6,1.63,1.5749,5121795.9,3229000,MSRS
2011-12-26,1.5999,1.6101,1.635,1.5882,3215202.8,1994000,MSRS
2011-12-27,1.6006,1.6,1.62,1.5955,8417478.0,5260000,MSRS
2011-12-28,1.6097,1.65,1.65,1.594,59695231.699999996,36695000,MSRS
2011-12-29,1.6168,1.719,1.719,1.609,82882390.3,49766000,MSRS
2011-12-30,1.7278,1.6,1.76,1.5701,393905354.90000004,225443000,MSRS
2012-01-03,1.6062,1.63,1.6496,1.6062,1145394.4,698000,MSRS
2012-01-04,1.61,1.63,1.635,1.61,5287403.2,3235000,MSRS
2012-01-05,1.652,1.6225,1.66,1.6054,3355858.9,2060000,MSRS
2012-01-06,1.599,1.6162,1.629,1.599,393411.6,243000,MSRS
2012-01-09,1.6051,1.5999,1.6302,1.596,2290414.4,1416000,MSRS
2012-01-10,1.5976,1.5777,1.624,1.5777,1751379.5,1094000,MSRS
2012-01-11,1.577,1.5549,1.6097,1.544,4433484.399999999,2831000,MSRS
2012-01-12,1.5421,1.52,1.5818,1.5151,13519286.7,8790000,MSRS
2012-01-13,1.5077,1.5001,1.5375,1.5001,2160752.7,1431000,MSRS
2012-01-16,1.5,1.5099,1.5199,1.4832,4747696.7,3164000,MSRS
2012-01-17,1.5107,1.52,1.5477,1.5,23024114.4,15288000,MSRS
2012-01-18,1.5029,1.5166,1.54,1.5002,20925405.799999997,13700000,MSRS
2012-01-19,1.5339,1.5378,1.575,1.5058,21496260.7,13725000,MSRS
2012-01-20,1.5302,1.5101,1.5302,1.503,3596681.5,2384000,MSRS
2012-01-23,1.5099,1.506,1.51,1.506,1762216.9,1169000,MSRS
2012-01-24,1.505,1.5474,1.55,1.505,6334495.4,4179000,MSRS
2012-01-25,1.5499,1.5155,1.55,1.515,5212299.5,3420000,MSRS
2012-01-26,1.5195,1.53,1.5496,1.5195,9316045.1,6115000,MSRS
2012-01-27,1.53,1.54,1.55,1.528,21419766.4,13873000,MSRS
2012-01-30,1.5488,1.5446,1.5488,1.533,381775.1,248000,MSRS
2012-01-31,1.55,1.54,1.5597,1.5384,2047281.7,1328000,MSRS
2012-02-01,1.53,1.557,1.59,1.525,71469386.3,45549000,MSRS
2012-02-02,1.554,1.565,1.5901,1.5001,34335378.1,21831000,MSRS
2012-02-03,1.5582,1.5291,1.5582,1.52,7169680.0,4680000,MSRS
