date,open,close,high,low,value,volume,ticker
2011-11-17,362.2,347.5,368.9,347.0,174408847.7,489852,MTLR
2011-11-18,332.5,328.7,340.0,326.2,239305280.5,717914,MTLR
2011-11-21,324.0,303.0,324.0,300.9,135279532.8,434349,MTLR
2011-11-22,306.6,303.1,307.9,296.0,174823565.7,577315,MTLR
2011-11-23,296.6,299.1,310.7,293.8,213960453.3,705149,MTLR
2011-11-24,296.1,295.9,305.3,295.5,104659577.3,349148,MTLR
2011-11-25,297.9,294.2,297.9,286.7,102787177.2,352681,MTLR
2011-11-28,303.0,304.7,306.5,297.7,154240921.5,511103,MTLR
2011-11-29,306.0,298.0,307.5,296.2,144951909.4,481816,MTLR
2011-11-30,296.2,329.0,329.0,295.5,389135070.5,1240498,MTLR
2011-12-01,335.1,331.1,336.0,326.0,322827811.7,977368,MTLR
2011-12-02,334.0,341.5,351.4,332.3,220570145.6,643623,MTLR
2011-12-05,345.0,355.0,356.0,343.1,106998797.9,305795,MTLR
2011-12-06,351.9,339.0,366.2,335.0,308646422.9,878221,MTLR
2011-12-07,335.8,324.0,348.4,320.0,243301876.1,731551,MTLR
2011-12-08,324.9,316.5,332.0,315.2,167630800.8,515088,MTLR
2011-12-09,310.0,311.3,314.0,300.0,143131293.0,466740,MTLR
2011-12-12,314.1,296.1,322.2,293.1,163531951.8,531244,MTLR
2011-12-13,295.9,306.6,308.8,292.8,122062428.7,405241,MTLR
2011-12-14,302.6,293.6,305.9,291.1,182693454.4,609821,MTLR
2011-12-15,289.9,298.3,303.6,285.0,135503022.8,458380,MTLR
2011-12-16,294.9,282.3,297.5,281.4,250489451.2,863056,MTLR
2011-12-19,279.7,279.0,287.5,278.3,138794311.5,491780,MTLR
2011-12-20,274.9,276.0,277.0,267.3,163709264.3,600688,MTLR
2011-12-21,280.0,269.0,284.9,268.2,151627164.29999998,547333,MTLR
2011-12-22,269.1,267.0,272.9,262.0,158784911.5,597404,MTLR
