date,open,close,high,low,value,volume,ticker
2011-11-17,192.0,188.25,193.99,187.02,239753346.3,1267880,MTSS
2011-11-18,187.5,186.8,189.19,185.2,137870521.2,734180,MTSS
2011-11-21,186.55,181.49,187.92,181.11,233702078.8,1275710,MTSS
2011-11-22,181.66,187.39,187.4,181.26,227012523.8,1223320,MTSS
2011-11-23,188.51,197.58,198.97,188.51,854219558.9,4395290,MTSS
2011-11-24,197.68,194.73,199.69,193.86,406866264.79999995,2067990,MTSS
2011-11-25,193.81,198.5,198.8,189.7,300403685.1,1550510,MTSS
2011-11-28,202.03,208.8,209.48,199.52,688127110.1,3348730,MTSS
2011-11-29,209.34,205.65,209.9,202.2,414255829.5,2019270,MTSS
2011-11-30,205.11,211.67,211.9,204.77,568629233.9,2731270,MTSS
2011-12-01,213.0,213.05,215.0,209.58,523691262.0,2457980,MTSS
2011-12-02,212.76,207.85,216.4,207.84,333669408.3,1570900,MTSS
2011-12-05,209.2,209.3,211.4,207.11,99953024.69999999,476590,MTSS
2011-12-06,208.0,203.88,209.14,201.1,280764973.4,1369990,MTSS
2011-12-07,205.0,202.84,205.33,199.02,248586832.8,1227800,MTSS
2011-12-08,202.7,202.19,206.4,202.19,222628145.6,1089150,MTSS
2011-12-09,200.19,194.01,201.1,191.05,367507267.70000005,1900020,MTSS
2011-12-12,194.52,189.5,197.96,188.7,321239731.7,1655430,MTSS
2011-12-13,190.99,191.3,192.59,186.32,354792863.0,1863440,MTSS
2011-12-14,190.45,192.8,195.01,189.1,278293032.7,1448130,MTSS
2011-12-15,186.7,193.29,196.4,185.25,434716927.0,2258300,MTSS
2011-12-16,194.0,189.9,195.99,187.41,214334437.3,1123270,MTSS
2011-12-19,187.99,188.3,189.97,185.99,179783794.2,956880,MTSS
2011-12-20,187.46,188.7,189.75,187.01,149191138.5,792550,MTSS
2011-12-21,191.11,188.0,192.09,185.1,198786254.6,1051950,MTSS
2011-12-22,187.41,185.01,188.65,182.26,268667436.7,1452190,MTSS
2011-12-23,185.7,182.69,186.62,181.66,493154455.4,2679040,MTSS
2011-12-26,183.6,183.9,184.5,182.52,67242803.7,365460,MTSS
2011-12-27,183.91,182.52,184.5,181.21,198573192.6,1084730,MTSS
2011-12-28,182.8,179.68,183.99,179.18,148463540.1,817700,MTSS
2011-12-29,178.98,177.49,181.39,176.4,330513374.6,1858550,MTSS
2011-12-30,178.5,183.18,184.55,178.44,263116068.8,1446050,MTSS
2012-01-03,184.0,185.96,186.5,184.0,175086403.7,942370,MTSS
2012-01-04,186.0,187.01,187.6,185.3,206224623.6,1105400,MTSS
2012-01-05,186.36,189.24,189.25,186.16,236656494.9,1259200,MTSS
2012-01-06,189.0,198.5,198.89,188.36,546961694.1999999,2787900,MTSS
2012-01-09,196.49,199.6,200.0,196.06,238809499.3,1204440,MTSS
2012-01-10,200.37,203.5,204.82,197.6,769890672.5,3820980,MTSS
2012-01-11,202.96,198.73,202.96,196.94,215021050.1,1079100,MTSS
2012-01-12,200.99,204.05,205.5,199.36,949984247.2,4689010,MTSS
2012-01-13,204.0,207.5,207.5,203.0,535743449.2,2614920,MTSS
2012-01-16,204.31,207.05,208.58,202.3,387120623.1,1874940,MTSS
2012-01-17,207.97,212.0,212.0,207.4,424304141.0,2025250,MTSS
2012-01-18,212.0,208.48,212.12,208.15,182272576.0,870240,MTSS
2012-01-19,210.25,212.0,212.88,207.0,316417937.4,1504720,MTSS
2012-01-20,211.8,209.98,212.43,208.1,319894008.9,1525360,MTSS
2012-01-23,209.03,212.5,212.6,208.2,186755920.7,885870,MTSS
2012-01-24,211.0,210.3,212.39,209.04,240372100.1,1141680,MTSS
2012-01-25,211.11,214.2,215.3,209.8,532097077.79999995,2503050,MTSS
2012-01-26,216.02,219.51,222.0,214.4,682864200.8,3114690,MTSS
2012-01-27,219.0,216.79,220.5,216.29,390573851.0,1788690,MTSS
2012-01-30,215.99,215.0,216.51,212.89,238314466.4,1110000,MTSS
2012-01-31,216.0,213.37,219.88,213.03,359439017.5,1665550,MTSS
2012-02-01,213.57,214.21,215.78,211.57,272046490.1,1270930,MTSS
2012-02-02,214.29,213.13,215.63,212.07,196471220.0,920500,MTSS
2012-02-03,213.0,214.57,214.6,211.87,181575155.7,851660,MTSS
2012-02-06,214.95,212.66,215.46,212.65,156193402.5,732180,MTSS
2012-02-07,213.89,219.3,220.72,213.12,677206657.1,3111740,MTSS
2012-02-08,220.89,217.0,220.99,216.31,272332166.9,1247710,MTSS
2012-02-09,217.58,217.1,218.83,214.74,258382614.5,1192740,MTSS
2012-02-10,217.0,217.84,220.0,213.84,465487976.5,2131520,MTSS
2012-02-13,218.63,218.17,220.0,216.57,251326850.2,1149170,MTSS
2012-02-14,218.0,217.51,219.37,217.0,157900698.8,723770,MTSS
2012-02-15,218.88,222.0,222.4,218.88,272385422.5,1231970,MTSS
2012-02-16,220.77,218.94,220.88,218.4,96581084.5,440020,MTSS
2012-02-17,220.1,217.4,221.5,215.46,219305089.6,1006060,MTSS
2012-02-20,219.45,218.69,221.5,217.69,394593097.4,1805680,MTSS
2012-02-21,218.95,219.0,219.5,215.46,185442642.0,854600,MTSS
2012-02-22,218.5,216.88,219.69,216.24,149871096.0,689220,MTSS
2012-02-24,217.98,224.9,224.9,217.84,502736060.3,2266570,MTSS
2012-02-27,223.67,223.8,226.0,222.7,198448494.10000002,884800,MTSS
2012-02-28,224.5,223.05,225.2,220.3,233611147.29999998,1048040,MTSS
2012-02-29,223.85,223.97,225.2,222.01,155540443.5,694770,MTSS
2012-03-01,223.01,225.02,225.8,222.2,259333212.0,1157960,MTSS
2012-03-02,225.5,226.32,227.46,224.31,202738221.5,897240,MTSS
2012-03-05,226.32,228.0,229.0,225.7,142889587.10000002,629120,MTSS
2012-03-06,226.53,224.46,227.27,222.34,550464146.7,2450550,MTSS
2012-03-07,222.3,225.86,225.97,221.0,112282591.6,500230,MTSS
2012-03-11,226.3,227.01,228.99,225.66,136686666.4,602290,MTSS
2012-03-12,226.02,226.9,228.0,225.0,502366408.2,2214720,MTSS
2012-03-13,227.97,229.5,229.9,225.51,640099287.7,2813310,MTSS
2012-03-14,230.32,230.59,232.0,229.11,407401897.8,1768600,MTSS
2012-03-15,230.01,233.5,236.8,228.1,844854185.9,3632410,MTSS
2012-03-16,231.59,237.91,238.99,231.59,517918664.0,2194330,MTSS
2012-03-19,237.91,236.3,239.83,234.1,736991118.1,3120030,MTSS
2012-03-20,237.12,232.0,237.9,230.7,369982632.2,1587550,MTSS
2012-03-21,232.26,230.2,233.42,229.82,219104242.7,946620,MTSS
2012-03-22,230.32,229.99,234.0,228.35,161205901.2,699150,MTSS
2012-03-23,230.13,231.1,231.14,227.27,136196550.0,593890,MTSS
2012-03-26,231.94,233.0,233.39,230.23,194937705.6,839090,MTSS
2012-03-27,234.7,231.49,234.97,229.79,148217647.4,640520,MTSS
2012-03-28,230.27,230.01,232.58,228.93,205594223.0,890410,MTSS
2012-03-29,230.08,225.41,230.5,225.18,290840318.3,1282640,MTSS
2012-03-30,227.0,229.04,231.47,226.12,223135785.7,973270,MTSS
2012-04-02,229.9,234.0,234.0,229.89,201945918.3,871680,MTSS
2012-04-03,234.7,235.66,236.4,233.97,270228352.5,1148100,MTSS
2012-04-04,234.48,230.36,235.22,226.55,327810234.0,1423460,MTSS
2012-04-05,231.45,232.68,233.14,227.26,246216908.29999998,1071880,MTSS
2012-04-06,232.6,228.98,233.79,228.06,196957337.1,849830,MTSS
2012-04-09,228.27,232.87,232.87,227.01,139377385.8,607210,MTSS
2012-04-10,232.85,232.2,234.43,230.13,344962605.8,1482090,MTSS
2012-04-11,229.88,231.0,232.99,229.51,175973157.1,759650,MTSS
2012-04-12,231.27,230.5,232.49,227.5,131134006.5,571340,MTSS
2012-04-13,230.6,237.25,238.3,230.24,601934999.4000001,2562050,MTSS
2012-04-16,236.5,235.5,239.9,235.4,469412405.5,1975160,MTSS
2012-04-17,235.52,232.8,236.82,228.67,332160069.6,1429280,MTSS
2012-04-18,234.58,232.7,234.85,230.31,180075410.5,775910,MTSS
2012-04-19,232.82,235.98,237.45,232.82,272778473.6,1158710,MTSS
2012-04-20,234.17,233.6,237.29,233.5,269784005.5,1148920,MTSS
2012-04-23,233.6,227.1,233.6,226.84,243791011.9,1064590,MTSS
2012-04-24,228.49,226.3,228.98,221.7,322481047.1,1435170,MTSS
2012-04-25,227.1,227.03,229.0,225.52,201142233.1,884290,MTSS
2012-04-26,227.99,229.21,231.0,227.04,364377112.3,1590740,MTSS
2012-04-27,229.18,231.87,231.99,227.72,191276254.4,831030,MTSS
2012-04-28,232.17,233.5,234.45,231.87,89277325.4,382350,MTSS
2012-05-02,234.23,238.0,239.19,234.23,531966101.9,2235160,MTSS
2012-05-03,238.5,240.3,240.71,236.07,866140446.3,3628530,MTSS
2012-05-04,239.62,231.5,239.62,231.12,824704778.1,3509540,MTSS
2012-05-05,231.5,232.4,234.0,230.16,106504861.6,458980,MTSS
2012-05-07,231.76,233.25,234.0,227.26,178871525.2,774580,MTSS
2012-05-08,233.89,233.34,236.74,231.11,253160129.8,1085950,MTSS
2012-05-10,224.9,232.87,236.7,223.16,649845715.1,2789940,MTSS
2012-05-11,222.22,216.84,222.29,215.1,701875909.8,3237130,MTSS
2012-05-12,216.91,216.8,218.69,215.01,138768826.29999998,637520,MTSS
2012-05-14,215.7,212.3,217.0,210.67,243576100.9,1139680,MTSS
2012-05-15,210.0,212.03,213.68,209.1,356516559.7,1682850,MTSS
2012-05-16,209.89,213.56,214.57,204.05,297920993.7,1426060,MTSS
2012-05-17,213.55,207.8,214.49,207.02,387239395.7,1838770,MTSS
2012-05-18,205.87,206.8,210.0,202.02,294727512.3,1424480,MTSS
2012-05-21,206.78,208.9,210.4,205.28,197931615.70000002,950940,MTSS
2012-05-22,210.5,216.51,221.4,207.1,347261416.5,1633700,MTSS
2012-05-23,214.72,212.51,216.2,210.53,285268505.0,1337730,MTSS
2012-05-24,214.0,215.71,217.95,208.12,291295323.8,1359750,MTSS
2012-05-25,214.33,218.89,219.0,213.56,229972456.2,1059600,MTSS
2012-05-28,219.0,228.23,229.49,219.0,457545343.29999995,2026110,MTSS
2012-05-29,228.79,234.7,235.75,228.28,1068421917.6999999,4586210,MTSS
2012-05-30,232.99,224.29,237.0,222.25,911690807.9,4010730,MTSS
2012-05-31,223.19,225.92,228.68,222.8,392601573.9,1735810,MTSS
2012-06-01,225.18,218.76,226.91,215.52,277353089.6,1258830,MTSS
2012-06-04,217.91,220.43,226.0,216.56,271232849.9,1216940,MTSS
2012-06-05,223.47,219.28,226.66,218.3,264694536.60000002,1191260,MTSS
2012-06-06,220.94,228.19,230.28,220.23,482088941.70000005,2132530,MTSS
2012-06-07,229.99,235.5,236.0,226.51,531881455.6,2279700,MTSS
2012-06-08,233.4,234.02,234.9,231.1,279457531.8,1197290,MTSS
2012-06-09,234.3,235.44,235.69,234.3,30790564.3,130880,MTSS
2012-06-13,235.27,232.79,237.6,231.7,309173855.7,1314730,MTSS
2012-06-14,233.21,226.5,233.91,226.5,231359872.9,1008400,MTSS
2012-06-15,227.8,229.07,232.45,227.16,398761573.2,1733990,MTSS
2012-06-18,231.0,233.82,236.0,230.02,472584877.0,2022150,MTSS
2012-06-19,233.6,233.9,236.39,233.01,242997933.8,1033800,MTSS
2012-06-20,233.8,232.7,234.48,231.56,79913913.9,343140,MTSS
2012-06-21,231.01,228.95,233.83,228.95,123049758.0,531840,MTSS
2012-06-22,225.7,223.33,226.74,222.5,185330370.2,826340,MTSS
2012-06-25,223.33,218.37,223.49,218.0,141407907.6,645120,MTSS
2012-06-26,217.99,221.51,225.06,217.55,127242841.2,571980,MTSS
2012-06-27,223.07,228.51,228.51,222.5,214720525.79999998,952400,MTSS
2012-06-28,228.51,228.5,230.8,223.85,231770945.8,1019220,MTSS
2012-06-29,230.3,234.5,235.55,227.16,437492057.2,1889650,MTSS
2012-07-02,233.31,234.9,236.85,231.94,113951488.6,487250,MTSS
2012-07-03,234.57,235.8,236.56,233.31,291036664.5,1235310,MTSS
2012-07-04,235.05,231.32,235.68,230.8,163604177.5,702800,MTSS
2012-07-05,230.9,227.62,232.2,227.17,261186973.20000002,1137970,MTSS
2012-07-06,227.6,226.8,229.0,225.04,124476812.5,549220,MTSS
2012-07-09,226.81,226.7,229.0,226.33,77454239.2,340220,MTSS
2012-07-10,226.5,228.5,229.7,225.0,183933636.7,806370,MTSS
2012-07-11,228.5,226.4,228.5,224.51,102969818.7,456280,MTSS
2012-07-12,226.5,222.99,226.5,222.55,132502635.6,591580,MTSS
2012-07-13,224.0,228.93,229.0,223.45,140411818.3,620830,MTSS
2012-07-16,228.93,228.79,229.55,226.06,170640453.0,749940,MTSS
2012-07-17,229.2,227.96,231.45,227.79,233855147.4,1019590,MTSS
2012-07-18,228.16,225.94,228.67,224.5,163458955.9,723300,MTSS
2012-07-19,226.56,227.79,228.96,225.4,110056405.5,483590,MTSS
2012-07-20,227.0,228.7,229.5,225.0,134363075.9,588740,MTSS
2012-07-23,226.02,224.49,226.98,222.61,165857084.9,737780,MTSS
2012-07-24,224.98,225.52,226.25,221.7,109890907.4,491370,MTSS
2012-07-25,224.24,223.84,224.94,221.0,224496810.70000002,1004750,MTSS
2012-07-26,223.0,230.87,231.0,223.0,195515426.6,860190,MTSS
2012-07-27,230.8,244.0,244.0,229.31,711845772.0,2998680,MTSS
2012-07-30,243.1,244.5,246.89,241.18,373628212.9,1531980,MTSS
2012-07-31,244.44,247.08,249.0,241.7,217978026.9,891880,MTSS
2012-08-01,246.5,245.65,249.5,244.79,209865678.8,851470,MTSS
2012-08-02,244.7,245.0,248.65,243.7,225070297.7,915990,MTSS
2012-08-03,245.15,243.99,245.49,241.1,225009122.1,927070,MTSS
2012-08-06,244.33,243.0,245.88,241.11,227257514.8,933710,MTSS
2012-08-07,242.5,242.9,245.9,241.57,167693452.9,689090,MTSS
2012-08-08,242.9,243.0,249.5,239.04,297913615.5,1222370,MTSS
2012-08-09,244.03,246.98,247.0,244.0,107196541.7,436900,MTSS
2012-08-10,245.5,243.15,246.42,242.05,139306301.3,571020,MTSS
2012-08-13,244.0,244.67,247.2,244.0,141683133.6,575100,MTSS
2012-08-14,245.5,242.49,245.96,242.49,224341646.3,919750,MTSS
2012-08-15,242.0,241.52,242.72,237.7,293347925.09999996,1217650,MTSS
2012-08-16,242.99,242.58,244.0,241.21,199800845.3,824590,MTSS
2012-08-17,243.99,240.65,244.2,240.62,162998284.6,674460,MTSS
2012-08-20,241.59,239.46,241.86,237.12,118734009.3,495300,MTSS
2012-08-21,238.9,241.19,245.9,238.14,201497243.0,829700,MTSS
2012-08-22,241.0,240.97,241.89,239.06,157225870.9,654940,MTSS
2012-08-23,241.41,235.42,243.99,235.15,467371497.4,1954200,MTSS
2012-08-24,235.0,237.83,237.89,231.0,227473289.5,972330,MTSS
2012-08-27,237.7,237.0,238.88,235.1,152536066.1,643950,MTSS
2012-08-28,236.01,244.75,244.8,235.27,311511687.6,1291140,MTSS
2012-08-29,244.45,241.1,244.93,240.0,378799808.8,1565450,MTSS
2012-08-30,240.89,240.4,243.6,238.59,101510942.4,420960,MTSS
2012-08-31,240.4,241.16,243.39,239.04,132631184.8,548960,MTSS
2012-09-03,241.6,248.91,248.96,240.3,330176971.7,1338150,MTSS
2012-09-04,248.0,246.0,249.31,245.21,254908342.3,1030560,MTSS
2012-09-05,246.14,246.39,247.92,245.0,164470600.7,668410,MTSS
2012-09-06,246.69,254.7,254.75,246.51,281305932.3,1120080,MTSS
2012-09-07,255.38,252.31,255.9,251.56,408520083.9,1609950,MTSS
2012-09-10,252.29,252.49,254.68,249.21,320902506.6,1275130,MTSS
2012-09-11,251.91,249.5,252.0,249.0,244852878.0,977920,MTSS
