date,open,close,high,low,value,volume,ticker
2011-11-17,219.89,217.99,221.0,216.12,4238054.3,19270,MVID
2011-11-18,217.7,216.93,217.77,214.0,981438.4,4530,MVID
2011-11-21,210.02,204.63,216.26,195.0,5893257.3,28700,MVID
2011-11-22,207.62,208.79,213.0,195.0,8090714.5,39630,MVID
2011-11-23,209.0,209.99,210.0,205.04,7204219.8,34530,MVID
2011-11-24,212.98,210.5,212.98,204.5,1676529.6,8080,MVID
2011-11-25,207.45,204.99,207.45,196.3,4838828.3,23990,MVID
2011-11-28,209.99,210.0,212.99,206.0,3692905.6,17640,MVID
2011-11-29,210.0,208.25,210.0,204.0,5242459.6,25410,MVID
2011-11-30,209.0,209.95,214.0,204.68,7717303.4,36720,MVID
2011-12-01,210.1,212.42,215.75,210.0,19707267.6,92230,MVID
2011-12-02,213.25,212.6,213.25,210.0,5497145.199999999,26020,MVID
2011-12-05,212.74,206.8,212.74,205.0,16377773.5,79430,MVID
2011-12-06,206.99,197.29,206.99,194.02,17095993.3,85950,MVID
2011-12-07,198.9,203.43,207.98,197.35,8251434.4,40810,MVID
2011-12-08,206.47,209.31,210.35,203.91,9352132.100000001,44810,MVID
2011-12-09,209.0,206.14,209.0,200.01,2770898.8,13610,MVID
2011-12-12,210.5,202.05,210.5,200.83,1646094.8,7970,MVID
2011-12-13,202.0,200.0,203.82,197.0,3872427.5999999996,19390,MVID
2011-12-14,196.61,193.95,202.0,192.02,8409570.6,43130,MVID
2011-12-15,190.05,194.9,194.99,186.31,16053785.1,83860,MVID
2011-12-16,194.0,196.7,199.4,190.0,21171195.599999998,107970,MVID
2011-12-19,197.0,194.0,197.0,192.0,1496065.1,7700,MVID
2011-12-20,196.0,194.0,196.0,191.74,604429.9,3130,MVID
2011-12-21,196.0,191.7,196.0,191.7,4846217.9,25050,MVID
2011-12-22,194.92,187.19,195.0,186.0,9051194.9,47920,MVID
2011-12-23,187.19,185.03,191.99,181.99,26094726.0,140860,MVID
2011-12-26,187.0,186.49,188.0,185.65,2377730.3,12720,MVID
2011-12-27,187.99,185.55,188.0,182.51,5241581.0,28390,MVID
2011-12-28,184.75,185.0,188.0,181.98,13270564.4,71990,MVID
2011-12-29,184.0,181.99,185.0,180.0,12770758.2,70200,MVID
2011-12-30,181.25,181.39,182.0,178.89,2608176.1,14420,MVID
2012-01-03,182.0,183.99,183.99,181.0,4429939.7,24310,MVID
2012-01-04,183.0,183.0,183.7,182.0,750344.3,4100,MVID
2012-01-05,182.99,184.0,186.0,181.21,3588062.0,19540,MVID
2012-01-06,183.99,184.0,186.49,182.78,1926084.2,10460,MVID
2012-01-09,182.02,184.29,185.0,181.0,591055.7,3220,MVID
2012-01-10,184.96,193.99,193.99,183.52,10107705.8,54210,MVID
2012-01-11,191.0,193.5,193.75,187.53,5758581.4,29970,MVID
