date,open,close,high,low,value,volume,ticker
2011-11-17,22.9,22.85,23.35,22.801,542508.8,23600,NKNC
2011-11-18,22.503,22.999,22.999,22.4,137653.9,6100,NKNC
2011-11-21,22.554,22.4,22.999,22.4,216823.80000000002,9600,NKNC
2011-11-22,22.8,22.898,23.0,22.713,323190.7,14100,NKNC
2011-11-23,23.0,23.5,23.855,23.0,1049116.1,45000,NKNC
2011-11-24,23.5,23.35,23.5,23.25,130780.8,5600,NKNC
2011-11-25,23.6,23.5,23.6,23.0,7006672.199999999,303300,NKNC
2011-11-28,23.8,23.8,23.985,23.503,1504459.1,63100,NKNC
2011-11-29,23.8,24.0,24.0,23.503,876203.2,36700,NKNC
2011-11-30,23.9,24.1,24.2,23.58,785581.7,32700,NKNC
2011-12-01,24.1,25.0,25.275,24.1,6405090.3,259400,NKNC
2011-12-02,24.516,24.988,25.25,24.5,1515377.2,61100,NKNC
2011-12-05,24.989,25.0,25.243,24.509,1696249.7,68100,NKNC
2011-12-06,25.239,25.3,25.3,24.99,3212598.1,127500,NKNC
2011-12-07,25.5,25.0,25.5,25.0,1625738.4,64500,NKNC
2011-12-08,25.01,25.105,25.499,25.01,1603966.8,63400,NKNC
2011-12-09,25.0,24.75,25.001,24.745,8408585.8,338700,NKNC
2011-12-12,24.651,24.45,24.651,24.45,2666090.4,108800,NKNC
2011-12-13,24.999,24.5,25.0,24.45,157430.2,6400,NKNC
2011-12-14,24.506,24.5,24.714,24.5,210783.7,8600,NKNC
2011-12-15,24.749,24.1,24.749,23.75,3584179.3000000003,149600,NKNC
2011-12-16,24.7,23.5,24.8,23.251,1001359.0,42500,NKNC
2011-12-19,23.497,23.5,23.5,22.969,171281.1,7300,NKNC
2011-12-20,23.5,23.0,23.5,22.851,105729.4,4600,NKNC
2011-12-21,23.0,23.3,23.3,22.851,552639.9,24000,NKNC
2011-12-22,23.269,23.2,23.3,21.018,264910.6,11500,NKNC
2011-12-23,22.155,22.5,23.0,22.155,6103277.5,266200,NKNC
2011-12-26,22.9,22.95,23.6,22.5,2695844.8,119700,NKNC
2011-12-27,22.504,23.25,23.355,22.504,914214.3999999999,39600,NKNC
2011-12-28,22.999,22.839,23.0,22.5,2756652.4,122100,NKNC
2011-12-29,22.5,22.69,22.999,22.302,450706.4,19800,NKNC
2011-12-30,22.501,22.5,22.501,22.31,228749.2,10200,NKNC
2012-01-03,22.501,22.55,22.949,22.501,65371.2,2900,NKNC
