date,open,close,high,low,value,volume,ticker
2011-11-17,16.1,16.297,16.35,16.05,5731286.6,353800,NKNCP
2011-11-18,16.012,16.344,16.345,15.8,6905181.9,426200,NKNCP
2011-11-21,16.494,16.0,16.494,15.91,4205952.8,262300,NKNCP
2011-11-22,16.05,16.239,16.25,16.0,7896797.2,490400,NKNCP
2011-11-23,16.053,16.25,16.501,16.053,5177305.0,316000,NKNCP
2011-11-24,16.203,16.3,16.36,16.2,1039918.4,64100,NKNCP
2011-11-25,16.2,16.598,16.598,15.961,1236155.8,76100,NKNCP
2011-11-28,16.353,16.407,16.498,16.2,764838.1,46900,NKNCP
2011-11-29,16.4,16.32,16.5,16.32,301884.3,18400,NKNCP
2011-11-30,16.5,16.45,16.5,16.302,371880.5,22700,NKNCP
2011-12-01,16.45,17.138,17.189,16.45,710151.5,42400,NKNCP
2011-12-02,17.499,17.3,17.5,17.001,2355594.6,135900,NKNCP
2011-12-05,17.501,17.8,17.869,17.35,639057.2999999999,36400,NKNCP
2011-12-06,17.503,17.347,17.6,17.11,838030.8999999999,48200,NKNCP
2011-12-07,17.41,17.4,17.44,17.299,902578.9,52100,NKNCP
2011-12-08,17.45,17.3,17.625,17.3,1625706.6,93000,NKNCP
2011-12-09,17.102,17.162,17.356,16.6,807521.0,47800,NKNCP
2011-12-12,17.011,16.8,17.2,16.742,2506045.2,148500,NKNCP
2011-12-13,16.801,16.923,17.176,16.743,1017090.7000000001,60100,NKNCP
2011-12-14,16.909,16.726,16.923,16.606,1770837.7999999998,105900,NKNCP
2011-12-15,16.6,16.5,16.6,15.773,797921.3,48600,NKNCP
2011-12-16,16.377,16.45,16.6,16.2,339446.1,20700,NKNCP
2011-12-19,16.499,16.0,16.499,15.704,1331557.5,83100,NKNCP
2011-12-20,15.965,16.15,16.15,15.8,1410956.9,88200,NKNCP
2011-12-21,16.15,16.0,16.3,15.988,1991384.8,123800,NKNCP
2011-12-22,15.859,15.758,15.987,15.614,1581342.0,99900,NKNCP
2011-12-23,15.79,15.95,16.14,15.789,1682000.4,104600,NKNCP
2011-12-26,15.95,16.0,16.09,15.918,501847.5,31400,NKNCP
2011-12-27,15.999,16.0,16.05,15.908,1252873.9000000001,78400,NKNCP
2011-12-28,16.0,16.149,16.15,15.918,1153974.5,71900,NKNCP
2011-12-29,15.795,16.138,16.138,15.793,326975.0,20500,NKNCP
2011-12-30,16.15,16.1,16.299,16.001,364413.0,22500,NKNCP
2012-01-03,16.1,16.361,16.5,16.1,403718.9,24600,NKNCP
2012-01-04,16.497,16.41,16.54,16.2,416104.0,25300,NKNCP
2012-01-05,16.699,16.725,17.0,16.411,284296.5,17000,NKNCP
2012-01-06,16.501,16.9,16.9,16.501,883899.5,52800,NKNCP
2012-01-09,16.66,16.899,16.899,16.608,138480.0,8300,NKNCP
2012-01-10,16.75,17.241,17.25,16.75,2018692.0999999999,118300,NKNCP
2012-01-11,17.25,17.1,17.25,17.003,568382.5,33100,NKNCP
2012-01-12,17.02,17.125,17.249,17.0,2159571.8000000003,126400,NKNCP
2012-01-13,17.125,17.354,17.417,17.125,2913189.1,169100,NKNCP
2012-01-16,17.454,17.324,17.454,17.247,463072.9,26600,NKNCP
2012-01-17,17.5,17.45,17.7,17.355,1739450.5,99500,NKNCP
2012-01-18,17.45,17.747,17.748,17.45,1435100.5,81700,NKNCP
2012-01-19,17.8,18.1,18.189,17.7,4400448.0,244300,NKNCP
2012-01-20,18.002,18.7,18.89,18.0,10754290.4,575700,NKNCP
2012-01-23,18.72,18.7,18.85,18.683,1323967.8,70600,NKNCP
2012-01-24,18.623,18.65,18.8,18.355,4714343.9,252700,NKNCP
2012-01-25,18.689,18.7,18.9,18.535,11133801.2,598400,NKNCP
2012-01-26,18.83,18.549,18.89,18.499,4908545.6,263900,NKNCP
2012-01-27,18.486,17.95,18.55,17.71,8608141.3,476200,NKNCP
2012-01-30,17.95,18.0,18.05,17.573,3389540.6,190500,NKNCP
2012-01-31,18.016,17.945,18.05,17.899,7916947.2,440100,NKNCP
2012-02-01,17.949,17.994,18.06,17.81,3954176.1999999997,220400,NKNCP
2012-02-02,17.92,17.93,17.998,17.88,935508.4,52200,NKNCP
2012-02-03,17.889,17.975,17.988,17.87,1589966.5999999999,88900,NKNCP
2012-02-06,18.0,18.439,18.5,17.914,4559815.9,250600,NKNCP
2012-02-07,18.439,18.401,18.778,18.335,1046508.3,56800,NKNCP
2012-02-08,18.52,18.555,18.555,18.476,1583276.4,85500,NKNCP
2012-02-09,18.502,18.5,18.649,18.5,1350200.6,72900,NKNCP
2012-02-10,18.543,18.423,18.543,18.25,824684.3999999999,45000,NKNCP
2012-02-13,18.643,18.65,18.749,18.522,9898933.3,529800,NKNCP
2012-02-14,18.501,18.5,18.69,18.45,12523405.1,672300,NKNCP
2012-02-15,18.5,18.474,18.55,18.43,7009051.8,379400,NKNCP
2012-02-16,18.01,18.45,18.473,18.01,3639694.5,197900,NKNCP
2012-02-17,18.585,18.579,18.588,18.331,1008030.7,54500,NKNCP
2012-02-20,18.501,18.481,18.6,18.412,1090484.1,58900,NKNCP
2012-02-21,18.5,18.485,18.639,18.3,1480163.9,80000,NKNCP
2012-02-22,18.5,18.626,18.64,18.486,1842236.7,99300,NKNCP
2012-02-24,18.501,18.8,18.869,18.5,3927525.2,209900,NKNCP
2012-02-27,18.098,18.579,18.72,18.07,4124100.7,223300,NKNCP
2012-02-28,18.567,18.249,18.85,17.579,4504592.5,248100,NKNCP
2012-02-29,18.25,18.36,18.36,18.104,932935.2,51100,NKNCP
2012-03-01,18.106,18.201,18.36,17.8,1568051.1,86500,NKNCP
2012-03-02,18.1,18.475,18.586,18.1,2137986.3,116400,NKNCP
2012-03-05,18.37,18.2,18.539,18.2,409414.3,22400,NKNCP
2012-03-06,18.3,18.25,18.5,18.07,1639905.6,89700,NKNCP
2012-03-07,18.3,18.449,18.499,18.0,2785996.6,152300,NKNCP
2012-03-11,18.49,18.441,18.794,18.2,2742450.1999999997,148800,NKNCP
2012-03-12,18.35,18.494,18.784,18.35,795474.5,42700,NKNCP
2012-03-13,18.333,18.648,18.68,18.321,786973.2999999999,42600,NKNCP
2012-03-14,18.462,18.4,18.536,18.301,5941157.3,322400,NKNCP
2012-03-15,18.45,18.47,18.5,18.4,302556.7,16400,NKNCP
2012-03-16,18.351,18.542,18.594,18.35,1008073.5,54500,NKNCP
2012-03-19,18.421,18.532,18.532,18.4,2009189.1,109100,NKNCP
2012-03-20,18.5,18.529,18.538,18.4,790011.7,42800,NKNCP
2012-03-21,18.5,18.351,18.599,18.35,8834795.799999999,479000,NKNCP
2012-03-22,18.301,18.198,18.301,18.011,2093769.4,114900,NKNCP
2012-03-23,18.489,18.4,18.489,18.072,1485239.7,80900,NKNCP
2012-03-26,18.45,18.574,18.581,18.45,1076023.4,58100,NKNCP
2012-03-27,18.599,18.55,18.599,18.4,195898.7,10600,NKNCP
2012-03-28,18.35,18.2,18.35,18.2,480427.5,26300,NKNCP
2012-03-29,18.2,18.304,18.499,18.017,978515.1000000001,54000,NKNCP
2012-03-30,18.39,18.258,18.471,18.0,685837.6,37900,NKNCP
2012-04-02,18.17,18.05,18.45,18.0,821371.6,45300,NKNCP
2012-04-03,18.031,18.299,18.399,17.905,662988.1,36700,NKNCP
2012-04-04,18.083,18.09,18.198,17.752,620259.4,34600,NKNCP
2012-04-05,18.445,18.041,18.497,17.8,644221.5,35900,NKNCP
2012-04-06,18.002,18.01,18.25,18.0,706671.6000000001,39200,NKNCP
2012-04-09,18.0,18.3,18.329,18.0,647789.7,35700,NKNCP
2012-04-10,18.329,19.5,19.697,18.297,24816802.5,1288900,NKNCP
