date,open,close,high,low,value,volume,ticker
2011-11-17,3.1999,3.2429,3.2499,3.1999,957123.9,297000,NMTP
2011-11-18,3.2429,3.22,3.2575,3.2,1943075.1,602000,NMTP
2011-11-21,3.1102,3.1714,3.1979,3.0501,972449.6,307000,NMTP
2011-11-22,3.17,3.2008,3.3,3.17,7014414.3,2172000,NMTP
2011-11-23,3.2,3.2809,3.2993,3.1924,900521.9,277000,NMTP
2011-11-24,3.2299,3.222,3.25,3.1903,186969.69999999998,58000,NMTP
2011-11-25,3.1903,3.27,3.2899,3.1799,5991661.899999999,1850000,NMTP
2011-11-28,3.3396,3.2549,3.349,3.1751,5819847.8,1771000,NMTP
2011-11-29,3.24,3.21,3.2725,3.193,848784.7999999999,263000,NMTP
2011-11-30,3.2575,3.2798,3.2997,3.22,8605326.3,2633000,NMTP
2011-12-01,3.2394,3.2677,3.2774,3.23,2063326.4,635000,NMTP
2011-12-02,3.245,3.2007,3.3,3.2007,2871202.9,877000,NMTP
2011-12-05,3.2007,3.2477,3.291,3.1348,1808224.3,562000,NMTP
2011-12-06,3.2488,3.182,3.2949,3.16,2446518.3,761000,NMTP
2011-12-07,3.1849,3.1101,3.2493,3.0412,3779351.5,1205000,NMTP
2011-12-08,3.135,3.1577,3.2099,3.1055,2109283.5,668000,NMTP
2011-12-09,3.1201,3.0506,3.1201,3.011,5204319.6,1698000,NMTP
2011-12-12,3.0397,3.0631,3.1247,3.0199,2556204.9,836000,NMTP
2011-12-13,3.0734,3.05,3.0734,3.0221,386601.6,127000,NMTP
2011-12-14,3.0301,3.019,3.1424,2.898,1298665.0,429000,NMTP
2011-12-15,3.0058,3.14,3.24,2.901,2465567.4,795000,NMTP
2011-12-16,3.1101,3.05,3.1198,2.9703,14626204.5,4803000,NMTP
2011-12-19,3.0502,3.0561,3.07,3.02,1933466.8,634000,NMTP
2011-12-20,3.0501,3.1,3.1,3.03,8435326.9,2774000,NMTP
2011-12-21,3.12,3.05,3.16,3.0,8684137.9,2816000,NMTP
2011-12-22,3.02,3.0,3.09,2.9701,4330929.4,1413000,NMTP
2011-12-23,3.0052,3.0041,3.0199,2.9802,925440.2,309000,NMTP
2011-12-26,3.0,3.0156,3.0156,2.96,1144401.9,383000,NMTP
2011-12-27,3.0089,2.9849,3.0196,2.9849,393689.5,131000,NMTP
2011-12-28,2.9897,3.0,3.0298,2.9897,2692010.7,897000,NMTP
2011-12-29,2.9997,3.1659,3.1668,2.9997,16895420.2,5509000,NMTP
2011-12-30,3.1798,3.1799,3.26,3.16,7341261.899999999,2263000,NMTP
2012-01-03,3.22,3.1362,3.3332,3.1052,1775769.2,545000,NMTP
2012-01-04,3.1699,3.1365,3.1899,3.12,254292.1,81000,NMTP
2012-01-05,3.1599,3.205,3.22,3.122,697416.3,220000,NMTP
2012-01-06,3.0609,3.2949,3.2949,3.0609,661408.2,205000,NMTP
2012-01-09,3.1707,3.2,3.2799,3.16,127303.2,40000,NMTP
2012-01-10,3.2699,3.12,3.2898,3.12,813295.2,255000,NMTP
2012-01-11,3.1,3.12,3.13,3.06,330660.6,107000,NMTP
2012-01-12,3.11,3.075,3.1995,3.075,2645651.7,851000,NMTP
2012-01-13,3.0004,3.0168,3.07,3.0004,1266711.8,417000,NMTP
2012-01-16,3.01,3.03,3.03,3.0,400818.69999999995,133000,NMTP
2012-01-17,3.055,2.9951,3.25,2.9832,3955988.3,1265000,NMTP
2012-01-18,3.0003,2.9999,3.03,2.9675,511229.8,171000,NMTP
2012-01-19,3.005,3.0152,3.055,2.9795,2024873.2,670000,NMTP
2012-01-20,3.02,2.9699,3.02,2.9501,577849.5,193000,NMTP
2012-01-23,2.9601,2.973,3.0289,2.9601,796757.2,267000,NMTP
2012-01-24,2.9849,2.9739,2.9849,2.95,741562.2,250000,NMTP
2012-01-25,3.01,2.9381,3.01,2.905,4537855.600000001,1531000,NMTP
2012-01-26,2.9889,2.895,2.9889,2.895,2631686.6,905000,NMTP
2012-01-27,2.895,2.9087,2.916,2.879,512127.7,177000,NMTP
2012-01-30,2.87,2.88,2.8853,2.8556,254539.6,89000,NMTP
2012-01-31,2.9,2.877,2.905,2.8521,4520640.2,1576000,NMTP
2012-02-01,2.8451,2.91,2.9287,2.845,1018957.4,351000,NMTP
2012-02-02,2.9098,2.9,2.9098,2.88,150811.4,52000,NMTP
2012-02-03,2.9088,2.88,2.9193,2.871,1603144.9,555000,NMTP
2012-02-06,2.94,2.9099,2.94,2.8501,2198524.4,756000,NMTP
2012-02-07,2.92,2.911,2.92,2.88,2084673.2999999998,723000,NMTP
2012-02-08,2.9,2.93,2.945,2.89,4339796.9,1479000,NMTP
2012-02-09,2.915,2.868,2.92,2.86,1408860.7,486000,NMTP
2012-02-10,2.87,2.8708,2.8987,2.8521,515052.9,179000,NMTP
2012-02-13,2.87,2.915,2.925,2.87,1185463.9,409000,NMTP
2012-02-14,2.905,2.9001,2.92,2.89,474819.60000000003,163000,NMTP
2012-02-15,2.9,2.92,2.9375,2.89,531985.6,182000,NMTP
2012-02-16,2.9149,2.8899,2.9149,2.88,1447978.0,501000,NMTP
2012-02-17,2.8851,2.9002,2.9119,2.885,728348.2,251000,NMTP
2012-02-20,2.905,2.9097,2.9099,2.89,487121.0,168000,NMTP
2012-02-21,2.8991,2.883,2.9067,2.88,305744.4,106000,NMTP
2012-02-22,2.9,2.8999,2.9098,2.88,651702.3,225000,NMTP
2012-02-24,2.8912,2.88,2.8994,2.8799,2432516.5999999996,843000,NMTP
2012-02-27,2.8601,2.8599,2.89,2.8502,2223684.3,774000,NMTP
2012-02-28,2.8511,2.8101,2.8511,2.8,5958934.600000001,2115000,NMTP
2012-02-29,2.8169,2.765,2.8169,2.75,2151743.2,774000,NMTP
2012-03-01,2.7997,2.78,2.8049,2.71,4086231.9,1479000,NMTP
2012-03-02,2.8399,2.7001,2.8399,2.67,3519304.0,1290000,NMTP
2012-03-05,2.7178,2.7325,2.77,2.7,5943316.9,2187000,NMTP
2012-03-06,2.7325,2.7,2.7599,2.65,2339954.5,869000,NMTP
2012-03-07,2.71,2.6779,2.71,2.6779,943854.2,351000,NMTP
2012-03-11,2.6869,2.694,2.6998,2.6601,811985.1000000001,302000,NMTP
2012-03-12,2.6953,2.66,2.8,2.6439,14580137.200000001,5393000,NMTP
2012-03-13,2.6701,2.74,2.74,2.657,3795318.5,1411000,NMTP
2012-03-14,2.7286,2.8,2.83,2.7286,2583553.2,922000,NMTP
2012-03-15,2.7726,2.83,2.8775,2.7726,1577405.6,555000,NMTP
2012-03-16,2.84,2.7251,2.84,2.7251,1429624.6,512000,NMTP
2012-03-19,2.74,2.826,2.8489,2.74,5957045.8,2117000,NMTP
2012-03-20,2.8739,2.835,2.96,2.82,9285295.6,3216000,NMTP
2012-03-21,2.75,2.9,2.9199,2.75,3674770.6,1274000,NMTP
2012-03-22,2.9,2.8982,2.927,2.85,4804246.3,1667000,NMTP
2012-03-23,2.8703,2.88,2.89,2.8,2736081.7,964000,NMTP
2012-03-26,2.8705,2.9004,2.9261,2.8705,1059248.5,363000,NMTP
2012-03-27,2.9099,2.92,2.92,2.8572,4621791.3,1596000,NMTP
2012-03-28,2.9199,2.95,2.9735,2.9,4515278.7,1535000,NMTP
2012-03-29,2.9798,2.9395,2.9849,2.902,2805563.9,950000,NMTP
2012-03-30,2.996,2.9893,3.0283,2.9501,2698825.2,903000,NMTP
2012-04-02,2.9748,3.0001,3.055,2.902,995085.0,331000,NMTP
2012-04-03,3.0765,3.0327,3.155,3.0145,2043919.6,662000,NMTP
2012-04-04,3.0599,3.025,3.0676,3.0161,1523903.9,504000,NMTP
2012-04-05,3.03,3.08,3.0992,3.0201,2053670.6,670000,NMTP
2012-04-06,3.0997,3.0816,3.12,3.0543,594343.5,192000,NMTP
2012-04-09,3.0751,3.0501,3.0751,3.025,4026896.7,1321000,NMTP
2012-04-10,3.051,3.09,3.095,3.051,514458.9,168000,NMTP
2012-04-11,3.09,3.15,3.1999,3.0689,3120303.8,991000,NMTP
2012-04-12,3.1898,3.1601,3.1994,3.15,3950945.4,1249000,NMTP
2012-04-13,3.16,3.2351,3.248,3.16,2545704.6,791000,NMTP
2012-04-16,3.2201,3.145,3.2202,3.13,3326132.8,1051000,NMTP
2012-04-17,3.11,3.1606,3.23,3.11,1780776.3,560000,NMTP
2012-04-18,3.2299,3.204,3.2299,3.16,335220.1,105000,NMTP
2012-04-19,3.1901,3.19,3.23,3.1601,550956.2,172000,NMTP
2012-04-20,3.1904,3.1899,3.21,3.155,744297.6,234000,NMTP
2012-04-23,3.2,3.185,3.2,3.1709,334147.8,105000,NMTP
2012-04-24,3.19,3.1701,3.245,3.156,1101309.7,346000,NMTP
2012-04-25,3.1799,3.1829,3.1996,3.158,1772804.4,558000,NMTP
2012-04-26,3.1,3.1501,3.2,3.1,2181955.3,690000,NMTP
2012-04-27,3.1599,3.185,3.185,3.1126,2848557.0,897000,NMTP
2012-04-28,3.1999,3.2,3.22,3.1999,1017994.1,317000,NMTP
2012-05-02,3.2199,3.185,3.27,3.1402,1645060.2,510000,NMTP
2012-05-03,3.2199,3.18,3.22,3.1503,1092319.2,344000,NMTP
2012-05-04,3.1696,3.0829,3.1714,2.9692,4018007.5,1305000,NMTP
2012-05-05,2.8701,2.9839,3.0581,2.8701,174060.7,58000,NMTP
2012-05-07,2.8712,3.0998,3.145,2.871,185316.6,63000,NMTP
2012-05-08,3.17,3.035,3.17,3.0047,118172.1,39000,NMTP
2012-05-10,3.03,2.97,3.0519,2.95,746471.6,251000,NMTP
2012-05-11,2.9401,2.9305,2.98,2.9191,296790.1,101000,NMTP
2012-05-12,2.96,2.978,2.978,2.9503,59219.2,20000,NMTP
2012-05-14,2.9462,2.8399,2.9462,2.8,3775252.5,1335000,NMTP
2012-05-15,2.7903,2.9,2.9,2.79,3163873.8,1116000,NMTP
2012-05-16,2.8799,2.8999,2.972,2.8002,2846830.1999999997,997000,NMTP
2012-05-17,2.9677,2.7767,3.0,2.696,1869973.0,667000,NMTP
2012-05-18,2.7113,2.7639,2.8039,2.6269,1373578.7,501000,NMTP
2012-05-21,2.7649,2.7956,2.8398,2.7523,746491.9,267000,NMTP
2012-05-22,2.8199,2.7103,2.8199,2.6998,1949272.1,710000,NMTP
2012-05-23,2.7015,2.792,2.8997,2.7,861194.5,309000,NMTP
2012-05-24,2.7801,2.83,2.8529,2.7801,761496.0,269000,NMTP
2012-05-25,2.83,2.858,2.9135,2.83,310136.1,108000,NMTP
2012-05-28,2.865,2.7949,2.88,2.7715,2689132.6,957000,NMTP
2012-05-29,2.82,2.95,2.9653,2.82,3736854.3,1288000,NMTP
2012-05-30,2.89,2.9911,3.035,2.8502,3486193.7,1176000,NMTP
2012-05-31,3.0364,3.03,3.055,2.896,5391775.100000001,1806000,NMTP
2012-06-01,3.02,2.9249,3.0365,2.8902,1601229.4,542000,NMTP
2012-06-04,2.9998,2.9498,2.9998,2.93,239324.1,81000,NMTP
2012-06-05,2.9401,2.94,2.9714,2.9241,279670.4,95000,NMTP
2012-06-06,2.9411,2.8312,2.9549,2.801,3144299.4,1101000,NMTP
2012-06-07,2.84,2.85,2.87,2.8299,450463.7,158000,NMTP
2012-06-08,2.812,2.9394,2.9394,2.812,293699.7,102000,NMTP
