date,open,close,high,low,value,volume,ticker
2011-11-17,414.0,408.15,416.0,403.22,399086992.0,977920,NVTK
2011-11-18,403.3,408.1,410.0,400.23,152137402.9,374920,NVTK
2011-11-21,406.72,389.99,407.14,388.0,455085965.2,1153240,NVTK
2011-11-22,392.0,395.0,399.8,390.23,165880098.1,418030,NVTK
2011-11-23,390.27,390.0,396.23,385.0,685895589.9,1760790,NVTK
2011-11-24,391.0,392.85,397.5,390.21,212750428.39999998,540760,NVTK
2011-11-25,394.39,411.68,412.0,390.0,574277205.3,1442120,NVTK
2011-11-28,414.0,415.0,418.0,411.83,646163257.5,1556820,NVTK
2011-11-29,419.9,412.2,420.0,407.08,388320174.1,938200,NVTK
2011-11-30,409.2,419.8,420.9,408.16,1152303898.1,2761980,NVTK
2011-12-01,420.97,417.8,421.09,411.67,420437058.3,1008940,NVTK
2011-12-02,419.4,415.21,419.4,414.3,233731985.6,560310,NVTK
2011-12-05,415.32,410.0,417.39,405.11,314168177.5,766390,NVTK
2011-12-06,405.55,389.19,411.0,388.87,712235148.3999999,1788270,NVTK
2011-12-07,394.34,387.0,394.34,384.34,936578369.1,2416120,NVTK
2011-12-08,386.13,390.06,395.97,385.51,803101674.9,2053430,NVTK
2011-12-09,384.84,391.49,397.13,375.02,1738646092.2,4482760,NVTK
2011-12-12,398.0,374.88,401.88,370.08,561540269.2,1458850,NVTK
2011-12-13,374.0,375.49,379.5,355.2,632717586.4,1717420,NVTK
2011-12-14,370.42,387.0,397.48,369.04,704166143.7,1821240,NVTK
2011-12-15,379.2,385.0,389.0,372.1,765576684.2,2012180,NVTK
2011-12-16,386.0,387.07,388.32,380.49,335715203.7,871270,NVTK
2011-12-19,385.4,377.6,390.74,376.3,301564515.7,791760,NVTK
2011-12-20,377.87,382.0,386.24,372.11,372237446.1,986230,NVTK
2011-12-21,386.2,377.33,388.54,375.01,423873231.9,1107480,NVTK
2011-12-22,378.01,378.75,382.4,376.34,374652282.5,990160,NVTK
2011-12-23,380.64,379.0,381.5,377.12,126528448.7,334110,NVTK
2011-12-26,381.1,381.0,383.5,378.09,67590849.5,177350,NVTK
2011-12-27,380.75,378.67,380.97,374.02,91671958.19999999,242850,NVTK
2011-12-28,378.88,376.85,382.65,375.1,174623021.7,459150,NVTK
