date,open,close,high,low,value,volume,ticker
2011-11-17,0.908,0.9091,0.9194,0.8901,40326733.8,44488000,OGKB
2011-11-18,0.8888,0.8992,0.9055,0.8803,34037980.7,37924000,OGKB
2011-11-21,0.8881,0.8612,0.896,0.861,51741406.2,59118000,OGKB
2011-11-22,0.8741,0.8689,0.8817,0.8605,18857008.6,21608000,OGKB
2011-11-23,0.855,0.8795,0.8814,0.854,26491472.2,30412000,OGKB
2011-11-24,0.8777,0.8758,0.891,0.8707,27617648.5,31318000,OGKB
2011-11-25,0.8747,0.8351,0.875,0.835,129483137.10000001,152675000,OGKB
2011-11-28,0.8489,0.8769,0.877,0.83,153322284.4,180427000,OGKB
2011-11-29,0.879,0.8636,0.8859,0.8614,63850355.4,73167000,OGKB
2011-11-30,0.8601,0.877,0.877,0.845,93981187.7,108196000,OGKB
2011-12-01,0.8825,0.8777,0.891,0.8704,75381133.9,85584000,OGKB
2011-12-02,0.8801,0.8634,0.8867,0.8585,88146712.3,101104000,OGKB
2011-12-05,0.8655,0.8738,0.875,0.8503,37582526.5,43409000,OGKB
2011-12-06,0.8652,0.8449,0.8745,0.84,88009962.5,102442000,OGKB
2011-12-07,0.847,0.858,0.8744,0.8359,55650998.9,64734000,OGKB
2011-12-08,0.8604,0.8554,0.8764,0.847,49591261.8,57239000,OGKB
2011-12-09,0.8444,0.825,0.8444,0.81,88260044.9,107153000,OGKB
2011-12-12,0.8373,0.812,0.8416,0.808,72440382.5,87601000,OGKB
2011-12-13,0.804,0.8117,0.821,0.7863,102735713.1,127407000,OGKB
2011-12-14,0.8073,0.7908,0.8137,0.7852,160126612.9,201084000,OGKB
2011-12-15,0.787,0.8046,0.8078,0.772,50868161.6,64108000,OGKB
2011-12-16,0.8048,0.81,0.8369,0.7741,113772940.8,140342000,OGKB
2011-12-19,0.7989,0.808,0.808,0.7758,138509586.7,174024000,OGKB
2011-12-20,0.8022,0.8,0.808,0.796,34595579.3,43229000,OGKB
2011-12-21,0.8034,0.7886,0.8086,0.7851,20755258.4,26040000,OGKB
2011-12-22,0.7902,0.7717,0.7936,0.7692,39103723.8,50162000,OGKB
2011-12-23,0.7794,0.784,0.785,0.771,28052674.2,36012000,OGKB
2011-12-26,0.7889,0.7805,0.7889,0.7785,32784807.4,42004000,OGKB
2011-12-27,0.7801,0.769,0.7829,0.766,34826243.6,44961000,OGKB
2011-12-28,0.7654,0.7611,0.7731,0.7588,35596995.5,46505000,OGKB
2011-12-29,0.7598,0.758,0.7614,0.7078,80180044.7,108822000,OGKB
2011-12-30,0.7627,0.7507,0.763,0.7402,127137173.7,167803000,OGKB
2012-01-03,0.76,0.779,0.7867,0.76,13249042.6,17106000,OGKB
2012-01-04,0.779,0.799,0.874,0.768,63730915.4,78482000,OGKB
2012-01-05,0.799,0.81,0.8178,0.784,35100993.2,43645000,OGKB
2012-01-06,0.81,0.8166,0.8176,0.803,14549225.0,17973000,OGKB
2012-01-09,0.812,0.826,0.8333,0.8065,19570448.0,23748000,OGKB
2012-01-10,0.8306,0.8232,0.8364,0.8154,86894424.3,105202000,OGKB
2012-01-11,0.8161,0.8,0.8183,0.7975,48273158.599999994,59833000,OGKB
2012-01-12,0.8042,0.8058,0.8146,0.796,19453569.6,24060000,OGKB
2012-01-13,0.8029,0.7884,0.8075,0.783,71832651.3,90933000,OGKB
