date,open,close,high,low,value,volume,ticker
2011-11-17,83.88,83.2,83.93,81.76,16202625.5,196010,PIKK
2011-11-18,81.9,82.7,83.15,81.24,32106644.799999997,390340,PIKK
2011-11-21,82.13,82.7,82.7,79.05,44431861.2,545870,PIKK
2011-11-22,80.9,82.48,82.48,80.0,37266939.8,458700,PIKK
2011-11-23,81.98,82.0,82.9,81.81,9214149.5,111730,PIKK
2011-11-24,81.77,81.71,84.0,81.06,12545699.9,151970,PIKK
2011-11-25,81.27,80.78,81.85,78.2,38083001.3,477880,PIKK
2011-11-28,81.79,82.59,82.67,81.01,18727778.6,228620,PIKK
2011-11-29,83.0,81.5,83.0,81.45,8011069.5,97940,PIKK
2011-11-30,81.17,82.22,82.5,80.4,22619445.2,276990,PIKK
2011-12-01,82.49,81.67,83.25,81.55,33772315.6,410210,PIKK
2011-12-02,82.47,81.5,82.89,81.06,28647653.1,350550,PIKK
2011-12-05,81.96,81.97,82.46,81.5,16353616.799999999,199250,PIKK
2011-12-06,81.5,79.04,81.78,79.0,38764927.5,484600,PIKK
2011-12-07,79.04,77.68,79.9,77.31,24184990.4,307730,PIKK
2011-12-08,77.83,76.83,78.64,76.0,40839854.7,528550,PIKK
2011-12-09,76.0,75.52,76.01,72.07,57182284.9,776060,PIKK
2011-12-12,75.7,74.05,77.47,72.99,30889847.8,409950,PIKK
2011-12-13,74.9,72.89,74.9,68.95,44406821.5,618900,PIKK
2011-12-14,72.39,72.59,72.67,70.97,22544031.799999997,313610,PIKK
2011-12-15,71.93,73.0,73.47,71.3,23378181.2,322230,PIKK
2011-12-16,73.11,75.87,75.9,72.6,30751578.1,412040,PIKK
2011-12-19,75.66,74.0,75.9,73.83,14544823.3,194130,PIKK
2011-12-20,73.6,73.99,74.23,72.04,33753719.9,459650,PIKK
2011-12-21,75.8,74.85,75.88,74.69,19612548.7,261150,PIKK
2011-12-22,74.1,76.49,77.5,74.05,33141824.6,439570,PIKK
2011-12-23,76.49,76.11,77.45,76.0,16715670.8,218030,PIKK
2011-12-26,76.86,76.24,77.17,75.86,6599959.9,86480,PIKK
2011-12-27,76.24,74.8,76.99,73.65,13905600.8,185620,PIKK
2011-12-28,74.32,78.5,81.0,74.32,58868080.6,749750,PIKK
2011-12-29,78.19,79.02,79.89,76.7,25903506.0,333770,PIKK
2011-12-30,79.1,77.4,80.7,77.16,46371088.5,585920,PIKK
2012-01-03,77.63,77.49,79.16,77.37,9634955.3,123560,PIKK
2012-01-04,77.5,77.0,78.5,76.5,7423423.0,96120,PIKK
2012-01-05,77.39,75.52,77.6,75.51,8200113.7,107670,PIKK
2012-01-06,75.63,74.71,76.6,74.51,17574025.9,234050,PIKK
2012-01-09,75.07,73.71,75.07,73.56,11202078.3,151330,PIKK
2012-01-10,74.12,75.0,76.0,74.01,20247544.099999998,270000,PIKK
2012-01-11,75.0,74.41,75.35,74.22,9706377.2,130130,PIKK
2012-01-12,74.71,74.35,75.61,74.23,16203956.3,216100,PIKK
2012-01-13,74.63,73.05,74.71,72.53,44418466.7,605720,PIKK
2012-01-16,72.43,72.7,73.3,71.53,18113382.0,249930,PIKK
2012-01-17,73.39,73.05,74.13,72.78,28330763.1,385520,PIKK
2012-01-18,73.06,72.18,73.58,71.82,23051293.5,317580,PIKK
2012-01-19,72.84,72.35,73.3,71.9,35887145.0,495970,PIKK
2012-01-20,72.46,72.38,72.88,71.9,15435302.4,213500,PIKK
2012-01-23,72.27,81.5,83.65,71.65,222275732.8,2832770,PIKK
2012-01-24,80.51,80.0,83.19,79.25,134790805.9,1661680,PIKK
2012-01-25,80.85,78.98,81.3,78.28,55351374.9,694050,PIKK
2012-01-26,79.24,76.95,80.9,76.68,66270359.2,843250,PIKK
2012-01-27,76.95,75.8,77.69,75.46,57079592.1,744280,PIKK
2012-01-30,75.8,72.77,75.81,72.4,55369126.3,752050,PIKK
2012-01-31,73.14,73.66,74.1,72.66,39280841.8,535730,PIKK
2012-02-01,73.73,77.0,77.33,73.31,62964536.2,830490,PIKK
2012-02-02,77.4,79.0,79.5,76.3,54281776.5,696220,PIKK
2012-02-03,79.4,80.1,82.27,79.25,65310421.2,804150,PIKK
2012-02-06,80.12,83.5,83.87,79.1,51996394.0,633760,PIKK
2012-02-07,83.5,82.3,84.45,81.54,38232284.3,461190,PIKK
2012-02-08,83.71,87.2,87.99,83.0,66566456.7,773490,PIKK
