date,open,close,high,low,value,volume,ticker
2011-11-17,102.0,99.32,104.49,97.7,545355252.5,5398830,RASP
2011-11-18,98.4,99.0,100.67,96.23,213046940.9,2148020,RASP
2011-11-21,98.58,94.44,98.58,93.87,191049860.6,2000860,RASP
2011-11-22,94.44,93.35,96.45,91.0,246128296.2,2631060,RASP
2011-11-23,92.15,93.01,94.94,91.19,161415593.0,1729960,RASP
2011-11-24,92.8,92.06,94.19,92.05,85853073.2,923420,RASP
2011-11-25,92.0,90.04,93.16,89.21,171215269.3,1891310,RASP
2011-11-28,91.27,92.95,93.5,90.61,228399978.5,2470840,RASP
2011-11-29,93.5,91.9,93.97,91.66,210607773.3,2276330,RASP
2011-11-30,91.9,93.24,94.58,90.12,484005140.29999995,5251180,RASP
2011-12-01,94.88,95.75,99.67,94.52,561657146.1,5822420,RASP
2011-12-02,96.3,100.99,102.19,95.33,543056761.4,5475990,RASP
2011-12-05,101.79,105.2,105.5,100.11,457600747.2,4423290,RASP
2011-12-06,104.91,102.62,108.49,100.23,761437806.3,7228750,RASP
2011-12-07,104.01,103.31,105.8,102.21,366629977.7,3522900,RASP
2011-12-08,104.5,103.7,105.85,102.6,234375674.3,2234800,RASP
2011-12-09,101.0,102.28,104.0,98.38,402038684.3,3964710,RASP
2011-12-12,103.4,100.97,107.4,99.59,397193135.6,3825490,RASP
2011-12-13,99.9,102.35,103.5,99.1,379261991.4,3738590,RASP
2011-12-14,101.61,99.24,103.1,98.2,307153966.0,3037890,RASP
2011-12-15,98.14,100.92,101.42,96.55,239805428.60000002,2436870,RASP
2011-12-16,101.66,101.52,102.47,100.18,161952525.8,1596430,RASP
2011-12-19,100.08,104.3,104.66,99.99,293868991.6,2853240,RASP
2011-12-20,104.0,106.0,106.74,103.82,415763038.2,3940440,RASP
2011-12-21,106.1,104.64,106.28,103.01,292753157.6,2792810,RASP
2011-12-22,104.21,103.5,104.5,103.2,223009095.8,2148740,RASP
2011-12-23,103.5,100.81,103.53,100.74,176911862.8,1738530,RASP
2011-12-26,101.3,102.23,102.26,100.9,154550664.8,1526210,RASP
2011-12-27,101.54,102.08,102.65,101.32,198254109.5,1942680,RASP
2011-12-28,100.02,101.25,102.4,100.0,171790472.0,1695330,RASP
2011-12-29,100.9,99.5,101.6,97.29,194618480.3,1963530,RASP
2011-12-30,99.77,99.0,99.77,98.45,130771940.4,1320690,RASP
2012-01-03,99.5,101.69,102.02,98.11,81237591.4,807360,RASP
2012-01-04,102.0,101.42,102.28,100.82,39425257.7,388920,RASP
2012-01-05,101.9,100.7,101.95,100.04,73192640.6,725490,RASP
2012-01-06,100.5,101.2,101.8,99.95,72415645.1,719320,RASP
2012-01-09,101.01,101.98,102.2,100.67,109429937.39999999,1076950,RASP
2012-01-10,101.99,102.87,104.2,100.55,397390706.7,3882230,RASP
2012-01-11,102.6,102.4,103.28,100.9,340147906.8,3326630,RASP
2012-01-12,102.6,106.37,107.8,102.1,605163378.2,5770720,RASP
2012-01-13,106.37,111.5,113.8,105.58,810811308.5,7324150,RASP
2012-01-16,110.55,118.0,118.0,108.25,673916171.5,5939040,RASP
2012-01-17,118.37,120.05,120.9,116.33,993455293.7,8358770,RASP
2012-01-18,119.52,118.89,120.19,117.3,575706835.1,4851720,RASP
2012-01-19,118.59,115.5,119.0,112.82,708087042.0,6100060,RASP
2012-01-20,115.9,112.49,115.9,111.5,546731606.0,4831180,RASP
2012-01-23,112.01,114.73,115.0,110.55,383219538.6,3407370,RASP
2012-01-24,114.29,112.4,114.4,112.39,176603084.8,1561190,RASP
2012-01-25,113.2,112.79,113.9,110.11,326011820.9,2902450,RASP
