date,open,close,high,low,value,volume,ticker
2011-11-17,224.2,220.3,225.88,215.83,3871217680.1,17551110,ROSN
2011-11-18,217.14,215.48,218.28,215.16,2147312888.3,9898450,ROSN
2011-11-21,213.97,203.4,214.39,203.02,2888050558.5,13860110,ROSN
2011-11-22,202.99,204.88,208.58,201.55,2130371429.8000002,10337650,ROSN
2011-11-23,202.08,206.04,209.74,201.51,2790054511.0,13497740,ROSN
2011-11-24,206.0,204.0,207.77,203.55,1261152296.1,6142900,ROSN
2011-11-25,203.39,206.75,206.95,198.6,2157406352.9,10687590,ROSN
2011-11-28,209.52,216.45,217.48,209.5,2359484707.4,11053860,ROSN
2011-11-29,217.87,216.01,219.74,215.11,1886919575.3999999,8683910,ROSN
2011-11-30,215.95,223.13,224.4,214.51,3864394678.9,17507880,ROSN
2011-12-01,224.8,222.14,227.0,221.77,2942018506.0,13114450,ROSN
2011-12-02,222.8,222.8,226.5,215.0,2846793315.1,12693830,ROSN
2011-12-05,224.01,224.37,225.96,222.2,1574790531.0,7031600,ROSN
2011-12-06,222.37,215.02,224.97,215.02,4006650746.9,18191470,ROSN
2011-12-07,217.55,218.3,219.67,213.88,2748592799.0,12658370,ROSN
2011-12-08,218.8,218.51,222.3,216.57,2057844752.0,9355480,ROSN
2011-12-09,215.52,208.34,215.65,207.65,3312289591.7000003,15759460,ROSN
2011-12-12,209.9,200.22,214.85,199.93,3574426046.4,17130320,ROSN
2011-12-13,200.24,207.65,207.68,196.25,3061420581.3999996,15089250,ROSN
2011-12-14,205.23,204.35,209.7,202.36,3083154153.3,14905190,ROSN
2011-12-15,202.35,208.0,208.55,201.17,3974165647.4,19440310,ROSN
2011-12-16,208.2,204.55,208.97,204.08,1790664281.9,8659690,ROSN
2011-12-19,203.37,208.85,209.17,201.51,2351450276.7,11439260,ROSN
2011-12-20,208.6,214.5,214.5,206.35,2084670579.7,9935900,ROSN
2011-12-21,214.5,212.0,215.7,210.6,2034810650.6,9533120,ROSN
2011-12-22,212.22,212.65,213.17,208.6,1351354158.7,6404310,ROSN
2011-12-23,213.0,210.2,213.5,209.04,992600036.8,4694680,ROSN
2011-12-26,211.11,211.23,212.0,210.0,367058103.6,1739060,ROSN
2011-12-27,209.21,212.33,213.0,209.21,1146561860.5,5424130,ROSN
2011-12-28,211.6,210.26,214.2,209.5,1152937194.1,5423810,ROSN
2011-12-29,209.86,210.54,210.98,206.66,1072248017.9000001,5141440,ROSN
2011-12-30,210.9,213.8,214.41,209.49,753147557.1,3545830,ROSN
2012-01-03,215.22,218.0,218.5,214.24,1134422365.7,5212650,ROSN
2012-01-04,218.51,222.4,222.4,216.79,1155417297.8,5241880,ROSN
2012-01-05,222.27,218.82,223.75,218.1,1231889744.7,5577140,ROSN
2012-01-06,218.62,221.19,222.64,218.12,871984572.7,3955090,ROSN
2012-01-09,220.6,222.22,222.5,219.71,851941026.2,3860950,ROSN
2012-01-10,223.1,227.11,227.47,223.0,2013605600.9,8908700,ROSN
2012-01-11,226.92,227.5,228.85,224.57,2495437010.9,10990310,ROSN
2012-01-12,227.31,226.0,229.53,225.32,1724117964.7,7572090,ROSN
2012-01-13,226.5,226.0,228.22,223.56,1941031749.5,8594630,ROSN
2012-01-16,224.99,227.52,228.9,224.1,1839623266.6,8117920,ROSN
2012-01-17,229.31,230.05,231.5,228.68,2012763439.8,8752860,ROSN
2012-01-18,230.05,230.94,230.94,227.54,2198922676.6,9581710,ROSN
2012-01-19,231.32,232.0,232.35,229.26,2491482805.3,10801140,ROSN
2012-01-20,232.55,230.31,232.89,229.69,1921915094.4,8314430,ROSN
2012-01-23,229.9,233.9,234.0,229.5,2248801025.9,9720860,ROSN
2012-01-24,232.9,228.31,233.21,228.21,2109037847.2,9163450,ROSN
2012-01-25,230.0,227.45,230.49,225.77,2219258184.0,9739050,ROSN
2012-01-26,228.99,228.9,229.7,226.26,2423179565.4,10625710,ROSN
2012-01-27,228.18,227.19,228.8,226.0,1722351613.6,7572550,ROSN
2012-01-30,226.65,224.0,226.65,223.12,1488223633.7,6621110,ROSN
2012-01-31,225.27,224.83,228.0,224.26,1885483551.8,8345600,ROSN
2012-02-01,224.3,227.39,227.87,222.7,2344911018.0,10394170,ROSN
2012-02-02,228.18,230.25,230.43,226.83,2279739036.7,9981050,ROSN
2012-02-03,230.25,233.91,233.91,228.75,2175424466.2,9414970,ROSN
2012-02-06,232.5,229.89,234.91,229.21,2205609616.4,9517810,ROSN
2012-02-07,230.05,223.94,231.8,223.7,3859428712.5,17018650,ROSN
2012-02-08,225.55,216.7,226.85,216.23,8518423791.0,38675160,ROSN
2012-02-09,217.21,212.1,217.5,208.2,7528787711.5,35481170,ROSN
2012-02-10,211.5,211.61,214.98,211.0,3821775580.9,17918040,ROSN
2012-02-13,213.24,216.17,216.81,213.24,2777311567.7,12918770,ROSN
2012-02-14,215.49,215.02,217.5,214.5,2313636279.6,10716700,ROSN
2012-02-15,216.59,218.85,219.65,216.05,4124211547.7,18931980,ROSN
2012-02-16,216.9,219.47,219.74,216.0,2512926730.0,11523160,ROSN
2012-02-17,220.56,218.39,221.4,217.05,2584809174.7,11797440,ROSN
2012-02-20,220.59,219.36,220.98,218.9,1550372960.5,7057160,ROSN
2012-02-21,219.51,219.75,220.19,216.1,2395640544.9,10985170,ROSN
2012-02-22,220.26,217.14,221.0,216.33,2752683177.4,12591110,ROSN
2012-02-24,219.02,225.69,226.61,218.07,4836401615.1,21708080,ROSN
2012-02-27,224.94,226.39,227.41,223.4,3547325417.2,15737170,ROSN
2012-02-28,228.2,224.6,230.34,223.5,5259343572.4,23168110,ROSN
2012-02-29,225.3,225.99,228.2,224.01,2988017688.6,13213670,ROSN
2012-03-01,224.8,222.3,225.57,222.0,3473212361.1,15557020,ROSN
2012-03-02,223.8,224.98,225.13,220.2,3074876914.4,13790350,ROSN
2012-03-05,225.05,227.7,228.67,224.14,3710285429.1,16370620,ROSN
2012-03-06,226.85,219.76,227.25,219.76,3773416815.7,16921520,ROSN
2012-03-07,219.0,222.0,222.49,218.0,2016540001.4,9141130,ROSN
2012-03-11,223.9,224.3,224.93,223.75,759194224.9,3385100,ROSN
2012-03-12,223.45,221.8,224.89,221.11,3092139634.9,13868390,ROSN
2012-03-13,223.14,222.14,224.38,221.3,2352567159.0,10583790,ROSN
2012-03-14,224.01,223.08,224.24,221.52,2659014924.8,11927420,ROSN
2012-03-15,222.7,223.85,225.5,222.0,4188137485.4,18670300,ROSN
2012-03-16,222.85,219.31,223.86,218.52,2165648548.0,9807850,ROSN
2012-03-19,220.54,213.7,220.6,213.0,2677408115.9,12444280,ROSN
2012-03-20,213.8,210.8,215.69,210.61,2199784129.7,10347600,ROSN
2012-03-21,211.8,209.5,213.69,208.57,2386879299.7,11287170,ROSN
2012-03-22,209.77,209.25,211.17,208.16,2017671837.6,9641030,ROSN
2012-03-23,209.99,210.55,211.95,208.0,1777464748.2,8478870,ROSN
2012-03-26,211.4,212.5,214.0,211.08,2121217222.8,9978130,ROSN
2012-03-27,213.48,210.85,213.69,209.31,1722102429.2,8137770,ROSN
2012-03-28,209.92,206.53,210.21,206.02,2844828393.7,13706250,ROSN
2012-03-29,206.9,204.4,206.98,203.05,1645065110.6,8031060,ROSN
2012-03-30,206.5,210.19,211.99,205.95,2633180960.0,12579400,ROSN
2012-04-02,211.19,210.65,213.3,209.31,1458645125.0,6909220,ROSN
2012-04-03,212.14,211.89,213.49,210.76,1555659364.3,7334120,ROSN
2012-04-04,210.81,209.35,211.5,207.81,2085192661.7,9967130,ROSN
2012-04-05,209.73,211.4,211.9,208.0,1674520053.5,7972220,ROSN
2012-04-06,211.89,207.8,212.0,207.5,786658834.9,3753370,ROSN
2012-04-09,207.4,209.52,209.8,205.06,1050857423.2,5074040,ROSN
2012-04-10,209.13,207.92,211.4,207.59,1473884472.5,7036950,ROSN
2012-04-11,206.99,208.65,211.67,206.51,1831382615.3999999,8735300,ROSN
2012-04-12,210.21,208.7,210.39,206.78,1654729179.3,7950110,ROSN
2012-04-13,208.98,210.6,212.23,208.69,2190754037.4,10414880,ROSN
2012-04-16,209.0,210.72,215.8,208.61,3158825243.9,14833240,ROSN
2012-04-17,211.45,211.44,213.43,208.27,2754968265.0,13070210,ROSN
2012-04-18,212.13,211.1,213.21,210.29,1424705270.8,6720460,ROSN
2012-04-19,211.11,215.0,216.74,211.11,3807361961.2000003,17723560,ROSN
2012-04-20,213.66,216.51,217.33,213.35,1980408478.5,9171030,ROSN
2012-04-23,215.72,209.78,216.5,209.02,1984952015.5,9357270,ROSN
2012-04-24,210.2,208.39,210.93,205.51,1744226150.0,8378620,ROSN
2012-04-25,208.93,207.8,210.12,207.13,823524798.0,3941440,ROSN
2012-04-26,209.0,205.75,209.19,204.59,1156514759.8,5609230,ROSN
2012-04-27,205.49,208.86,209.45,205.1,982387858.2,4724860,ROSN
2012-04-28,209.04,210.28,210.3,208.86,246353359.89999998,1174840,ROSN
2012-05-02,211.33,208.91,214.3,208.91,1884660137.0,8874460,ROSN
2012-05-03,209.1,207.39,211.1,206.86,1214742496.6,5822240,ROSN
2012-05-04,207.0,199.85,207.29,198.67,2330422255.3,11500730,ROSN
2012-05-05,197.57,197.75,198.9,195.65,1035070693.3,5231770,ROSN
2012-05-07,195.01,198.88,199.97,194.43,809254087.9,4100920,ROSN
2012-05-08,199.55,193.63,201.45,192.68,1678811991.4,8571910,ROSN
2012-05-10,193.03,198.8,199.61,193.03,3567838760.9,18192550,ROSN
2012-05-11,196.4,203.01,204.4,195.0,3931955179.2,19541240,ROSN
2012-05-12,202.63,203.39,204.0,201.15,333975244.9,1650340,ROSN
2012-05-14,202.9,199.32,203.0,197.5,1906021739.3,9519080,ROSN
2012-05-15,199.84,200.71,201.4,196.0,2379441691.0,11971880,ROSN
2012-05-16,199.95,203.17,203.8,198.18,4325838675.7,21449960,ROSN
2012-05-17,203.91,200.17,205.2,199.0,2342139801.4,11621690,ROSN
2012-05-18,197.66,197.2,203.46,196.34,2588669667.9,12959760,ROSN
2012-05-21,198.83,195.04,198.88,188.23,4412390947.7,22736580,ROSN
2012-05-22,195.6,198.3,202.49,194.84,3556697180.8999996,17855160,ROSN
2012-05-23,196.12,193.39,199.96,192.73,2011160797.3,10261120,ROSN
2012-05-24,195.64,197.18,198.49,192.83,2377673131.3,12158710,ROSN
2012-05-25,196.3,192.4,198.7,192.4,1742133368.6,8907250,ROSN
2012-05-28,194.44,192.75,196.5,192.4,1181378315.4,6089060,ROSN
2012-05-29,194.0,199.8,200.75,193.62,3218228611.2,16328500,ROSN
2012-05-30,198.77,203.2,204.66,197.55,3356162295.0,16684660,ROSN
2012-05-31,203.5,208.57,210.5,203.5,3187695108.6000004,15389690,ROSN
2012-06-01,208.0,206.45,208.98,201.6,2124230573.3,10375210,ROSN
2012-06-04,203.3,203.11,206.02,202.27,1435070128.5,7020480,ROSN
2012-06-05,204.85,196.4,205.21,196.11,4519846161.4,22725600,ROSN
2012-06-06,197.6,199.41,199.6,194.88,3216787725.9,16268860,ROSN
2012-06-07,200.5,199.75,201.97,196.91,2175964302.3,10940100,ROSN
2012-06-08,197.57,197.5,200.5,196.91,1746808024.2,8806070,ROSN
2012-06-09,198.23,198.71,199.47,197.85,431721249.20000005,2172620,ROSN
2012-06-13,198.0,198.59,201.3,196.02,2043080166.1,10284520,ROSN
