date,open,close,high,low,value,volume,ticker
2011-11-17,154.99,152.81,156.46,152.0,781356125.5,5080410,RTKM
2011-11-18,152.5,154.6,154.9,151.91,550476177.4,3597270,RTKM
2011-11-21,153.97,152.75,153.97,152.02,997433735.4,6532120,RTKM
2011-11-22,152.23,154.71,155.0,152.22,748864524.7000002,4847740,RTKM
2011-11-23,153.5,153.35,156.0,152.81,855061126.8,5537330,RTKM
2011-11-24,153.39,154.6,155.2,152.05,625641672.6,4048930,RTKM
2011-11-25,154.79,157.69,161.25,153.82,1419108126.1,8976050,RTKM
2011-11-28,158.6,161.64,162.0,157.51,1493047056.2,9329260,RTKM
2011-11-29,161.98,159.38,163.25,157.82,725151381.3,4523500,RTKM
2011-11-30,159.21,161.39,161.65,158.0,1358209328.3,8472250,RTKM
2011-12-01,162.4,159.67,163.21,159.2,1277070758.3,7922890,RTKM
2011-12-02,160.1,159.0,160.99,157.0,925204701.0,5812900,RTKM
2011-12-05,159.75,159.32,160.49,158.2,592690782.2,3716910,RTKM
2011-12-06,158.6,152.58,160.12,152.05,981585431.2,6291730,RTKM
2011-12-07,153.46,151.59,154.07,148.57,864255520.5,5723900,RTKM
2011-12-08,151.02,152.98,154.0,151.02,758498907.9,4954550,RTKM
2011-12-09,151.0,142.89,151.74,141.64,1329127315.0,9104340,RTKM
2011-12-12,145.05,142.51,147.33,141.01,626906726.2,4341130,RTKM
2011-12-13,142.82,144.67,145.49,140.11,383530457.0,2675820,RTKM
2011-12-14,143.88,142.46,145.96,141.12,684360624.9,4772740,RTKM
2011-12-15,141.55,141.96,143.24,136.92,1194864269.8,8513790,RTKM
2011-12-16,142.24,148.7,148.7,141.1,1085206792.7,7510730,RTKM
2011-12-19,147.71,146.0,149.87,145.12,603154522.6,4105440,RTKM
2011-12-20,146.0,146.0,146.75,142.43,466277007.40000004,3228170,RTKM
2011-12-21,146.54,141.79,147.29,141.5,434395316.1,3017430,RTKM
2011-12-22,142.5,147.98,148.0,141.24,1170069591.6,8082840,RTKM
2011-12-23,148.5,151.67,155.29,145.66,2253386236.3,14815000,RTKM
2011-12-26,151.99,151.66,155.5,150.59,1513413466.3,9860240,RTKM
2011-12-27,152.5,151.5,152.5,148.68,491561579.6,3264300,RTKM
2011-12-28,151.47,149.49,152.89,147.55,301486289.9,2005680,RTKM
2011-12-29,148.15,151.62,152.0,146.15,568665324.9,3816780,RTKM
2011-12-30,152.5,152.2,154.98,151.15,448063419.6,2924640,RTKM
2012-01-03,153.5,153.5,155.43,151.85,595363667.8000001,3860540,RTKM
2012-01-04,154.0,153.77,154.4,151.77,301817632.2,1974010,RTKM
2012-01-05,153.4,153.32,155.17,152.6,418180609.9,2721080,RTKM
2012-01-06,153.3,154.01,154.97,152.62,203923616.1,1325490,RTKM
2012-01-09,153.52,154.0,154.41,152.15,221089025.6,1441750,RTKM
2012-01-10,153.91,153.5,155.79,153.23,590635626.9,3822790,RTKM
2012-01-11,153.4,150.12,154.48,149.0,532490611.4999999,3519650,RTKM
2012-01-12,150.2,153.85,155.0,149.53,729592342.3000001,4764090,RTKM
2012-01-13,154.15,153.84,154.9,153.01,610032730.6,3959390,RTKM
2012-01-16,153.34,152.5,153.83,151.23,420518677.0,2753590,RTKM
2012-01-17,152.75,153.36,154.98,152.55,655917607.1,4258460,RTKM
2012-01-18,154.13,153.65,154.45,152.05,506190141.4,3307490,RTKM
2012-01-19,153.65,152.08,155.0,151.37,565233465.1,3689270,RTKM
2012-01-20,152.59,148.4,153.17,147.51,888582402.6,5893730,RTKM
2012-01-23,149.0,148.7,150.4,147.84,828419443.4,5554370,RTKM
2012-01-24,148.52,147.7,150.2,146.55,826987457.7,5572720,RTKM
2012-01-25,148.59,148.0,149.35,147.05,631775572.4000001,4257970,RTKM
2012-01-26,148.99,148.58,149.97,147.82,633155439.3,4254520,RTKM
2012-01-27,148.21,148.0,150.4,147.73,444275770.5,2987850,RTKM
2012-01-30,147.81,146.76,149.11,145.54,534873656.6,3645060,RTKM
2012-01-31,146.6,149.0,149.0,146.11,568123621.5,3839860,RTKM
2012-02-01,148.61,152.0,154.1,147.84,1220125370.0,8030770,RTKM
2012-02-02,152.53,151.91,152.98,150.71,612355786.5,4035370,RTKM
2012-02-03,152.0,154.65,154.75,151.52,838835736.0,5463300,RTKM
2012-02-06,154.65,153.8,154.99,152.15,696771794.2,4543110,RTKM
2012-02-07,153.8,152.41,153.81,151.16,317436871.8,2078160,RTKM
2012-02-08,152.63,152.63,153.75,151.9,477460764.29999995,3119130,RTKM
2012-02-09,152.64,149.99,153.09,149.12,461003802.79999995,3051440,RTKM
2012-02-10,150.0,149.48,151.2,148.61,502955758.5,3354310,RTKM
2012-02-13,150.29,151.52,152.0,150.02,343531784.5,2273820,RTKM
2012-02-14,151.52,150.51,153.24,150.3,297533575.4,1956040,RTKM
2012-02-15,151.59,151.01,153.1,150.51,439746346.0,2895090,RTKM
2012-02-16,149.8,151.8,151.8,149.73,193542243.7,1283090,RTKM
2012-02-17,152.19,150.52,152.38,149.95,355676981.7,2357810,RTKM
2012-02-20,151.04,151.5,152.0,151.0,193931807.0,1278720,RTKM
2012-02-21,151.7,149.51,151.8,148.75,210568480.4,1406240,RTKM
2012-02-22,149.55,146.36,151.2,146.33,354540163.8,2393910,RTKM
2012-02-24,147.48,148.28,148.9,146.0,699231307.4,4736320,RTKM
2012-02-27,149.0,147.3,150.0,147.1,417808207.4,2821790,RTKM
2012-02-28,147.59,144.85,148.45,144.2,373968778.79999995,2562060,RTKM
2012-02-29,145.5,147.0,147.2,145.11,437647848.2,2995520,RTKM
2012-03-01,146.99,146.87,147.0,145.35,325348335.4,2224890,RTKM
2012-03-02,147.51,147.7,148.1,146.48,340064939.8,2306830,RTKM
2012-03-05,147.8,148.57,148.98,147.1,338807706.4,2284560,RTKM
2012-03-06,148.22,145.01,148.32,143.7,463606851.9,3182280,RTKM
2012-03-07,145.1,143.4,145.99,142.72,526976638.1,3658110,RTKM
2012-03-11,144.33,144.14,144.5,143.8,240805063.6,1670930,RTKM
2012-03-12,144.41,145.5,146.14,143.77,481464303.6,3315290,RTKM
2012-03-13,145.88,145.58,146.7,145.5,319916051.4,2191740,RTKM
2012-03-14,146.31,148.54,149.89,146.16,896044775.3,6049120,RTKM
2012-03-15,148.77,150.02,151.6,148.01,1966261399.9,13051290,RTKM
2012-03-16,151.24,151.97,151.99,148.27,1081770792.6,7224950,RTKM
2012-03-19,152.02,149.09,152.2,147.5,874938072.8000001,5844970,RTKM
2012-03-20,148.85,149.25,150.28,147.35,604591984.9,4057110,RTKM
2012-03-21,149.64,149.53,150.1,148.83,407336178.2,2724120,RTKM
2012-03-22,149.6,147.2,149.97,146.65,609211065.7,4108770,RTKM
2012-03-23,147.65,148.44,148.75,145.5,535662837.3,3644740,RTKM
2012-03-26,148.44,147.99,149.44,147.54,383182470.6,2582090,RTKM
2012-03-27,148.57,147.2,148.78,145.85,300074014.5,2042180,RTKM
2012-03-28,146.91,145.86,147.44,144.5,437201533.1,2999260,RTKM
2012-03-29,144.0,143.08,145.9,141.5,477689497.6,3323460,RTKM
2012-03-30,143.48,143.73,146.1,143.48,426690546.4,2943780,RTKM
2012-04-02,145.0,144.7,146.6,144.5,521867079.2,3583130,RTKM
2012-04-03,145.95,146.4,147.27,145.25,515391051.0,3520060,RTKM
2012-04-04,145.51,141.52,145.51,140.2,696087667.8,4888090,RTKM
2012-04-05,141.99,142.35,143.1,140.43,339421004.3,2395640,RTKM
2012-04-06,142.5,140.15,143.29,140.02,208796912.8,1475590,RTKM
2012-04-09,140.8,142.49,144.24,140.0,640440083.1,4480310,RTKM
2012-04-10,142.34,141.25,143.0,141.0,353529348.1,2491220,RTKM
2012-04-11,141.01,141.45,142.33,140.41,413850398.5,2921490,RTKM
2012-04-12,141.94,139.99,141.94,139.4,296187255.2,2111070,RTKM
2012-04-13,140.58,139.0,141.08,138.12,671806318.1,4822560,RTKM
2012-04-16,138.95,137.1,139.98,137.1,331832623.0,2399690,RTKM
2012-04-17,137.36,135.09,138.22,134.0,676658490.6,5001240,RTKM
2012-04-18,135.59,136.25,136.95,134.23,351798900.5,2588000,RTKM
2012-04-19,136.0,137.7,139.64,136.0,581949081.7,4199910,RTKM
2012-04-20,137.41,138.7,139.39,136.63,254366725.1,1837390,RTKM
2012-04-23,138.68,136.0,138.87,136.0,354322997.40000004,2585390,RTKM
2012-04-24,136.0,135.13,137.39,135.0,287511211.0,2110740,RTKM
2012-04-25,135.89,134.5,136.39,134.25,251726906.9,1862540,RTKM
2012-04-26,135.3,133.42,135.42,132.75,283911491.2,2122720,RTKM
2012-04-27,133.52,134.71,135.11,132.17,689567417.8,5133810,RTKM
2012-04-28,134.83,136.66,136.66,134.83,333291002.2,2449260,RTKM
2012-05-02,132.7,134.3,135.19,132.5,574113161.0,4270010,RTKM
2012-05-03,134.04,132.5,135.3,132.5,200249472.3,1495670,RTKM
2012-05-04,133.22,127.0,133.45,124.6,840999840.8,6573810,RTKM
2012-05-05,126.24,125.56,128.31,124.55,163758171.1,1306200,RTKM
2012-05-07,124.0,124.54,125.17,119.68,340213762.9,2778720,RTKM
2012-05-08,124.99,125.56,125.8,122.48,203623425.5,1632690,RTKM
2012-05-10,126.0,128.99,129.98,126.0,539732331.2,4206420,RTKM
2012-05-11,128.34,128.0,129.37,126.25,235168085.5,1838870,RTKM
2012-05-12,127.34,126.7,127.46,125.57,177104974.1,1404410,RTKM
2012-05-14,126.0,123.74,126.5,122.72,381568295.3,3065930,RTKM
2012-05-15,124.04,124.56,125.0,122.14,626729407.5,5065940,RTKM
2012-05-16,123.44,123.88,123.98,119.81,786443383.6,6457210,RTKM
2012-05-17,124.5,123.97,125.0,120.25,450418083.7999999,3670430,RTKM
2012-05-18,121.0,121.0,126.8,119.82,862712691.2,7015410,RTKM
2012-05-21,121.06,122.09,122.09,120.14,442764775.1,3651760,RTKM
2012-05-22,122.2,118.23,123.04,117.56,545354949.7,4562560,RTKM
2012-05-23,117.75,114.5,117.75,113.25,571093913.5,4983210,RTKM
2012-05-24,114.45,115.0,118.0,112.62,479160350.3,4170110,RTKM
2012-05-25,114.5,115.85,116.5,114.12,245352771.20000002,2122730,RTKM
2012-05-28,116.65,113.91,117.99,113.85,267801289.4,2308910,RTKM
2012-05-29,114.95,116.4,116.94,112.75,583118068.6,5082750,RTKM
2012-05-30,115.5,112.55,116.5,112.51,482976130.7,4263650,RTKM
