date,open,close,high,low,value,volume,ticker
2011-11-17,97.61,97.18,97.95,96.35,55346291.0,571500,RTKMP
2011-11-18,96.3,96.0,97.0,95.05,201753075.0,2103300,RTKMP
2011-11-21,96.06,96.97,96.97,94.62,110550545.0,1152200,RTKMP
2011-11-22,96.05,98.0,98.35,96.05,279987302.0,2859000,RTKMP
2011-11-23,97.44,98.65,99.29,96.52,98784171.0,1004300,RTKMP
2011-11-24,98.62,98.7,98.99,97.7,48902527.0,497600,RTKMP
2011-11-25,98.59,100.2,100.2,97.5,193659698.0,1952500,RTKMP
2011-11-28,100.0,100.44,101.81,99.9,256157768.0,2534600,RTKMP
2011-11-29,100.88,100.1,100.88,99.15,38044916.0,380600,RTKMP
2011-11-30,99.89,100.4,100.49,98.45,50451972.0,505700,RTKMP
2011-12-01,101.39,99.0,101.39,98.41,63513590.0,639900,RTKMP
2011-12-02,99.1,99.8,99.9,99.0,307419067.0,3081900,RTKMP
2011-12-05,100.29,100.57,100.7,99.2,92844137.0,926700,RTKMP
2011-12-06,99.64,99.9,100.5,98.5,207840603.0,2090300,RTKMP
2011-12-07,99.89,101.3,101.4,98.95,247018857.0,2470500,RTKMP
2011-12-08,101.97,98.26,102.12,98.26,280150642.0,2801500,RTKMP
2011-12-09,97.77,99.99,100.21,97.01,180207970.0,1823400,RTKMP
2011-12-12,99.98,99.85,100.2,99.51,89018120.0,892200,RTKMP
2011-12-13,99.89,101.0,101.45,99.69,261677429.0,2599200,RTKMP
2011-12-14,100.51,100.79,101.5,100.17,80364653.0,796700,RTKMP
2011-12-15,99.5,100.05,100.98,98.52,128652815.0,1282200,RTKMP
2011-12-16,100.5,100.9,101.0,100.05,102856173.0,1023400,RTKMP
2011-12-19,101.29,100.65,102.2,100.55,41922599.0,415600,RTKMP
2011-12-20,100.5,99.89,100.89,99.5,216926450.0,2172000,RTKMP
2011-12-21,99.89,99.69,100.1,98.79,127863280.0,1282100,RTKMP
2011-12-22,99.7,98.31,99.7,98.0,349385315.0,3542300,RTKMP
2011-12-23,98.27,99.5,101.8,98.01,488790926.0,4917200,RTKMP
2011-12-26,99.39,98.99,100.0,98.3,96820530.0,976600,RTKMP
2011-12-27,98.54,97.99,99.48,95.0,340806240.0,3500800,RTKMP
2011-12-28,97.97,97.8,98.87,96.8,72369104.0,739200,RTKMP
2011-12-29,96.72,96.4,98.0,95.0,689879792.0,7175200,RTKMP
2011-12-30,96.04,95.25,97.01,95.25,19388509.0,202100,RTKMP
2012-01-03,96.0,96.7,97.39,96.0,20707530.0,214000,RTKMP
2012-01-04,97.0,97.1,97.1,96.62,28481264.0,293900,RTKMP
2012-01-05,97.3,98.0,98.0,97.3,28236478.0,288600,RTKMP
2012-01-06,99.19,98.65,99.2,97.91,16772614.0,170100,RTKMP
2012-01-09,98.5,98.0,98.6,97.76,90867525.0,927300,RTKMP
2012-01-10,98.8,97.81,98.88,97.6,15801047.0,160500,RTKMP
2012-01-11,97.57,97.5,97.9,97.14,80715782.0,829500,RTKMP
2012-01-12,97.66,99.0,99.0,97.5,29388100.0,298900,RTKMP
2012-01-13,99.06,99.0,99.63,98.81,276960697.0,2794900,RTKMP
2012-01-16,99.28,95.44,99.28,91.51,238536903.0,2506100,RTKMP
2012-01-17,95.4,95.68,96.59,95.01,132802980.0,1390600,RTKMP
2012-01-18,95.97,95.9,95.97,95.02,134844165.0,1411900,RTKMP
2012-01-19,95.98,95.45,96.04,95.3,94820483.0,992300,RTKMP
2012-01-20,95.6,94.95,97.2,94.95,278551831.0,2911100,RTKMP
2012-01-23,95.3,95.0,95.6,94.65,16073696.0,169300,RTKMP
2012-01-24,95.07,93.0,95.19,92.21,114673652.0,1231600,RTKMP
2012-01-25,93.33,93.0,94.2,91.4,253639876.0,2729800,RTKMP
2012-01-26,93.3,93.39,93.93,92.8,126474571.0,1355800,RTKMP
2012-01-27,92.8,90.0,92.94,89.2,243653959.0,2682200,RTKMP
2012-01-30,89.8,89.47,91.95,88.67,79711077.0,887700,RTKMP
2012-01-31,89.8,89.26,90.46,87.84,47031617.0,528400,RTKMP
2012-02-01,89.1,89.4,89.93,88.61,70750351.0,791100,RTKMP
2012-02-02,89.7,89.59,91.0,89.22,42752026.0,475100,RTKMP
2012-02-03,89.97,89.4,90.39,89.2,40292987.0,450100,RTKMP
2012-02-06,89.79,89.45,89.9,89.04,28025069.0,312900,RTKMP
2012-02-07,89.79,89.01,90.0,88.89,50882756.0,568000,RTKMP
2012-02-08,89.77,89.05,90.2,88.81,126834747.0,1411700,RTKMP
2012-02-09,89.05,87.8,89.6,86.55,107710063.0,1226300,RTKMP
2012-02-10,87.78,87.8,88.4,87.02,115370628.0,1319500,RTKMP
2012-02-13,88.29,88.81,89.55,88.29,25234738.0,283200,RTKMP
2012-02-14,88.83,87.92,89.0,87.5,40474579.0,459500,RTKMP
2012-02-15,87.95,87.92,88.79,85.0,52976737.0,601700,RTKMP
2012-02-16,87.53,87.85,87.98,87.32,34938388.0,399300,RTKMP
2012-02-17,87.99,88.28,88.29,87.23,22463857.0,255400,RTKMP
2012-02-20,88.58,88.26,88.6,88.11,16119747.0,182400,RTKMP
2012-02-21,88.5,88.38,88.59,87.7,35138904.0,398500,RTKMP
2012-02-22,88.59,87.0,89.0,85.94,43332526.0,498700,RTKMP
2012-02-24,86.89,87.73,87.9,86.62,42223480.0,483400,RTKMP
2012-02-27,87.75,87.74,88.0,87.53,31099670.0,354100,RTKMP
2012-02-28,87.84,86.9,87.96,86.34,43136802.0,497200,RTKMP
2012-02-29,87.1,86.8,87.28,86.02,21148446.0,244500,RTKMP
2012-03-01,86.42,86.25,86.42,86.08,34169916.0,396300,RTKMP
2012-03-02,86.49,87.37,87.9,85.68,85873007.0,986100,RTKMP
2012-03-05,87.38,87.68,88.03,87.21,80269722.0,915500,RTKMP
2012-03-06,87.51,85.24,87.78,85.24,45707989.0,530300,RTKMP
2012-03-07,85.98,85.0,86.19,84.12,75449329.0,885800,RTKMP
2012-03-11,85.61,85.7,86.04,85.23,11825734.0,138000,RTKMP
2012-03-12,85.72,85.97,85.97,84.49,70637252.0,828500,RTKMP
2012-03-13,85.79,85.0,86.5,84.75,47880760.0,562500,RTKMP
2012-03-14,85.5,84.98,85.75,84.8,93877437.0,1104000,RTKMP
2012-03-15,85.06,85.0,85.17,84.75,91692045.0,1079800,RTKMP
2012-03-16,85.1,84.96,85.28,84.91,35824634.0,421400,RTKMP
2012-03-19,85.18,84.99,85.29,84.62,64251360.0,756700,RTKMP
2012-03-20,85.09,84.63,85.09,84.55,16987435.0,200400,RTKMP
2012-03-21,84.96,84.83,84.96,84.44,20878225.0,246400,RTKMP
2012-03-22,84.96,84.81,85.11,84.61,25762170.0,303400,RTKMP
2012-03-23,84.96,84.84,85.0,84.02,24869671.0,293400,RTKMP
2012-03-26,84.88,86.0,86.05,84.61,29884296.0,350100,RTKMP
2012-03-27,86.61,89.0,89.87,86.5,404134031.0,4555200,RTKMP
2012-03-28,89.29,87.57,89.8,87.57,153892624.0,1735100,RTKMP
2012-03-29,87.66,87.6,87.79,86.92,78032779.0,892700,RTKMP
2012-03-30,88.0,88.67,88.69,87.85,73917119.0,836900,RTKMP
2012-04-02,89.0,93.51,93.7,88.82,469113514.0,5151000,RTKMP
2012-04-03,93.6,96.76,96.85,93.43,402996586.0,4222200,RTKMP
2012-04-04,95.8,95.0,96.4,94.21,463697092.0,4858800,RTKMP
2012-04-05,95.42,95.7,96.06,94.0,246633811.0,2595800,RTKMP
2012-04-06,95.69,96.0,96.4,94.62,181339703.0,1894100,RTKMP
2012-04-09,95.2,95.69,96.44,94.7,40625453.0,426600,RTKMP
2012-04-10,95.22,95.84,96.21,95.08,37928488.0,395500,RTKMP
2012-04-11,95.48,95.84,96.23,95.0,59100346.0,618500,RTKMP
2012-04-12,95.98,95.68,96.0,95.39,31324117.0,327500,RTKMP
2012-04-13,95.55,95.98,96.05,95.0,54696806.0,571500,RTKMP
2012-04-16,96.35,94.09,96.4,93.02,354028053.0,3723300,RTKMP
2012-04-17,93.13,93.2,94.25,91.0,185421484.0,1995300,RTKMP
2012-04-18,93.57,92.92,93.99,91.95,225985153.0,2428000,RTKMP
2012-04-19,92.49,93.16,94.5,92.39,48077667.0,514400,RTKMP
2012-04-20,93.0,93.34,94.03,92.22,73403844.0,787600,RTKMP
2012-04-23,92.58,92.01,93.44,92.01,8922372.0,96600,RTKMP
2012-04-24,92.9,92.8,93.99,91.2,100338995.0,1088400,RTKMP
2012-04-25,93.17,94.5,94.5,92.11,174296887.0,1872700,RTKMP
2012-04-26,93.93,94.0,94.32,93.12,59785806.0,636600,RTKMP
2012-04-27,93.36,95.21,95.65,91.0,143979649.0,1520600,RTKMP
2012-04-28,95.39,94.41,95.49,93.61,40529168.0,427500,RTKMP
2012-05-02,91.48,89.56,91.48,88.51,48711750.0,541700,RTKMP
2012-05-03,90.09,88.85,90.28,88.62,24581634.0,275600,RTKMP
2012-05-04,88.96,87.9,88.97,87.55,53501166.0,607100,RTKMP
2012-05-05,88.44,86.25,88.44,85.6,50520265.0,585400,RTKMP
2012-05-07,85.96,86.5,87.0,84.0,50516183.0,594700,RTKMP
2012-05-08,87.0,86.5,87.0,86.01,2467494.0,28500,RTKMP
2012-05-10,86.0,87.5,88.39,85.45,21123722.0,241300,RTKMP
2012-05-11,86.36,88.39,90.5,86.36,255397654.0,2910000,RTKMP
2012-05-12,89.3,87.65,89.69,87.41,4905842.0,55900,RTKMP
2012-05-14,87.5,85.01,88.01,85.01,48049889.0,555600,RTKMP
2012-05-15,85.49,85.95,86.95,84.25,54023315.0,630400,RTKMP
2012-05-16,84.39,84.8,86.4,84.01,67907305.0,799500,RTKMP
2012-05-17,83.52,83.68,84.96,82.0,47871175.0,570700,RTKMP
2012-05-18,81.51,81.0,82.61,78.51,127029365.0,1578800,RTKMP
2012-05-21,81.97,81.5,83.0,80.73,46609518.0,571000,RTKMP
2012-05-22,81.99,81.97,82.11,80.21,15765824.0,193800,RTKMP
2012-05-23,80.5,78.48,81.42,77.2,68524255.0,870600,RTKMP
2012-05-24,79.99,79.0,100.05,77.25,103512549.0,1298800,RTKMP
2012-05-25,78.27,78.48,79.98,77.7,37530155.0,475100,RTKMP
2012-05-28,78.48,77.77,79.45,75.43,168557589.0,2196600,RTKMP
2012-05-29,77.49,78.0,78.85,76.41,20374864.0,261500,RTKMP
2012-05-30,78.0,77.7,78.98,76.76,125855289.0,1617300,RTKMP
2012-05-31,78.5,74.5,78.97,74.25,12406858.0,162500,RTKMP
2012-06-01,75.78,71.49,77.5,69.5,164966102.0,2261800,RTKMP
2012-06-04,70.98,72.19,72.48,70.64,12759736.0,178500,RTKMP
2012-06-05,72.9,75.32,75.85,72.37,27281002.0,370600,RTKMP
2012-06-06,75.5,76.0,76.7,74.17,17278476.0,227900,RTKMP
2012-06-07,76.2,75.86,76.41,74.86,5356431.0,70700,RTKMP
