date,open,close,high,low,value,volume,ticker
2011-11-17,79.7,80.45,81.63,77.65,33387789354.0,419445260,SBER
2011-11-18,78.95,80.03,80.65,78.33,20855437179.4,261927310,SBER
2011-11-21,79.02,75.85,79.37,75.85,22808143104.9,293522200,SBER
2011-11-22,76.36,76.18,77.76,75.1,20895008863.2,272390750,SBER
2011-11-23,75.0,76.76,77.44,74.42,25510934165.7,334749270,SBER
2011-11-24,76.7,75.71,77.29,75.51,13505098702.099998,177025610,SBER
2011-11-25,75.31,78.6,78.75,73.75,24145576505.8,318867810,SBER
2011-11-28,80.0,82.92,83.07,79.52,26076118793.5,319644400,SBER
2011-11-29,83.51,82.58,83.75,81.83,20758830080.4,251455610,SBER
2011-11-30,82.1,87.55,87.69,81.03,37779272299.0,447451210,SBER
2011-12-01,88.64,87.7,89.9,86.41,34758854270.5,392339640,SBER
2011-12-02,88.15,89.5,91.28,86.5,36747780912.4,409833980,SBER
2011-12-05,89.56,89.92,90.52,88.96,18199323679.6,202445380,SBER
2011-12-06,89.05,85.9,89.32,85.75,26827142655.8,305413640,SBER
2011-12-07,86.88,85.25,87.65,83.75,30567407032.8,356389980,SBER
2011-12-08,85.54,86.0,87.84,85.3,24327760964.5,281561090,SBER
2011-12-09,84.12,82.26,84.63,81.65,27217908787.9,327894620,SBER
2011-12-12,83.51,79.96,84.8,79.17,22043804115.2,267015170,SBER
2011-12-13,79.85,82.72,82.89,78.03,31339666773.8,387819600,SBER
2011-12-14,81.9,81.3,83.65,80.36,29001464700.800003,351903240,SBER
2011-12-15,79.9,82.27,82.55,79.39,26365665500.7,326291450,SBER
2011-12-16,82.71,80.62,83.38,80.51,18244810117.2,222647770,SBER
2011-12-19,80.15,81.8,82.4,78.92,19714493407.2,244485250,SBER
2011-12-20,81.49,82.71,82.75,80.12,17446271596.5,214023680,SBER
2011-12-21,83.43,80.22,83.77,80.15,19795752049.9,241363840,SBER
2011-12-22,81.29,79.99,81.29,79.0,14260041408.7,177588950,SBER
2011-12-23,80.61,80.0,81.1,79.65,9910665236.7,123412660,SBER
2011-12-26,80.49,81.42,81.95,80.13,7089483274.7,87355620,SBER
2011-12-27,81.35,80.0,81.75,79.52,6681524351.3,83130410,SBER
2011-12-28,79.91,79.28,80.2,79.03,5632710897.7,70837050,SBER
2011-12-29,79.0,78.8,79.01,77.2,8007651050.4,102632460,SBER
2011-12-30,79.03,79.4,79.73,78.0,4812102984.3,60815400,SBER
2012-01-03,80.12,82.41,82.5,80.12,6417852256.5,78834880,SBER
2012-01-04,82.44,83.52,84.48,81.91,11389760739.9,136539450,SBER
2012-01-05,83.5,82.55,84.44,82.05,9164683561.0,110168460,SBER
2012-01-06,82.51,83.2,84.38,81.67,10466009213.5,126005770,SBER
2012-01-09,82.59,83.88,84.22,82.42,7458884551.0,89202980,SBER
2012-01-10,84.36,86.81,87.25,84.24,19924254751.1,231522540,SBER
2012-01-11,86.29,84.85,86.91,84.34,21140804777.4,247256850,SBER
2012-01-12,85.2,84.3,86.38,84.04,18903083933.0,221897330,SBER
2012-01-13,84.67,83.6,85.15,83.53,15400602114.4,182267630,SBER
2012-01-16,83.0,83.95,84.21,82.55,10346594167.4,123816130,SBER
2012-01-17,84.81,84.66,85.65,84.19,16656214935.4,196172150,SBER
2012-01-18,84.7,84.7,85.56,83.95,14756045563.7,174180770,SBER
2012-01-19,85.45,85.7,86.04,84.76,19432524904.6,227251990,SBER
2012-01-20,85.97,85.13,86.28,84.82,13748344661.4,160807020,SBER
2012-01-23,84.95,85.02,85.67,83.82,19665213298.7,231834010,SBER
2012-01-24,84.85,85.04,85.49,84.47,14799513155.0,174275710,SBER
2012-01-25,85.56,87.05,87.87,85.56,28964254144.6,332922100,SBER
2012-01-26,88.01,90.4,90.8,87.97,32331647203.6,361594410,SBER
2012-01-27,89.67,90.8,91.28,89.63,18097434931.6,199805090,SBER
2012-01-30,90.14,88.92,90.69,88.86,15847217834.9,176726240,SBER
2012-01-31,89.75,90.17,90.92,89.61,16137968224.1,178575700,SBER
2012-02-01,89.74,92.75,92.93,89.17,23245196520.6,255001730,SBER
2012-02-02,93.11,92.62,93.85,91.92,22107994861.1,238041260,SBER
2012-02-03,92.51,94.52,94.79,92.32,15306540032.8,163533170,SBER
2012-02-06,94.78,93.8,94.88,93.46,14727961600.8,156500070,SBER
2012-02-07,94.0,93.46,94.45,92.85,16198177496.2,173039250,SBER
2012-02-08,94.24,95.17,95.39,94.22,17429077176.9,183631880,SBER
2012-02-09,95.08,95.28,96.37,94.64,23405270117.3,244795520,SBER
2012-02-10,94.57,93.94,94.93,93.63,14502459586.599998,154034440,SBER
2012-02-13,94.63,96.19,96.37,94.63,16397776483.699999,171180880,SBER
2012-02-14,95.78,96.36,97.22,95.37,16793039421.599998,174425930,SBER
2012-02-15,97.33,97.2,97.77,96.66,16483192133.7,169537890,SBER
2012-02-16,96.0,96.24,96.45,95.5,16241174996.2,169092850,SBER
2012-02-17,97.27,96.76,97.39,96.46,14459660270.3,149148730,SBER
2012-02-20,97.61,97.5,98.16,97.44,9390723497.4,96081170,SBER
2012-02-21,97.75,96.68,97.75,96.31,13476356941.5,139301920,SBER
2012-02-22,96.85,96.09,97.48,95.24,14676941772.2,152147920,SBER
2012-02-24,96.8,99.02,99.22,96.21,20421750635.3,208950120,SBER
2012-02-27,98.58,99.72,99.96,98.41,18389749211.7,185285170,SBER
2012-02-28,100.17,98.64,100.4,98.32,15457732553.0,155728080,SBER
