date,open,close,high,low,value,volume,ticker
2011-11-17,62.95,62.51,63.63,61.02,1682976273.0,26968800,SBERP
2011-11-18,61.26,62.46,62.5,60.8,1110939053.0,17976600,SBERP
2011-11-21,61.67,59.1,62.28,59.1,1416429950.0,23458700,SBERP
2011-11-22,59.3,58.6,60.64,58.4,1216409339.0,20369700,SBERP
2011-11-23,58.5,59.26,59.9,57.13,1551355207.0,26394900,SBERP
2011-11-24,58.9,58.63,59.79,58.6,522971894.0,8844000,SBERP
2011-11-25,58.33,60.19,60.21,57.5,1114691550.0,19038000,SBERP
2011-11-28,61.02,64.41,64.56,61.0,1723154679.0,27389700,SBERP
2011-11-29,64.62,64.06,65.35,63.72,2513801278.0,38947600,SBERP
2011-11-30,63.9,67.5,67.8,63.19,3648364382.0,55696800,SBERP
2011-12-01,68.3,67.8,68.88,67.03,3227776721.0,47477500,SBERP
2011-12-02,67.84,68.79,69.1,67.67,2787462355.0,40695700,SBERP
2011-12-05,68.98,69.0,69.29,68.29,955827635.0,13862100,SBERP
2011-12-06,68.4,65.8,68.5,65.75,2007085820.0,29947600,SBERP
2011-12-07,66.2,64.53,67.28,63.1,2035831317.0,31233200,SBERP
2011-12-08,64.9,65.31,66.26,64.4,1823145932.0,27946800,SBERP
2011-12-09,63.46,61.47,63.98,60.93,2347171014.0,37635600,SBERP
2011-12-12,61.8,59.59,63.18,59.11,1502347385.0,24398400,SBERP
2011-12-13,59.8,60.8,61.18,57.81,2335387077.0,38973400,SBERP
2011-12-14,60.02,60.27,61.37,59.45,1820365257.0,30021300,SBERP
2011-12-15,59.02,60.8,61.0,59.0,1744664970.0,29083900,SBERP
2011-12-16,61.0,60.25,61.84,59.72,1035054754.0,17015300,SBERP
2011-12-19,59.21,59.89,60.28,58.65,1119700293.0,18780100,SBERP
2011-12-20,59.89,61.0,61.0,58.8,1156936543.0,19305000,SBERP
2011-12-21,61.56,58.9,61.78,58.85,1606415244.0,26455200,SBERP
2011-12-22,59.06,58.83,59.69,58.6,980804814.0,16594000,SBERP
2011-12-23,59.4,59.1,60.03,58.67,891313473.0,15032100,SBERP
2011-12-26,59.44,60.36,61.15,59.25,716786967.0,11888100,SBERP
2011-12-27,60.32,59.39,60.63,59.11,622751259.0,10421700,SBERP
2011-12-28,59.2,58.64,59.65,58.4,575846989.0,9748000,SBERP
2011-12-29,58.42,58.38,58.5,57.11,882927105.0,15296800,SBERP
2011-12-30,58.8,59.24,59.34,58.25,462843522.0,7864100,SBERP
2012-01-03,59.83,61.3,61.39,59.7,499949578.0,8232800,SBERP
2012-01-04,61.35,61.3,62.45,60.85,821627206.0,13374700,SBERP
2012-01-05,61.3,60.63,61.84,60.4,491562958.0,8052200,SBERP
2012-01-06,60.83,60.92,61.58,60.2,444147145.0,7288400,SBERP
2012-01-09,60.8,61.98,61.98,60.5,668899887.0,10879000,SBERP
2012-01-10,62.25,64.15,64.33,62.22,2089707678.0,32960700,SBERP
2012-01-11,63.97,62.84,64.26,62.64,1103740001.0,17415600,SBERP
2012-01-12,63.02,62.62,63.85,62.5,946407611.0,14978900,SBERP
2012-01-13,62.98,62.51,63.19,62.26,1185633411.0,18916900,SBERP
2012-01-16,61.99,62.52,63.0,61.57,739004681.0,11857200,SBERP
2012-01-17,63.15,63.25,63.9,62.95,916527183.0,14446200,SBERP
2012-01-18,63.3,63.24,63.75,62.8,937800131.0,14837900,SBERP
2012-01-19,63.8,64.09,64.21,63.6,947138436.0,14807300,SBERP
2012-01-20,64.15,63.73,64.39,63.4,647713286.0,10134600,SBERP
2012-01-23,63.71,63.9,64.0,62.88,1033983917.0,16261300,SBERP
2012-01-24,63.7,64.38,64.69,63.4,1296136798.0,20222700,SBERP
2012-01-25,64.75,64.86,65.59,64.5,2143218267.0,32920800,SBERP
2012-01-26,65.41,66.71,66.84,65.41,1965355087.0,29735400,SBERP
2012-01-27,66.3,66.06,66.99,65.8,1262134129.0,19018100,SBERP
2012-01-30,65.8,65.0,66.2,64.82,1208826531.0,18420800,SBERP
2012-01-31,65.39,66.0,66.44,65.25,1133708859.0,17182000,SBERP
2012-02-01,65.78,67.4,67.52,65.12,1470524180.0,22154000,SBERP
2012-02-02,67.72,67.62,68.13,67.18,1931443161.0,28503300,SBERP
2012-02-03,67.6,69.0,69.08,67.3,1135261393.0,16635500,SBERP
2012-02-06,69.27,69.1,69.3,68.49,1275313224.0,18497500,SBERP
2012-02-07,69.17,68.37,69.66,67.97,1406683310.0,20473800,SBERP
2012-02-08,68.85,71.4,71.51,68.85,2286419307.0,32544800,SBERP
2012-02-09,71.5,72.35,72.68,70.61,3197549811.0,44423800,SBERP
2012-02-10,71.89,71.05,72.19,70.64,1331140557.0,18701900,SBERP
2012-02-13,71.7,73.39,73.43,71.66,1231125282.0,16959200,SBERP
2012-02-14,73.0,73.45,74.33,72.62,1462519651.0,19836900,SBERP
2012-02-15,74.34,74.3,74.7,73.75,1034947868.0,13943900,SBERP
2012-02-16,73.27,73.12,73.49,72.5,1124543402.0,15393600,SBERP
2012-02-17,74.2,74.37,74.37,73.26,1208402032.0,16357100,SBERP
2012-02-20,74.93,74.87,75.47,74.44,925023881.0,12341800,SBERP
2012-02-21,75.01,73.86,75.07,73.37,1337119524.0,18066400,SBERP
2012-02-22,73.93,73.57,74.43,72.75,1201324293.0,16322000,SBERP
2012-02-24,74.1,75.84,75.98,73.62,1638453346.0,21840600,SBERP
2012-02-27,75.58,75.9,76.7,75.1,1114048811.0,14678900,SBERP
2012-02-28,76.25,74.67,76.53,74.5,1081773819.0,14375700,SBERP
2012-02-29,75.1,75.95,76.35,75.05,1125158778.0,14872800,SBERP
2012-03-01,75.38,75.58,75.61,74.77,851861137.0,11325400,SBERP
2012-03-02,76.01,77.09,77.48,75.65,1994249391.0,26109100,SBERP
2012-03-05,77.09,77.59,78.59,77.09,1371886228.0,17620000,SBERP
2012-03-06,77.15,73.81,77.2,73.8,1902891306.0,25082700,SBERP
2012-03-07,74.0,74.53,74.78,73.23,1527604635.0,20630900,SBERP
2012-03-11,76.0,76.13,76.25,75.8,637416147.0,8386000,SBERP
2012-03-12,75.78,77.08,77.38,75.3,1828862737.0,23834400,SBERP
2012-03-13,77.39,79.22,79.45,77.33,1651355667.0,21080900,SBERP
2012-03-14,80.05,83.24,83.83,79.9,5455596925.0,66273200,SBERP
2012-03-15,83.37,80.99,83.38,80.11,4209130248.0,51691300,SBERP
2012-03-16,81.2,82.62,82.68,80.34,2407330707.0,29537500,SBERP
2012-03-19,82.2,80.92,83.12,80.69,2534234840.0,31070400,SBERP
2012-03-20,81.16,78.96,81.45,78.96,2071514759.0,25959600,SBERP
2012-03-21,79.19,78.71,80.57,77.81,1933986092.0,24424000,SBERP
2012-03-22,78.46,76.41,79.29,76.22,2239804130.0,28943300,SBERP
2012-03-23,76.7,76.41,77.2,75.81,1851225359.0,24222700,SBERP
2012-03-26,77.34,79.76,80.12,77.01,2538954304.0,32376400,SBERP
2012-03-27,80.2,79.26,81.08,78.81,2732853484.0,34130400,SBERP
2012-03-28,78.98,77.92,79.88,77.9,2070789836.0,26217900,SBERP
2012-03-29,77.62,76.36,78.58,76.3,2088881694.0,26978900,SBERP
2012-03-30,77.77,77.8,78.95,77.41,2163513429.0,27622200,SBERP
2012-04-02,78.54,77.86,78.99,77.42,1824291830.0,23283000,SBERP
2012-04-03,78.75,78.96,79.46,78.33,2060189317.0,26089200,SBERP
2012-04-04,78.31,77.36,78.6,77.25,1432563547.0,18415200,SBERP
2012-04-05,77.83,78.2,78.8,76.5,1858777984.0,23947200,SBERP
2012-04-06,78.57,77.32,78.81,77.24,1065361190.0,13667200,SBERP
2012-04-09,77.5,77.24,77.75,76.5,1375576230.0,17850800,SBERP
2012-04-10,77.3,77.81,78.71,77.22,2088652706.0,26752700,SBERP
2012-04-11,77.42,78.57,79.17,77.16,1909123128.0,24362500,SBERP
2012-04-12,78.7,78.0,79.39,77.36,2503251805.0,31959400,SBERP
2012-04-13,76.77,75.49,76.89,74.79,2181863618.0,28885800,SBERP
2012-04-16,74.9,73.46,75.0,73.43,1350942396.0,18241900,SBERP
2012-04-17,73.53,72.13,73.67,72.12,1515397747.0,20800400,SBERP
2012-04-18,72.77,71.31,73.3,71.03,917062610.0,12694000,SBERP
2012-04-19,71.44,72.79,72.85,71.04,1049133850.0,14532300,SBERP
2012-04-20,72.33,74.26,74.28,72.1,746927315.0,10192700,SBERP
2012-04-23,73.99,72.22,73.99,72.01,914479124.0,12550900,SBERP
2012-04-24,72.47,71.48,72.9,70.48,1384958200.0,19283400,SBERP
2012-04-25,71.7,70.99,72.19,70.55,958901490.0,13415800,SBERP
2012-04-26,71.1,69.14,71.36,68.92,1629885949.0,23368100,SBERP
