date,open,close,high,low,value,volume,ticker
2011-11-17,28.28,28.512,28.819,27.85,1075503186.1,38041600,SNGS
2011-11-18,28.13,28.37,28.587,27.651,719600400.7,25562700,SNGS
2011-11-21,28.141,26.701,28.2,26.688,871410266.1999999,31950900,SNGS
2011-11-22,26.703,26.943,27.349,26.7,580010480.7,21414700,SNGS
2011-11-23,26.72,26.779,27.244,26.201,952021160.9,35586300,SNGS
2011-11-24,26.552,26.878,27.129,26.55,358977288.4,13335200,SNGS
2011-11-25,26.67,26.875,27.1,26.154,554232376.0,20802300,SNGS
2011-11-28,27.058,28.378,28.444,27.033,880046073.8000001,31538400,SNGS
2011-11-29,28.25,27.919,28.649,27.711,599383628.1,21289000,SNGS
2011-11-30,27.806,29.485,29.507,27.806,1085403201.1,37826100,SNGS
2011-12-01,29.699,29.83,30.078,29.43,833134641.8,27918700,SNGS
2011-12-02,29.869,29.418,30.1,29.35,728714322.9,24518400,SNGS
2011-12-05,29.58,29.4,29.686,29.034,476113153.6,16269700,SNGS
2011-12-06,29.15,28.3,29.633,28.102,915834222.1,31786300,SNGS
2011-12-07,28.4,28.03,28.567,27.858,673620134.2,23846500,SNGS
2011-12-08,28.0,27.997,28.62,27.851,636001428.9,22511600,SNGS
2011-12-09,27.621,26.569,27.626,26.1,1299591585.5,48671200,SNGS
2011-12-12,26.85,25.5,27.264,25.3,964280345.2,36567100,SNGS
2011-12-13,25.517,25.773,25.999,24.92,926651411.9,36208900,SNGS
2011-12-14,25.59,25.6,26.099,25.24,1138136758.1,44331600,SNGS
2011-12-15,25.256,25.907,25.95,25.1,1428571070.0,55556900,SNGS
2011-12-16,25.971,24.901,26.297,24.9,1121386897.8999999,44144700,SNGS
2011-12-19,24.85,24.709,25.02,24.305,717959927.8,29132600,SNGS
2011-12-20,24.749,25.6,25.6,24.51,707565442.0,28261200,SNGS
2011-12-21,25.7,24.8,25.7,24.66,752800074.9,29919500,SNGS
2011-12-22,25.03,25.04,25.051,24.701,371327206.4,14924600,SNGS
2011-12-23,25.19,24.66,25.261,24.525,462029834.3,18542600,SNGS
2011-12-26,24.78,24.908,24.998,24.657,163810046.8,6584200,SNGS
2011-12-27,24.906,24.816,24.925,24.642,159667738.6,6445000,SNGS
2011-12-28,24.811,24.681,25.0,24.562,304248462.1,12276100,SNGS
2011-12-29,24.651,24.96,24.965,24.325,362654708.0,14722100,SNGS
2011-12-30,25.04,25.28,25.3,24.757,404418847.2,16133200,SNGS
2012-01-03,25.425,26.138,26.237,25.38,471209596.0,18118900,SNGS
2012-01-04,26.104,26.13,26.188,25.85,275998099.4,10602100,SNGS
2012-01-05,26.099,25.841,26.474,25.777,416985321.5,15986300,SNGS
2012-01-06,26.05,26.0,26.293,25.508,318680894.0,12225600,SNGS
2012-01-09,26.009,25.92,26.2,25.707,325029883.5,12542900,SNGS
2012-01-10,26.02,26.35,26.471,25.95,759258181.9,28943800,SNGS
2012-01-11,26.251,26.288,26.398,26.023,430108715.6,16401300,SNGS
2012-01-12,26.338,26.301,26.745,25.905,683313633.8,25909300,SNGS
2012-01-13,26.297,26.05,26.4,26.041,516698230.7,19711400,SNGS
2012-01-16,25.9,25.997,26.111,25.754,333996867.7,12869100,SNGS
2012-01-17,26.197,26.26,26.69,26.15,807801935.3,30579200,SNGS
2012-01-18,26.3,26.8,26.89,26.111,792865373.1,29950900,SNGS
2012-01-19,27.068,27.655,27.677,26.79,1164129062.7,42784000,SNGS
2012-01-20,27.56,27.4,27.612,27.157,648341064.4,23603700,SNGS
2012-01-23,27.35,27.811,27.9,26.933,748286226.4,27263000,SNGS
2012-01-24,27.545,28.005,28.27,27.5,748092885.8,26885400,SNGS
2012-01-25,28.225,28.2,28.455,27.877,728007929.9,25902700,SNGS
2012-01-26,28.349,28.261,28.599,28.05,762208327.3,26875600,SNGS
2012-01-27,28.16,27.565,28.438,27.521,582080194.0,20771800,SNGS
2012-01-30,27.538,27.517,27.815,27.253,531281605.5,19270100,SNGS
2012-01-31,27.68,28.407,28.519,27.67,971586100.7,34455200,SNGS
2012-02-01,28.262,28.814,28.975,28.1,734493724.8,25657100,SNGS
2012-02-02,28.84,28.806,28.895,28.539,619916193.9000001,21587200,SNGS
2012-02-03,28.832,29.35,29.4,28.467,714626776.9000001,24798000,SNGS
2012-02-06,29.312,29.5,29.587,29.197,613817935.5,20876000,SNGS
2012-02-07,29.5,29.3,29.71,29.037,633507536.2,21550300,SNGS
2012-02-08,29.5,29.34,29.7,29.234,632713410.0999999,21433000,SNGS
2012-02-09,29.341,29.038,29.531,28.581,695306972.8,23949400,SNGS
2012-02-10,28.85,27.975,28.999,27.95,1012859619.1,35679800,SNGS
2012-02-13,28.301,28.52,28.699,28.226,754596012.4,26487000,SNGS
2012-02-14,28.512,28.65,28.938,28.449,545734864.8,19005300,SNGS
2012-02-15,28.776,29.217,29.342,28.752,866602341.7,29750700,SNGS
2012-02-16,28.846,29.039,29.087,28.619,458063647.1,15861800,SNGS
2012-02-17,29.25,28.74,29.34,28.46,551060203.5,19077500,SNGS
2012-02-20,28.977,29.101,29.219,28.923,369023697.90000004,12674100,SNGS
2012-02-21,29.08,28.75,29.13,28.59,443472772.0,15383600,SNGS
2012-02-22,28.835,28.611,29.3,28.607,878814476.7,30381800,SNGS
2012-02-24,28.913,30.577,30.749,28.91,2427892913.7,81400400,SNGS
2012-02-27,30.302,30.225,30.6,30.057,1278166267.3,42255700,SNGS
2012-02-28,30.425,29.899,30.55,29.8,974788820.9,32441200,SNGS
2012-02-29,30.051,30.35,30.549,30.051,1078019903.9,35476900,SNGS
2012-03-01,30.2,30.499,30.549,30.156,783119534.6,25849500,SNGS
2012-03-02,30.55,30.58,30.8,30.234,852914556.4,27900800,SNGS
2012-03-05,30.68,31.1,31.177,30.473,842291707.5,27248400,SNGS
2012-03-06,30.917,29.6,31.063,29.51,1098210578.5,36299400,SNGS
2012-03-07,29.451,29.55,29.677,29.005,961605366.0,32735300,SNGS
2012-03-11,30.284,30.953,31.0,30.284,647874040.7,21120100,SNGS
2012-03-12,30.782,31.181,31.502,30.617,1120973717.4,35991500,SNGS
2012-03-13,31.35,31.8,31.896,31.213,937400499.1,29656100,SNGS
2012-03-14,32.01,32.895,32.96,31.97,1355487201.4,41785000,SNGS
2012-03-15,32.799,33.34,33.735,32.526,2267426018.5,68337300,SNGS
2012-03-16,33.381,32.699,33.44,32.536,910009681.0,27629100,SNGS
2012-03-19,32.743,31.402,32.869,31.131,1513464220.3,47814800,SNGS
2012-03-20,31.511,30.243,31.549,30.05,1223125050.9,39978600,SNGS
2012-03-21,30.32,30.099,30.489,29.625,1219637086.6000001,40467500,SNGS
2012-03-22,30.04,29.62,30.275,29.41,945257529.4,31720400,SNGS
2012-03-23,29.777,29.8,29.933,29.231,839084429.6,28394200,SNGS
2012-03-26,29.97,31.0,31.125,29.901,1198798685.4,39258500,SNGS
2012-03-27,31.11,30.856,31.291,30.625,863682033.4,27946600,SNGS
2012-03-28,30.629,29.36,30.65,29.35,1401994820.3,46881800,SNGS
2012-03-29,29.292,28.432,29.292,28.241,1528806224.6,53181900,SNGS
2012-03-30,28.81,28.8,29.349,28.731,1504129290.9,51861600,SNGS
2012-04-02,29.1,28.902,29.455,28.347,1070111065.5,36946700,SNGS
2012-04-03,29.177,29.8,29.97,29.023,1328336064.0,45081200,SNGS
2012-04-04,29.391,28.788,29.67,28.511,1352954513.8,46641100,SNGS
2012-04-05,28.88,28.958,29.138,28.398,973818643.7,33848400,SNGS
2012-04-06,28.958,28.219,29.1,28.139,551182584.4,19304600,SNGS
2012-04-09,28.2,28.375,28.42,27.554,692221506.9,24758700,SNGS
2012-04-10,28.301,28.35,28.788,27.8,1051933796.4000001,37028000,SNGS
2012-04-11,28.082,28.9,29.299,28.001,963119894.5,33577100,SNGS
2012-04-12,28.96,28.806,29.151,28.539,1252901997.4,43439800,SNGS
2012-04-13,28.99,28.67,29.2,28.588,1204823575.1,41871100,SNGS
2012-04-16,28.475,28.019,28.83,27.95,1055135766.6,37089700,SNGS
2012-04-17,28.011,28.026,28.18,27.756,709246854.4,25370600,SNGS
2012-04-18,28.28,28.05,28.377,27.881,474556115.1,16897100,SNGS
2012-04-19,27.938,28.93,29.199,27.931,1680904106.9,58220400,SNGS
2012-04-20,28.902,29.28,29.44,28.63,1589781987.5,54392500,SNGS
2012-04-23,29.101,28.383,29.143,28.311,664238636.7,23250900,SNGS
2012-04-24,28.51,28.14,28.577,27.699,650586296.5,23073700,SNGS
2012-04-25,28.29,28.38,28.705,27.915,577732350.0,20404600,SNGS
2012-04-26,28.569,28.2,28.63,27.969,461959080.3,16367600,SNGS
2012-04-27,28.101,28.68,28.86,28.0,616805367.3,21618200,SNGS
2012-04-28,28.6,28.855,28.968,28.558,203009026.9,7034200,SNGS
2012-05-02,29.04,28.241,29.471,28.1,689194572.0,23776600,SNGS
2012-05-03,28.25,28.216,28.364,27.66,629843263.7,22512600,SNGS
2012-05-04,28.081,26.965,28.107,26.813,1106988037.9,40627900,SNGS
2012-05-05,26.852,26.673,26.928,26.456,160465220.7,6018800,SNGS
2012-05-07,26.227,26.825,27.298,26.069,229408058.8,8654800,SNGS
2012-05-08,27.028,26.954,27.33,26.468,380854953.0,14105900,SNGS
2012-05-10,27.154,27.969,28.3,27.154,1099544890.3,39662900,SNGS
2012-05-11,27.412,27.764,27.975,27.222,480003717.5,17327000,SNGS
2012-05-12,27.683,27.42,27.74,27.3,156207504.0,5681000,SNGS
2012-05-14,27.478,26.537,27.599,25.952,883945949.0,33175400,SNGS
2012-05-15,25.726,25.88,25.975,25.057,943385319.2,36776000,SNGS
2012-05-16,25.61,25.981,25.999,25.025,693198012.1,27165600,SNGS
2012-05-17,25.96,25.317,26.19,25.05,837698379.3,32723300,SNGS
2012-05-18,24.979,24.789,25.458,24.252,850167439.4,34134400,SNGS
2012-05-21,25.013,25.35,25.45,24.383,650913392.2,26039900,SNGS
2012-05-22,25.502,25.23,25.55,24.787,651417088.0,25942800,SNGS
2012-05-23,24.81,24.451,24.942,24.25,732404860.7,29837100,SNGS
2012-05-24,24.6,25.355,25.482,24.05,749490105.8,30307800,SNGS
2012-05-25,25.269,25.384,25.599,25.069,532586660.2,21027900,SNGS
2012-05-28,25.6,25.609,25.9,25.404,343805390.2,13371200,SNGS
2012-05-29,25.715,26.19,26.19,25.608,555238161.9,21392900,SNGS
2012-05-30,25.97,25.352,26.1,25.2,808065528.2,31711900,SNGS
2012-05-31,25.283,24.82,25.974,24.7,795767183.9,31224400,SNGS
2012-06-01,24.842,24.77,25.25,24.031,737651420.7,29889200,SNGS
2012-06-04,24.299,25.49,25.5,24.272,590117293.0,23457500,SNGS
2012-06-05,25.68,25.23,25.797,25.012,492100189.5,19370100,SNGS
2012-06-06,25.505,25.065,25.54,24.77,787633561.1,31492700,SNGS
2012-06-07,25.21,25.18,25.479,24.61,941406593.1,37682500,SNGS
2012-06-08,24.932,25.571,25.571,24.804,707886932.3000001,28030900,SNGS
2012-06-09,25.7,26.009,26.049,25.64,172025837.6,6666300,SNGS
2012-06-13,26.013,26.102,26.55,25.72,744736751.7,28472000,SNGS
2012-06-14,26.102,26.022,26.197,25.809,409590693.20000005,15761800,SNGS
2012-06-15,26.182,26.743,26.897,26.1,1349169158.6000001,50878600,SNGS
2012-06-18,26.86,27.277,27.49,26.646,781220028.7,29041000,SNGS
2012-06-19,27.178,27.572,28.121,27.117,730308197.6999999,26336400,SNGS
2012-06-20,27.511,27.259,27.696,26.987,512492778.6,18801200,SNGS
2012-06-21,26.933,26.7,27.45,26.69,601717117.2,22239200,SNGS
2012-06-22,26.5,26.056,26.814,25.95,834878816.8,31787400,SNGS
2012-06-25,26.1,25.55,26.1,25.272,521688871.2,20346200,SNGS
2012-06-26,25.612,25.676,26.129,25.608,587841928.1,22726400,SNGS
2012-06-27,25.895,26.155,26.397,25.75,555901774.5,21295500,SNGS
2012-06-28,26.269,25.539,26.336,25.46,642908812.1,24998500,SNGS
2012-06-29,25.855,26.748,26.8,25.807,970511687.5,36802100,SNGS
2012-07-02,26.654,27.251,27.387,26.548,866381124.6,31921400,SNGS
2012-07-03,27.372,28.071,28.188,27.325,860828339.8,30973000,SNGS
2012-07-04,28.0,28.507,28.641,27.802,613672082.4,21741000,SNGS
2012-07-05,28.375,28.372,28.682,28.221,1253795700.2,44093600,SNGS
2012-07-06,28.337,27.895,28.51,27.701,558252637.8,19934500,SNGS
2012-07-09,27.87,28.0,28.251,27.678,432804183.0,15488800,SNGS
2012-07-10,27.86,27.714,28.094,27.53,676102252.0,24333600,SNGS
2012-07-11,27.584,27.027,27.639,26.757,897554886.2,33148800,SNGS
