date,open,close,high,low,value,volume,ticker
2011-11-17,16.34,16.299,16.498,15.9,556567311.6,34304000,SNGSP
2011-11-18,15.983,16.33,16.5,15.951,375462637.9,22997000,SNGSP
2011-11-21,16.222,15.77,16.398,15.616,409725226.2,25831500,SNGSP
2011-11-22,15.611,15.869,15.985,15.611,232269120.8,14648800,SNGSP
2011-11-23,15.85,15.95,16.048,15.58,507551763.20000005,32135600,SNGSP
2011-11-24,15.911,15.648,16.097,15.6,219337624.9,13818400,SNGSP
2011-11-25,15.6,15.88,15.88,15.57,267702069.4,17098100,SNGSP
2011-11-28,16.039,16.299,16.39,15.932,409885885.9,25348300,SNGSP
2011-11-29,16.3,16.189,16.416,16.1,279774412.9,17216300,SNGSP
2011-11-30,16.151,16.7,16.804,16.08,456266481.5,27718800,SNGSP
2011-12-01,16.798,16.961,17.2,16.75,583861803.4,34380600,SNGSP
2011-12-02,16.93,16.968,17.15,16.842,225030506.0,13259100,SNGSP
2011-12-05,17.021,17.145,17.17,16.801,142338945.7,8358900,SNGSP
2011-12-06,16.997,16.434,17.098,16.3,516728315.7,30951600,SNGSP
2011-12-07,16.45,16.533,16.78,16.391,263345073.6,15900400,SNGSP
2011-12-08,16.563,16.659,16.859,16.502,261350049.3,15650100,SNGSP
2011-12-09,16.4,15.95,16.401,15.79,527578288.4,33033600,SNGSP
2011-12-12,16.148,15.665,16.3,15.41,408107427.5,25727600,SNGSP
2011-12-13,15.604,15.984,15.998,15.5,264098260.1,16723300,SNGSP
2011-12-14,15.785,16.099,16.35,15.762,444355462.3,27581900,SNGSP
2011-12-15,15.965,16.105,16.287,15.6,595864702.9,37132100,SNGSP
2011-12-16,16.217,16.22,16.3,15.9,278154370.2,17292600,SNGSP
2011-12-19,15.977,15.931,16.049,15.852,274134967.3,17171900,SNGSP
2011-12-20,16.0,15.901,16.015,15.7,314520799.5,19815000,SNGSP
2011-12-21,16.048,15.897,16.06,15.681,315834980.1,19993900,SNGSP
2011-12-22,15.83,16.18,16.188,15.752,181929942.0,11395500,SNGSP
2011-12-23,16.188,16.095,16.262,16.023,136595263.1,8440000,SNGSP
2011-12-26,16.1,16.3,16.4,16.1,98335828.6,6029300,SNGSP
2011-12-27,16.376,16.269,16.376,16.11,138254611.6,8531100,SNGSP
2011-12-28,16.18,16.34,16.399,16.18,111157901.0,6816300,SNGSP
2011-12-29,16.22,16.38,16.399,16.151,155960755.9,9590600,SNGSP
2011-12-30,16.45,16.451,16.659,16.172,249012687.8,15095200,SNGSP
2012-01-03,16.59,16.739,16.963,16.589,182732960.8,10896900,SNGSP
2012-01-04,16.682,16.65,16.739,16.568,82747364.3,4974600,SNGSP
2012-01-05,16.68,16.529,16.699,16.455,151768498.6,9172600,SNGSP
2012-01-06,16.528,16.566,16.699,16.48,82478222.4,4960500,SNGSP
2012-01-09,16.566,16.584,16.724,16.48,137008362.8,8232400,SNGSP
2012-01-10,16.62,16.715,16.948,16.58,322789054.1,19215800,SNGSP
2012-01-11,16.714,16.73,16.898,16.66,171749391.5,10246900,SNGSP
2012-01-12,16.74,16.9,17.04,16.521,469555297.29999995,27901200,SNGSP
2012-01-13,16.93,17.115,17.147,16.88,382759368.1,22443300,SNGSP
