date,open,close,high,low,value,volume,ticker
2011-11-17,370.1,354.3,370.5,350.0,5350368.0,14880,SVAV
2011-11-18,346.2,356.0,358.2,341.0,2595982.0,7460,SVAV
2011-11-21,350.0,334.2,357.4,332.0,4899254.0,14420,SVAV
2011-11-22,334.3,334.9,339.9,331.0,3729848.0,11120,SVAV
2011-11-23,326.7,329.0,334.0,325.0,5460414.0,16610,SVAV
2011-11-24,329.9,333.5,337.3,329.9,2126969.0,6380,SVAV
2011-11-25,330.1,327.5,330.9,318.0,8944473.0,27790,SVAV
2011-11-28,337.4,342.9,355.0,332.2,22907883.0,66440,SVAV
2011-11-29,344.4,335.6,344.4,331.0,8806547.0,26190,SVAV
2011-11-30,336.1,342.0,343.7,329.6,5456449.0,16290,SVAV
2011-12-01,346.1,352.7,359.9,346.0,23705441.0,67450,SVAV
2011-12-02,354.2,362.6,366.7,354.2,11211690.0,31070,SVAV
2011-12-05,364.8,368.0,375.0,360.0,6683200.0,18130,SVAV
2011-12-06,361.6,347.5,364.0,342.2,17632128.0,49940,SVAV
2011-12-07,356.0,343.4,356.2,335.3,3803590.0,11080,SVAV
2011-12-08,343.0,342.8,348.0,342.0,4078246.0,11860,SVAV
2011-12-09,325.4,326.2,338.0,320.2,7535566.0,23080,SVAV
2011-12-12,332.1,311.0,353.7,309.9,6814747.0,20690,SVAV
2011-12-13,309.0,313.0,320.0,300.8,11002368.0,35650,SVAV
2011-12-14,306.4,307.9,316.5,305.4,4638813.0,15000,SVAV
2011-12-15,305.0,312.8,312.8,305.0,3641729.0,11780,SVAV
2011-12-16,313.1,316.3,321.9,313.1,2794044.0,8780,SVAV
2011-12-19,315.0,309.1,318.9,308.0,4986870.0,16000,SVAV
2011-12-20,309.1,309.5,309.7,297.5,5068013.0,16770,SVAV
2011-12-21,314.0,306.9,314.0,304.9,1916674.0,6210,SVAV
2011-12-22,306.9,306.2,309.0,305.0,3338861.0,10880,SVAV
2011-12-23,305.1,304.0,307.2,302.5,1241191.0,4070,SVAV
2011-12-26,305.4,306.7,313.6,302.9,2093555.0,6850,SVAV
2011-12-27,306.0,306.0,306.9,304.0,15709972.0,51330,SVAV
2011-12-28,305.4,305.1,309.2,304.2,15299806.0,50020,SVAV
2011-12-29,303.9,300.1,305.2,290.0,21705222.0,72270,SVAV
2011-12-30,303.1,305.9,308.7,300.7,5434210.0,17990,SVAV
2012-01-03,306.6,313.6,313.8,304.0,2192990.0,7110,SVAV
2012-01-04,310.0,315.0,319.0,310.0,1542350.0,4870,SVAV
2012-01-05,315.0,312.2,315.0,310.2,917237.0,2930,SVAV
2012-01-06,315.0,308.1,315.0,307.0,2109891.0,6730,SVAV
2012-01-09,309.9,312.0,312.5,293.8,1774073.0,5760,SVAV
2012-01-10,313.5,315.8,317.7,310.5,5845242.0,18580,SVAV
2012-01-11,315.5,321.9,337.9,307.4,8743394.0,27060,SVAV
2012-01-12,322.0,326.5,336.8,321.3,13329560.0,40620,SVAV
2012-01-13,328.6,318.8,333.4,317.5,2125995.0,6590,SVAV
2012-01-16,315.1,316.0,317.0,309.9,4770079.0,15270,SVAV
2012-01-17,317.1,320.9,324.3,317.0,6586508.0,20590,SVAV
2012-01-18,320.9,320.0,327.3,317.7,4828598.0,15010,SVAV
2012-01-19,324.0,320.0,324.0,317.0,8494715.0,26570,SVAV
2012-01-20,320.1,319.0,322.0,317.8,8996068.0,28170,SVAV
2012-01-23,316.2,313.0,319.2,306.1,17073015.0,54930,SVAV
2012-01-24,308.6,309.4,313.0,308.4,3974327.0,12830,SVAV
2012-01-25,309.9,314.0,315.0,309.9,5478110.0,17540,SVAV
2012-01-26,315.0,333.0,334.3,314.1,16959017.0,52240,SVAV
2012-01-27,330.2,360.1,375.0,325.3,67743962.0,188520,SVAV
2012-01-30,362.5,348.0,367.0,347.2,11877965.0,33500,SVAV
2012-01-31,351.6,358.6,365.4,351.6,28209106.0,78080,SVAV
2012-02-01,357.0,363.5,365.9,356.0,12205075.0,33790,SVAV
2012-02-02,360.7,357.7,363.3,348.8,17039982.0,47410,SVAV
2012-02-03,350.5,363.3,363.4,350.5,6713429.0,18710,SVAV
2012-02-06,364.5,359.3,366.9,356.0,12568965.0,34880,SVAV
2012-02-07,359.7,356.9,363.4,353.0,5130436.0,14370,SVAV
2012-02-08,358.0,365.9,368.0,357.4,27184094.0,74840,SVAV
2012-02-09,367.7,365.1,369.0,363.8,10083226.0,27600,SVAV
2012-02-10,362.4,367.4,378.7,362.3,27542717.0,74590,SVAV
2012-02-13,369.3,381.9,386.8,367.0,14412182.0,37980,SVAV
2012-02-14,381.9,391.6,392.5,381.9,22200373.0,57230,SVAV
2012-02-15,394.5,411.1,430.7,390.3,84081904.0,202180,SVAV
2012-02-16,410.0,410.0,418.5,400.5,30024757.0,73410,SVAV
2012-02-17,415.0,413.4,429.4,412.3,35277688.0,83550,SVAV
2012-02-20,422.0,414.5,425.0,405.1,5451484.0,13160,SVAV
