date,open,close,high,low,value,volume,ticker
2011-11-17,160.51,157.05,162.68,154.09,382253344.20000005,2429490,TATN
2011-11-18,155.42,154.14,156.9,153.1,159606436.6,1027490,TATN
2011-11-21,153.25,143.7,153.97,143.5,376754772.1,2571430,TATN
2011-11-22,143.5,148.26,148.4,142.86,276215702.4,1878110,TATN
2011-11-23,146.32,146.67,151.65,145.01,329767047.7,2225330,TATN
2011-11-24,145.97,144.2,149.4,143.7,415404323.5,2855170,TATN
2011-11-25,143.69,147.79,148.2,139.45,247399470.0,1726360,TATN
2011-11-28,149.15,158.13,159.5,148.37,495876052.9,3236750,TATN
2011-11-29,159.16,157.7,162.29,157.04,313792866.7,1968520,TATN
2011-11-30,157.27,164.18,167.5,155.73,647436265.2,3965270,TATN
2011-12-01,166.93,166.25,169.5,164.51,309514384.2,1848900,TATN
2011-12-02,166.61,165.67,168.98,163.86,242060970.6,1457890,TATN
2011-12-05,166.0,168.85,169.87,161.54,230391074.8,1383350,TATN
2011-12-06,167.81,164.02,169.89,163.52,661627432.9,3952920,TATN
2011-12-07,164.5,161.0,167.0,160.51,542676188.6,3314400,TATN
2011-12-08,160.87,161.07,165.65,159.49,305344375.4,1869740,TATN
2011-12-09,158.87,153.5,159.78,153.5,450187912.2,2884950,TATN
2011-12-12,155.0,146.11,159.75,145.22,390500645.5,2548000,TATN
2011-12-13,145.12,152.15,152.15,143.17,374618192.2,2513930,TATN
2011-12-14,151.23,153.61,158.66,148.65,447396026.7,2889610,TATN
2011-12-15,152.23,152.0,155.42,147.71,701037390.1,4625770,TATN
2011-12-16,151.82,146.51,153.89,146.11,313893650.6,2091620,TATN
2011-12-19,146.51,149.73,150.82,144.1,217788388.1,1472390,TATN
2011-12-20,149.91,154.22,154.3,148.05,269358678.4,1783280,TATN
2011-12-21,155.03,149.4,156.2,148.82,339238184.3,2220410,TATN
2011-12-22,150.51,151.69,152.84,147.5,236881182.0,1571150,TATN
2011-12-23,152.77,150.86,154.3,150.6,135253732.7,889070,TATN
2011-12-26,151.51,153.63,154.0,151.51,97911055.7,638210,TATN
2011-12-27,153.8,155.0,155.5,152.61,169076751.2,1099410,TATN
2011-12-28,154.5,156.39,157.0,154.35,189553825.4,1217260,TATN
2011-12-29,155.2,154.0,156.99,151.53,172276533.0,1122160,TATN
2011-12-30,154.51,158.4,158.53,152.79,214616825.3,1370620,TATN
2012-01-03,159.02,172.01,172.77,159.02,327753496.40000004,1950230,TATN
2012-01-04,171.71,173.24,173.24,169.33,377610147.9,2186200,TATN
2012-01-05,173.65,168.91,175.0,168.2,291924671.8,1710750,TATN
2012-01-06,170.0,170.0,171.72,168.03,138885404.0,815120,TATN
2012-01-09,170.05,172.2,173.01,169.09,138827165.5,814030,TATN
2012-01-10,171.34,174.0,174.6,171.34,306015343.4,1765350,TATN
2012-01-11,172.69,169.9,173.9,169.9,250884796.1,1459190,TATN
2012-01-12,170.49,168.61,171.39,167.5,252355461.2,1490680,TATN
2012-01-13,168.04,167.5,169.69,167.17,164772945.6,977400,TATN
2012-01-16,166.96,168.0,168.56,164.17,209302842.20000002,1251780,TATN
2012-01-17,169.9,169.5,172.49,168.25,403213530.3,2362770,TATN
2012-01-18,170.14,171.82,171.82,168.05,282450371.3,1654720,TATN
2012-01-19,172.34,174.57,174.7,171.1,430787328.9,2486680,TATN
2012-01-20,174.98,176.97,177.5,173.0,583682454.6,3321490,TATN
2012-01-23,176.15,177.69,177.69,174.3,307664541.1,1746910,TATN
2012-01-24,176.56,175.0,178.12,173.31,329587218.7,1875960,TATN
2012-01-25,175.8,173.6,177.26,171.51,445968859.9,2561520,TATN
2012-01-26,177.1,176.24,188.98,174.16,327732439.2,1862500,TATN
2012-01-27,174.55,173.53,177.9,173.0,338466549.9,1931240,TATN
2012-01-30,173.25,170.24,173.49,169.82,361721305.9,2112030,TATN
2012-01-31,171.6,177.55,177.55,171.6,316680116.9,1809770,TATN
2012-02-01,176.77,177.5,178.0,175.66,265141130.89999998,1497320,TATN
2012-02-02,178.0,178.42,178.94,175.85,309984356.2,1743170,TATN
2012-02-03,178.48,179.84,179.89,177.2,243343040.7,1362470,TATN
2012-02-06,179.49,179.06,181.64,178.53,296613357.1,1649930,TATN
2012-02-07,179.59,177.97,181.6,177.02,278433334.3,1559980,TATN
2012-02-08,178.52,177.24,180.2,176.65,308055664.4,1729120,TATN
2012-02-09,177.5,176.27,178.52,174.35,459458042.4,2613150,TATN
2012-02-10,174.94,173.9,178.23,170.51,329655283.6,1907870,TATN
2012-02-13,174.08,174.94,176.59,172.0,315316421.0,1811880,TATN
2012-02-14,174.2,176.5,177.88,173.54,217379259.8,1232800,TATN
2012-02-15,177.52,179.93,180.34,177.26,318928975.6,1783850,TATN
2012-02-16,178.54,180.9,180.9,177.19,217527881.7,1218010,TATN
2012-02-17,181.37,183.49,183.77,180.9,413899203.0,2273550,TATN
2012-02-20,183.99,187.98,188.0,183.18,235380980.8,1264450,TATN
2012-02-21,187.95,187.71,189.59,185.64,354574319.3,1888440,TATN
2012-02-22,188.55,186.72,190.53,185.31,299381556.8,1592060,TATN
2012-02-24,188.01,191.22,192.0,185.2,479563276.0,2538720,TATN
2012-02-27,191.25,188.72,191.25,186.4,651850444.6,3465000,TATN
2012-02-28,189.5,187.54,190.5,187.11,340835918.3,1808460,TATN
2012-02-29,188.24,194.45,194.45,188.0,666165001.4,3472410,TATN
2012-03-01,193.45,194.4,194.4,190.82,263452851.2,1368250,TATN
2012-03-02,194.9,194.7,195.9,190.26,483603721.5,2505940,TATN
2012-03-05,195.0,195.63,196.5,194.14,204874274.60000002,1047500,TATN
2012-03-06,194.63,186.63,194.9,186.59,456030016.2,2401990,TATN
2012-03-07,185.86,188.66,189.68,185.12,228776104.4,1220740,TATN
2012-03-11,192.65,194.71,195.55,192.12,157009200.2,808450,TATN
2012-03-12,193.86,195.35,195.9,192.71,434299776.3,2230140,TATN
2012-03-13,196.39,199.38,199.5,196.1,373657146.0,1886080,TATN
2012-03-14,200.0,200.99,201.0,197.38,336945212.9,1683800,TATN
2012-03-15,199.84,199.5,203.7,199.33,877275655.2,4349850,TATN
2012-03-16,199.21,203.0,205.2,198.8,513463663.3,2533800,TATN
2012-03-19,203.98,197.5,204.7,195.25,449040265.3,2264400,TATN
2012-03-20,197.5,192.98,199.89,190.63,327147717.9,1684160,TATN
2012-03-21,193.77,191.18,194.99,189.38,454902946.7,2366900,TATN
2012-03-22,191.27,191.28,192.93,189.0,192531005.1,1011540,TATN
2012-03-23,193.72,193.9,194.47,189.37,266969009.5,1392080,TATN
2012-03-26,194.5,198.82,199.6,193.56,211553490.8,1074850,TATN
2012-03-27,199.9,198.3,200.46,197.06,200414476.6,1011530,TATN
2012-03-28,197.33,193.3,198.38,193.3,302090869.1,1543220,TATN
2012-03-29,193.31,191.94,195.51,186.5,389460285.2,2036040,TATN
2012-03-30,192.63,196.33,197.3,192.4,364512140.0,1868170,TATN
2012-04-02,198.41,197.3,199.5,193.75,310475044.2,1579620,TATN
2012-04-03,198.15,199.95,202.55,196.53,433433808.7,2174290,TATN
2012-04-04,198.06,195.66,200.87,192.53,412217401.6,2106790,TATN
2012-04-05,195.2,194.34,196.44,192.0,335421013.0,1724470,TATN
2012-04-06,195.26,190.03,195.87,189.2,192476348.1,997110,TATN
2012-04-09,190.0,193.98,193.99,186.78,238770579.39999998,1254590,TATN
2012-04-10,193.21,188.46,194.47,188.27,313488330.0,1637510,TATN
2012-04-11,188.0,185.07,188.77,184.6,469472319.2,2520870,TATN
2012-04-12,186.0,183.4,186.28,180.21,566503116.9,3099490,TATN
2012-04-13,183.96,182.54,186.44,181.14,367020843.2,1991960,TATN
2012-04-16,181.97,182.5,184.64,180.11,301856491.7,1654790,TATN
2012-04-17,182.0,180.0,182.67,179.9,323247571.0,1787620,TATN
2012-04-18,181.5,177.71,182.4,177.5,595335209.6,3316540,TATN
2012-04-19,178.15,184.47,185.47,176.01,540479952.6,2982210,TATN
2012-04-20,183.13,184.88,185.99,182.76,341565580.8,1853860,TATN
2012-04-23,184.5,179.19,184.71,178.35,264625388.4,1462240,TATN
2012-04-24,180.01,179.8,180.47,175.48,246101452.5,1378090,TATN
2012-04-25,179.0,176.5,180.88,176.5,214325007.7,1199640,TATN
2012-04-26,177.56,178.1,178.67,174.35,279496982.3,1581950,TATN
2012-04-27,177.06,179.37,182.62,176.79,283144018.9,1571430,TATN
2012-04-28,179.79,180.77,182.45,178.57,39915764.9,220900,TATN
2012-05-02,182.58,181.0,187.86,180.8,268571495.4,1458660,TATN
2012-05-03,181.0,179.1,182.52,178.5,281128931.5,1562260,TATN
2012-05-04,179.1,171.11,179.59,170.0,419246350.3,2415790,TATN
2012-05-05,169.76,170.29,172.49,168.01,51957762.7,305040,TATN
2012-05-07,168.0,179.2,183.48,166.14,211703123.0,1208810,TATN
2012-05-08,179.2,173.76,180.8,172.03,257547145.6,1476240,TATN
2012-05-10,173.76,170.5,178.5,169.0,592538189.7,3447100,TATN
2012-05-11,169.61,171.4,173.0,167.0,220454188.4,1301670,TATN
2012-05-12,170.88,171.31,172.0,169.95,35149613.5,205580,TATN
2012-05-14,171.8,163.99,173.2,163.17,273681222.8,1623570,TATN
2012-05-15,158.14,163.76,164.98,156.65,475389910.4,2977720,TATN
2012-05-16,161.61,158.64,162.68,156.53,418361856.1,2641970,TATN
2012-05-17,158.64,150.78,159.5,150.07,448299301.1999999,2916070,TATN
2012-05-18,147.85,149.42,155.55,145.0,312447473.0,2052420,TATN
2012-05-21,149.5,158.0,158.8,148.14,249688349.1,1618390,TATN
2012-05-22,158.95,155.17,161.76,153.88,268167487.4,1713300,TATN
2012-05-23,153.56,151.95,153.76,149.0,386825029.1,2559420,TATN
2012-05-24,153.04,160.02,161.45,152.11,422625797.7,2679150,TATN
2012-05-25,159.49,163.19,164.97,159.24,277690813.4,1703280,TATN
2012-05-28,164.25,164.7,165.98,163.56,169345423.9,1026320,TATN
2012-05-29,165.1,173.0,174.0,164.69,265664040.7,1558320,TATN
2012-05-30,172.3,168.75,172.78,164.55,375810553.7,2234750,TATN
2012-05-31,168.0,165.79,171.88,165.0,327013062.8,1930080,TATN
2012-06-01,166.0,161.89,169.0,160.14,323170300.2,1981600,TATN
2012-06-04,159.57,169.39,170.38,158.72,244705065.7,1473120,TATN
2012-06-05,170.95,167.01,171.68,164.9,216513689.8,1294620,TATN
2012-06-06,169.6,169.66,172.76,164.21,305639076.5,1807210,TATN
2012-06-07,170.7,175.85,176.78,164.7,508104243.4,2971670,TATN
2012-06-08,173.21,176.46,178.8,172.45,277364292.3,1579400,TATN
2012-06-09,176.9,179.22,179.79,176.9,66263512.4,371360,TATN
2012-06-13,177.89,179.7,182.26,176.84,277989395.9,1547060,TATN
2012-06-14,178.8,177.13,179.67,175.71,157028394.4,887070,TATN
2012-06-15,178.71,184.86,186.0,178.03,846841197.8000001,4611010,TATN
2012-06-18,185.81,186.28,187.99,182.35,393120451.2,2130280,TATN
2012-06-19,185.0,184.9,186.98,184.14,221057899.3,1191670,TATN
2012-06-20,185.19,185.79,187.0,182.81,252100508.1,1360670,TATN
2012-06-21,184.13,182.89,185.21,181.18,290484802.5,1585830,TATN
2012-06-22,180.84,176.16,182.47,176.02,388381501.1,2177800,TATN
2012-06-25,176.16,170.7,176.16,169.6,281387576.7,1638740,TATN
2012-06-26,171.18,171.51,174.68,170.21,195815605.39999998,1136030,TATN
2012-06-27,172.93,178.39,178.5,172.29,250363461.8,1424730,TATN
2012-06-28,178.44,171.75,179.3,169.16,310736028.4,1791780,TATN
2012-06-29,173.75,180.2,181.5,173.75,542677901.1,3038110,TATN
2012-07-02,180.0,183.0,185.0,179.01,246961313.8,1357890,TATN
2012-07-03,183.93,188.7,189.57,183.61,480531490.1,2565220,TATN
2012-07-04,188.65,193.6,194.87,186.5,443549938.2,2315510,TATN
2012-07-05,193.01,198.67,200.62,193.01,671458680.4,3397680,TATN
2012-07-06,197.91,194.65,199.67,193.03,449430864.0,2305360,TATN
2012-07-09,194.75,192.71,195.9,191.48,268839859.8,1392830,TATN
2012-07-10,191.58,192.01,194.0,190.54,306839002.0,1594230,TATN
2012-07-11,191.1,186.83,192.46,185.05,475948974.4,2529660,TATN
2012-07-12,186.0,185.68,187.5,184.0,470848085.1,2537480,TATN
2012-07-13,186.9,190.15,190.72,186.01,318466127.70000005,1692090,TATN
2012-07-16,190.15,186.9,192.89,186.1,281897287.8,1496380,TATN
2012-07-17,188.01,190.3,190.69,187.35,380929629.2,2016050,TATN
2012-07-18,190.34,193.0,193.99,190.01,334626147.7,1744650,TATN
2012-07-19,194.38,197.21,198.71,193.64,452760759.6,2303660,TATN
2012-07-20,196.61,191.71,196.64,191.23,233882347.1,1206370,TATN
2012-07-23,189.9,184.17,190.0,182.98,406138444.90000004,2187810,TATN
2012-07-24,185.5,185.15,186.4,178.7,320874283.4,1755090,TATN
2012-07-25,183.5,186.77,189.45,182.7,324061096.9,1737780,TATN
2012-07-26,187.9,193.48,193.9,184.17,344321873.5,1813190,TATN
2012-07-27,194.2,200.05,200.5,192.0,710416902.8,3595670,TATN
2012-07-30,201.01,201.97,202.5,199.22,495391742.0,2464930,TATN
2012-07-31,201.97,197.4,202.0,194.81,383237327.7,1936800,TATN
2012-08-01,196.1,198.31,199.47,196.09,205063602.3,1033010,TATN
2012-08-02,198.17,196.22,201.79,194.31,394133986.9,1987210,TATN
2012-08-03,198.18,201.62,202.44,195.13,313533115.0,1574990,TATN
2012-08-06,201.6,203.6,206.0,200.42,503186886.29999995,2468880,TATN
2012-08-07,203.24,204.54,205.5,202.45,428399562.1,2101180,TATN
2012-08-08,204.0,202.52,205.1,202.51,220898885.60000002,1083050,TATN
2012-08-09,203.22,202.53,204.3,198.91,368699545.4,1826650,TATN
2012-08-10,201.12,200.9,201.99,197.44,359563881.1,1799870,TATN
2012-08-13,201.99,200.31,203.83,200.02,246216216.7,1218120,TATN
2012-08-14,200.3,204.26,204.4,200.0,300330937.5,1479050,TATN
2012-08-15,203.1,203.17,203.92,200.2,406067395.5,2015990,TATN
2012-08-16,203.78,200.51,204.99,199.4,440535596.0,2178530,TATN
2012-08-17,201.22,201.48,202.88,200.63,178895542.0,885340,TATN
2012-08-20,202.24,199.58,202.48,198.1,302302727.7,1511000,TATN
2012-08-21,199.65,204.03,204.79,199.5,398979903.2,1957610,TATN
2012-08-22,202.9,203.66,203.8,202.0,164560990.9,811000,TATN
2012-08-23,204.5,203.33,206.99,203.01,540523290.2,2635860,TATN
2012-08-24,202.42,203.19,204.44,201.76,286742578.1,1411770,TATN
2012-08-27,204.11,202.34,204.67,201.51,98773261.8,487500,TATN
2012-08-28,202.0,201.91,204.2,201.35,200260842.8,987900,TATN
2012-08-29,201.91,200.25,203.28,200.24,179894923.4,892280,TATN
2012-08-30,201.0,199.17,201.71,198.03,208656511.2,1046190,TATN
2012-08-31,199.35,195.77,201.33,195.2,305934129.8,1547370,TATN
2012-09-03,196.19,196.7,198.99,195.62,275615176.2,1394840,TATN
2012-09-04,197.39,197.22,198.37,195.87,150167244.60000002,761310,TATN
2012-09-05,196.23,194.01,197.89,194.0,236680547.2,1207630,TATN
2012-09-06,195.2,201.01,202.15,194.77,347275829.7,1764030,TATN
2012-09-07,201.5,204.42,205.55,201.27,639263234.4,3127290,TATN
2012-09-10,203.55,204.18,205.4,202.61,258417512.0,1267670,TATN
2012-09-11,203.12,204.29,205.2,202.22,146397628.7,717480,TATN
2012-09-12,204.5,205.49,205.49,203.01,375975725.3,1837700,TATN
2012-09-13,204.55,206.3,206.5,203.15,329706277.9,1613690,TATN
2012-09-14,208.49,210.33,215.55,207.84,875803222.5,4161570,TATN
2012-09-17,210.0,210.83,212.85,207.0,859261278.1,4068430,TATN
2012-09-18,209.66,210.89,211.95,209.05,300909338.4,1431250,TATN
2012-09-19,210.48,209.39,211.96,206.42,404147797.4,1939000,TATN
2012-09-20,208.48,208.25,209.82,204.44,478984615.3,2317860,TATN
2012-09-21,209.0,210.05,213.24,207.09,528932834.1,2510960,TATN
2012-09-24,209.99,206.5,210.89,206.3,356597374.1,1712640,TATN
2012-09-25,206.61,203.46,208.28,202.5,376100379.4,1838460,TATN
2012-09-26,201.78,196.61,201.84,194.2,442515134.2,2232840,TATN
2012-09-27,197.63,200.13,200.13,195.22,284517092.0,1436800,TATN
2012-09-28,201.95,201.32,202.88,199.1,362997410.5,1803490,TATN
2012-10-01,200.96,207.76,207.8,200.71,387232116.79999995,1886960,TATN
2012-10-02,207.0,207.83,208.5,206.0,163977224.9,791790,TATN
2012-10-03,206.85,203.13,207.3,201.0,338177453.0,1659060,TATN
2012-10-04,203.4,199.99,203.7,198.5,297255261.8,1483860,TATN
2012-10-05,201.57,204.78,206.25,201.52,359211326.8,1755270,TATN
2012-10-08,203.86,202.02,204.2,200.8,207588308.89999992,1028300,TATN
2012-10-09,203.23,203.0,204.23,201.41,255345906.8,1259440,TATN
2012-10-10,202.88,202.5,202.88,200.21,179308046.1,890460,TATN
2012-10-11,201.28,200.8,201.99,200.5,170507518.6,846910,TATN
2012-10-12,200.8,198.0,201.86,196.28,276107333.1,1386250,TATN
2012-10-15,197.51,200.5,202.0,196.1,230841344.5,1152780,TATN
2012-10-16,202.99,202.29,203.5,199.3,234645409.2,1164290,TATN
2012-10-17,203.0,207.99,209.55,201.89,502069777.7,2431000,TATN
2012-10-18,208.7,208.3,209.9,207.0,292933065.9,1403260,TATN
2012-10-19,208.3,203.88,208.94,203.67,265308567.4,1287810,TATN
2012-10-22,203.51,207.01,207.5,201.87,186004913.7,910520,TATN
2012-10-23,206.44,203.81,207.24,202.01,237840223.6,1166350,TATN
2012-10-24,204.2,201.02,204.84,199.24,274907278.40000004,1363040,TATN
2012-10-25,201.1,202.0,204.0,200.28,159779880.7,789670,TATN
2012-10-26,201.0,199.79,201.49,197.83,262927971.2,1317940,TATN
2012-10-29,199.28,201.6,201.7,198.0,115399714.1,578050,TATN
2012-10-30,201.0,197.66,204.39,197.14,180891810.8,903070,TATN
2012-10-31,198.28,197.48,200.42,195.45,238029735.7,1204700,TATN
2012-11-01,196.48,196.13,198.8,194.2,252225391.20000002,1285280,TATN
2012-11-02,197.25,195.39,197.77,195.02,226801629.9,1156900,TATN
