date,open,close,high,low,value,volume,ticker
2011-11-17,95.4,97.21,99.0,95.4,81194533.2,833120,TATNP
2011-11-18,96.26,95.01,96.26,94.25,13618914.6,142990,TATNP
2011-11-21,93.23,93.0,95.79,92.53,30228739.5,320290,TATNP
2011-11-22,93.98,96.71,98.0,93.69,23522542.400000002,245110,TATNP
2011-11-23,95.01,96.0,96.37,94.65,19889587.7,208490,TATNP
2011-11-24,96.04,96.78,97.0,95.59,9904980.0,102650,TATNP
2011-11-25,96.5,94.0,96.5,93.68,29248253.2,309220,TATNP
2011-11-28,96.0,96.94,96.95,93.7,40729661.7,428290,TATNP
2011-11-29,96.95,95.0,96.95,94.23,18497952.6,194200,TATNP
2011-11-30,94.42,97.0,97.0,93.99,51660365.5,543130,TATNP
2011-12-01,97.0,97.32,99.0,96.16,56825854.1,582450,TATNP
2011-12-02,97.98,95.56,97.98,95.56,91343476.2,948850,TATNP
2011-12-05,95.79,94.25,96.0,92.99,112820270.10000001,1201930,TATNP
2011-12-06,93.91,92.0,95.0,91.91,67318896.0,721110,TATNP
2011-12-07,91.74,91.3,94.67,90.3,40384986.7,441210,TATNP
2011-12-08,92.83,92.0,93.67,91.49,39136897.6,423480,TATNP
2011-12-09,90.68,90.65,92.5,86.71,15051075.6,168780,TATNP
2011-12-12,92.11,88.86,92.11,88.59,22944177.4,254120,TATNP
2011-12-13,88.8,90.87,90.89,87.52,30108027.1,334600,TATNP
2011-12-14,90.9,90.12,92.38,90.12,82163790.3,897980,TATNP
2011-12-15,90.25,90.99,91.91,89.64,24700294.0,271720,TATNP
2011-12-16,91.7,90.99,93.77,90.65,4787565.9,52280,TATNP
2011-12-19,91.0,91.99,92.5,90.0,27858058.700000003,303340,TATNP
2011-12-20,92.28,91.85,92.28,90.45,6293307.9,68940,TATNP
2011-12-21,91.85,91.22,92.89,91.13,7146745.199999999,77710,TATNP
2011-12-22,91.01,89.89,91.75,88.59,89779079.3,989550,TATNP
2011-12-23,90.64,88.85,91.99,88.75,9739746.4,109440,TATNP
2011-12-26,89.94,88.7,89.94,88.38,7413263.7,83730,TATNP
2011-12-27,89.11,88.7,89.12,88.0,10512482.4,118710,TATNP
2011-12-28,89.83,88.55,91.01,88.0,41198639.7,464740,TATNP
2011-12-29,87.97,88.08,89.0,87.75,52589752.0,595270,TATNP
2011-12-30,88.88,88.02,89.0,87.72,41810387.2,473970,TATNP
2012-01-03,88.0,92.48,93.34,87.99,20199671.9,223480,TATNP
2012-01-04,91.53,92.0,92.47,90.1,6676268.399999999,73120,TATNP
2012-01-05,92.06,91.91,95.06,91.86,13777718.2,147880,TATNP
2012-01-06,91.81,91.82,93.07,91.75,1579574.0,17150,TATNP
2012-01-09,92.02,92.11,93.01,92.02,1079432.8,11650,TATNP
2012-01-10,92.28,92.12,93.93,91.82,32811232.5,354940,TATNP
2012-01-11,92.23,91.35,92.59,90.71,84359951.8,924240,TATNP
2012-01-12,90.72,92.0,92.19,90.52,30820389.5,337270,TATNP
2012-01-13,92.25,92.44,92.99,91.56,17202110.6,186320,TATNP
2012-01-16,92.32,92.51,92.69,91.51,2642908.0,28690,TATNP
2012-01-17,92.96,94.88,94.9,92.08,35743503.199999996,381560,TATNP
2012-01-18,94.57,96.78,97.0,94.3,49149462.4,511720,TATNP
2012-01-19,95.12,96.25,98.0,95.12,21293036.9,219320,TATNP
2012-01-20,96.36,96.47,97.8,96.09,19235658.8,198300,TATNP
2012-01-23,96.96,96.14,96.99,96.01,14110383.799999999,146760,TATNP
2012-01-24,96.23,97.14,97.33,96.0,12741928.8,132330,TATNP
2012-01-25,97.48,98.06,100.15,96.56,66352343.7,672370,TATNP
2012-01-26,99.37,98.88,100.89,98.12,44374505.699999996,446500,TATNP
2012-01-27,98.02,99.27,99.44,98.01,32774306.400000002,331130,TATNP
2012-01-30,99.79,98.0,99.79,97.59,10453281.7,106420,TATNP
2012-01-31,98.33,99.0,99.2,98.07,17109064.5,172810,TATNP
2012-02-01,98.52,99.45,100.6,98.52,101744059.60000001,1013870,TATNP
2012-02-02,99.01,99.0,99.96,98.59,5879082.1,59450,TATNP
2012-02-03,98.6,98.67,99.59,96.41,12391239.100000001,125720,TATNP
2012-02-06,99.29,98.61,100.98,98.5,29647462.200000003,297890,TATNP
2012-02-07,99.19,98.44,99.79,97.5,25418088.6,257580,TATNP
2012-02-08,98.88,99.1,99.1,98.0,20130347.5,204540,TATNP
2012-02-09,99.15,98.8,99.5,97.58,15628623.799999999,158350,TATNP
2012-02-10,98.16,97.0,98.21,97.0,50030145.9,512630,TATNP
2012-02-13,97.86,98.0,98.77,97.2,62104973.5,634190,TATNP
2012-02-14,98.7,98.39,100.0,98.39,83604816.7,843710,TATNP
2012-02-15,99.47,99.09,99.47,98.38,27364871.1,276920,TATNP
2012-02-16,98.4,99.0,99.2,97.61,39324937.0,399670,TATNP
2012-02-17,99.01,98.7,99.66,98.65,42626474.6,431670,TATNP
2012-02-20,99.6,98.99,100.0,98.55,14243543.200000001,143760,TATNP
2012-02-21,98.65,100.0,100.84,97.9,80996278.1,811290,TATNP
2012-02-22,100.49,100.41,101.5,99.4,107601979.60000001,1067580,TATNP
2012-02-24,101.48,101.81,102.0,99.83,45733358.1,451430,TATNP
2012-02-27,101.25,101.93,103.57,100.41,55042371.099999994,539780,TATNP
2012-02-28,102.95,101.55,102.95,101.51,84572770.9,829670,TATNP
2012-02-29,101.98,103.33,103.33,101.54,35958229.2,349790,TATNP
2012-03-01,102.5,102.44,102.5,102.0,5178737.5,50630,TATNP
2012-03-02,102.61,102.04,102.89,101.9,15927016.5,155650,TATNP
2012-03-05,102.71,102.57,103.3,101.01,20016636.2,195310,TATNP
2012-03-06,102.97,100.8,104.0,100.45,59012666.7,578800,TATNP
2012-03-07,100.39,101.32,102.38,100.38,29258714.8,288550,TATNP
2012-03-11,103.32,102.53,103.32,101.94,11336992.700000001,110800,TATNP
2012-03-12,102.19,102.49,102.89,102.05,11110953.5,108400,TATNP
2012-03-13,102.87,102.7,102.96,101.76,39854770.9,389690,TATNP
2012-03-14,102.88,103.57,103.57,102.13,48992247.3,475340,TATNP
2012-03-15,103.4,104.5,104.9,102.68,57982530.7,557750,TATNP
2012-03-16,103.49,104.65,105.08,103.06,27477048.5,263460,TATNP
2012-03-19,103.99,103.2,105.2,101.84,39490005.6,382900,TATNP
2012-03-20,102.62,101.5,103.3,100.5,63440579.5,623000,TATNP
2012-03-21,101.93,101.25,101.94,99.6,103655483.3,1023530,TATNP
2012-03-22,100.99,100.03,101.5,99.85,30649618.5,305510,TATNP
2012-03-23,101.18,101.48,101.49,99.73,18599660.6,185640,TATNP
2012-03-26,101.71,102.29,102.4,101.03,87485742.2,859290,TATNP
2012-03-27,102.39,101.95,104.0,101.6,62046800.8,604330,TATNP
2012-03-28,101.95,101.53,101.95,100.38,19588459.400000002,193690,TATNP
2012-03-29,100.96,100.99,101.49,98.83,23181936.6,231530,TATNP
2012-03-30,101.49,101.4,101.7,100.06,9196981.8,91050,TATNP
2012-04-02,101.21,101.43,101.79,100.79,21350690.7,210820,TATNP
2012-04-03,101.58,101.95,102.39,100.81,44857839.9,440340,TATNP
2012-04-04,101.07,100.53,101.65,100.53,24398282.2,242170,TATNP
2012-04-05,100.52,101.25,101.35,99.66,14995117.6,149220,TATNP
2012-04-06,101.49,100.46,101.49,100.08,3507432.6,34890,TATNP
2012-04-09,100.4,100.8,100.8,99.8,16138677.399999999,161250,TATNP
2012-04-10,100.02,100.1,100.75,100.0,8570598.1,85460,TATNP
2012-04-11,99.1,99.6,99.95,98.83,7292997.9,73400,TATNP
2012-04-12,99.06,99.3,99.88,98.83,25913362.3,261380,TATNP
2012-04-13,99.13,99.49,100.35,98.94,23900778.2,239430,TATNP
2012-04-16,99.1,99.18,99.92,98.77,25975995.3,261590,TATNP
2012-04-17,99.01,98.6,99.5,98.25,30879064.900000002,312080,TATNP
2012-04-18,99.1,97.44,99.11,97.29,51488028.9,524660,TATNP
2012-04-19,98.08,97.4,98.11,97.02,40461238.300000004,415580,TATNP
2012-04-20,97.2,95.86,97.79,94.21,36865666.1,384640,TATNP
2012-04-23,96.5,94.9,96.55,94.74,14857498.8,155940,TATNP
