date,open,close,high,low,value,volume,ticker
2011-11-17,0.003582,0.003609,0.003609,0.00354,946449,265000000,TGKB
2011-11-18,0.003516,0.00356,0.003589,0.003515,683480,193000000,TGKB
2011-11-21,0.0035,0.00341,0.0035,0.003407,1074194,311000000,TGKB
2011-11-22,0.003447,0.003437,0.003463,0.0033,1172842,345000000,TGKB
2011-11-23,0.0034,0.00348,0.003485,0.003382,347504,101000000,TGKB
2011-11-24,0.003445,0.00343,0.003455,0.003388,320475,94000000,TGKB
2011-11-25,0.003397,0.0034,0.003464,0.003377,329783,97000000,TGKB
2011-11-28,0.003485,0.003519,0.003579,0.00345,1882666,540000000,TGKB
2011-11-29,0.0036,0.003597,0.0036,0.003505,387695,109000000,TGKB
2011-11-30,0.003535,0.003476,0.003535,0.0034,5672802,1649000000,TGKB
2011-12-01,0.003501,0.003498,0.003537,0.003444,1545495,444000000,TGKB
2011-12-02,0.003482,0.003492,0.00353,0.00342,1941621,558000000,TGKB
2011-12-05,0.003475,0.00352,0.003546,0.003475,259855,74000000,TGKB
2011-12-06,0.003475,0.003455,0.003509,0.003431,270323,78000000,TGKB
2011-12-07,0.0035,0.0034,0.0035,0.00338,1169104,341000000,TGKB
2011-12-08,0.003449,0.003395,0.00345,0.003381,1953650,574000000,TGKB
2011-12-09,0.003349,0.003196,0.003349,0.003125,3754070,1170000000,TGKB
2011-12-12,0.003203,0.003101,0.003285,0.003017,2314032,734000000,TGKB
2011-12-13,0.003075,0.002893,0.003075,0.002815,8400294,2912000000,TGKB
2011-12-14,0.0029,0.002882,0.0029,0.002821,1977517,694000000,TGKB
2011-12-15,0.002869,0.002858,0.002896,0.002833,1829256,637000000,TGKB
2011-12-16,0.002922,0.0029,0.00297,0.002859,1576301,541000000,TGKB
2011-12-19,0.002854,0.002889,0.00297,0.002815,1506544,528000000,TGKB
2011-12-20,0.00275,0.00281,0.002843,0.00275,1893230,675000000,TGKB
2011-12-21,0.002798,0.002755,0.002817,0.002755,679760,244000000,TGKB
2011-12-22,0.00275,0.002714,0.002822,0.00268,975604,359000000,TGKB
2011-12-23,0.0027,0.002661,0.002709,0.002632,1218632,459000000,TGKB
2011-12-26,0.002686,0.00265,0.002689,0.002612,447117,169000000,TGKB
2011-12-27,0.002666,0.002683,0.002683,0.002614,309642,117000000,TGKB
2011-12-28,0.00263,0.0026,0.002682,0.002511,1738833,664000000,TGKB
2011-12-29,0.00258,0.002568,0.002595,0.002521,1247907,488000000,TGKB
2011-12-30,0.002589,0.002574,0.002634,0.0025,2416471,953000000,TGKB
2012-01-03,0.002582,0.00261,0.002625,0.002558,1264800,487000000,TGKB
2012-01-04,0.002625,0.002611,0.002625,0.002588,417443,160000000,TGKB
2012-01-05,0.002617,0.002648,0.002683,0.002582,1857895,706000000,TGKB
2012-01-06,0.002646,0.002674,0.0027,0.002646,745181,279000000,TGKB
2012-01-09,0.002679,0.002723,0.002723,0.002615,252762,94000000,TGKB
2012-01-10,0.002725,0.002729,0.002729,0.002686,793955,293000000,TGKB
2012-01-11,0.002717,0.0027,0.002717,0.002659,212584,79000000,TGKB
2012-01-12,0.002719,0.002747,0.002765,0.002701,1713957,626000000,TGKB
2012-01-13,0.002735,0.002763,0.002832,0.00271,1312469,474000000,TGKB
2012-01-16,0.002718,0.002749,0.002785,0.00261,2221270,831000000,TGKB
2012-01-17,0.002789,0.002786,0.00279,0.002731,1156653,417000000,TGKB
2012-01-18,0.002786,0.002815,0.00285,0.002786,1203437,429000000,TGKB
2012-01-19,0.002816,0.002736,0.002816,0.002728,1777376,647000000,TGKB
2012-01-20,0.002731,0.002735,0.002777,0.0027,937316,341000000,TGKB
2012-01-23,0.002744,0.002725,0.00277,0.002703,663533,243000000,TGKB
2012-01-24,0.002728,0.002735,0.00277,0.002705,229149,84000000,TGKB
2012-01-25,0.002745,0.002704,0.002763,0.002703,541437,199000000,TGKB
2012-01-26,0.00272,0.00274,0.002775,0.00265,2156473,796000000,TGKB
2012-01-27,0.00271,0.002738,0.002855,0.002706,709762,255000000,TGKB
2012-01-30,0.002751,0.0027,0.002799,0.002666,595906,220000000,TGKB
2012-01-31,0.002711,0.00274,0.002767,0.00271,693677,253000000,TGKB
2012-02-01,0.002738,0.002798,0.002829,0.002713,6114836,2192000000,TGKB
2012-02-02,0.00283,0.002816,0.002874,0.002785,4971187,1752000000,TGKB
2012-02-03,0.002828,0.002835,0.002897,0.0028,5040325,1781000000,TGKB
2012-02-06,0.002899,0.002936,0.002949,0.002806,7112048,2479000000,TGKB
2012-02-07,0.00295,0.003065,0.003096,0.00295,6562052,2164000000,TGKB
2012-02-08,0.003031,0.003283,0.003297,0.003031,7428333,2319000000,TGKB
2012-02-09,0.00331,0.003345,0.003589,0.003122,11246079,3340000000,TGKB
2012-02-10,0.003307,0.003301,0.003389,0.00317,3654798,1113000000,TGKB
2012-02-13,0.00339,0.003359,0.00339,0.003255,1849690,557000000,TGKB
2012-02-14,0.003282,0.00327,0.003312,0.003239,1122053,341000000,TGKB
2012-02-15,0.003251,0.003226,0.003265,0.003214,939923,290000000,TGKB
2012-02-16,0.003151,0.003179,0.003188,0.003115,2756965,877000000,TGKB
