date,open,close,high,low,value,volume,ticker
2011-11-17,92.2,90.5,92.2,88.11,13431904.5,149110,TRMK
2011-11-18,89.1,88.18,89.97,87.78,6637351.6,74730,TRMK
2011-11-21,88.0,82.68,88.6,82.45,23017261.5,269400,TRMK
2011-11-22,83.37,83.7,88.0,83.37,5546927.800000001,65180,TRMK
2011-11-23,83.69,81.51,83.94,81.12,17541790.4,213630,TRMK
2011-11-24,81.5,81.74,82.5,81.09,5123255.0,62400,TRMK
2011-11-25,81.4,79.47,82.14,78.97,15531319.600000001,194590,TRMK
2011-11-28,81.56,83.49,84.91,81.53,14894360.4,178970,TRMK
2011-11-29,84.0,83.85,85.72,83.51,39043088.4,462480,TRMK
2011-11-30,83.3,85.74,85.74,83.14,12587378.0,149300,TRMK
2011-12-01,85.99,89.0,90.0,85.99,17187605.2,194670,TRMK
2011-12-02,89.89,93.5,95.0,88.22,51610760.7,557050,TRMK
2011-12-05,92.85,91.47,93.56,91.05,21919397.5,238730,TRMK
2011-12-06,90.31,89.01,90.87,89.01,12957258.9,145010,TRMK
2011-12-07,90.42,88.1,90.7,88.1,52477429.400000006,593030,TRMK
2011-12-08,88.99,91.9,92.06,88.39,13656060.1,149340,TRMK
2011-12-09,90.01,87.35,91.64,86.5,28226001.0,321770,TRMK
2011-12-12,89.6,82.9,90.06,82.9,22504463.1,260440,TRMK
2011-12-13,83.87,81.98,88.89,80.8,22644948.6,276760,TRMK
2011-12-14,81.58,79.3,82.78,78.71,24733352.0,309660,TRMK
2011-12-15,79.05,80.16,80.38,78.08,14628571.1,184470,TRMK
2011-12-16,80.96,77.8,80.96,77.14,9591226.7,122160,TRMK
2011-12-19,77.62,76.5,78.23,76.27,32008450.3,416680,TRMK
2011-12-20,76.5,76.85,77.0,76.0,4897080.2,63970,TRMK
2011-12-21,77.76,75.75,80.4,75.05,33612758.5,431790,TRMK
2011-12-22,76.1,74.75,76.1,73.6,5704581.7,76150,TRMK
2011-12-23,75.97,73.0,75.97,72.5,5776598.6,78900,TRMK
2011-12-26,73.0,72.69,73.75,71.61,3753277.5,51590,TRMK
2011-12-27,72.2,70.88,72.7,70.38,1652417.5999999999,23080,TRMK
2011-12-28,73.36,71.14,73.5,70.71,6131158.8,85260,TRMK
2011-12-29,71.0,69.9,71.99,68.68,17634415.1,252290,TRMK
2011-12-30,70.03,72.8,73.89,70.01,4891357.5,68220,TRMK
2012-01-03,74.0,76.88,77.41,73.03,4486735.4,59300,TRMK
2012-01-04,77.44,78.96,79.48,72.0,13606285.6,174380,TRMK
2012-01-05,79.0,82.44,82.72,78.0,14407609.4,177750,TRMK
2012-01-06,81.41,83.0,83.46,81.0,5555588.399999999,67290,TRMK
2012-01-09,82.7,81.01,84.8,80.75,4069504.0,49350,TRMK
2012-01-10,82.0,82.0,83.35,81.25,11131753.899999999,135790,TRMK
2012-01-11,82.37,82.45,82.89,80.16,8923274.9,108570,TRMK
2012-01-12,83.38,85.25,85.49,81.79,22024055.6,263720,TRMK
2012-01-13,84.36,86.26,88.87,84.36,22338164.8,257430,TRMK
2012-01-16,85.81,87.17,88.04,82.07,14786576.8,172300,TRMK
2012-01-17,88.0,88.96,89.78,86.95,37006574.4,418450,TRMK
2012-01-18,89.59,89.4,89.84,88.52,66981033.5,746770,TRMK
2012-01-19,89.83,88.56,89.83,88.5,3684554.2,41430,TRMK
2012-01-20,89.34,88.17,89.34,86.37,3220572.5,36660,TRMK
2012-01-23,88.51,85.58,88.51,84.53,17480548.6,203410,TRMK
2012-01-24,85.6,84.75,86.74,84.08,3314778.9,38910,TRMK
2012-01-25,85.29,86.36,86.85,83.86,8420586.7,97750,TRMK
2012-01-26,86.74,88.06,88.88,86.02,6373242.2,72970,TRMK
2012-01-27,87.34,89.9,89.9,86.66,16882529.5,189560,TRMK
2012-01-30,88.03,89.05,90.95,88.0,13742824.2,152800,TRMK
2012-01-31,90.51,88.05,90.8,87.44,13671212.6,154250,TRMK
2012-02-01,87.65,87.98,89.19,87.5,4696555.9,53180,TRMK
2012-02-02,88.78,87.71,88.86,87.5,10213493.2,115890,TRMK
2012-02-03,87.53,89.51,89.97,87.5,6969229.5,78120,TRMK
2012-02-06,90.0,89.71,90.66,89.0,17448109.900000002,194120,TRMK
2012-02-07,89.71,88.51,90.66,88.5,15506055.3,174010,TRMK
2012-02-08,89.82,89.86,90.5,88.6,31156836.5,348580,TRMK
