date,open,close,high,low,value,volume,ticker
2011-11-17,416.04,474.7,474.7,412.22,3446504179.0,78303,TRNFP
2011-11-18,464.0,463.58,488.65,457.0,5040428411.0,107069,TRNFP
2011-11-21,461.99,460.55,470.0,450.0,1597417014.0,34780,TRNFP
2011-11-22,461.27,462.8,473.0,460.0,1049690010.0,22448,TRNFP
2011-11-23,458.2,464.04,469.77,452.6,945192554.0,20447,TRNFP
2011-11-24,462.53,466.99,477.77,460.04,1133414940.0,24123,TRNFP
2011-11-25,465.36,499.99,501.92,464.71,2112958901.0,43543,TRNFP
2011-11-28,503.99,505.94,517.0,503.0,1894509576.0,37223,TRNFP
2011-11-29,504.9,494.0,508.49,489.22,1037332697.0,20929,TRNFP
2011-11-30,490.0,506.0,510.0,485.25,1618055884.0,32329,TRNFP
2011-12-01,507.6,495.0,508.01,495.0,619103501.0,12358,TRNFP
2011-12-02,496.9,506.5,509.0,489.28,714778903.0,14278,TRNFP
2011-12-05,508.0,508.55,515.89,503.0,1531909801.0,30081,TRNFP
2011-12-06,502.81,490.0,506.42,488.2,1651423999.0,33258,TRNFP
2011-12-07,495.0,473.99,495.82,458.88,2208731633.0,46184,TRNFP
2011-12-08,476.97,486.5,500.94,475.88,1582634141.0,32447,TRNFP
2011-12-09,478.19,463.5,489.0,463.28,2234903301.0,47314,TRNFP
2011-12-12,470.0,459.15,478.6,451.77,1047296791.0,22568,TRNFP
2011-12-13,460.0,470.4,470.5,455.09,764704959.0,16442,TRNFP
2011-12-14,467.35,465.39,473.97,461.1,677280076.0,14468,TRNFP
2011-12-15,460.01,480.28,482.41,457.97,1077449719.0,23104,TRNFP
2011-12-16,482.5,478.98,489.86,471.25,951842259.0,19747,TRNFP
2011-12-19,472.12,476.88,482.0,469.01,707320597.0,14930,TRNFP
2011-12-20,476.88,487.99,491.8,475.05,740550057.0,15359,TRNFP
2011-12-21,490.01,469.96,492.0,464.5,903623123.0,18998,TRNFP
2011-12-22,471.73,464.05,476.49,460.0,522826834.0,11199,TRNFP
2011-12-23,465.98,462.51,470.49,462.0,573445300.0,12315,TRNFP
2011-12-26,466.5,473.0,476.82,465.57,251511543.0,5328,TRNFP
2011-12-27,473.87,478.5,484.5,471.71,524183717.0,10948,TRNFP
2011-12-28,479.54,481.8,483.5,478.0,376645629.0,7839,TRNFP
2011-12-29,480.23,493.61,494.8,478.16,650593922.0,13366,TRNFP
2011-12-30,495.79,496.0,499.49,493.89,638956376.0,12864,TRNFP
2012-01-03,499.93,508.49,508.5,496.49,374445045.0,7409,TRNFP
2012-01-04,508.5,500.61,514.0,500.0,293645467.0,5792,TRNFP
2012-01-05,502.0,504.44,506.0,495.0,332587784.0,6594,TRNFP
2012-01-06,502.99,504.97,506.99,502.34,177409458.0,3513,TRNFP
2012-01-09,505.49,503.99,505.49,500.49,121491780.0,2415,TRNFP
2012-01-10,504.09,559.07,560.0,503.52,3322959038.0,62102,TRNFP
2012-01-11,555.0,586.39,595.0,545.55,4719087136.0,82153,TRNFP
2012-01-12,585.28,565.01,593.43,558.0,1432904391.0,25034,TRNFP
2012-01-13,565.01,573.0,582.96,558.65,986737176.0,17201,TRNFP
2012-01-16,568.03,563.0,576.52,558.51,856709740.0,15157,TRNFP
2012-01-17,569.57,569.48,573.99,563.2,970483367.0,17085,TRNFP
2012-01-18,567.66,570.38,571.96,565.55,822689911.0,14480,TRNFP
2012-01-19,574.99,578.18,588.5,569.5,1985531728.0,34255,TRNFP
2012-01-20,579.89,573.38,593.98,570.5,1741197707.0,29866,TRNFP
2012-01-23,570.61,582.92,593.55,570.0,4055256136.0,69495,TRNFP
2012-01-24,579.25,578.0,589.99,577.1,1226914999.0,21002,TRNFP
2012-01-25,581.36,579.0,585.87,578.01,1142368594.0,19661,TRNFP
2012-01-26,581.25,581.1,588.57,577.79,1325443938.0,22740,TRNFP
2012-01-27,579.22,576.02,584.0,572.7,613018604.0,10608,TRNFP
2012-01-30,574.99,571.0,576.02,564.02,997020593.0,17565,TRNFP
2012-01-31,573.99,575.02,581.0,572.57,958783344.0,16610,TRNFP
2012-02-01,575.02,579.01,589.74,573.17,2261992822.0,38878,TRNFP
2012-02-02,581.78,565.2,582.0,559.05,1709434827.0,30120,TRNFP
2012-02-03,565.0,569.9,571.8,559.9,895429104.0,15775,TRNFP
2012-02-06,571.5,572.0,574.51,568.0,1022585064.0,17901,TRNFP
2012-02-07,573.37,571.36,575.2,569.0,369949032.0,6471,TRNFP
2012-02-08,574.98,583.5,592.68,573.2,1526755707.0,26062,TRNFP
2012-02-09,583.02,577.05,587.0,576.5,1011381841.0,17405,TRNFP
2012-02-10,576.1,586.0,587.0,571.25,1056034719.0,18164,TRNFP
2012-02-13,589.0,583.0,590.0,581.25,1078154598.0,18425,TRNFP
2012-02-14,583.0,581.0,584.13,577.5,581496460.0,10013,TRNFP
2012-02-15,584.43,575.0,586.74,574.4,779240447.0,13416,TRNFP
2012-02-16,570.0,570.9,573.73,565.25,594091685.0,10437,TRNFP
2012-02-17,576.75,572.7,577.39,566.0,409070462.0,7173,TRNFP
2012-02-20,575.71,569.06,576.5,500.98,437663269.0,7717,TRNFP
2012-02-21,572.56,551.97,572.56,550.77,769705170.0,13819,TRNFP
2012-02-22,554.8,533.51,557.0,531.98,1496517802.0,27634,TRNFP
2012-02-24,536.98,535.17,542.0,526.12,1398230015.0,26262,TRNFP
2012-02-27,537.0,525.03,537.01,523.33,706756849.0,13331,TRNFP
2012-02-28,527.91,524.39,530.0,520.07,900251474.0,17138,TRNFP
2012-02-29,524.4,545.0,545.5,521.7,1189099862.0,22296,TRNFP
2012-03-01,542.5,528.99,549.7,525.0,2087032096.0,38870,TRNFP
2012-03-02,531.64,519.16,533.0,514.14,944193679.0,17990,TRNFP
2012-03-05,520.0,525.0,537.1,516.0,1312535864.0,24873,TRNFP
2012-03-06,521.39,500.5,523.01,499.51,1111156095.0,21867,TRNFP
2012-03-07,499.0,510.0,514.47,494.51,1248878132.0,24536,TRNFP
2012-03-11,521.84,541.5,542.0,520.23,1624563542.0,30471,TRNFP
2012-03-12,539.0,550.29,564.39,537.59,4379881109.0,79132,TRNFP
2012-03-13,555.99,554.51,560.0,551.03,918265568.0,16515,TRNFP
2012-03-14,559.17,581.52,582.5,555.64,4261902153.0,74488,TRNFP
2012-03-15,579.99,558.67,583.54,554.11,2152453160.0,37948,TRNFP
2012-03-16,558.5,573.0,580.71,553.5,1827685336.0,32043,TRNFP
2012-03-19,578.78,564.48,580.7,558.81,1007086847.0,17792,TRNFP
2012-03-20,567.87,545.1,570.47,545.1,774414714.0,13912,TRNFP
2012-03-21,545.56,545.45,555.55,540.14,719419553.0,13114,TRNFP
2012-03-22,545.22,537.0,551.84,536.2,574464488.0,10626,TRNFP
2012-03-23,539.3,548.88,548.88,536.2,410266124.0,7547,TRNFP
2012-03-26,551.88,556.49,556.66,547.11,774528012.0,13992,TRNFP
2012-03-27,559.86,563.48,566.46,558.0,787275508.0,14006,TRNFP
2012-03-28,561.2,553.33,567.89,553.31,1195864995.0,21335,TRNFP
2012-03-29,552.1,557.5,559.5,531.21,1788592258.0,32739,TRNFP
2012-03-30,561.99,574.11,582.0,560.5,2176373087.0,37826,TRNFP
2012-04-02,579.75,560.61,580.0,560.25,784398473.0,13805,TRNFP
2012-04-03,563.97,571.76,571.76,558.3,636266441.0,11268,TRNFP
2012-04-04,565.87,557.7,568.31,551.5,638318645.0,11423,TRNFP
2012-04-05,559.0,555.57,562.11,542.79,1113214566.0,20206,TRNFP
2012-04-06,557.5,557.0,563.92,551.15,470451782.0,8422,TRNFP
2012-04-09,554.1,559.98,564.47,550.0,376587009.0,6769,TRNFP
2012-04-10,559.55,575.5,580.83,556.77,1538076922.0,26855,TRNFP
2012-04-11,570.55,569.52,575.87,567.59,1075823608.0,18833,TRNFP
2012-04-12,570.61,571.29,577.34,565.1,466062633.0,8159,TRNFP
2012-04-13,574.4,602.12,608.97,570.15,2731860976.0,46005,TRNFP
2012-04-16,599.55,598.93,609.66,595.0,1235267553.0,20478,TRNFP
2012-04-17,598.93,603.01,605.88,587.58,657537839.0,11012,TRNFP
2012-04-18,605.49,613.27,615.77,605.0,1230013030.0,20119,TRNFP
2012-04-19,613.48,620.3,624.0,606.6,1306261748.0,21157,TRNFP
2012-04-20,618.01,619.0,625.0,615.46,551446187.0,8883,TRNFP
2012-04-23,616.33,611.0,618.58,606.8,596746911.0,9758,TRNFP
2012-04-24,612.0,607.98,616.49,603.11,332543670.0,5458,TRNFP
2012-04-25,609.0,590.88,613.9,588.5,859502644.0,14286,TRNFP
2012-04-26,597.0,568.99,597.64,566.01,1899030681.0,32565,TRNFP
2012-04-27,570.01,557.61,573.75,556.92,1522967879.0,27059,TRNFP
2012-04-28,563.0,551.46,564.75,551.0,284575661.0,5111,TRNFP
2012-05-02,554.31,549.47,569.98,536.2,935366458.0,17060,TRNFP
2012-05-03,547.54,549.2,553.95,538.0,693217002.0,12695,TRNFP
2012-05-04,547.17,529.96,548.0,526.25,924119186.0,17380,TRNFP
2012-05-05,526.5,528.0,530.98,522.41,63881708.0,1213,TRNFP
2012-05-07,526.0,508.97,526.01,505.11,364173532.0,7117,TRNFP
2012-05-08,511.45,510.99,514.97,498.37,566866225.0,11162,TRNFP
2012-05-10,508.97,514.0,520.0,506.7,713225422.0,13842,TRNFP
2012-05-11,511.08,503.47,517.77,500.0,735744744.0,14546,TRNFP
2012-05-12,500.53,503.99,509.0,490.0,171866202.0,3435,TRNFP
2012-05-14,500.02,489.56,504.9,482.5,486323417.0,9932,TRNFP
2012-05-15,489.96,483.03,492.22,472.98,771128114.0,16059,TRNFP
2012-05-16,476.39,477.02,490.0,472.05,1244787015.0,25773,TRNFP
2012-05-17,479.99,445.03,484.7,433.3,1732648408.0,38444,TRNFP
2012-05-18,431.0,431.0,439.99,416.0,1558230059.0,36152,TRNFP
2012-05-21,432.84,423.6,436.68,411.25,861880154.0,20436,TRNFP
2012-05-22,428.08,438.29,442.5,418.95,979722829.0,22534,TRNFP
2012-05-23,429.52,431.59,435.0,401.25,1697805311.0,40612,TRNFP
2012-05-24,430.0,447.0,448.99,412.25,984948469.0,22789,TRNFP
2012-05-25,440.45,438.98,443.97,432.0,522325641.0,11953,TRNFP
2012-05-28,440.0,442.0,447.0,437.1,334500850.0,7582,TRNFP
2012-05-29,444.3,451.19,454.44,440.11,694336316.0,15491,TRNFP
2012-05-30,447.0,443.0,448.8,435.5,767645701.0,17412,TRNFP
2012-05-31,440.0,440.04,450.0,437.0,707524032.0,15927,TRNFP
2012-06-01,439.99,426.8,444.06,421.0,475843935.0,11066,TRNFP
2012-06-04,415.02,420.29,425.55,415.02,375780839.0,8935,TRNFP
2012-06-05,423.89,419.0,425.99,418.0,236170788.0,5595,TRNFP
2012-06-06,422.91,425.0,428.1,417.12,540054887.0,12797,TRNFP
2012-06-07,429.0,444.0,444.44,423.03,1133545592.0,25790,TRNFP
2012-06-08,439.4,448.77,449.75,435.01,1327536970.0,29730,TRNFP
2012-06-09,449.48,453.39,456.0,449.36,488990785.0,10791,TRNFP
2012-06-13,454.5,452.75,456.88,445.48,496380111.0,11010,TRNFP
2012-06-14,450.06,452.48,457.0,447.57,491756106.0,10858,TRNFP
2012-06-15,454.89,461.23,470.0,452.01,1459916675.0,31707,TRNFP
2012-06-18,465.85,469.02,472.99,461.0,932489801.0,19863,TRNFP
2012-06-19,470.0,463.0,473.79,459.5,690992332.0,14769,TRNFP
2012-06-20,465.04,456.5,466.99,448.22,538473772.0,11822,TRNFP
2012-06-21,451.9,445.0,456.98,437.78,669912160.0,14885,TRNFP
2012-06-22,438.88,447.41,449.8,435.25,604873391.0,13623,TRNFP
2012-06-25,444.86,445.45,447.46,438.17,348360445.0,7869,TRNFP
2012-06-26,445.1,456.65,461.87,445.0,927508907.0,20298,TRNFP
2012-06-27,458.0,459.2,466.25,456.65,406502756.0,8792,TRNFP
2012-06-28,462.98,454.88,463.0,451.2,343182869.0,7529,TRNFP
2012-06-29,459.0,470.0,476.0,459.0,771786777.0,16508,TRNFP
2012-07-02,472.05,473.0,474.9,465.1,680227559.0,14492,TRNFP
2012-07-03,475.89,481.99,484.0,474.0,583579521.0,12172,TRNFP
2012-07-04,481.1,486.0,488.64,475.46,326669746.0,6787,TRNFP
2012-07-05,484.0,489.7,491.11,482.0,1022004542.0,20940,TRNFP
2012-07-06,487.09,488.01,493.28,482.66,333950815.0,6849,TRNFP
2012-07-09,487.17,488.0,490.98,477.49,311788852.0,6441,TRNFP
2012-07-10,484.5,491.04,493.43,483.06,631770120.0,12865,TRNFP
2012-07-11,488.85,486.45,490.2,481.25,561876444.0,11591,TRNFP
2012-07-12,485.22,480.83,487.24,471.0,487920541.0,10205,TRNFP
2012-07-13,484.45,491.0,493.24,482.1,269683526.0,5522,TRNFP
2012-07-16,492.5,498.98,501.01,492.5,683693795.0,13708,TRNFP
2012-07-17,501.47,506.87,511.88,498.03,717284906.0,14201,TRNFP
2012-07-18,507.88,508.5,511.5,498.55,700030747.0,13801,TRNFP
2012-07-19,512.0,515.02,518.5,511.5,423145667.0,8228,TRNFP
2012-07-20,511.64,505.85,513.86,496.0,515199978.0,10219,TRNFP
2012-07-23,500.0,489.99,500.99,486.51,694377778.0,14128,TRNFP
2012-07-24,489.99,486.45,494.44,476.78,406839841.0,8392,TRNFP
2012-07-25,479.87,487.0,496.8,478.0,387001020.0,7898,TRNFP
2012-07-26,487.71,492.75,492.99,480.01,399056930.0,8166,TRNFP
2012-07-27,495.0,505.89,505.9,488.63,370249775.0,7419,TRNFP
2012-07-30,512.5,512.98,514.7,507.17,344892094.0,6724,TRNFP
2012-07-31,511.52,515.5,515.5,505.1,810198376.0,15802,TRNFP
2012-08-01,514.0,520.5,521.0,513.01,709482655.0,13702,TRNFP
