date,open,close,high,low,value,volume,ticker
2011-11-17,4799.8,5010.0,5049.9,4550.0,42628568.6,8884,VSMO
2011-11-18,4836.8,4903.8,5010.0,4836.8,7150761.9,1459,VSMO
2011-11-21,4820.6,4699.5,4880.5,4600.0,15704431.5,3319,VSMO
2011-11-22,4702.1,4747.1,4848.7,4610.5,5449582.1,1161,VSMO
2011-11-23,4653.7,4710.0,4800.0,4599.9,6928560.1,1485,VSMO
2011-11-24,4688.1,4852.1,4887.3,4650.2,6792784.4,1424,VSMO
2011-11-25,4761.1,4900.0,4930.0,4750.0,14157228.0,2936,VSMO
2011-11-28,4949.8,5000.0,5000.0,4907.5,18240755.1,3652,VSMO
2011-11-29,5000.0,4917.0,5000.0,4910.0,1151682.8,233,VSMO
2011-11-30,4950.0,5690.0,5743.0,4950.0,187205855.4,34822,VSMO
2011-12-01,5790.0,5770.0,5978.6,5531.0,39355853.0,6758,VSMO
2011-12-02,5730.5,5816.2,5849.0,5630.4,11759967.6,2043,VSMO
2011-12-05,5889.9,5770.0,5889.9,5743.4,6241765.399999999,1077,VSMO
2011-12-06,5849.9,5552.6,5851.0,5499.9,22346871.6,3911,VSMO
2011-12-07,5590.6,5600.1,5688.4,5537.7,12239036.7,2187,VSMO
2011-12-08,5650.0,5772.0,5772.0,5650.0,15157953.4,2652,VSMO
2011-12-09,5620.0,5669.7,5700.2,5405.3,19917194.9,3553,VSMO
2011-12-12,5785.0,5614.2,5785.0,5571.0,10177481.1,1795,VSMO
2011-12-13,5566.7,5740.0,5798.7,5566.7,8516895.0,1498,VSMO
2011-12-14,5798.6,5710.0,5811.7,5605.9,4886469.2,855,VSMO
2011-12-15,5581.0,5770.0,5789.8,5051.0,22575562.0,4017,VSMO
2011-12-16,5669.3,5670.0,5819.1,5639.9,33017602.4,5798,VSMO
2011-12-19,5565.3,5702.0,5799.9,5555.3,7184537.3,1259,VSMO
